Author,Comment,Likes,Published At
@sky89885,결핍을 예술로 승화시킨거네요.,1,2024-09-13T04:35:23Z
@user-mn4nl7qv7s,아픈 과거를 예술로 승화시키신 당신의 노력에 존경을 표함니다.,1,2024-09-13T04:15:50Z
@혜린최,그 진한외로움을    견뎌낸  희문님!<br>지금은 빛나는  아티스트가  되었네요.<br>두모자님!   화이팅!,1,2024-09-13T04:13:27Z
@천재일우-z5u,매력쟁이^^자주뵙고 싶습니다 ❤,0,2024-09-13T04:07:31Z
@user-fy5ls8ob5o,이희문 좋아합니다. ❤❤❤❤❤,2,2024-09-13T03:47:43Z
@oh5120,이희문님 너무 멋진데~무대가 많았으면  좋겠네요^^,4,2024-09-13T03:21:28Z
@Indigo-z,"평소에는 지극히 내성적이고 소심,수줍기까지 한 모습인데,일단 무대 위로 오르기만 하면,그 폭발하는 광적인 끼는 완전 다른 예인으로 급변신.매 무대 마다 보여주는 무한 변신.그의 무대를 오래오래 보고 싶다.",6,2024-09-13T02:49:59Z
@user-lz9tm1dv8t,이런 예술가가 있었군요<br>두분 너무 보기 좋아요.<br>오늘 처음으로 나도 상담사가 되고 싶다는 생각이 드네요.<br>저런 좋으신 분들을 만날 수 있다니!<br>공연 보러 갈게요.<br>예술가는 뭐가 달라도 다르네요,1,2024-09-13T02:39:29Z
@user-zw2ft1tg2d,응원합니다❤<br>충분히 멋있으세요 ❤,2,2024-09-13T02:29:45Z
@SADONEATTACK,그 외로움이 어린 마음에 얼마나 사무쳤을까..<br>마땅히 누려야 할 부모와의 시간이 나에게는 주어지지 않는다는 걸 깨달을때 얼마나 외로움이 파도처럼 밀려왔을까,10,2024-09-13T02:29:15Z
@jichang9702,정말 솔직하게 이야기하셔서 마음에 많이 와 닿네요.,4,2024-09-13T01:58:07Z
@user-yc3si5yv2o,너무 멋지세요<br>응원합니다.<br>최고의 아티스트,4,2024-09-13T00:02:34Z
@user-wn2zx6yj5x,Wow&#39;&#39;&#39;&#39;&#39;&#39;&quot;희문 희문<br>넘 오랜만이여요<br><br>당신의 음악은 하늘의 땅의 소리같아 넘 좋아하는 1인임돠❤❤❤❤❤,4,2024-09-12T23:42:48Z
@고한소리-w1j,오늘도잘보가요 ❤❤❤❤,1,2024-09-12T23:39:51Z
@user-iw1bs2cx8f,저는 선생님 예술 하는 모습을 보면서 감동 또 감동 제가 빠져들어요 존경 합니다 저하고 비슷한 이야기가 많아 마음이 공감 했어요 제가 하고 싶은 말을 선생님 께서 하고 계시구나 하고 말이죠 <br>항상 응원합니다 선생님 존경 합니다  널리 많이 펼쳐주세요,13,2024-09-12T22:17:01Z
@user-hz4lz8po8c,이주전 공연 잘 보았습니다  매력적인 우리 음악 즐기게 해주시는 소리꾼,10,2024-09-12T22:15:19Z
@kyung1306,내아이 내아가가 최고인데ᆢ안타까운 이야기네요<br><br>어머님 증후군 ㅎ<br>베게에서 나는 향기등등 아픔이네요<br>그래도 휼륭하세요,11,2024-09-12T17:49:27Z
@user-fx2sj6wh6y,어린애가 힘들었겠다..,11,2024-09-12T16:58:19Z
@jynrlove,자식이 부모에대한사랑도 못지않게크죠..  인정받지못하고 제대로 사랑받지못한자식듵은 부모를 원망하는만큼 열망도큽니다 결핍은 예술의 원천이 되죠<br>끝도없는 구멍에서 방황하지 않고 부지런히 물을 길어올리셨네요,18,2024-09-12T16:51:01Z
@hyemipark6643,엄청 똑똑한 메타인지가 높으신듯한분,27,2024-09-12T16:30:23Z
@user-wj4pj8km3o,천재 of 천재,11,2024-09-12T16:22:04Z
@user-xb8zj4dl2n,"도,,,,,,,,,,,,,처?",2,2024-09-12T15:57:15Z
@choiyh6269,이희문은 어머니보다 더 멋진 아티스트임,28,2024-09-12T14:09:20Z
@user-mv4ru7ul2e,이희문님 팬입니다! 그런 아픔이 있으신 줄 몰랐어요. 그래서 인지 그 목소리에 가슴시린 한이 느껴져요.,39,2024-09-12T13:48:12Z
@artall-heavenly,앞 부분 검정 사자머리랑 후반 백발에 긴머리 둘 다 같은 분인가요?😮,19,2024-09-12T13:40:41Z
@user-sm6ql1bv3w,희문씨 힘내세요❤❤❤,25,2024-09-12T12:50:43Z
