Author,Comment,Likes,Published At
@TV-yw8uh,여자mc두분하고 오은영샘 하고 옷 색깔 맞춘거가..?,0,2024-09-07T05:04:58Z
@TV-yw8uh,좋은 사람 만나서 가족 꾸리고 잘 살았으면 좋을거같음,0,2024-09-07T04:57:53Z
@esfj_user,"나 정승제쌤 고딩때 수업듣고 넘행복했는데...ㅠ 지금30대중반,,😂",0,2024-09-02T14:13:09Z
@useromg,아이공… 응원하는 샘이 10년간 이랬단 게 너무 속상하다ㅠㅠ 입시가 진짜 예민하고 가뜩이나 요즘같이 커뮤니티가 활성된 시대에선 사소한 사건 하나도 악플이 많이 달리니까 더 힘들수밖에.. ㅠㅠ,0,2024-08-25T11:49:37Z
@user-tx9lt7ln6t,어느 바닥이든 다 그래요.,0,2024-08-24T08:53:52Z
@susonhwa2169,"선생님 이제부터 학생들의 학습심리나 학습이론을 만들어 주세요, 데이터 베이스가 많잖아요.<br>수포를 하지 않아도 되는 이유를 과학적으로 증명해 주세요",0,2024-08-23T21:52:47Z
@susonhwa2169,아 일만 해온 인생이니 허무하겠네요,0,2024-08-23T21:49:35Z
@user-dv7sb4lp3z,와<br>젊어 보인다.,0,2024-08-23T07:37:00Z
@user-pm1ov9dh6n,친구하자 수다떠는거 겁나 좋아하고 요리잘한다.  돈도 쓸만큼 있다. 너한테 손안벌린다.  같이 놀자 전화해라 ㅋㅋ,0,2024-08-19T06:43:05Z
@thelogicofthing8242,"승재쌤... ㅠㅠ 승재쌤이 진짜 순수파다..,!",0,2024-08-18T10:33:08Z
@user-cf5tn1bl5p,승제쌤 ㅠㅠㅠㅠ,0,2024-08-17T19:34:52Z
@akfh0111,"<a href=""https://www.youtube.com/watch?v=HMb5GwFp8qs&amp;t=480"">8:00</a> 솔루션",0,2024-08-17T16:34:42Z
@user-hg6vq9jd4w,승제쌤…너무 힘들어보이세요…생선님 하고 싶은대로 하세요…저희는 굳건이 이 자리에서 승제쌤을 기다릴수 있습니다…😢,2,2024-08-16T12:14:33Z
@user-bo3hi2rf7z,건강하시고 행복하십시요❤🎉,1,2024-08-14T09:02:46Z
@정승제불륜녀,생선님 항상 행복하셨으면 좋겠어요 진짜..ㅜㅜ보면서 울뻔함,1,2024-08-09T03:17:14Z
@sunshine70305,방송에서만 보이는 재미있는 선생님의 모습이 아닌 인간 정승제의 진솔한 모습 보여주셔서 감사합니다,4,2024-08-06T09:15:57Z
@최은진-p7d,교육계에도 루머퍼뜨리는 몹쓸알바분들이있어요<br>주식채팅방에만 있는지알았는데<br>돈준다고 없는말퍼뜨리고 사람들 상처주고 돈도 바르게 벌어요,1,2024-08-05T08:30:30Z
@Teddy-dm2oc,생선님 ㅜ,1,2024-08-04T19:57:05Z
@뿌잉뿌잉-y3m,경쟁이 아니라 자기스스로 발전하는 혼자만의 레이스를 묵묵히 하는게 훨 뿌듯 할거다 .. 걍 내가 하고싶은거 .. 네 .. 저는 과거에 이랬었고 이런 이력이 있고 .. 전에 뉴욕에서 겪은 일인데 .. 생전 한번 가봤지만 .. 이런 허레에 찌든 ㅂㅅ 들말 좆도 듣기 싫다는 ..,0,2024-08-02T10:05:56Z
@뿌잉뿌잉-y3m,난 내발전 .. 남하고 얘기나누고 .. 그것도 모두 가식적인 골아픈대화 .. 내가 들어주는척 추임새를 주는것도 피곤하고 .. 내얘기 안듣고 자기얘기만 하는 인간도 피곤하고 .. 다들 .. 이해할거야 .. 심지어 가족도 특별한날 아니면 .. 피곤쓰 .. 조동아리를 틀어 막고싶어 .. 조동아리 내밀어바 .. 내밀면 손으로 잡아뜯어버리고 싶을때도 마나 .. 다 지얘기만 하고싶어해 .. 지얘기도 진실하면 그나마 나아 .. 져보이기싫어서 허상의 얘기도 늘어놓고 .. 알면서 모르는척 .. 아 그래 ~ 빵까시네 .. 안그래 그래 .. 아니면 .. 너어 ~~ 무 죽이 척척 맞아서 잘 놀았어 그다음날 ? 안허무해 ?? 소모적이고 ..,0,2024-08-02T10:02:47Z
@hhlee3490,애들 고혈 빨아먹는 인강계가 그렇게 쉬우면 안 되겠죠. 허무한 게 맞는데 누리던 것을 포기하기 싫으니까 허무하지 않다고 스스로에게 거짓말하는 거고요. 유튜버처럼 한 번 성공만 하면 애들한테서 돈도 벌어 애들한테 같잖은 훈계 좀 하면 스승이라고 떠받들어 줘 몸 좀 아프다 하면 애들한테 쌤 아프지 마요 ㅠㅠ 걱정받아 이런 직업도 없죠. 다들 그런 생각이라서 경쟁 뚫기가 힘든 거지. 그래서 과거 교권이 강성하던 시기에는 교사가 박봉에 비해 은근히 인기가 많았죠. 노인네들 교주짓보단 어떻게든 애들 스승 노릇하는 게 돈은 몰라도 기분은 좋죠. 오은영 씨도 부모 잘못 만난 애들 얼굴 팔아 돈 버는 사람이니 약간은 통하는 게 있을 듯. 이 영상에서도 당신이 수학선생이라 정확성이 어쩌구 이딴 말도 안 되는 수준으로 썰 풀면서 돈 버는 오은영 ㅋㅋ,1,2024-08-02T05:19:12Z
@junl1723,비단 사교육에만 해당되는 얘기는 아닌듯..<br>공교육에 있어도 교사의 생활지도에 대한  신랄한 비판과 학생 및 학부모들의 갑질 신고가 난무합니다......<br>제가 경험해본바로 추천안하는 직업 1순위가 교사 및 강사임.,0,2024-07-30T15:26:51Z
@user-qb3sm8lc2v,돈은 많이 번거 같은데 외로운거 같다는<br>느낌이 들긴하더라구요.. 정말 세상 흘러가는거 잘 모르고...감정이 풍부해서 더 그런거 같아요.,1,2024-07-29T14:56:04Z
@yoongpro530,"항상 존경해오던 정승제 선생님,, 저는 학원에서 치는 고등선행과정 시험을 못 치거나 했을때 좌절했지만 그때마다 집을 바로 와서 선생님의 강의를 들었어요. 그러면서 항상 생각한 것이 너무 재밌다, 앞으로도 수학이 싫어지면 승제쌤 강의 들어야지 라는 생각했어요. 저에게는 선생님께서 은인같으신 분이세요. 덕분에 제가 제일 좋아하는 수학에 흥미를 잃지않고 매일을 열심히 해오고 있습니다. 저는 늘 다정하시고 따뜻하신 마음이 너무 좋았습니다. 덕분에 위로도 많이 받았구요. 선생님의 제자중 한명으로서 드리는 말씀입니다. 저희에게 따뜻한 사람이 되어 행복하게 만들어주셨듯이 부디 선생님께서도 가치 있고 본인이 원하고 의미있는 삶을 사셨음 좋겠어요. 늘 감사합니다.",7,2024-07-27T11:41:36Z
@user-qc2ql4uc5h,"나도 공감…ㅜ <a href=""https://www.youtube.com/watch?v=HMb5GwFp8qs&amp;t=460"">7:40</a>",1,2024-07-23T03:55:43Z
@user-lo8vw4ji8z,나중에 수학공부할때 생선님껄 찾아봐야겠어요,1,2024-07-21T10:34:23Z
@user-lv1jy2ml9u,멋지다.... 진짜 선생님이네요,0,2024-07-16T14:16:40Z
@user-vb8gt2jj7f,승제쌤 덕분에 수학에 재미를 붙였어요 공부에 재미를 느낀 건 처음이에요 승제쌤은 정말 행복해야할 충분한 가치가 있는 사람인 걸 45분 그 짧은 강의 내에서 느껴요 말도 안되는 글에 상처 받지 않으셨으면 좋겠어요,6,2024-07-16T11:03:54Z
@user-mp2yt3kp7j,"<a href=""https://www.youtube.com/watch?v=HMb5GwFp8qs&amp;t=422"">7:02</a> 마음을 헤아려주는 말에 공감하는 표정이 너무 와닿는다...... 마음아파...",0,2024-07-15T11:11:20Z
@Bl.i1116,"승제형, 형은 그냥 존나멋있으니까. 맘 아프지마.",7,2024-07-09T12:35:07Z
@user-pv5nu9zj9d,내가 볼때는 오은영보다 법륜스님  더  고민해결 답이다,2,2024-07-02T07:18:32Z
@heseeapple5735,생선님 상처 잘 받으신다....<br>어찌보면...넘 나 당연한 거지만...<br>괜찮아요 생선님...<br>다른 사럼 말 너무 신경쓰지 마요,1,2024-06-17T11:40:26Z
@user-do7ex3ze4h,"저런 일타강사도 시기질투에 엄청 고통받았구나<br>난 한x한테만 당하고 있는데<br>근데 그x 말투가 오은영씨 흉내내나보네 교양있는척 경청하는척, 그런데 둘이만 있으면 히스테리하게 지랄하는 쏘패땜에 미치겠다. 그래서 난 교양있는 척하는 인간들 안믿는다. 그래서 정쌤 강의를 계속듣는듯~",0,2024-06-16T12:26:42Z
@user-uw6vz5mw4w,가족 만들어야해,0,2024-06-14T17:38:56Z
@pianogirl_0812,생선님...행복만 하세요..공부는 제가 할게요,2,2024-06-13T12:22:10Z
@hwengkwon1lee324,정승제<br>강사님아니 사장님<br>다이어트한다드니몸이많이날신해졌네요<br>나는80년을살다보니<br>건강이제일이라요<br>이루어진만큼<br>건강챙기세요<br>성공축하하고<br>행복하세요<br>멋쟁이😊,0,2024-06-07T18:09:16Z
