Author,Comment,Likes,Published At
@qweasd-d2f,연예인 아니면 우울증이고 뭐고 그냥 군대보냄,1,2024-09-12T00:39:46Z
@conniecp1922,위너야~ 파이팅~~~,0,2024-09-08T15:47:53Z
@QQ-rb8os,"<a href=""https://www.youtube.com/watch?v=HjTRUOCsQfQ&amp;t=401"">6:41</a>",1,2024-09-03T10:16:42Z
@stephaniekim6861,신서유기에서의 송민호 좋아해요<br>그리고 여기서 진솔한 이야기 해준 송민호도 좋아합니다<br>덕분에 위로 받고 갑니다,2,2024-09-02T03:41:24Z
@lufepo_,송민호 앨범이 세상에서 제일 좋다.,1,2024-08-30T16:48:00Z
@kht8170,쇼  가수하지말고 연기자해라  ㅋ,2,2024-08-21T09:54:52Z
@akfh0111,"군문제떠나서,<br>창작의 압박과 고통... <br>이거 저도 마케팅쪽을 갈까?할땐 두려워요..",4,2024-08-13T17:57:34Z
@user-lw6wg8gy2c,전 조현병 환자인데<br>송민호 가수님을 정말 좋아했어요<br>지드래곤 닮아서 좋아했던것도있구요,0,2024-08-04T11:45:45Z
@user-bb8jh9wh6p,하 진짜 알고리즘으로 다시보는데 지금 군생활 모습보다가 이거 보니까 진짜 극과극 이구나..싶다 얘가 지금 제대로 군생활만 하면 빈지노 급으로 명성 누릴텐데 친구 피오 지코도 잘갔다왔는데 논란이라도 안생기게 잘만하면 될텐데 신서유기에서의 이미지도 잘쌓았고 ..뭐라 할말도없다 요즘 국힙 병땡들 이 너무 많아 힙합병..한참 활동할시기에 이거 나왔우면 뭐라말도안하는데 급 군대갈시기 그러니 ㅋㅋ아이러니하지,6,2024-08-02T14:48:48Z
@user-lm2fl4li5u,“그럼에도 불구하고” 라는 말이 제 좌우명인데요. 인간이 100퍼센트 육체적 정신적으로 결함이 없는게 정상이라는 생각은 잘못됐다고 생각합니다. 인간 누구나 육체적으로 정신적으로 결함이 있습니다. 근데 사람들은 이거만 해결되면 남들처럼 잘할수 있는데 라는 생각에 사로잡혀서 나아가지 못하죠. 온몸이 피투성이가 돼도 그럼에도 나아가는것이 인간의 삶이라고 생각합니다. 그래서 저는 항상 정신적으로 육체적으로 뭔가 큰 어려움이 올때면 거기에 사로잡히지 않으려 노력합니다. 그리고 생각합니다 “그럼에도 불구하고”. 그다음 행동합니다 “그럼에도 불구하고”다시 앞으로 한걸음 발자국을 내딛습니다.,7,2024-07-21T02:12:11Z
@holdoniamtalkingbrother,군대 빼려고 이렇게 열심히 빌드업을 했네,21,2024-07-20T10:46:44Z
@쵸가비,저거 다 힙합병임. 힙합한다는 애들은 다 정신병이 있거든.,11,2024-07-20T06:22:51Z
@Tv-pe4if,민호 좋아하는데 왤케 군대 빼려는 빌드업 같음,12,2024-07-19T14:37:41Z
@user-nm8cj5hm7g,군대가면 해결됨,7,2024-07-19T12:04:59Z
@seohyun10146,송민호씨 저도 양극성 장애 때문에 너무 힘들어하고 있습니다. 주변 사람들에게 기대도 되요. 그들은 당신이 조금이라도 도움을 청하길 바랄 거에요.,2,2024-07-17T18:41:21Z
@hanana0122,&#39;의미 있는 사람&#39;의 존재가 중요하죠 단 한 사람이라도. <br>근원적인 문제가 해결이 안되면 아무리 성공을 한들 괴로워요 예술도 살아 있어야 하는 거죠,3,2024-07-16T19:53:01Z
@김김종성-v6t,공황장애인데 뱅기 10시간 넘게타고 동생 결혼식 갔다온?,15,2024-07-15T09:18:40Z
@iiii-crong,그래도 군대는 다녀오는게 맞다고 생각함,8,2024-07-14T05:36:37Z
@asiio3487,군대 설계한건가,7,2024-07-11T04:58:45Z
@명명잉,와 진짜 저도 우울증 개심했을때 보고 지금 사람되서 보니까 느낌이 너무 다르네요.... 얼마나 힘들었을까,3,2024-07-10T06:11:08Z
@user-ek4ew2mr1b,완벽한 사람이 우울하다는거는 배때지 졸라 부른거지…..난 완벽하지도 못해서,0,2024-07-09T03:31:14Z
@user-rg9il4kd4v,설리나 구하라도 이렇게 상담받았으면 도움됫을텐데 ㅠㅠ,3,2024-07-08T18:50:28Z
@ttylkerk,공익,3,2024-07-07T02:05:52Z
@user-jc2ts4gu1n,"공황이 문제가 아니라…조울증은 일반 정신병이랑 달라요 우울증이랑도 다르고요 우울증보다 훨씬 중증으로 칩니다 조증이 기분 좋은상태가 아니라 흥분한 상태라 빚을 져서까지 돈을 쓰거나, 폭력을 휘두르거나,환시,환청,망상등이 동반될 수 있습니다 그렇기에 신경증이면서도 정신증(조현병과 같은)으로 봅니다 일반인도 무조건 공익이나 면제고요 조울증 인식이 일반인들에겐 거의 없거나 잘못돼서 이런 오해가 생긴거 같은데 전 이사람 누군지도 모르겠지만 조울증이 맞다면 군대 안 가는게 맞다고 봅니다 가면 이 사람이 잘못되던 동료들이 잘못되던 둘 중 하나일테니까요",1,2024-07-07T01:59:48Z
@user-zm2vm6hy75,그래서 훈련소끝나고 단발머리로 여동생결혼식에서춤추고~<br>선택적우울. 부럽다,11,2024-07-03T16:13:03Z
@JY-od4jr,어나더레벨의 멋진 아티스트... 너무 섬세하고 세밀하게 모든 게 느껴지고 아파올 것 같기도 함. 멋있는 사람이니 마음 편해지고 다 잘 되길..,1,2024-07-03T12:28:12Z
@블랙커피-s4x,공황장애 반은 사기지<br>정찬우 봐라 돈독오른 공황쌩쑈<br><br>군대 가기 싫어서 공황질 하네,2,2024-06-20T22:34:48Z
@user-cf9iz2cn9f,요즘 송민호씨 장발에 수염기르고 살찌고 왜케 변했나 싶어서 이것저것 관심가지고 찾아보다 여기까지 왔는데.. 현재가 ..재충전 기간. 휴식기 같은 느낌일까요. 지금도 충분히 보기 좋으니 몸도 마음도 건강하면 좋겠어요 😊,11,2024-06-16T15:07:51Z
@김순포,부럽다 나는 성공도 못하고 그냥 인생이 재미가 없는데<br>물론 이런 소리하는 나같은 사람때문에 쉽게 그런 말을 못하셨겠죵 규리웅니 .. <br>우리모두 해파리처럼 유영하면서 살아요,1,2024-06-15T18:48:03Z
@ummww,"댓글들 너무하네요 .. 우울증이랑 공항장애는 진짜 겪어보지 않으면 모르는 건데, 여기에 욕하시는 분들은 대다수 겪어보지 못 하신 분들 일거라 생각합니다. 내뱉기 전에 제발 한 번만 더 생각하고 씁시다",13,2024-06-08T13:05:58Z
@래그-q6w,solution: 공익,6,2024-06-03T06:47:04Z
@algorithm2215,도파민 중독의 후유증. <br>우리 모두가 겪는 일.,2,2024-06-01T15:42:43Z
@user-pi3rv9su7t,힘들다고  얘기를 하시는것이  힘든건 알지만 자꾸  애기하려고 하셔서  혼자  쌓아두는방법은 조금 피하셔야할거같아요   나  힘들다라고  말씀을 해주시는게  본인에게  더 도움이  될거같습니다  충분히  고칠수  있어요 !! 병이 아닙니다 이겨낼수  있어요! 화이팅하세요!,2,2024-05-24T12:59:50Z
@wherem,가장이라는 그 무게를 견딘 부모님들 진짜 존경합니다 모성애 부성애가 없었다면 불가능한것 같아요,2,2024-05-20T08:20:22Z
