Author,Comment,Likes,Published At
@user-xr4ts7ik7r,알바할 때 수많은 진상들이 있었는데… 난 내가 참으면 된다고 생각했고 그게 맞다고 생각했었음 딴 알바생은 그럴때마다 손님한테 말대꾸하고 싸우려드는게 난 이해가 안 갔었는데.. 지금와서 생각해보니 몇번은 참더라도 개빡치면 표출하는게 맞는 방법인 것 같음,0,2024-09-08T13:08:52Z
@둥두둥-s8s,내가 101번째 화를내고 100번째 참더라도  남들이 알아주는건 내가 화낸모습밖에없어 내가 왜 화가났는지 왜 열을내는지는 중요하지않아,0,2024-09-07T13:43:40Z
@user-ux1yd4mt1p,댓글보면 정신병으로 현역말고 공익떠도 지랄할 새끼들인데 ㅋㅋㅋㅋㅋㅋ,0,2024-09-05T20:17:35Z
@user-yy2oo9sl9x,이런사람들 특 남에게 절대 민폐 끼치지 않음 대신에 타인도 저얼대에 나에게 피해 끼치면 안되는 스타일<br>이게 원래 맞는건데 <br>우리나라 새끼들은 남에게 피해주는걸 당연히 여김 그럴수도 있지 예민하네로 포장 존나함<br>특히 부모자식간에도..<br>무식하고 무지한 단세포 부모사이에서 이런 델리케이트한 천재들이 나오는경우가 많은듯<br>나처럼...<br>힘내십쇼 꽃길만 걸으시길🙏🙏🪻🌷🌼,0,2024-08-31T12:20:35Z
@life-tg6yh,무슨 니혼자사는세상이가 웃기네이거<br>그냥 분노를조절못하는 정신적문제지<br>무슨핑계가많노 성인으로보기엔좀<br>부족함이있네요 침범이아니라 사회생활이나<br>인간교류가 이런거다 개입이싫고 방해받기싫고 나만에 공간과 시간에서 살고싶어?그럼혼자 화성가서 살아 듣다못해서 보는내가 답답하네,0,2024-08-30T05:23:06Z
@user-zy7tw4be6w,변할 준비가 되어있다. 성공하길 바란다 응원하다 끼리보이,0,2024-08-29T12:51:01Z
@user-cc6dj9ln9k,다른건 몰라도 결혼은 하면 안되겠는데?,1,2024-08-26T18:45:13Z
@Blingjjong,추성훈한테도던질수있나?,1,2024-08-26T02:58:17Z
@Laocon_,곁눈질로 보면 지디 닮았네,0,2024-08-23T11:11:55Z
@LEEJUNGEUN1000,정말고치고 싶은 의지가 있으셨을것 같아요 힘내세요,0,2024-08-22T16:02:52Z
@BlueMoon625,마동석이고 나발이고 그냥 저렇게 터지는 스타일은 걍 터질 때 눈돌아가서 뵈는 거 없음. 층간소음이 살인사건으로 가는 게 이런 케이스임,2,2024-08-22T08:07:49Z
@hoshiyomikopi,기리보지❤❤,2,2024-08-22T02:45:35Z
@nynton,스윙스에게 담배를 던지고 싶은기분은 지극히 정상인데,0,2024-08-20T16:28:03Z
@magazinenomad8255,음악작업할 때 핸폰을 무음으로 해두면 되잖아; 그 와중에 음악천재라고 하니까 입꼬리 올라가네;,0,2024-08-19T12:44:00Z
@giddyBirch,이런 분들 마니 봤어요. 화나면 소리지르고 벽치고 상대를 제압하려 하는...정말 도움을 잘 잗으셨음 좋겠어요,0,2024-08-16T19:46:31Z
@uaisnsk,ㅜㅜㅜ행복하장,0,2024-08-15T11:26:32Z
@sheena5432,홍 시 영 ❤,0,2024-08-14T10:33:30Z
@ENEZ-kv7rt,아니 저건 자기잘못이지 작업하기 전에 방해금지모드를하던가 전원을꺼놔 ! 화를 크게 내는 사람들은 보통 자기탓이없음...,0,2024-08-14T09:14:36Z
@Loveyourself-ww,화난다해도 담배 던지는게 가능하나,2,2024-08-14T06:53:03Z
@gxgzvjzddgghu,지디 느낌나네 헤어바꾸고 안경벗음 잘생겼을듯,0,2024-08-13T00:31:30Z
@Ennrytrdx2wkyi,&quot;피우던 담배를 그 위에 투하&quot;,0,2024-08-12T09:15:56Z
@GO1DENW1ND,뭔 주접이노 마동석앞에서도 시켜보면알지 ㅋㅋ,0,2024-08-08T09:09:24Z
@박민수-l5x,스윙스 대단 ㅎ 보면 볼수록 어른,0,2024-08-01T00:09:57Z
@user-mr9vl3pu9b,기리보이 화이팅....!ㅠㅜ,0,2024-07-29T10:29:18Z
@user-kl1hm5dr1t,마동석형님 앞에서는 치료될텐데,0,2024-07-27T14:35:39Z
@user-qk9mv3kz5w,기리보이님 좋아질수있어요!! 힘내라잉~~,0,2024-07-19T11:05:16Z
@istp_t-h7m,기리보이님의 용기를 응원합니다!,0,2024-07-12T05:40:10Z
@user-hd6sx8qk5j,와 이제봤는데 나랑 기리보이랑 똑같네... 나도 귀가 예민하고  사람들은 못 듣는 작은소리도 진짜 잘들음 못들었겠지 하겠지만 다들림. 근데 난 이렇게 생각함. 내가 그때 느꼈던 감정은 날 열받게 만든 사람이 잘못된것이고 어떻게 하면 이사람을 말하게 만들지 라고 말할정도면 평소 그사람이 얼마나 괴롭혔는지를 알아야함. 나도 직장에 같이 일하는사람이 계속 괴롭혀서 최대한 참다가 약하게 화를 냈는데 우습게 보고 또 깐족대면서 사람 감정을 살살 긁으면서 군대안갔다온티내며 철없이 말하는데 순간 너무 열받아서 쌍욕하고 솔직히 말하는 순간에도 상당히참음 만약 안그랬다면 폭행까지 갔었을거임. 근데 그렇게 하고 집에와서 몇일동안 계속 생각나고 그때 너무 약하게했나? 더심하게 욕했어야하는데 라는 생각이 더 심하게듬. 그러다보니 내가 병X같아짐. 내가 이렇게 말하고자 하는건 내성적인 사람은 그때그때 안말하고 최대한 참는다 수십번 수백번 참다가 터지는건데 갑자기 왜그래? 이렇게 생각하는것 자체가 정말 최악인거 같음. 평소 괜찮은 사람이 갑자기 폭발해서 쌍욕을 한다면 자신이 얼마나 인간쓰X기 처럼 살았는지 되집어 보았으면 한다.,1,2024-07-05T04:38:51Z
@JY-od4jr,공감이 되네요 저도 내가 이 정도 했음 이래도 되지 하는 당연한 게 없이 자신을 저평가 하고 남 시선부터 의식하고 그러네요 ㅠㅠ,0,2024-07-03T12:08:37Z
@L...iliiiliiiil,자기가 좋아하는 음악 해서 좋은 노래 좋은 비트 많이 뽑아냈는데도 결국 인터넷에서는 무지성 악플러 개많아서 저렇게 된듯.. 악플 1개가 선플 5개보다 더 기억에 잘 남기 마련이니 뭐,0,2024-06-24T16:31:07Z
@jaewonlee-uz6qr,나도 그러는것 같음<br>너무 많은 눈치를 보고<br>무엇보다 자신을 사랑하지 못하는것 같음.<br>가장 중요한건 나인데..,2,2024-06-22T03:21:25Z
@hahaha00707,국힙진짜 미치겠다 ㅋㅋ,0,2024-06-17T07:52:13Z
@Backpacking_Explorer,군대좀 가자 국힙,9,2024-06-17T07:50:13Z
@user-ks8nv1cw7q,일반인들이 가늠하기 힘든 고충인거 같습니다 그러나 냉철하게 들리겠지만  본인이 아무리 좋아하고 잘하는 일이라 할지라도 본인의 내면이<br>썪어 문드러지고 피폐해지고 있다면 고민해봐야<br>하지 않을까요? 대중의 입장으로 봤을때 많이 안타깝습니다  충분히 쉬시고 좋은 음악을 꾸준하게 내주시면 그보다 더 좋은게 있을까요?<br>그리고 사소한 것들마다 데미지가 강하게 들어온다면 당분간은 멈추고 내려놓고 혼자만의 여행이라던지 사랑하는 가족들과 고민을 나누고 <br>시간을 갖는게 어떨까요?,0,2024-06-13T12:46:43Z
@akfh0111,Intp라기엔멍청해서 infp맞는듯,0,2024-06-13T01:48:56Z
@user-gz6yd9su4w,저랑 비슷한듯,0,2024-06-09T14:22:19Z
@eunsunkim2496,"분노조절 장애 있다고 다 싸이코패스, 나쁜사람이 아닙니다.. 여림 + 예민함 + 극단적인 마인드가 합쳐지면 주변사람은 지옥이에요. 부모든 자식이든 같이 살며 부대끼며 화낼일이 얼마나 많은데.. <br>여리든 뭐든 화 난다고 선넘는 말, 행동 한번이라도 하는 사람은 걸러야 합니다.. 그런 선을 실수로라도 넘을 수 있는 사람이거든요..",5,2024-05-31T17:19:12Z
@user-hb4lIntn,정신병으로 군대 빼놓고 뒤탈날까 걱정됐는지 <br>약을 여기저기 쳐놨었구나,17,2024-05-19T09:25:45Z
@MyBloodyValentine-he1fk,공감합니다,1,2024-05-18T15:23:40Z
@user-ee7iv5tg3w,나랑비슷하네<br>나도 화나면 한놈만 걸려라<br>해서 반죽이고 싶은데<br>아무도 안걸림<br>화를 거의 안내는편임,1,2024-05-15T05:08:59Z
