Author,Comment,Likes,Published At
@kenwood0093,■저건 선무당과 진짜 의사와의 대결이지,1,2024-09-12T03:34:53Z
@kenwood0093,■선무당이 사람잡는다.,1,2024-09-12T03:34:29Z
@대박-n5r,한번 보러가고. 싶네요.,0,2024-09-12T01:41:14Z
@user-jv2qe2pf9p,무당이 훨씬 나아요<br>조용하게 살잖아 일만하고<br>옛날엔 다 저랬어요<br>바람피고 남의꺼 탐하고 까대고 자랑질하고 반대로 하는 특정 기독교인들보다 훨씬 낫다고,0,2024-09-11T20:15:33Z
@user-qz2fq8ee8l,왜한국만 무당있냐 그냥정신병임ㅋㅋㅋ,0,2024-09-11T09:42:12Z
@pmknim,무속인이 연기하지 말라는 법은 누가 만들었냐??,1,2024-09-10T08:39:12Z
@user-es3fl5oo9s,아무나 견딜수있는 삶이 아니네요~,0,2024-09-10T00:18:22Z
@kim5352,네 맞습니다,0,2024-09-08T23:43:25Z
@kim5352,한동훈 닮았어요,1,2024-09-08T23:41:58Z
@helenkim1038,이재명은 앞으로 어떻게 더ㅣㄹ것같아요,0,2024-09-08T14:41:43Z
@ybg9220,사기꾼 맛고요 근대 문제는 사기꾼 말에 너무 빠져드는 호구들이 많다는거죠 ᆢ<br>진짜 진짜 영혼 미래 지향적인 위인은 절대 사회나 현실에 방형 하질않읍니다 ᆢ <br>100 프로 신 받았다고 하는 넘들은 모두 사기꾼 ᆢ,0,2024-09-04T04:47:40Z
@user-ou2zf6op3d,할머니께서 무당이셨고<br> 손주한테 왔다면...<br>정호근님 받으셨으니 손주손녀한테 또 대물림 되나요? <br>왜 조상신이 가족 대물려가며 괴롭히는지...<br>할머니께서도 무당이셨을때 수없는 날들 쉬없이  기도 하셨을텐데...복잡하고 무섭네요,0,2024-09-03T15:17:56Z
@Sera-w3o,그래도 아이들하고 아내분을 미국에 보내고 기러기아빠 생활을 하고 계시다니 참...씁쓸하네요<br>옆에서 위로가되고 가족과 정을 나눠야 인생사는 즐거움이 있을텐데 안타깝네요 본인은 어느 누구에게도 위로를 받을수도 없는 그런 현실이...많이 힘드시지 않으시길...,0,2024-09-03T08:19:31Z
@user-gu2le2jm1f,정호근 배우님 ❤❤❤진짜 배우시죠,0,2024-09-02T07:06:34Z
@martinkim9612,무속인은 사기꾼 아닌가? 사기꾼이 방송에 나온다?,1,2024-09-01T14:17:52Z
@user-rz1cg6wi5w,가짜 무당도 널렸다생각하지만 귀신보는 사람은 무조건 있을거라생각함. 귀신이 우리한테 추상적으로 귀신이라 명해진거지<br>정확히 어떤존재인지모르고<br>저렇게 잘사셨던분이 뭐가아쉬워서<br>가족 다 팽개칠수도있고 하던것도접고 무당행세를 해대겠음,0,2024-09-01T12:02:42Z
@user-ie3px3um5u,진짜 정호근선생님 단역이라도 잠깐 드라마에서 뵜으면 좋겠어요,0,2024-09-01T09:43:51Z
@user-ie3px3um5u,정호근 선생님 건강 꼭 챙기시길,0,2024-09-01T09:36:18Z
@user-ee2cs4xy6h,방송계도 무당이라고 편견을 가지고있는게  참 안타깝네요<br>그냥 직업일뿐이라 생각합니다<br>저분 연기하는거 다시보고 싶다<br>그동안 한 연기가 저분을 증명하지않나~~,0,2024-09-01T07:56:54Z
@고구마-b2f,"<a href=""https://www.youtube.com/watch?v=OfzGSL_bTOM&amp;t=3022"">50:22</a>",0,2024-08-31T04:15:30Z
@오로라-d3x,연예인급 한동훈,0,2024-08-30T15:58:43Z
@harleydavidsonsposters2656,좋은 연기를 계속 보고 싶습니다,0,2024-08-30T13:30:40Z
@user-rt5rp4eb7l,마음이 너무 아프네요<br>예수님을 믿으시기를 축복합니다<br>예수님만이 귀신을 이길수 잇습니다,1,2024-08-30T10:22:12Z
@user-lo6kn7ld7b,나를 위해 하고 싶은 일 세 가지… 그중에 두 가지는 여전히 내가 아닌 남 아내를 위한 일이네요 당신을 위한 당신의 온전한 행복을 누리시길,0,2024-08-30T07:57:55Z
@user-ll7lt1bg3p,"<a href=""https://www.youtube.com/watch?v=OfzGSL_bTOM&amp;t=1610"">26:50</a> &#39;왜 무당은 손가락질 받아야 하지? &#39;작두날에 버선발로 서는 무당의 삶을 말씀하셨잖요. 실제로 일반인이 양발만 신고 작두날에 설 수는  없습니다. 매우 날카롭기에 그런데 무당은 가능하죠. 정호근쌤께서 말씀하신 &#39;그 신&#39;의 존재는 &#39;귀신의 영적 힘이 빙의된 사람&#39;을 사로잡고 있기 때문에..작두에서 춤도 추고, 한 사람의 인생과 그 가문의 사건을 모두 알려줄 수 있습니다. &#39;영&#39;이란? 육체가 아니기에 볼 수 없으나 마치 바람처럼 볼 수 없는데, 나뭇잎을 흔들때 존재를 느끼는 것 처럼, 의학계, 과학계 에서 설명할 수 없는 부분이지요.<br><br>유명하다는 무당분들이 더 &#39;큰 신&#39;의  세계가 존재한다는 것을 알고, 예수그리스도께로 들어 온 분들이 많이 계시고, 또 다른 삶으로 개척하며 나아가는 분들이 있습니다. 물론 그 어둠의 세계를 끊어 낼 때는 쉽지 않은 싸움이지만, 분명 삶의 기적이 일어날 거에요. 응원합니다.^^",0,2024-08-29T20:32:22Z
@user-gt3sb5xp2v,귀신은 있는건 믿는데 하나님이 있는건 왜 <br>안믿는건지. . ㅠㅜ,0,2024-08-29T16:57:48Z
@PSY-kp3oi,"[요힌복음14장 6절] <br>예수께서 도마에게 말씀하셨습니다. &quot;나는 길이요, 진리요, 생명이니 나를 통하지 않고서는 아버지께로 올 사람이 없다.&quot;",0,2024-08-29T10:41:18Z
@user-il7is4xd1g,그런데 방어적인긴한데 까칠해지기도 하는군요...<br>하지만 무당은 누구나될수없는 특별한거잖아요...잘하고 계시는거예요..,1,2024-08-29T04:58:42Z
@jasoncho3728,친구가 무당인게 쪽팔린가??? 이해불가인데.~~~,0,2024-08-29T00:49:09Z
@user-si3tv1uo5f,"이르시되.때가.찼고.하나님의.나라가.가까이.왔으니.회개하고.복음을.믿으라.하시더라.마가복음.<a href=""https://www.youtube.com/watch?v=OfzGSL_bTOM&amp;t=75"">1:15</a>",0,2024-08-27T21:37:42Z
@user-si3tv1uo5f,무당은.지옥갑니다.회개.하고.예수님믿고.천국에서.만나세요.점을.보려고.무당이나.사주팔자보러가거나.돌.바위.해.달.별.되지머리.죽은.조상에게.절하는.모두가.우상에게.빌고.절하는것이니.다.지옥.불못으로.들어가요.,0,2024-08-27T21:28:07Z
@user-si3tv1uo5f,"남자나.여자가.접신하거나.박수.무당이.되거든.<br>반드시.죽일지니.곧.돌로.그를.치라.그들의.피가.자기들에게로.돌아가리라.레위기.<a href=""https://www.youtube.com/watch?v=OfzGSL_bTOM&amp;t=1227"">20:27</a>",0,2024-08-27T21:26:17Z
@밥도둑-k3f,세기의 대결,0,2024-08-26T13:53:49Z
