Author,Comment,Likes,Published At
@liamkang7415,옛날 옥주현이 더 좋은데~~,0,2024-09-12T23:39:33Z
@kyungjun3106,"옥주현인 줄 몰랐네. 사람이 너무 달라보인다. 정말 성형이 잘못 된 것 같아. 오히려 예전 얼굴이 더 낫네. 딴 사람인 줄 알았고 현영 얼굴과 비슷하게 보인다. 목소리도 다르게 들려. 발음이 새나? 내가 잘못 들어서 이상한가?  이미지가 영~ 갑질만 떠오르는 듯, 최태원 불륜녀 김희영씨 생일잔치 가는 무개념~",1,2024-09-12T17:52:20Z
@user-jf6mp1im1m,솔루션 프로그램에 출연하신 분의 외모지적이나 평가에 관련한 언급은 <br>삼가해주시는 게 좋을 것 같아요,0,2024-09-10T15:58:54Z
@user-vr8dd6jh9upark,관객들에게 민폐가 아니라 동료 배우들 에게 민폐를 끼치는 사람,0,2024-09-09T17:12:30Z
@music-oq7ed,성형한 걸 뭐라 하는 게 아니고 너무 달라져서 궁금함. 일반 연예인들 성형과는 다르게 특이하게 했네요. 순수해 보이고 괜찮네요. 그런데 발음이 약간 샐 정도로 하관을 어떻게 했나 보네,0,2024-09-08T15:10:02Z
@user-ym7df9qo2g,이 누군지 모를 여자는 참 말이 많구나...,1,2024-09-08T02:39:39Z
@괜찮아-p1g,코붕이가 되었노,0,2024-09-07T14:17:04Z
@aroma03030,얼굴이 완전 바뀌어서 동명이인인줄    병원대단하네,0,2024-09-07T13:07:27Z
@user-si9hz8up1i,초심을 잊지말고 겸손하게 사세요.,1,2024-09-06T11:15:56Z
@sunnypey6124,왜 고쳤어?<br>이제 옥주현인줄<br>아무도 몰라보겠네,1,2024-09-06T09:05:58Z
@user-vw2ee5vs5y,옥주현이 아닌데??<br>너무 몰라보게 고쳤다,2,2024-09-06T08:22:51Z
@user-og4kg4sx1z,와..딴사람인줄..아무리  뚫어지게봐도  옥주현  아닌듯..왜  저렇게까지.예전이  훨씬  예뻣는데..,2,2024-09-04T07:09:59Z
@겨울의숲,어머나 저분이 옥주현씨라구요? 기존에 옥주현씨가 이쁘고 좋았는데~변한얼굴 옥주현씨보니 낮설고 부자현스럽네요.<br>어쩌다 예뻣던 얼굴이 저렇게 변했는지 아프네요,3,2024-09-03T07:57:31Z
@벙개행수,엥?,1,2024-09-03T07:27:35Z
@해피뉴-h7d,ㅠㅠ언니 성형왜했어요...레베카ㅜ너무좋아했는데 살빼고 자기관리해서 너무좋던데 갑질논란있었지만 누구나 실수하고 용서구하면 되니까...근데 넘슬퍼요... 추억을 함께한얼굴이 아예변해서 ㅠㅠ,1,2024-09-02T13:56:35Z
@user-dr2wl5xn3i,화살코가. 되었네. 욕심도 적당히 부려야함.,2,2024-09-02T08:52:05Z
@user-nk1es9yw4p,첩이랑   치하다는  옥주현?,4,2024-09-01T21:10:00Z
@KoKo-gv4et,차마 못 보겠다..,3,2024-08-31T22:31:48Z
@user-fy6wv2br2f,고치다 멈춰야 되는데 참.. 얼굴 어쩔,3,2024-08-31T04:45:57Z
@user-tq8vw2jw3o,볼뼈를 두드려 깨서 가라앉혔나? 볼이 침몰하니 순해 보이면서 인상이 싹 달라졌네,3,2024-08-30T19:58:09Z
@user-en7vz7vk1y,얼굴이 생기가 없어지고<br>울상이 되어 버렸고<br>눈도 초롱초롱이 아닌 흐리멍텅한?.?  눈빛도<br>바뀐느낌이요,3,2024-08-30T15:10:18Z
@Mason-2012,옥주현 얼굴은 어디로???? 😮,3,2024-08-29T13:14:49Z
@tv-fh7fo,실력은 인정하나...몰게따 인성은..,0,2024-08-29T02:44:00Z
@hellocosmetics,옥댄 진짜 노래 최고에요!,0,2024-08-28T13:10:18Z
@user-uw3sg3tv2u,못알아보겠어요. 그만하세요.,2,2024-08-27T15:48:05Z
@user-js1rg4cv9p,누규???????,1,2024-08-27T11:06:58Z
@user-kb4qu5ix5u,옥주현이라고요??예전 얼굴이 하나도 없네요..못알아봤어요ㅠ<br>목소리도 아닌데ㅠㅠ,2,2024-08-27T07:33:24Z
@harmony_haven-l2d,"정말 대단한 사람들.... 진짜 이렇게 악플 달아놓고 다들 자기가 악플 썼는지 기억도 못하겠지? 그게 상대방을 상처준다는 생각도 못하고? 이래놓고 길거리를 잘 돌아다니고 멀쩡한 척 할걸 생각하니 진심 소름... 대단하다. 진짜 ㅎㅎ 그놈의 얼굴,얼굴... 왜 거울을 안보지? 자기 얼굴은 완벽한건가? 누구의 얼굴을 지적한다는건 그만큼 자기 얼굴도 별로니까 그거에 혈안되어 있는거겠지...",3,2024-08-27T05:46:12Z
@prince73.,이분이 옥주현씨라고요? 완전 다른분인데요..,1,2024-08-26T10:19:13Z
@해피니스-o6g,자신에대햐 설명이 장황할수록 남의식을 마니하는 사람일수록 공황장애가 올수있다,2,2024-08-25T17:34:07Z
@햇햇햇햇-i3c,진짜 발음이 왜 세지?? 안그랬는데,4,2024-08-25T14:30:25Z
