Author,Comment,Likes,Published At
@fliquang,처음 위너를 좋아하고 모든 멤버들을 사랑했지만 유달시리 첫 인상과다르게 최애가 되어버린 이승훈..무대 위의 모습보고 도도한 친구일줄만 알았는데 센스있는 재치나 말들속에 따뜻한 마음들을 정말 많이 보여줬어서 그걸 아는 팬들은 아마 오랫동안 팬 일수밖에없음 나처럼ㅎ💙,2,2024-07-03T16:43:59Z
@eoropacu,위너 팬도 아니고 잘 안보지만 역시 이승훈이다,1,2023-09-06T18:23:36Z
@user-ny2th6lc5g,그래서 난 이승훈을 사랑해❤❤❤,1,2023-08-12T08:51:42Z
@floridasun312,이승훈 게이인거 너무 티남... 덱스한테 안기는거보고 흠칫함 말투도 은근 게이특유의 끼순이임,0,2023-07-13T06:49:09Z
@user-fk8cq3cr9d,"<a href=""https://www.youtube.com/watch?v=eZakHsU0Y1s&amp;t=208"">3:28</a> 1번",0,2023-04-27T08:30:53Z
@user-b7tj97ki9v,위너는 왜 활동 안하지?,0,2023-02-23T17:13:44Z
@user-xy8zl2vu6z,위너 다 좋은 애들이지만 이승훈은 멘탈이 젤 건강한 멤버 같음. 멤버들 혹시라도 흔들릴 때 정신차려! 해줄 수 있을 것 같아서 맘이 놓임.,8,2022-08-01T15:39:21Z
@emilyc3131,이승훈 나중에 자기 회사 차려도 될 듯. 너무 멋짐.,23,2022-07-10T04:46:23Z
@saerounG,역시 실세리 ㅎㅎㅎ,3,2022-06-05T16:33:16Z
@goood9334,"<a href=""https://www.youtube.com/watch?v=eZakHsU0Y1s&amp;t=20"">00:20</a> 승윤 진우 엠비티아이 반대로 써진건가? 강승윤이 INFJ로 유명한데",0,2022-05-12T07:05:56Z
@user-hp3em2yb7n,하나님께 마음 감정을 토해내고 기쁨 감사 샬롬 성령충만,3,2022-05-01T06:37:12Z
@댓글수사본부대공수사,라디오 듣는 것 같습니다. 좋은 하루 되세요.,1,2022-04-27T23:16:58Z
@댓글수사본부대공수사,아 선생님 렉이 걸리는건 참아야하죠?^^,0,2022-04-27T23:16:35Z
@무소유-r2b,위너 좋아짐,7,2022-04-17T19:44:10Z
@user-km8un8lu6s,이승훈 인프피라고...? 영상 설명은 TJ인데 현실팩폭러&amp;성취지향 🤔,0,2022-04-11T18:13:16Z
@iffahnursabrina5851,Eng sub please!!!!!,1,2022-04-07T14:16:02Z
@gc5ks7bd2bbup,이분 너무좋음 재밌으면서 실력자 포스 줄줄 <br>시원시원한 성격인듯요 완전호감형 요즘 빠져들고있어요,52,2022-04-06T09:52:16Z
@mymymy1446,오은영박사님 말투가 김태리 말투랑 엄청 비슷 ㅋㅋㅋ 성취!지향적이닭! 공격성이 있당ㄱ!,0,2022-04-06T08:02:56Z
@advrp80,또한명은 누구?,0,2022-04-05T22:07:03Z
@user-ej8fe7sk8h,그래서 다른 한명은 누구임?,0,2022-04-03T15:33:05Z
