Author,Comment,Likes,Published At
@user-ud1hc2td2t,그래서 결혼 하셨는데 애기는 언제 낳으실거에요? ㅋ,0,2024-09-11T12:51:40Z
@우쥬마인드랩,저랑 너무 똑같아서 놀랐어요. 저도 다음에 밥 한끼 하자는 말도 지키지 못할거면 아예  꺼내지 말자는 주의거든요. 반대로 남들이 밥 한 번 먹자는 말을 하면 기다리구요. 지나가는 말에도 상처를 잘 받지만 겉으로는 전혀 티를 안내서 남들은 엄~청 쿨한 성격인 줄 알아요. 부모님조차두요. 그런데 이런 생각이 지나치다는 박사님 말씀을 들으니까 마음이 한결 편해졌어요. 마음을 좀 내려놓게 되네요. 제가 누군가에게 상처준 건 아닐까를 더 신경쓰면서 살았거든요 :),0,2024-09-11T04:33:15Z
@happydolphins,저도 나이들수록 사람 만나는 게 지치고 싫어지더라구요. 참 생각없이 말하는 사람도 참 많다고 느끼구요. 그나마 남 생각 좀 하는 사람은 결혼이니 애 생각 없다하면 그렇냐 하고 마는데 자기 세상에만 갇혀사는 특히 중년의 아줌마들 결혼을 왜 안하냐 애가 안 생기냐 나라에서 돈 주는데 왜 안 낳냐 이딴 소리 함 ㅋㅋㅋ 아주 가까운 가족이면 차라리 할말 하지만 평소 도움 하나 안되는 애매한 친인척이나 지인들이 그러는 경우가 대부분이라 뭐라 할 수도 없어서 그저 쓴웃음만.. 진짜 멘탈 강해야만 살아남는 우리나라😂,0,2024-09-10T06:53:37Z
@Your_face_.,왜 이놈의 나라는 인사를 안녕?이아니라 밥먹었어? 아이소식있어? 이렇게 돌려말하는거야..,1,2024-09-09T19:42:37Z
@haniel.,정직한게 잘못이구나..,0,2024-09-07T05:08:37Z
@oozzzz1,나이에안맞고<br>참ㅋ <br>애함낳아보셈<br>아이고참나 <br>낳지마셈,0,2024-09-06T18:13:29Z
@장윤정-o9k,저랑 같은 사람이 있으셨네요. 저도 그렇거든요. ㅠ 저도 카드가 별로 없는 사람ㅠㅠ,0,2024-09-06T17:18:30Z
@user-dx3or8gr9f,건강해지면서 많은 불편한 점이 사라지나 싶습니다. 체력이 인내심과 밀접한가 생각이 들어요.,0,2024-09-03T23:48:58Z
@Rinpndip,소율님은 경계선이 많이 약하신 것 같아요 <br>마음도 여리시고ㅠㅠ 제 과거 모습이 보는 것 같아 맘 아프네요 얼마나 상처가 많은지 짐작이 되어서요ㅠㅠ <br><br>강해지셔야 됩니다. 꼭 내가 내 편이 되어주세요. <br>무례한 사람들에게 내 여린 마음 속에 들어외 생채기 내라고 내어주지 말고 뭐래 꺼져! 울타리 밖으로 내보낼 수 있는 용기를 스스로 불어넣어주셔야 될 것 같습니다.,2,2024-09-02T17:26:03Z
@리나인버스,거절을 잘못하나보네 .. ㄷㄷ,1,2024-09-01T16:01:45Z
@kkang60264,너무 공감... 통용어라고는 하지만 나만 진심이었던 거냐고,0,2024-08-29T14:26:04Z
@lim792,나다............,0,2024-08-28T15:12:25Z
@hahiri,융통성이 없다(&#39;밥먹었어?&#39;와 같은 사회적인 언어에 잘 대처하기 못한다) &gt; 지나치게 정직하다 &gt; 대처를 하는 방법이 정직함 밖에 없다,0,2024-08-28T12:10:43Z
@moongomdal,"남의 집안이 애를 낳던, 말던. <br>뭔 상관! <br>즈그 집이나 알아서 잘 살 것이지. <br>남의 집 사정 알지도 못 하면서, 참견 하는 건. 선 넘는 거다. <br>아니, 사정을 아는 수준이라 하더라도, 개인 간의 프라이버시  라는 게 있는데, 서로 알건? 모르건? 넘지말아야 할 선! 이란 건 있는 거다. <br>우리 나라는 그런 걸 늘 정으로 포장 하는, 지나친 악ㆍ관습이 있는거고, 그걸 일반화 해서, 맘 여린 사람들을 피해자로 내몬다. <br>그전에 먼저 너의 말이 무례하지 않았는지 돌아볼 필요가 있지만, 그렇게 할 수 있는 사람은 많지 않다. <br>여전히, 그리고 아주 오래전부터. 우리나라는 <br>피해자 편인 모든 법. 그것을 종용, 그런식으로 흘러 가게 유도하는 방송계 들의 르포 방향. 그것만 놓고 봐도 알 수 있잖아. <br>다른 강대국 들은, 예컨대. 미국 이미 그 단계를 지났고, 지금은 그들 스스로의 시민의식이 ㅍㅣ해자 친화적으로 조금씩 바뀌는 추세라서 상대적으로 비교되어 보이는 것이다. <br>이 상황에서 약자 가 택할 수 있는 건, 형편이 된다면 ㆍㆍ <br>이민이 있겠고, 그렇지 <br>않다면  ㆍㆍ이미 죽었다 생각 후 순응해 살거나, 못 살아서 진짜 죽는것 뿐이다. <br>이 나라는, 지금 흐름 대로가 계속 되는 이상은 미래가  어둡지않은가. <br>그것은 누구의 탓이 아닌. <br>이 나라를 이루고 있는 모두의 책임이라고 생각한다. <br>모두가 바꾸려는, 그러한 물결이 모두에게 퍼져나가고, 파도의 방향이 바뀌지 않는 이상. 이나라는 계속 이모양일테니.",2,2024-08-28T00:17:45Z
@user-uu4fv8ud9y,괜한 오지랖 부리는 문화 좀 없어졌음 좋겠다,0,2024-08-25T21:56:16Z
@user-wu6wj3xx2s,민감하다고 그러는데 기분나쁜걸 어뜩하라고 그러는겨,5,2024-08-19T10:11:01Z
@user-dq8bf7bw6r,예민하다?로 자신을 합리화하면 평생 예민함을 못 고침.. <br>이미 자신을 예민한 사람으로 규정짓고 있기 때문에 예민함을 못 고침.. 상처 받더라도 깨져보고 힘듦을 겪어보고 다양한 상황에서 실제로 자신에게 피해를 주는게 맞는지? 왜 예민하게 생각하지? 라고 자기자신한테도 반문해봐야됨..,1,2024-08-18T08:39:29Z
