Author,Comment,Likes,Published At
@user-oj9qo6sn1c,인터넷 2년만에 해본다.... 한문철이랑 오은영 이사람은 뭐하는 사람인데 왤케 빨아주냐...ㅈㄴ 영상들 아이들 대접을 하네..애들아..저거..진짜의사변호사 떨어진 놈들이 아마추어에서 사업하는거야...오은영 박사? 저게 박사냐...ㅅㅂㅋㅋ 진짜는 가족들의 사랑으로 헤쳐나가는건데 계속 영상 쳐만들아서 출산율 낮게 하네,0,2024-09-05T18:28:56Z
@saoirsedoyle134,since it’s been a year I’m guessing there will be no eng sub?,0,2024-08-29T20:47:04Z
@user-lc5fl4jh3s,츄가 아프게 먹지 않고 행벅하게 먹으며 행복했으면 좋겠어.꽃길만 걷자 츄🫶,0,2024-08-27T16:42:08Z
@user-cj2ft8db9s,저렇게 폭식하고 먹토하는애들은 일찍 죽겠지?,1,2024-08-12T01:13:10Z
@user-ns4mt5sn6t,모두가 화이팅하면좋겠네요 ㅎ,0,2024-07-14T08:32:41Z
@april_2957,츄야 힘내요🥺🩷🩷,0,2024-06-21T16:23:15Z
@Donami92,이게 자해였어? 나는 맨날 그러는데ㅜㅜ 줄여야겠다,2,2024-06-17T06:45:51Z
@왈라비-b7t,대답...대답,0,2024-06-13T09:48:10Z
@djsismfmfndj4915,츄님 저도 그랬어요 폭식증인줄도 모르고 먹고 체하고 새벽에 일어나서 토하고 저는 술도 같이 많이 먹어서 알코올 중독 초기까지 갔었어요ㅠㅠㅠ 다이어트 약도 먹어보고 다 해봤는데 그냥 제가 외롭고 허전한걸 배가 고픈거라고 착각하고 먹고나면 나를 채워주는거 같고 외로움을 채울곳이 없어서 그런거 같더라구요.. 저도 사실 아직 방법을 못찾았지만 내가 외로움을 느끼거나 공허할때 할수있는<br>다른 것도 찾아봐야 할거같아요 저도 계속 찾아보는 중입니다… 츄님 항상 응원해요~~ 건강하게 오래 봅시다!!!,5,2024-06-08T04:43:22Z
@user-qb5kc7kp8o,중학생때부터 날 웃게한 츄ㅠ 힘들지마 행복해 인간 비타민 츄ㅠㅠㅠ,0,2024-05-20T12:10:18Z
@user-qw1ig6cx1f,스트레스가 어디서 오는지 조차도 모르게 됐다면 어떡하죠<br>그냥 시도때도 없이 눈물이 나고 무력해지고 우울감이 드는 생활을 계속 해오니 원인을 찾는 것 조차 모르겠으면 어떡해야 하나요,1,2024-05-10T10:12:17Z
@SOAGITUBE,예전 제 모습과 비슷해서 순간 놀랬네요...,1,2024-05-09T22:10:40Z
@user-ct4jw1in5k,먹방 보면서 대리만족 해소 느끼는 사람 많을 거라고 생각한다..ㅠㅠ,0,2024-05-09T02:24:40Z
@wpoijwelifongewqth2775,돈이 정말로 중요한거 <br>일한만큼 돈을 못받으니 사람이 아픈겨,1,2024-04-30T06:22:49Z
@user-ig6js6nv1h,지금 나 보는거같다..왤케 눈물나고 힘들지<br>먹지도 못하는 매운거먹고 배불러도 꾸역꾸역먹고 토하고 위염걸리고 응급실가고 반복..그리고 살쪄서 살찐게 스트레스 받아서 다이어트약 처방받고 ..,10,2024-04-02T14:55:26Z
@garden_0-d2y,지금 보니까 츄 앞머리 누가 짤랐어…? 일자로 안자르고 완전 삐뚤빼뚤…,5,2024-03-11T18:21:12Z
@user-sf9mq9pr6c,먹토 하다보면 하루 루틴되고..<br>그 먹는양이 점점 커지면서 내면의 공허함<br>하루의 모든 스트레스를 꾸역꾸역 먹고 토해내는 정말 벗어나올수 없는 굴레라 생각해요.. 저는 하루도 쉬지않고 토하는데 언제부턴가 음식뿐만아니라 술까지 곁들다가 어느순간 술까지 먹어야 합이 맞춰지는 느낌이며 그래야 만족하며 토합니다.. 정말 겉모습만 멀쩡하지 망가진 내장과 어느순간 이렇게 폭팔하듯 토해내야 하는 몹쓸 버릇 정말 벗어나고 싶은데 이 경험의 기억을 몰라야지만 벗어날거같이 어렵네요 여러분은 먹토하지마세요.,2,2024-03-11T16:50:39Z
@시바견-w1o,와 진짜 전부 다 내 얘기다.. 많은 도움을 받고 갑니다,0,2024-03-09T15:38:37Z
@kyh4585,폭식증이 조온나 힘들긴 해,3,2024-03-01T09:47:43Z
@user-yq7wn3oo7i,츄 울지마요😢❤,1,2024-02-25T14:24:08Z
@Hoegaarden_Beer,부족한 도파민을 채우려고 폭식이라는 자해적인 방법으로 해결했구나..<br><br>연예인하면서 심적으로 많이 힘든 일들이 많았나보네요;;,1,2024-02-22T23:41:52Z
@hahaoh8970,오은영 그걸 모르냐고 ㅋㅋㅋㅋ 안되서 상담받는거지 ㅋㅋㅋ 이런 방식 정신과 치료면 난 절대 안받음 ㅋㅋ,3,2024-02-16T13:10:21Z
@hahaoh8970,오은영은 왜 자꾸 츄를 탓할까 방송가네 상담가가 아니라 .. 나라면 .. 돈내고 안받아..,1,2024-02-16T13:07:54Z
@user-bv1ys6um6d,츄 귀여워 나개싸가지없는데너귀엽다고,0,2024-02-13T12:58:09Z
@mylittlerandy,츄가 고생한만큼  소속사 그걸 알아주고 또  개선되어야 할점이 많은거 같다....,0,2024-02-08T19:52:38Z
@user-nd8rn2ki8r,😮😮😮😮😮😮😮,0,2024-02-05T14:22:09Z
@christmassongs9457,나는 스트레스 받아서 머리 다 빠져도  츄 같은 인생 살고 싶다. 돈 없어서 힘든 인생보다 스트레스 많이 받지만 돈 많은 그런 삶이 좋다고 본다,1,2024-02-03T12:13:04Z
@drowningcsw3606,매운맛은 미각이 아니라 통각이니깐....자해 라고 할수 있다고 보는게 맞긴함<br><br>힘들때 매운음식을 먹는 습관이 생기면서 뇌에서 매운음식을 통한 통증을 필요로 할수도?,8,2024-02-01T01:43:53Z
@user-dt3ih5sm5v,"안 보고 들어도 보고, 한자와 뜻을 보면서 또 다시 보니 좋네요. 다른 업무하면서 듣기 좋네요. 막상 외웠다고 생각해도 다시 이렇게 보면, 탄식을,,, 좋은 영상 감사합니다! 열심히 공부해야겠어요.",0,2024-01-30T14:45:37Z
@binanceking3691,인생을 산다는게 어렵지않은거 없고 다 강해지는여정이지,0,2024-01-28T06:53:14Z
@user-iq5zf5ei2m,민정경찰 🎉,1,2024-01-26T05:34:55Z
@Il1i1l-n9s,진짜 문제 있으면 개인적으로 정신병원을 가야지 ㅋㅋ,1,2024-01-23T07:08:43Z
@ybkim-q7u,대답,0,2024-01-23T01:07:47Z
@user-qw1uv9qf8b,🤬🤬🤬🤬🤬🤬🤬,0,2024-01-22T07:40:54Z
@user-sn4lh5iu5s,특징이라면 이상한 소속사?,0,2024-01-21T17:46:33Z
@무의미,"우걱우걱 목구멍으로 음식을 밀어냈을, 또 게워냈을 츄를 생각하면 가슴이 찢어진다",4,2024-01-12T05:04:54Z
@saramne-mu5rf,"와 나도 그렇고 같이 입시하고 있는 내 친구들도 이렇게 효율성 따져가며 스트레스 해소한다고 폭식하고,,,,내 주변 사람들만 이런지는 모르겠지만 요즘 고등학생들 보면 폭식 증독인 사람들 많음,,,",5,2024-01-09T12:05:19Z
@다고쳐펠릭스,팬들이 가족들이 얼마나 가슴찢어질까 진짜 나랑 관련된사람 아니라서 다행이다,2,2024-01-01T20:41:45Z
