Author,Comment,Likes,Published At
@user-mc7cy4ee3r,술먹고 돈쓸때는 막쓰면서 잔돈하나신경쓰는척 너무보기불편하다,0,2024-09-13T02:59:27Z
@시인나라,사람안되겠네 ㅋㅋ,0,2024-09-12T22:22:57Z
@user-ik5uv1ei9l,솔직히 안타깝기도하고 답답하다,0,2024-09-12T18:41:57Z
@user-td7iw2fh7w,"인간이 저나이에 저렇게까지 무책임하고 무지할수있다는. 경각심을 깨우처준다.,모두열심히 살자",1,2024-09-12T15:45:43Z
@user-bb8vc9kt5u,나이먹고 진짜 왜저래사냐ㅉㅉ,1,2024-09-12T14:30:33Z
@머고-r8m,진짜 생활력 없는듯,1,2024-09-12T13:43:27Z
@정현우-c3x,ㅋㅋ힘들다면서 차는 좋은차타고다니네ㅋ,0,2024-09-12T13:20:14Z
@user-bd5sr5yc1q,막일  해라 ~열심히   술만먹지 말고야,1,2024-09-12T12:14:31Z
@어비-x1z,방송보니 답답해지네요. ㅋ 재용씨 너무 편하게 사실려고만 하지마시고 생계형으로 무지하게 노력 해야할것 같습니다.,2,2024-09-12T09:06:44Z
@sunbbang8239,사람 안변한다...,2,2024-09-12T04:37:54Z
@Hsmglove85,이분은 능력에 비해 잘된편 아닌가?,1,2024-09-12T03:55:59Z
@user-bw2yx4zu1v,근데 엄청 벌지 않았나요? <br>엄청 유명한 그룹이었잖아요 <br>그돈은 다 어디간거죠?,0,2024-09-12T02:21:13Z
@user-dp1qi2qp5t,세금도 안내는 인간을 도와주겠다고 방송에 내보내는 클라스 ㅎ,2,2024-09-12T01:24:17Z
@user-bc4ip2tr1s,왜저래 짜증남,2,2024-09-11T22:23:51Z
@적토마상관운장,오징어게임에 참가해야할듯,0,2024-09-11T15:39:10Z
@user-cg5yi7rz2r,진짜 주말도 사치고 <br>잠4시간 이상도<br> 사치일 정도로<br>눈코뜰새 없이 바쁘게 <br>열심히 살거라..<br>굳이 식단들 안하고<br>운동들 같은거 안해도 <br>살이 자동으로 순식간에  <br>빠질 수준으로~<br>다른 잡생각들이 안날 수준으로..<br><br>당장 몸 상태만 봐도<br>&#39; 나는 무기력하고 천하 태평스럽고 게으르고 나태한 사람이에요 &#39;<br>하는 형상이구나..🐷🐖🐷🐖,2,2024-09-11T15:23:12Z
@kns377,압류된 통장에 얼마 있는지도 모른다는게 참 ㅡㅡ,1,2024-09-11T14:10:53Z
@Mattew86-u6q,딸보면 노가다라도 달려가서 일하고싶지 않냐....,1,2024-09-11T13:19:25Z
@user-sz8pb1ds5t,예전같으면 1년도 안되서 버는 돈이였을껀데..<br>이제라도 열심히 해서 다시 시작하세요,1,2024-09-11T13:09:47Z
