Author,Comment,Likes,Published At
@user-qx6jc4ep4v,ㅎㅎㅎ눈치만있음 되는데😂😂❤❤❤,0,2024-09-13T05:19:03Z
@mijukim3470,누가 꽃이라는거에요??,1,2024-09-13T03:44:06Z
@jungjang8709,아기들. 잘키우는것안큼.  소중한것은 없다.,4,2024-09-13T00:47:36Z
@jungjang8709,독박육아도. 내인생의. 즐거움이다.  아가들 키우는것도.  커리어다.,4,2024-09-13T00:46:42Z
@salfeoma5515,베짱이 남편ㅋㅋ,2,2024-09-13T00:44:45Z
@오목조목,본인 인생 포기하고 오롯이  독박육아에 쓰시네요 하 ᆢᆢ,4,2024-09-13T00:19:16Z
@MK-hs1kx,커리어 포기하고 결론은 독박육아 아깝네요,9,2024-09-13T00:17:54Z
@auinsydney,기다렸어요 ~신현준님 가족모두 ❤,1,2024-09-12T23:20:53Z
@user-ie7lr3tq1w,와이프분이 평일에 힘드시겠다.😅<br>신현준씨는 주말에만 보면 상대적으로 좀 더 편하시겠당ㅋㅋ<br>아내분이 힘드셔서 울 정도면 신현준씨가 조금 더 신경을 쓰셔야 될듯해여;;;;<br>아내분이 조금 완벽주의적인 성격이셔서 힘드실듯하네여😅,4,2024-09-12T23:13:14Z
@user-tw3sv1ws7v,하.... 배우니까 관리하는건 이해간다마는... 마누라입장에선 피곤하다.. 😅,3,2024-09-12T22:26:21Z
