Author,Comment,Likes,Published At
@희조이,ㅠㅠㅠ😢,0,2024-09-13T05:28:18Z
@jungminclarapark8961,현준이는 자꾸 와이프를 짜증나게 하네. 내 남편처럼,0,2024-09-13T05:22:55Z
@rara_atelier,아니 근데 와이프분도 너무 여유가 없으시네요....답답,2,2024-09-13T05:16:27Z
@foxlove8775,"딸 2명 둔 엄마다.. 애들이 결혼 안한다 하면,그래도 사랑도 받아보고,주기도 했으면 해서 하라 했는데.. 저렇게 고생하고 외로울거면.... 하지마라 하고싶네 ㅠㅠ",0,2024-09-13T05:14:12Z
@user-gz4xz1qi6l,신현준씨보면 우리 남편이랑 똑같아서 한숨나오네요ㅠ.ㅠㅈ스트레스 받다가 갑상선저하증 와서 체력두 떨어지는데 지어짜내면서 하려니~따로 살고싶습다.,0,2024-09-13T05:13:57Z
@supakool8282-r8f,정원사가 한달에 한번 오신다는데.. 정원을 가꾸는 기준이 두분이 다르신것같네요 저는 정원사가 오시면 조금참고 저도 정원사님께 조금 의지할것같습니다 😅,1,2024-09-13T05:13:05Z
@NAMINARASTORY,집집마다 남편이 금쪽이임,0,2024-09-13T05:06:26Z
@hana-gomo,주중은 마누라가 다 애들돌본다며 주말은 애 아빠한테 맡기고 쉬러 1박2일 나가버려요.그래야 남편도 알지 자기가 배려없이 산다는걸 자기 좋은것만하고 있잖아요.,0,2024-09-13T05:00:43Z
@K수지니,짜증난다,0,2024-09-13T04:59:17Z
@user-mp5bk9zh4b,이솝우화가 생각나네요 베짱이와 개미,0,2024-09-13T04:45:55Z
@user-by9so8jq4s,골때린다 어휴,0,2024-09-13T04:40:22Z
@user-pn4zv4dt7c,안도와주면서 애들이랑 안놀아주는 남편도 많아요<br>본인 마음에 안차더라도  혼자 다하려고 하지 마세요<br>좀 더러우면 어때요 <br>잔디 좀 무성하면 어때요<br>사는데 크게 지장없는건 좀  내려두셔도 괜찮아요<br>남편분도 그런 아내가 다 이해안되겠지만 사람사이에 이해만으로 안되는거 있잖아요 그냥 받아들여야하는 아내의 성격이니 맞춰주고 배려해주세요<br>사실 아빠는 엄마를 잘 챙기면 되요 그 과정에서 아이들도 배우고 행복을 느껴요,0,2024-09-13T04:31:21Z
@user-qz1sc4di7t,세명이나 낳았어요ㅠㅠㅠㅠ이모님이라도 쓰시길…,1,2024-09-13T04:28:59Z
@user-tp4bk6qw2u,"아내분한테 잘하세요,,,,너무 힘들어 보이시네요,,,",1,2024-09-13T04:25:02Z
@ceciliajeong,아이고 ....왜 결혼은 해서 ㅋㅋㅋ;;;;,0,2024-09-13T04:13:10Z
@user-ri9xv8dm8p,설정이니 왈가왈부들 하지 마셈,3,2024-09-13T04:11:47Z
@빈스-i4r,여름잔디는 돌아서면 자라는데 몇달에 관리사온다고 안한다는게 말이되나. 그냥잔디치우고 자갈을 깔던가.,0,2024-09-13T04:10:00Z
@user-oi5pk5bq4p,저러다여자가이혼소리나오겠다.부인생각은너무안하네요.내가왜화가나지,0,2024-09-13T04:07:06Z
@Leejeeyoung34,아내를도와줘야지 뭐해? 치킨먹을때니? 반성좀해 그러다 큰코다쳐 강아지들 너무귀여워 ❤,0,2024-09-13T04:05:53Z
@sandysung2486,"다 좋은데~부인이 너무 원칙주의자에 완벽주의자로 보여요. 그러다 지쳐요. 인생, 공식대로만 사는 건 아니거든요. 예외도 있을 수 있고, 웃으며 살아야지요.",1,2024-09-13T04:02:32Z
@user-zv7bs2pv4q,아침에 빵 먹는거 말리면서 쌈밥 먹일려고 하셨는데 .. 치킨은 건강한 음식인가봐요 ㅋㅋㅋ ㅋㅋㅋ,0,2024-09-13T04:00:08Z
@Julian-zl1eu,와이프 넘 멋있다❤,1,2024-09-13T03:59:51Z
@연이-o6e,은근 못됐네.마누라 이겨서머하지?참눈치기ㅣ없는건지,0,2024-09-13T03:59:24Z
@user-ls5nv4jo7x,와 나 댓글 원래 안쓰는데... 박사과정 아내가 다 포기하고 와서 집안일 회사일 아이일 남편은 얼굴관리에 베짱이 애둘만 있어도 회사일까지 녹초가 되는 날 보니 반성하게 되네,0,2024-09-13T03:58:40Z
@debbibae8480,연기와 실제는 다르다. 정말 실망이다.,0,2024-09-13T03:58:13Z
@user-bg3st4pd9h,아빠가 가정적이지 않아도 돈 걱정없이 아이들 교육시킬수 있는게 부럽네요.,5,2024-09-13T03:52:13Z
@user-vk3ll5uf5w,내 미래같다........하....,0,2024-09-13T03:51:17Z
@윤성휘-d4m,남편을 편하게 하지 마시고 자꾸 시키세요 여자가 몸이 망가져요 자기 몸두 생각 해가며 하세요 저도 저리 살다가 골병 다 들엇서요 아내분 부듸 힘내세요,1,2024-09-13T03:50:16Z
@강희정-o5c,그리더운데<br>팔을가려야지 ㅎ<br>신랑이 촬영하고 주말오면<br>평일에 애들학교가고<br>해노면 더좋을듯요<br>와이프도 직장다니면<br>어쩔수없이  저리 하겠지요,0,2024-09-13T03:47:15Z
@jmoftheworld,저는 지나치게 공손한 편인데 어렇게 되네요. “나도 야외에서 촬영을 한다”고…? 저기 서 있는 첼로 보면서 그러고 싶냐? 누구는 자기 거 포기하고 고생하는데… 다 잃어봐야 정신을 차리지… 잔디깍기라도 좀 좋은 John Deere riding mower 사라.,0,2024-09-13T03:46:00Z
@user-ym1jz4dp7s,시현준집,0,2024-09-13T03:45:37Z
