Author,Comment,Likes,Published At
@천재일우-z5u,도현아 ㅠㅠ넘귀엽당,0,2024-09-07T18:07:46Z
@jslee3837,여기 나오는 아빠들은 어쩜 이렇게 다 자상하냐 세상 보는사람이 행복해지네  바른 인성과  예의있는 아이로  커라~,1,2024-09-07T01:16:01Z
@user-wv5yh2zh2r,고3 우리딸도 어렷을땐 저랬는데 ....,0,2024-09-01T13:04:04Z
@user-yk9dm9ix1d,할 일이 많은 안재욱씨!! 죽음의 고비를 넘기셨으니 생이 더 값지겠지요 신이 그때 분명 살리신 이유가 있을 겁니다 건강 챙기며 평범한 일상을 오래도록 남기시길요,1,2024-08-27T12:52:26Z
@user-vl3ui2jz2n,애기들이 엄마 닮았어요,1,2024-08-24T12:17:09Z
@hyunjookim6521,자전거가 저렇게 힘든거였나요??ㅎㅎㅎ,0,2024-08-22T22:59:47Z
@lkjlllllll,97년때 안재욱의 해였음,0,2024-08-16T03:13:40Z
@user-gt7zi1cc8o,아내분 목소리도 그렇고 엄청 품위있으시당,1,2024-08-10T03:59:31Z
@user-eh7xi9cv9u,안재욱님 지치만 하죠. 요즘 누가 남편분이 아침을 해요 물론 안재욱님 처럼 해주시는 분들도 계시겠지만요 안재욱님 대단하십니다 현주님두 결혼 잘 하신거 같아요 사랑스러운 안재욱님 가정을 소중히 여기신 모습 좋아요 애기들두 사랑스럽 슴니다❤😊,2,2024-08-01T05:46:33Z
@user-eh7xi9cv9u,최현주씨 넘 사랑스러워요 애교가 없다 하시는데 애교가 많으시네요 도현이가 남자애기인데 애교 많더라고요 엄마 영향 이 많이크죠 물론 아빠 엄마 사이좋아서 애들두 영향 받아는거 같아요 아내분이 넘 좋으시네요. 광고 가전제품 광고 하시면 국민들이 다 사실듯 조용조용 나긋나긋 밝은미소 이렇게.,2,2024-07-31T00:48:19Z
@user-bc2ov2lx5d,안재욱님 자신을 보고 있는 모습이 좀 힘들어보여요. 사람 사는 것 모두 비슷합니다. 배우도 연예인도 사람이지요~  힘내십시오<br>너무 힘드시면 전문가의 도움을 받으시면 훨씬 편해지십니다. 비슷한 삶을 살고 있는 펜으로써 응원합니다.,0,2024-07-26T01:09:00Z
@user-qd1oz3hm2w,애들이 눈을 감고있노,0,2024-07-19T21:42:42Z
@painkiller6219,재욱이 형의 아름다운 미소와 현주님 단아한 미소 속에 모든 행복이 담겨있는 느낌입니다. 그나저나 도토리 도현이의 언어능력이 귀여움을 넘어서네요ㅎ 수현이 도현이가 더 성장하게 된다면 얼마나 좋은 가정환경에서 잘 태어나고 잘 자랐는지 감사할 날이 꼭 올 거라고 생각합니다ㅎ 보는내내 미소가 절로 나오네요ㅎ,3,2024-07-17T10:17:34Z
@user-sz8md8xx2g,한때  여자들 휘어잡는  세남자가  동시에  출동했네요,1,2024-07-13T09:20:44Z
@bingoandtoto,사람 중에 부모 되는게 맞는 사람도 있고 아닌 사람도 있는데 안재욱씨는 진짜 천상 아빠 유형?의 인간이네요. ㅎㅎ 결혼하고 가정 이루시는 것에 대해서 삶에서 항상 고대하고 있으셨을듯.,3,2024-07-09T05:10:28Z
@okii-uk8ul,재욱씨 밝고 귀엽고<br>사랑스럽지<br>왜 안 밝다는거야?<br>구라형이 어둡지~😂,3,2024-07-08T13:12:46Z
@okii-uk8ul,재욱씨는 밝음<br>노래도 연기도 잘 하고 <br>귀여운 아빠<br>아가들이랑<br>사랑스러워요~😂,1,2024-07-08T13:07:45Z
@mina-i8m,안재욱님 결혼 잘했네요 아내분이 너무 이쁘고 <br>성격두 좋아보이고 현명해보이십니다,16,2024-07-07T06:13:18Z
@Lovelydudusrh,안재욱 까칠해보인다  김원준이 착해보임,0,2024-06-29T13:27:19Z
@user-yu4pg7cs5m,안재욱씨 아빠로써 되게 다정하시고 가정적이시다~,16,2024-06-27T22:39:08Z
@sungaeleeify,수현이 정말 크게 될 아이인게<br>눈에 보이네요<br>둘째는 너무 귀엽네요<br><br>안재욱님이 결흔해서<br>두 아이의 아버지라니<br>저도 이젠 엄마가 되어있고<br>뭔가 기분이 묘합니다<br><br>행복하세요~,9,2024-06-25T01:56:07Z
@user-ex3jp5oq9v,신성우님은...외로워 보이네요,0,2024-06-19T06:06:38Z
@user-pc2kp7id6x,참 아이들이 사랑스럽네요~~❤,11,2024-06-18T10:06:23Z
@우기명-v1g,안재욱 대박이다 다 잘해 완벽하다,24,2024-06-13T07:59:38Z
@insunseo3994,독일은 패달없는 자전거로 시작하쥬~ 저거 잘 타면 자전거는 보조바퀴 없이 바로가쥬,1,2024-06-12T07:20:53Z
@To5689,김구라는 이런프로 안어울린다 본성에 안맞는거같다,1,2024-06-12T05:23:30Z
@user-ut9ul4rm5p,수현이  손  좀  많이  잡아주세요 ㅠ,0,2024-06-09T16:40:39Z
@레몬Tea,좋은아빠시다 ㅎㅎㅎ안재욱씨 넘섬세하셔 😊,5,2024-06-07T12:03:40Z
@레몬Tea,ㅎㅎ아내분목소리귀여우시고 귀여우심. ~~착해보여요아주,11,2024-06-07T11:07:23Z
@user-rm9rm2mm9t,주차하고있데.ㅋㄷ,1,2024-06-06T19:58:34Z
@user-hv3bb6ys2x,도현이가  아빠 판박이네  완전 안재욱 그림자네😮,3,2024-06-06T03:40:17Z
@민트-c3i,안재욱 표정만봐도 웃겨ㅋㅋ,5,2024-06-04T03:00:51Z
@user-oe5zh4ev5j,안재욱 다 안닮앗네,6,2024-06-03T16:21:25Z
@user-bt2gl5sj2j,저 아이들은 정서적 경제적 얼마나 안정감있고 행복하게 클까.. 행복하게 사세요,41,2024-06-03T08:54:59Z
@edelar5922,안재욱님 가족 너무 보기좋아요,5,2024-06-01T16:05:59Z
@dooly7819,안재욱 씨 밥할때 쌀 옆으로 다 쏟아지네요 ㅋㅋ<br>밥솥보다 작은 양푼이에 씻으면 도움이 될꺼예요~,0,2024-05-31T15:44:56Z
