Author,Comment,Likes,Published At
@아메리카노-y8j,"나도 아이가 셋인데..<br>나도 일하고와서 내가 맨날 밥하고 씻기고,재우고..설거지도 나혼자 하는데..ㅡㅡ <br>설거지할때 애들 봐주는게아니라<br>지혼자 방에서 핸드폰보는데..<br>난 대체 어떤 인간이랑 사는거지? ㅠㅠ",0,2024-09-13T05:42:39Z
@user-ms3ib2qj9z,아내분 황수정씨 닮았다,0,2024-09-13T05:33:37Z
@danaga-dd3ip,딱봐도 연출ㅋ,1,2024-09-13T05:26:24Z
@hee-z5r,아내분도 너무 뭐든지 잘하는게 단점이라면 단점 ㅋ😂<br>적당히 할줄 알아도 신랑앞에선 아픈척하고 못하는척 엄살을 부려야 마눌 귀한줄 알고 남편이 합니다<br>답답하다고 남편이 안해준다고<br>내가 다하다보면 결국 다 내일됨ㅠㅠ<br>저렇게  나이들고 가부장남편들 마인드는 밖에서 돈벌어오니 대접받고 싶어하고<br>집에선 편하고 싶어하는 경향이 다분해서ㅠㅠ,0,2024-09-13T05:21:13Z
@user-gb6uy5xy7n,젖병 뭐임? 하나를 손빨고....뭐하는짓잊....답답하다,0,2024-09-13T05:15:33Z
@user-ps7oz3um9k,피곤하게 산다,0,2024-09-13T05:14:42Z
@user-cw3xi4uz5r,저 아이 몇살인데 우유를 젖병물고 자...?? 대단하다..유치원을 비싸고 좋은데 보낼게 아닌거 같은데?,0,2024-09-13T05:14:26Z
@hannah1688,신현준 모지리네....아내 말을 카메라가 있는데도 저리 안들어..모지리 양반....그러니 매니저한테 고소당허지...,0,2024-09-13T05:08:20Z
@user-uq6jc7yj3o,5일만에 아이들 보니 얼마나 좋겠어. 저 나이대 애들이 가장 이뻐서 하루라도 못보면 보고 싶은 시기인데<br>신현준 마음도 이해해줘야지.<br>너무 편향적. 방송 내용들이.,0,2024-09-13T05:05:11Z
@user-yr5fx6jw3q,육아는 공동으로 <br>부인말 잘듵으면 자다가 떡 나옵니다 <br>부인이 많이 지쳐있습니다 신현준씨 화장도 좋지만 잔디깎는것 전등가는것 애기들 씻기는것 이세가지는 꼭!!해주셔야 됩니다,0,2024-09-13T04:40:20Z
@user-ce5fm8hg3t,와...여기 김범수가 나오네..ㅋㅋ<br>대단한 놈이라고 들었다!!,0,2024-09-13T04:40:00Z
@mung6049,"아이를 우쭈쭈하고 사랑해주는것도 좋지만,1순위로 아내를 사랑하고 같이 협력하는 모습을 보여야 그게 교육이 되는것같습니다",2,2024-09-13T04:35:09Z
@sy-sv1ik,ㅇㅏ침부터 빵 먹는건 반대해요,0,2024-09-13T04:32:22Z
@vidivici4198,하필 신현준이랑 결혼했냐,0,2024-09-13T04:21:20Z
@kwonp6000,뭘 두고와<br>어차피 가지고 가야할거..<br>벌떡벌떡 움직여야지..<br>게을러가지고,0,2024-09-13T04:21:10Z
@연지-t4t,저런남자인지어캐알겠어요..가면쓰고연애했을텐데 결혼하고 본 모습이 나오잖아요.<br>그집이나 우리집이나 거의 비슷하네여.,0,2024-09-13T04:13:31Z
@lightysalty671,신현준씨 본인이 너무 옳다고 여기는걸 내려놓아야 가족이 화목할 것 같습니다..<br>아빠가 아내를 사랑하는 모습을 자녀들이 봐야 진짜 안정감을 느껴요..,1,2024-09-13T04:11:38Z
@연지-t4t,현준씨이혼당하시겠다,0,2024-09-13T04:10:33Z
@user-tx2vk7kq9p,신현준이 잘하는거임.  어릴때 저런 사랑받은 기억이 규율보다 더 좋음.  애들은 엄마랑 있으면 또 엄마규율에 맞춤.  아빠 사랑은 평생의 자신감이다,1,2024-09-13T04:05:07Z
@Leejeeyoung34,현준씨 눈치진짜없다,0,2024-09-13T04:03:25Z
@user-sh5fc2br3q,왜캐 눈치가없냐 애도중요하지만 아내가 더중요한거야 이사람아 과잉보호 하지말구 좀,0,2024-09-13T03:59:18Z
@한국뽑기연구소장,그때 교회 뒷문으로 나갔어야 ^^;;; (농담),0,2024-09-13T03:54:35Z
@punielee429,현준씨 너무 지혜롭지 못하다. 아내 얼굴부터 보세요 안 행복해 보여요~,0,2024-09-13T03:47:24Z
