Author,Comment,Likes,Published At
@gravity_47,&#39;지&#39;가 만들었어?ㅋㅋㅋㅋㅋㅋ 평소어떻게 생각하는지 훤히 보인다.. 심지어 카메라 있는것도 아는데도 저정도면,1,2024-08-27T10:33:34Z
@user-fk7on6ii6u,좌파 연예인 퇴출하고 우파 연예인들 보고싶다,0,2024-08-24T07:10:28Z
@user-ul2ph7hi3o,애 낳고 사는데<br>방송에서 처음 가 본 아들집. .<br>ㅎ  밥은 밖에서 먹더라도 한번은 모셔서 보여 드렸어야 되는거 아닌가???<br><br>수현이 수현이 수현이 수현이<br><br>할머니 생신 몰라서 기겁하는데 바로 아들 구라씨는 엄마 생신도 모르네.<br>그러면서 수현이 수현이 수현이,0,2024-08-23T01:31:16Z
@머카노,어우 집좋다,1,2024-08-21T04:11:56Z
@skessj,반찬가게에서 샀네요ㅋㅋㅋㅋ,2,2024-08-19T13:15:08Z
@user-fy6be5ug6v,반찬 다 사온거다,1,2024-08-18T23:23:51Z
@wp2174,동현이가 참잘컸다 속깊게 ㅡ그리야 군대잘갖다온나❤😂❤😂❤😂,0,2024-08-16T06:30:25Z
@한서윤-y1e,보이지않는 선이  보이는건 사실 ㅠ,0,2024-08-16T02:04:30Z
@user-lg1xs9fv8l,행복하세요!,0,2024-08-13T18:59:07Z
@김성현-v7d,여긴 새엄마가 괜찮네 동현이두 챙겨주고 밥두 맥여주고  저렇게 관심 사랑 받고 그래야 사회생활두 군생활두 잘하지❤❤화이팅,0,2024-08-12T08:37:55Z
@hohoho7078,진짜 동현이는 어쩜 저리 귀여울꼬 ㅠㅠ 구라씨 안닮았어 ㅠㅠ,1,2024-08-11T13:53:40Z
@user-xw2cg5jr1g,동현이 ~  화이팅~♡,0,2024-08-11T13:02:42Z
@user-sl6os9vl8j,"아내,아이는공개안하네",0,2024-08-08T09:01:58Z
@sungsilltv,각자 행복해야지 동현이도 아빠도ᆢ김구라씨 말투는 진짜 별루다ㅋ,0,2024-08-08T02:50:30Z
@333-e4r,관상의 공통성은 진짜 존재하는가보다...<br>김구라 보면 커맨더 지코 생각남ㅋㅋㅋㅋ,0,2024-08-06T13:34:24Z
@user-cf8do4ov4n,ㅎㅎ 김일성  생일이랑 똑같다고 말하는 거  김구라씨 같다 ~~<br>엄마엄마엄마 ~~  <br>며느리 때문에 아들 고생한 거 얼마나 안타까웠을까 ? ㅜ  이제   행복하시길~,1,2024-08-06T08:53:54Z
@user-hi4dv1be9p,걍 쓰레기지<br>기족화하지마라<br>구라씨 <br>이혼한와이프말좀듣고싶다<br>그럼인정<br>왜도박인가<br>빠져빛을지었는지<br>방송이지만<br>저런것들이잘쳐먹고사는개싫타<br>지상열.염경환은좋은데,0,2024-08-04T11:41:32Z
@현정박-c1n,동현아 군대 잘다녀와요~~❤❤❤,0,2024-08-04T10:58:50Z
@현정박-c1n,어릴때 동현이 너무 큐티~~❤❤❤,0,2024-08-04T10:57:32Z
@현정박-c1n,헐머니 너무 귀여우세요~~♡♡♡<br>할머니때문에 봅니다<br>건강하세요~~❤❤❤,1,2024-08-04T10:56:04Z
@Heajin-mn3oi,세상 참좋타<br>능력되니 어린여자랑재혼해서<br>벌써 애낳고,0,2024-08-04T06:47:00Z
@youtoo-ck4rp,남들씹어가면서 돈벌어서 저런애새킈 낳았냐,0,2024-08-03T22:05:28Z
@고희진-u3w,동현이는 진짜 착해요,1,2024-08-03T08:23:48Z
@ditto2400,이분들이 괜찮다 하시면 괜찮은거겠죠<br>멀리 보았을때 아버지가 혼자 적적하신 것 보다<br>곁에 누군가 있어주시는게 자식 입장에서도<br>마음이 놓일거라 생각해요<br>동현씨가 현명하게 일찍이 깨우친 거겠죠,0,2024-08-02T23:01:13Z
@정명교-d8o,부정적인 말하는사람들<br>댁들은 얼마나 잘하고<br>잘사나요<br><br>이혼했다고 평생혼자서<br>꾸질하게 사는것보다 는<br>새가정 꾸리고 사는것이<br>보기 좋으네요<br>동현이 아들도 잘키우고 반듯하게 잘 자랐네요<br>김구라씨 동현엄마 빛<br>도 다 갚아주고 멋져요<br>수연이도 얼마나 예쁠<br>까요 부디 행복하게<br>잘 사시길 바랍니다<br><br>동현군 기특하네요<br>해병대 훈련빡셀텐데<br>건강하게 잘 다녀와라요,1,2024-08-02T10:01:00Z
@user-xl9rr6dc7u,김구라가 가족에게 참 잘하는것 같다 행복해 보인다 진심으로 응원함,1,2024-08-02T09:29:03Z
@hjb6067,울아들과 동갑인 동현군이<br>무사히 군생활 잘 마치길  바랍니다. 너무 빨리 철이 들어<br>맘이 짠합니다. 건강히 잘 다녀와요,0,2024-08-02T09:04:56Z
@user-ud2ie4yt4i,딸바보.자랑은.앤같이.하네.동현이가.안되세.동현아.힘네.,0,2024-08-02T08:29:25Z
@user-gy1rz4sj1l,동현이 진짜 잘컸다..멋있어..ㅠㅠ,1,2024-08-01T17:14:07Z
@user-mb8um5dy4y,그냥 싫다,1,2024-08-01T17:02:50Z
@soungmk,아휴..근디구라님은이상하게 엄마랑찍으면.같은말을수없이반복하는데..좀불안증이잇나?ㅠ볼때마다짜증나네..엄마부를때도기본이몇번.뭘물어봐도같은질문계속반복..답을하셧는데도..좀고쳣으면좋것다..ㅠ,1,2024-08-01T12:51:44Z
@yeshualove4506,❤예수님은 당신을 사랑하십니다,0,2024-08-01T11:10:25Z
@user-yo4rf6ur7m,김구라<br>광우병때. 하던말  기억나지,0,2024-08-01T08:44:12Z
@역쩐인생,나는 김구라씨 엄마엄마 하는데  다시보게 됐어요<br>참 효자고 살갑다<br>대부분 아들들 결혼하면 할말만 하는데. 그러고 재혼이라고 동현이 눈치보고 조심 조심 하면. 동현이가 더불편하고  관계가 더. 불편해질수 있어요 모두가 노력하는 모습. 보기좋아요,0,2024-08-01T00:44:23Z
