Author,Comment,Likes,Published At
@user-dt8yh7mx9z,하.... 진짜 뭐 이딴 프로그램이 있냐??  아버지 노릇도 못했고 양육비는 주지도 않았으면서 아이는 보고싶다고 보여달라는게 사람새끼가 할짓이야??? 정신차리고 몸관리하고 뭐라도 일해서 착실한 모습보이고 양육비 밀린거 다 보내고 그러고 나서 보여달라고 해야지 이건뭐 방송이라고 답도없네,1,2024-09-12T14:14:45Z
@outputman.,쳐먹을거 다쳐먹고...,3,2024-09-12T08:20:31Z
@user-vg1sc9vv4v,거지네 ㅉㅉ,1,2024-09-12T04:51:31Z
@user-oh7tv1gk6d,힘들면살이알아서빠진다,2,2024-09-12T03:04:06Z
@user-cg5yi7rz2r,번아웃과 덤으로 <br>우울증이 의심된다🤔<br><br>삶의 의욕..<br>될대로 되거라<br>뭐 어떻게든 되겠지~<br>같은 모습<br>사람이 배가 불러있는건지<br>뭔가 특별히 믿는 구석이 있는건지<br>삶의 에너지가 없고 ..<br>삶의 절심함도 잘 안보이고 ..<br>그저 안타깝다..<br><br>뭔가 삶의 부스터 같은<br>충격요법이 필요해 보이요🤔,2,2024-09-11T06:33:43Z
@user-cd4cu7qb8q,아니 형님 천하의 빅뱅도 나락가는데<br>하물며 새음반도 안내고 주구장창 행사로만 돈버는 doc가 영원히 돈이 될것 같았나요? 안타깝습니다 그래도 행사 한번하면 2백 3백은 떨어졌지 싶은데 왜 미래 준비 안하셨나요<br>일단 건강부터 챙기십쇼,1,2024-09-11T06:31:38Z
@user-cg5yi7rz2r,목살 봐라..,2,2024-09-11T06:26:07Z
@스완-k5i,"게으르고 편하게 술담배하면서,방송나와도 돈버는세상.<br>뭘볼게 있다고 저런사람을 방송내보내냐. ..",2,2024-09-10T21:48:56Z
@user-bn2bj6pu8x,김원준은 아직도 잘생겼네,1,2024-09-10T21:41:52Z
@leonshim8522,50살 먹은 래퍼에게 투자한다는 말이 무슨말인지 누구 이해하시는분? 투자란게 회수가 되야 투자 아니에요?,2,2024-09-10T18:53:50Z
@user-qy3eo3cc1m,ㄷㅈㄹ  역시 ㅆㄹㄱ 그룹이야,0,2024-09-10T07:26:12Z
@조아따-e4z,돈도없다더니  우리집보다 좋네 ㅋ,0,2024-09-10T05:46:09Z
@Leejeeyoung34,가수할땐 봐줄만햇는데 히~~~~다이어트좀해라<br>뭐알바라도해 그것도아님 <br>부업이라도해라 다른사람<br>들이랑 너무비교되,1,2024-09-10T01:25:29Z
@user-gw9og7zm5w,잉여인간으로 많이 늙었네.,1,2024-09-09T11:50:36Z
@user-mv9xf3nl2h,임신중 살쪄도 52kg휼륭해요.,0,2024-09-09T10:33:51Z
@jackblack-19,다 떠나서 이제 쓸 곳이 없을텐데 소속사는 자원봉사 하는 건가,2,2024-09-09T06:50:24Z
@user-yo8ss5qd8b,어휴 답답하다 몸 관리좀 하지.. 너무 막사네 젊지않은 나이에는 관리해야하,2,2024-09-09T06:03:16Z
@user-nw5rc2yw9x,재용이랑 창렬이는 왜 군대 안간건가요?,2,2024-09-09T03:07:25Z
@jungvely,소속사 대표가 아주 애를 키우네요... 많이 먹고 많이 싸고 술도 많이먹고 담배피고 근데 또 몸은 여기저기 아픈 덩치가 산만한 큰 아이....; 집(사무실)에서 하는 일은 없고..; 너무 답답하다 진짜 왜 데리고 있지,2,2024-09-09T02:44:06Z
@박장군-u3p,정재용 가만히 보고있어보세요<br><br><br>가수 춘자 얼굴있습니다,0,2024-09-08T17:40:52Z
@user-rf3me9qv4r,다들 연예인 걱정을 진지하게하시네유😅😅😅😅😅,0,2024-09-08T15:47:29Z
@user-pq6dm8xt2u,예능으로 각색인데  보세요.,1,2024-09-08T13:32:55Z
@네코-w2y,왜….,1,2024-09-08T12:39:54Z
@neoneo8039,ㄱㄷㅈ,0,2024-09-08T08:13:31Z
@user-nl9bv4si3w,진짜 비호감..<br>여전히 비호감..<br>앞으로도 비호감..<br>진짜 진짜 비호감..,3,2024-09-08T04:44:57Z
@rjhlim,세금 밀리면 과태료 붙어요 과태료 우습게알면  돈 못 모은다 대표가 보살이네 사무실을 술병에 빨래 ...,2,2024-09-07T21:31:45Z
@해커형,예능은 예능으로 보자... 억대 연봉보다 저작권료로 많이 받아...,1,2024-09-07T18:42:16Z
@user-bg6rs2wd8y,연애인 놀이좀 안했으면...,3,2024-09-07T15:08:15Z
@k-lq1xq,그냥 안봤으면..,3,2024-09-07T09:12:26Z
@k-lq1xq,방송에서 제발 안봤으면... 이런걸로도 안봤으면.... DJDOC 안봤으면,3,2024-09-07T09:10:50Z
@jiyounghong1248,쥬비스가 정재용되돌려놓음  사야겟다,0,2024-09-07T07:06:11Z
@CHLee-dm1kg,그동안 벌은거 술처먹는데 다썼다는걸 자랑처럼 말하는 능지도 참...,2,2024-09-07T04:22:15Z
@user-rc2fz8bx9d,누나분  좋으시네,0,2024-09-07T03:35:01Z
@user-wu8ff3cr5z,난 전처가 내 뒷통수를 치고 애들 3살 6개월차 딸둘 대리고 가출 한 년이 주작으로  소송처걸어가지고  재판2년간 진행하고 그기간 애들못보고 재산분할 위자료등 해결하고 그뒤로 지금6년이지났는데 양육비는 매달주고 애들은 거의못본다  이게  ㅅㅂ 대한민국 현실임,0,2024-09-07T01:08:57Z
@user-hh4ej7fc9g,감성팔이 ㅋㅋㅋㅋㅋㅋㅋ 에라이 정신차려라 ㅉㅉ,1,2024-09-07T00:30:41Z
@user-hc5vg5kx3v,안타까워라… 왜저렇게 인생을 살지 .. 애기도있는아버지가 .. 정신차리세요,3,2024-09-06T14:44:19Z
@user-gg2df9ui6p,누구죠 저분은,0,2024-09-06T11:52:21Z
@gaweekin524,김원준 동안 ㄷㄷ,0,2024-09-06T09:28:29Z
@msj6830,잘 나갈때    돈  벌어   뭐 한건지<br>평생     벌줄  알았나봐요.,4,2024-09-06T08:04:14Z
@leelee-jt3bd,살부터 빼자<br>옛날 dj doc때 그루브가 보고싶다,0,2024-09-06T03:55:28Z
@hsk9291,그냥 그렇게 살다 가쟈,1,2024-09-06T02:55:13Z
@user-zm2fn3qx4g,자기 합리화가 너무 심하네요..<br>아이의 아버지고 책임감이 1%라도<br>있으면 저 모습으로 방송에 나오는것은<br>고쳐보고자 하는거겠죠?,2,2024-09-05T22:08:03Z
@Sooah-,이게 어딜봐서 꽃중년이야 <br>꽃의 뜻을 몰라?,1,2024-09-05T15:11:49Z
@kouros9574,저렇게 먹으니 건강이 망가진 거…,2,2024-09-05T08:44:22Z
@user-vx7di1vm1t,직업의 귀천없음 써빙이라도 하세요,2,2024-09-05T07:09:20Z
@user-ys8gw1yc7m,밑빠진  독에 물 붓기 이네 <br>재용님 네 곁에 누군가 남어있을 때<br>정신 차리고 사세요 딸아이를 위해서라도ᆢ본인도 본인을 안 돌보고 개찬반 처럼 사는데  타인이 재용씨를 언제 까지 챙겨줄까요?<br>결국 다  떠나고 노숙자 됩니다,1,2024-09-04T23:51:41Z
@user-ys8gw1yc7m,재용님 나이 정도면 남을 돕고 사셔야죠 몸 아프다는 핑계로 저렇게 사시면 안됩니다<br>😔  대표님이 군자시네요<br>자기 무덤을 본인이 파면서 갖가지 핑계를 되네요  일단 절대금연부터 하세요,1,2024-09-04T23:47:34Z
@나뚜루-h9y,돈버네 방송 출연햇잖아 연예인걱정 할필요 없다,0,2024-09-04T22:31:35Z
@Loveyourself-ww,디오씨는 세명다 개차반이라 잡아주는 사람이 없었나보네,0,2024-09-04T22:26:19Z
@user-kd2gc9ok5s,영원한건 없다 <br>저래 늙기 싫으면 젊어서 저래 살지마라,1,2024-09-04T16:46:32Z
@user-wb5on8vy8q,결혼해서 여자인생만 ㅋㅋ,0,2024-09-04T14:04:30Z
@limeorangejuice,담배가 그럼 20프로만 펴지는 건가요?,1,2024-09-04T10:41:38Z
@user-tk1ct7gj2q,저런것도 가장이라고~ㅉㅉ,0,2024-09-04T08:14:17Z
@user-nc1nr8bt6e,모든걸 잔소리로 받아들이는 사람들잇던데 답없음. 본인위해서 해주는걸 절대모름. 달콤한말하는 사람말만 듣다 사기나 당함.,1,2024-09-04T04:38:04Z
@user-py2vx2xy6p,재용이형이 어쩌다 저렇게 ㅜㅜ,0,2024-09-04T00:13:05Z
@gshiop4646,지나가다보면 그냥 동네 돌아다니는 살찐 할아버지 보는것같다 살좀빼자 정말,4,2024-09-03T19:18:11Z
@user-ut2ox4uw2n,"모든게 변명과 자기 합리화, 바닥으로 떨어진 자존감, 이기주의, 아집<br>귀차니즘, 꼰대, 무책임한 행동, 관심없는 내 건강으로 인한 본인 삶을<br>단축 시키는것 같아 마음이 아픕니다.<br><br>첫 데뷔 무대부터 지금까지 지켜보며 응원하고 있습니다 ㅎㅎ<br>언제나 멋진 형으로 볼수있게 노력해주세요 ㅎ ㅎ<br>힘내시고 건강하세요 ㅎ ㅎ",2,2024-09-03T18:00:00Z
@hagea1550,역시 디오씨 애들은 답이없다...,13,2024-09-03T11:35:29Z
@user-hb4kq9vj7z,보는 내가 답답하다..,1,2024-09-03T11:11:14Z
@comelyjh,일을해라 이놈아. 남들 다 그러고산다. 왜? 잘나갈때 생각하니까 노가다못뛰겠냐?,1,2024-09-03T08:17:52Z
@직배조,진심 간절하면 하루 두탕 월500벌이는 마음먹으면 합니다. 그렇게 투잡 하는 사람들도 많고요… 속사정이 있겠지만 동정심보단 솔직히 한심해보입니다..,1,2024-09-03T06:26:06Z
@user-ei1pk8zq5t,난 진짜궁금한게 doc꽤 오랫동안활동했고 인기도 좋았잖아?행사는 행사마다 다 다니고 몇억날렸다해도 몇십억은 벌지않았나?왜돈이없나?,2,2024-09-03T03:37:12Z
@cpayang4597,"<a href=""https://www.youtube.com/watch?v=rEXqiVjVgQw&amp;t=985"">16:25</a> 둘다 잘생김❤",0,2024-09-02T23:46:39Z
@user-xu1cg9en8p,안 쪽팔린가? 이젠 연예인처럼보이지도 않고<br>나약한인간처럼보인다,1,2024-09-02T20:46:06Z
@꾸쑤아,사무실에다 방을 안내줫어야  머라도햇다진짜  딸까지잇는데....,3,2024-09-02T16:06:54Z
@jazzvibes80,"정재용 멍청하네. 평소 돈관리 안하도 돈 안모으고 살다가, 나쁜 운 만나서 터진거.. 코로나 탓 하는거보니 갱생안될듯",5,2024-09-02T13:03:48Z
@user-ew2gl7bn4k,에고 이형님이 이리 될줄은 진짜 doc. 펜이였는데,0,2024-09-02T12:36:42Z
@coinpayback1,더이상 잃을게 없는 상태.   불쌍해보일려고 출연함.  ㅉㅉㅉ  인간아~~~,2,2024-09-02T11:54:10Z
@user-dg2fl7mz4l,수입도 없고 얻어 살면서도 잘 ㅊㅁ네,1,2024-09-02T11:38:08Z
@user-gs8vq6mc6b,50쳐먹어도 철이없냐.ㅋ 젊을때 흥청망청 나이먹고.ㅋ,1,2024-09-02T10:47:50Z
@Nahoonazzang,여태 수십억 돈 백억 벌어놓고 저렇게 산다고? 말이 안되네 ㅋㅋ,1,2024-09-02T08:51:12Z
@user-nu7ph7pr5x,가난한연예인 컨셉은 이상민이 골수까지 뽑아먹음 ㅋㅋㅋ,1,2024-09-01T21:44:37Z
@user-du9qx7fc5h,얘는 진짜 막장이다,7,2024-09-01T20:38:19Z
@BLACKROSE-gt1cx,인천에  나이트 클럽에  DJDOC  공연 온다고 전단지 봤는데  재용이형 이였나?,1,2024-09-01T19:41:01Z
@user-nv2tr5zm2i,한심한 인간이구만 ㅠㅠ<br>인간되기 글른듯 ㅠ,2,2024-09-01T16:23:55Z
@nrulife,택배나 배달이라도 하든가..그건 또 쪽팔려서 못하겠지? 연예인들 지들 어려우면 나와서 감성팔이 하는 거 지긋지긋.,0,2024-09-01T15:47:44Z
@abd56790,한심하네ㅋㅋ 쿠팡 알바라도 뛰어라,0,2024-09-01T12:34:58Z
@yunjaehui7331,한심하다,0,2024-09-01T09:06:12Z
@ILDAMDAMDAM,나만 이해가 안가나? 제발 나가서 대리를 하던 배달을하던 뭐라도해라,1,2024-09-01T06:52:49Z
@user-zr2uw9pd4z,왜헤어진지알겠당,1,2024-09-01T06:51:28Z
@arcardia,이상민처럼 짠내로 방송컨셉 잡았나보네.,0,2024-09-01T04:17:40Z
@amitta5145,잘 나갈때 착실히 돈을 모으고 성실히 살았어야지,0,2024-09-01T04:10:09Z
@user-fm7xc1uf8c,연예인이 이래서 개꿀임 폐급 능력 볼품 없어도 방송 나와서 돈주고 집도 뭐 월센지 몰라도 평수 넓네,0,2024-09-01T03:51:33Z
@user-rb1py5zf2b,최악이다,0,2024-09-01T02:39:31Z
@fkiilerallkill,얼마전 이하늘이 창렬이한테 풀자고 보자면서 공연 얘기꺼내드만...본인들 사는게 아쉬워서 그랬구만...젊은 날 넘쳤던 그 돈들 흥청망청 날려먹고 이제와 방송나와 감성팔이 폐 80%코스프레?ㅋㅋㅋ 결국 가장 욕먹던 창렬이가 위너네.사회에 선한 영향력 1도 없고 1도 없었던 이런 문제적 퇴물들 방송으로 돈 벌게하면 안됨..,0,2024-09-01T00:01:58Z
