Author,Comment,Likes,Published At
@sunni-si1bb,조정석 조정식,0,2024-09-10T14:12:38Z
@박수민-y6p,"<a href=""https://www.youtube.com/watch?v=HyhhnR_LPVg&amp;t=23"">0:23</a> 승제 쌤 넘 귀여우심ㅋㅋㅋㅋ",1,2024-09-10T11:50:02Z
@user-id5oj7nu2g,"<a href=""https://www.youtube.com/watch?v=HyhhnR_LPVg&amp;t=59"">0:59</a> 채팅 ㅋㅋㅋㅋㅋㅋ",0,2024-09-08T23:33:00Z
@kkomi_hisam,귀여워요 승재쌤 생선님,0,2024-09-08T12:29:40Z
@user-qw1zd9kb6o,"<a href=""https://www.youtube.com/watch?v=HyhhnR_LPVg&amp;t=103"">1:43</a> 개웃기네",0,2024-09-05T14:32:36Z
@user-cc6sn1sf1w,못 본 사람있어도<br>한번 본 사람은<br>없다는 그 영상?!,1,2024-09-05T13:31:52Z
@user-wd2vy1vu8x,미누잘한다.ㅋ,0,2024-09-04T12:27:44Z
@user-tn4ve7uc8y,그냥 넘 웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2024-09-03T08:17:05Z
@nunanyo,아니개웃겨서숨을못쉴것같아요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,0,2024-09-01T11:02:50Z
@Whdkgg,"<a href=""https://www.youtube.com/watch?v=HyhhnR_LPVg&amp;t=335"">5:35</a> 진짜 해주면 ❤❤❤",0,2024-09-01T09:59:37Z
@joelseo4751,미미누 없으면 안되겟네,0,2024-09-01T04:18:31Z
@user-cw6tu7hk5g,셋이 잘 노는거 개 귀여움ㅜㅋㅋㅅㅅㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㄱㅋㄱㅋㅋㅋㅋㅋㄱㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㄱㅋㄱㅋㄱㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㄱㅋㅋ,0,2024-08-30T14:45:45Z
@경석유-i6k,🎉😂❤🎉😂❤,0,2024-08-30T02:37:52Z
@경석유-i6k,???,0,2024-08-30T02:31:21Z
@arinmom_0811,아진짜 너무웃기다 ㅋㅋㅋㅋㅋ<br>정승제쌤 왜이렇게귀엽고 조정식쌤 잘생김 ㅠㅠㅋㅋ💕,0,2024-08-29T15:29:21Z
@user-kt3qt4ji3b,조정식 쌤 너무 잘생겼음..ㅋㅋ 승제 쌤 넘 귀여워요❤,0,2024-08-28T11:40:02Z
@AssemBle10,릴스보고 왔습니다,0,2024-08-27T14:37:58Z
