Author,Comment,Likes,Published At
@미미미누,"25일 오후 2시, 팔로워 9만 달성 완료🎉",1147,2024-08-25T05:02:20Z
@chitalala462,사마가 모야~,0,2024-09-11T00:36:21Z
@한재윤-w9n,"<a href=""https://www.youtube.com/watch?v=ITx8hFLEhe4&amp;t=171"">2:51</a>초에 정식선생님 불법하시면 안되요",0,2024-09-09T22:30:20Z
@smilinghera,어우 마지막 결제하고 조정식 쌤 핫튜할 때 많이 잘생겨서 깜짝 놀람;; 수험생 때는 쫄아있느라 이렇게 미남이신 줄도 몰랐네.. 칠판만 봤네.. 아깝게..,0,2024-09-09T13:15:28Z
@user-th9yx7cj7c,결제  ㅋㅋ,0,2024-09-09T01:40:00Z
@mingming4287,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아개웃기네ㅋㅋㅋ한도초과에서 개빵터짐,0,2024-09-09T00:11:31Z
@TV-hz6kv,나무위키 읽어 주세요,0,2024-09-07T11:58:17Z
@young-duck2024,왜 다음화 안 나와요 ㅠㅠㅠㅠ,11,2024-09-07T10:43:54Z
@xotsidsid,디져스 올려주세요 제발... 디져스 때문에 토요일만 기다렸다구요...🥹,2,2024-09-07T09:20:57Z
@user-hk3zj1gg1u,디져스 4화  언제 나와요?,0,2024-09-07T01:32:06Z
@딸깍이,디져스 내놔요 빨리 저 4일 후까지 안주면 이번 중간 망할거에요,2,2024-09-05T14:31:40Z
@user-cc6sn1sf1w,너무 짧아요,0,2024-09-05T13:49:32Z
@user-oy7rk1us9x,ㅋ❤❤,0,2024-09-05T12:15:18Z
@user-gt2ul7es6t,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 웃겨 사마?가 뭐냐고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2024-09-05T11:20:50Z
@user-iu7rl2zb6w,4화 언제하나요?,1,2024-09-05T02:05:14Z
@user-bf8tl9mj4z,다들 귀여우세요^^~~건강한 모습 오래 뵙고싶습니다❤,0,2024-09-05T00:35:05Z
@user-wd2vy1vu8x,세분너무좋아요.너무잼있쪄.😊😊😊진짜오렌지닮았쪄요,0,2024-09-04T12:50:38Z
@user-np5hy5of6b,셋 조합 너무 좋다 ㅋㅋㅋㅋ,0,2024-09-04T12:06:38Z
@user-uj9or1zh7s,어노잉 오렌지ㅋㅋㅋㅋ,0,2024-09-04T02:07:21Z
@WO_PANG,4화 언ㄴ제나와ㅜㅜㅜㅜㅜ,4,2024-09-01T12:31:48Z
