Author,Comment,Likes,Published At
@play-channelA,"💗티처스 인스타그램 놀러오세요💗 <br><a href=""https://www.instagram.com/iltastudy/"">https://www.instagram.com/iltastudy/</a>",240,2024-07-29T04:35:44Z
@mizal0618,개웃기네ㅋㅋ,0,2024-09-11T03:10:02Z
@chitalala462,아 정승제쌤 짱우끼네,0,2024-09-11T00:09:54Z
@kinwaite,승제쌤 유행 따라가려는 큰아빠 같네😂😂😂,0,2024-09-09T21:28:16Z
@smilinghera,아마 저기 관계자 분들 중 막내 라인은 학창 시절에 두 선생님 강의 듣고 크셨을 법하겠네ㅋㅋㅋㅋㅋㅋ 특히 정승제Fㅋㅋㅋㅋ,0,2024-09-09T13:44:50Z
@Im.your_buddy,너무 귀엽닼ㅋㅋㅋㅋㅋㅋ,0,2024-09-07T16:50:12Z
@NNNAJJJIMIM,"<a href=""https://www.youtube.com/watch?v=QNSCELZmNl0&amp;t=300"">5:00</a> 우리 엄만줄 알았네",0,2024-09-07T13:56:57Z
@kncsy3370,승제쌤 정식쌤 둘다 다른느낌 둘다 너~~~~어~~~~무~~쪼아❤❤❤  이선생님들 영원하라~~,0,2024-09-05T08:12:31Z
@user-po5iv1rm7k,"고3 때 유일하게 인강 들었던 두 쌤이,,❤️<br>조정식 쌤 덕분에 영어 만년3등급에서 수능 1점 모자란 2등금 찍었는데 ㅠㅠ<br>승제 생선님 덕분에 수학 포기 안 하고 잡고 갔는데 ㅠㅠ<br>진짜 고3들의 합법적인 유일한 도파민이닼ㅋㅋㅋ",0,2024-09-04T01:51:59Z
@user-qs1eg8kp9m,생선님 기껏 본 애니가 독고탁 막 이러시구ㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 뿜었다,0,2024-09-03T17:50:19Z
@jaii7627,의외다 ㅋㅋㅋㅋㅋ조정식쌤이 트렌드에 관심없고 승제쌤이 이것저것 알 줄 알았음ㅋㅋㅋㅋ,0,2024-09-03T09:48:47Z
@핑키핑키-h8z,조정식 사진나올때 리즈시절BGM  뭐냐고 ㅋㅋㅋ 진짜 편집자 ㅋㅋㅋ,0,2024-09-01T19:10:35Z
@user-cb5pi4wc5r,두분다 사랑합니다~~,0,2024-09-01T10:32:30Z
@Whdkgg,영상 한 30분 짜리 만들어주세요!,0,2024-09-01T09:53:44Z
@suuun1009,"<a href=""https://www.youtube.com/watch?v=QNSCELZmNl0&amp;t=425"">7:05</a> 귀여워요",0,2024-08-31T16:57:12Z
