Author,Comment,Likes,Published At
@Bowmeow_couple,"안녕하세요~ 몽골커플 대열, 지아 입니다~🇲🇳 🇰🇷 <br><br>이번에 처음으로 티비 촬영해봤는데 많은 분들의 응원과 격려에 진심으로 감사하다는 말씀 드립니다🙇‍♂️🙇‍♀️<br><br>선넘은 패밀리 촬영하면서 웃음, 눈물 가득한 일들 정말 많았는데 많은 분들의 공감과 응원에 몽골에서의 추억이 다시금 새록새록 떠오르네요^^<br><br>항상 행복만 가득하세요😊<br><br>감사합니다.<br><br>대열, 지아 드림",758,2024-03-25T03:47:13Z
@user-sz3bl1jr3y,세뱃돈 문화가 잘못 전달된게 원래 옛날부터 어린아이들에게 준거지<br>20세 이상 성인이 되면 어른들에게 용돈을 주는 문화임,0,2024-09-09T12:59:04Z
@송기성-h8p,변상일 보다 못두네....,0,2024-09-08T08:24:38Z
@송기성-h8p,진짜 못둔다,0,2024-09-08T08:21:04Z
@user-ez9fy3xi3v,락스하나 주이소,0,2024-09-07T22:21:06Z
@JIM-c6r,후회 합니다  30너어가면 이수지 돼요,0,2024-09-07T01:29:51Z
@ssidgythi6400,어이 새신랑 이제너는 지옥맛을 보내될것이다<br>몽골여자는 터프하게 나가야 고분고분하다,0,2024-09-06T22:02:49Z
@user-qh4bu7qu5l,국제결혼의 최선택은 일본인입니다.<br>미혼 남자는 꼭 순하고 순수한 일본여자와 결혼하세요,0,2024-09-01T06:04:13Z
@user-sh2ku9rl7m,남자 여자가 둘다 너무 선하게 생겼네 잘살겠다 증말 부럽다....,0,2024-08-31T22:56:02Z
@BlancheCarte-h4h,"제 생각엔 이젠 이념전쟁 끝내고 통일하고 만주까지 확장하여 여진 몽골 한국 합쳐서 한 국가 만들어야 합니다.<br><br>거기에 일부 호주 동남아 미국이 개입해서 다민족 국가화 되는 길 밖에 앖습니다.<br><br>그럴다고 비중이 똑같으면 안되고 미국처럼 주류 민족 있고, 일부 합류하는 방향으로 해야겠죠.<br><br>그게 앞으로의 탈이념사회와 국제 힘의 균형 모든 것을 고려했을때 현실적인 대안이자, 이상향이라고 봅니다.<br><br>로봇과 에이아이의 시대에는 기존의 이념이 사라질 거라 봅니다. 다른 이념이 생길 수도 있겠지만요.",0,2024-08-29T14:55:50Z
@재홍고-k6i,한국사내놈들아제발신부을대려와.공주을모셔오지말고.,0,2024-08-20T12:03:56Z
@hyunwoohan9517,차강살이 한국의 설과 같다. 아마 몽골의 고려 침입으로 유입된 듯. 설이란 대응 한자어가 없다<br>아마 살이 설로 변음 된게 아닐까.<br>설 인사가 몽골에선 아무레노인데 이것이 과세 안녕하십니까와 비슷. 오직 음력 설 하루만 쓰이는 말,0,2024-08-16T21:31:37Z
@navykim1899,지구촌 시대임. 외국에서 잘 맞는 여성분 찾아 결혼 강추 🎉🎉🎉,0,2024-08-11T01:13:28Z
@양드립,스마트폰 가전 에어컨 냉장고 보일러 아파트 도시를 저인종들이 만들거라고보나<br><br>한국순혈유지할때만과학자 천재 랜덤출산,0,2024-08-10T22:59:49Z
@user-zs5dc4or8v,한국 거주 체류 외국인들중에 몽골인이 말썽 일으킨분을 못들어 봤고 일때문에 오신분들도 성실하고 열심히 하시는것 같아요 몽골 항상 응원합니다,1,2024-08-08T15:53:47Z
@돽스,몽골여자 만나보고싶다 부럽네요,2,2024-08-05T02:49:19Z
@namhoon7571,몽골 모계 사회임.. 신중한 결혼 하시길,1,2024-08-04T05:01:00Z
@user-jn8ys1id9x,이제 단일민족은없습니다,0,2024-08-01T14:14:15Z
@dogam0870,아 웃겨! 세배하고 돈 돌려 받기.ㅋㅋㅋ,0,2024-07-31T18:19:58Z
@ehj-d6r,여친분 존예❤,0,2024-07-31T03:42:09Z
@ShawnEvans-bf3gf,국제 결혼 커플 응원합니다. 한국 남성분들 모두 외국 여성분과 결혼했으면 좋겠어요,0,2024-07-28T13:40:23Z
@KimchiSomtumBacon,몽골사람들은 굉장히 의로운거같음. 아무래도 우리랑 조상이 같아서 잘맞는듯.,1,2024-07-26T21:20:35Z
@양드립,과학자 엔지니어 물리학자 안나오는 인종 동나마 남미 흐긴 몽골 나라gdp  개박살,0,2024-07-22T22:25:47Z
@Knight_of_Rose,여자친구가 한국에서 성형했나보네,0,2024-07-20T00:29:50Z
@tv6451,아버님도 좀 챙기지,0,2024-07-12T22:34:49Z
@K무교유신론자,부부싸움 후<br>몽골 처낭형님들이 쫓아오는데.avi,0,2024-07-12T17:25:13Z
@LiberalDemocracy1948,"한,중여만 걸러라 한국 남성분들 국제결혼이 답입니다",1,2024-07-12T11:27:06Z
@user-uj3oo8eh7b,몽골인구 360만????<br><br>세계를 주름잡던 징기즈칸의 후예이지만  뭐랄까....<br>지금중국은 14억이 넘어갔는데....<br><br>이 표현을 뭐라고 해야할지 모르겠네요....,0,2024-07-11T08:01:59Z
