Author,Comment,Likes,Published At
@user-zb3hn9oh9x,두분 행복하세요~,0,2024-09-13T01:03:17Z
@Suudyjipp00qq,최고의 선택입니다 행복하세요~~,0,2024-09-10T22:19:56Z
@user-ml2tx2vb6t,멋지시네~^^ 이 커플~~😂😂😂<br>영화 한편 찍어신줄!!???~~<br>아름다운 ~사랑 하세요 ~~❤❤❤❤❤❤,0,2024-09-04T09:49:37Z
@fairfriend7030,푸른 늑대의 후손답게 전사부<br>족이죠. 우린 흰색의 제사장부<br>족인 배달민족 입니다. 같은 조상이니 잘 살겠네요.😅,0,2024-09-01T08:43:49Z
@sapneelulin4277,"Someone please tell me the song <a href=""https://www.youtube.com/watch?v=N2NkSbIaI7s&amp;t=140"">2:20</a>....😅",0,2024-08-30T11:06:02Z
@ReturnSon777,"커플 두분, 이수님 유튜버신데 항상 유익한 몽골정보 알려주고 계시죠 ㅎㅎ<br>저도 잘 시청중인데 방송으로 나오니 또 새롭네요~",2,2024-08-30T01:50:20Z
@user-cd9wi1wl7t,한국을 옮겨다 놨네 헐 멋지다.,1,2024-08-29T00:27:21Z
@user-zg6yd4jo9v,예비형님은 서운하게 왜선물안주세요....,0,2024-08-26T08:12:17Z
@rewrrresqwerssrr5068,중앙아시아가면 어딜가나 한국고려인이랑 몽골인이 제일 몬생겼다. 본 그대로 말한거다.<br>만두는 한국만두가 더 맛있다. 쌈싸는 중앙아시아든 몽골이든 느끼해,0,2024-08-25T02:07:27Z
@rewrrresqwerssrr5068,그 지인이 누구냐,0,2024-08-25T01:59:50Z
@user-wu3cd6on6r,와 몽골 전통보구너무 이쁘다,0,2024-08-24T09:06:18Z
@user-leefurn,어? 여성분 몽골 공항에서 본 기억남.<br>칭기스칸 공항 제주항공 카운터~,0,2024-08-24T01:15:11Z
@user-big.rich.o.g.s,국제결혼이 답이네요,2,2024-08-24T01:04:32Z
@useryquwhshsushshshsj,이제 구속할 힘 마저 없다...,4,2024-08-22T14:13:39Z
@stigmaeffect5688,아... ㄱ쌍Do.... si ba....,0,2024-08-19T14:47:26Z
@이워니-t6u,부럽다 졌다 행복하세요😊,0,2024-08-19T13:39:00Z
@nurimind24,좋을 때다 ^^<br>행복하시길..,0,2024-08-18T02:47:14Z
@user-rr8xs8wi9n,대단해요 축복 합니다 사랑합니다,0,2024-08-17T23:52:14Z
@도람쥐-x3v,몽골 한국처럼 살면 성공할수 있다,0,2024-08-17T22:47:04Z
@Zunehan,"자꾸 역사 들먹이면서 고려 때 우리가 몽골과 전쟁한 걸로 몽골에 대한 혐오감을 조장하는 사람들이 많던데 난 그 사람들이 우리와 몽골을 이간질하려는 중국인들라고 생각한다. 역사에서 주변국과 전쟁을 안한 민족들이 있기는 해? 그 수 천년동안 몽골과 우리가 전쟁으로 싸운 건 고려시기 딱 한 번뿐이다. 이간질의 대가 중국한테 침략당한 건 천 번이 넘어 그런 걔들 몰살시켜 쫓아낸것도 천 번이 넘고.<br><br>솔직히 엄연히 말하면 같이 시기 송나라가 완전히 몽골한테 멸망당하고 한족들이 4등급 가축노예로 몇 백년을 살았던 걸 생각하면 쿠빌라이 이래 몽골 황제가 친히 딸래미를 시집보내며 부마국으로 예우해준 고려는 그 시기 나름 엄청 대우받은거야. 몽골이 각잡고 고려를 멸망시켰으면 우리도 한족들과 똑같이 노예로 살 수도 있었던 걸 잊지 말자. 물론 몽골이 고려를 살려줬다고 고마워할건 아니고 전쟁에 패배하여 고려가 몽골의 부마국으로 전락한건 분명히 기분나쁠 일이었지만 고려왕은 엄연히 존재했고 몽골 제국 사위로 존속했던 걸 감안하면 그러려니하고 넘어갈 수 있는 역사다. 그걸 혐오감으로 조장하지 마라 너희 중국인들.",1,2024-08-16T09:17:46Z
@user-wh3jh4gw1o,그래 이번생은 몽골이다!,0,2024-08-14T12:02:22Z
@user-vy9yn4wp5t,무력에 점령 당했었고<br>문화로 점령 하고있음..<br>가슴이 웅장해진다..,1,2024-08-12T16:20:28Z
@ryanlee9100,남자가 아깝다... 뭐할라고 ㅋㅋㅋㅋ,0,2024-08-12T06:24:22Z
@user-uh7rq3lg8q,몽골은 개발되지 않은 천연자원 부국이다,0,2024-08-12T05:11:14Z
@user-uh7rq3lg8q,몽골 아가씨ㅡㅡ최고네 봉잡았다,0,2024-08-12T05:09:38Z
@user-uh7rq3lg8q,예쁘넹.  ㅡㅡㅡ,0,2024-08-12T05:08:40Z
@KK-yt5dc,몽탄신도시 한번 가보고 싶긴 하다 ㅎㅎ 한국어 잘하는 사람많고 중국을 극도로 싫어한다는 점도 좋아,0,2024-08-12T01:41:03Z
@user-ir9hs6rr1b,미쳤나봐 <br>몽골 왜 갔어 또 여자가 도망가서 돈벌고 있지,0,2024-08-10T22:26:49Z
@NAWAZU,행복하세요~,0,2024-08-09T20:00:11Z
@user-oy8tt6hn2l,그래..한녀는 피하고 제2의 한국인 몽골로 국결가자~~~~~~~~~~~,0,2024-08-09T11:44:52Z
@milkcoffee0515,하아..국결이 답이다 정말..이 나라는 답이없다 정말,1,2024-08-08T20:33:20Z
@user-rb9vx8fv1v,그 무식해서 그래 ㅎ 개그맨 무식해서 그래,0,2024-08-08T04:22:55Z
@vls1900,남자분 리액션을 믿을수가 없어 ㅋㅋ<br>수태차에서 리액션 하는거 보니까.. 다 사기야 그냥 ㅋㅋㅋ,0,2024-08-07T02:17:30Z
@O_c.,이새끼 세금 얼마내냐?,0,2024-08-06T18:09:47Z
@만철이,베트남여자와 결혼했습니다 저모습이 부럽습니다 베트남에서 외국사위는 그냥 돈인가봅니다!장모한테 선물하나 안받아봤으며 오히려제가 사주기만한거같음,3,2024-08-06T04:16:51Z
@user-zb5zo2vy2n,몽골국결 국가에서 추진하자..,0,2024-08-06T03:33:00Z
@user-wv5sq2nd1b,몽골은 외국이 아니라 같은 조상인 동이선조들의 피가 흐르는 사촌국가이다 조선제국이전 배달국시대까지 함께 살았던 같은 민족이란 말이다 이후 기후변화로 인해 여러지역으로 갈라져서 오늘의 몽골과 한국이 되었지~,0,2024-08-05T08:54:52Z
@user-wt4io4xl5x,지금정권이 광화문 이순신장군동상업애자고않하나 그들에게는 매국노일듯,0,2024-08-05T02:12:11Z
@user-kk5uh3ug9z,저가 아는 한국식 세배는 결혼전이나 미성년자인 경우는 어른에게 새배돈을 받고 성인은 세배돈을 어런에게 드리는 것이에요 TV을 보면 미성년자던든 성인이든 다 받아 가는데 잘못알고 있내요 방송에어라도 정확하게 전달해주시면 감사하겠어요,0,2024-08-04T23:01:38Z
@taegukjoo3781,진지하게 몽골로 장가가고싶다.,0,2024-08-04T03:01:32Z
@Judsking3922,"국회의사당만이 아니라 정부종합청사입니다. 그속에 국회의사당과 국회의원회관도 포함됩니다.핸드폰의 기지국 9911은 엄청난 프레미엄이 붙습니다. 상대가 9911폰을 가졌다면 정치인,기업회장,통신사 이사급 이상들입니다. 아무나 가질수없는 폰입니다.요즘은 P가 3천만원쯤 할려나ᆢ",0,2024-08-02T10:13:52Z
@ssagaziman4,진짜 몽골녀분들은 남편에 대한 신뢰감이 대단함.절대 안놓치지...,0,2024-08-02T09:39:53Z
@user-tf1zv6sb9i,"금메달/국결남<br>은메달/미혼남<br>동메달/이혼남<br>목메달/퐁퐁남 ( 2024. 07. 19. 보호출산제 시행)",3,2024-08-02T07:10:29Z
@user-lo1jh9hz1h,몽골 사람중 성격이 온화한 사람이없다...여자건 남자건.. 주먹부터 날아가는 사람들임,0,2024-08-01T23:08:13Z
@LeeJunghoon-k8x,조상님들이 지키신 나라가 이제 문화로 그들을 지배했습니다!!,0,2024-08-01T08:46:26Z
@kingkookoo7739,몽골도 진짜 게르생활을 해서 그런지 가정적인 사람들이 엄청 많은듯,0,2024-07-31T23:14:26Z
@60jcbae,게스트 여자분 한국말을 잘 하시네..,0,2024-07-31T23:03:51Z
@HAN-uc9xs,몽골표부터 알아보자,0,2024-07-31T22:49:26Z
@Urihim,"<a href=""https://www.youtube.com/watch?v=N2NkSbIaI7s&amp;t=93"">1:33</a> 나오는 음악 노래제목이 궁금해요~^^",0,2024-07-31T18:25:16Z
@김종국존경해요,몽골최고 굿 👍,0,2024-07-31T06:51:00Z
@user-iv4pj1vf2q,암모니아 냄새 괜찮아요??,0,2024-07-31T05:53:25Z
@sindavi36j28,ㅊㅋ합니다. 행복하게 건강하게 오래 살아요,0,2024-07-31T02:44:20Z
@whonic6929,한국과 몽골이 한 국가로 통일되면 대박일듯,0,2024-07-31T01:24:41Z
@kspa123,징기스칸 동상 포스보소,0,2024-07-31T00:57:00Z
@dashman793,몽골이 우리 뿌리라고 알고있는데 맞지않나요?,0,2024-07-27T16:21:34Z
@딱지아빠-h8c,항상 건강하고 아름답고 행복하게 사시길바랍니다 보기좋아용~~!❤❤,2,2024-07-27T09:19:37Z
@caponeenervit9582,몽골과 합쳐서 중국일본러시아물리치자❤❤❤,0,2024-07-27T03:18:07Z
@user-up5ji6yn9e,그니까 남자분아 몽골에서 왔다는 거죠..?,0,2024-07-25T14:26:25Z
@user-ei9bd4wj2m,내 나이 30세 몽골여행 준비합니다.,0,2024-07-25T08:25:07Z
@bigfish.angler,만약 중국남자였다면... 집에서 쫓겨나지 않았을까?,0,2024-07-25T06:48:20Z
@miyang-cm6kc,국결만이 미래입니다!!!! 중국빼고.,1,2024-07-24T23:33:08Z
@bdc381,몽고반점 유대감~~,0,2024-07-24T04:06:32Z
@블락-k4c,고려시대 몽골이 우리나라 몇번이나 침락한지 아는사람,0,2024-07-24T02:15:03Z
@yuribottari,너무 mc가 많네. 플로리안이 제일 웃김.,0,2024-07-24T00:12:35Z
@user-eh5gw2xx2h,이야~ 이거~ 아주~오우야~ 행복하세요,4,2024-07-23T13:07:57Z
@TV-vb4us,울란바토르 몽골 리스트,0,2024-07-22T22:48:28Z
@hrkim2571,미안해  유퉁이 생각나서...내가 잘못했다.,0,2024-07-22T16:38:51Z
@user-qr3zh5ql2f,와...진짜 대단한게...역사적으론 우리나라가 점령당했지만..이건뭐...진짜...구석구석 지금 은. 우리나라가 점령했내..,0,2024-07-22T04:25:56Z
@user-tz2hu5dk5q,몽골은 믿고 가야지,1,2024-07-22T03:48:31Z
@joshualee1291,대한민국은 수도권에 거의 인구 절반이 삼😅,1,2024-07-22T03:07:31Z
@user-qp4xh2ql1p,이수씨 dna검사에서 한국인 으로 판명났음,0,2024-07-22T02:50:52Z
@user-qk2ec1bm1o,국회의사당 앞 광장  담도 없고  경비도 없고,0,2024-07-21T06:28:26Z
@user-bk3pt2wp2z,신본기가?,0,2024-07-21T00:28:20Z
@user-ig9qc1zz5p,한국 여자랑 결혼 하는거 아니다,0,2024-07-21T00:10:50Z
@Sohmdari,남자분이 참 착하고 인상좋네요 몽골처자 남자 잘만났어요,40,2024-07-20T23:33:48Z
@return000,땅값 벤치마킹 오지구요 ㅋㅋㅋ,0,2024-07-20T10:48:56Z
@user-yw9sm6sc9c,몽골리아에 한국인  유전자가 많으신 분들은 우리와 비슷 하지만 꼭  그렇지만은 않죠?<br>우리 할머님들이 여자가 부족한 몽골에 많이 끌려 가셨죠<br>중국여자 보다 고려 여자분을<br>더 많이 데려간 이유를 모르겠지만,0,2024-07-20T09:09:04Z
@abcomg7206,3시간반? 생각보다 가까운나라구나,0,2024-07-20T03:38:36Z
@user-qv3xd2mj6n,1700만 성과급에거 4.6만원 우수리 떼고 줬다고 욕하는 한녀들 버리고 국결가자,0,2024-07-18T20:34:21Z
@user-br5eo3dt2y,녀자 이쁘네,2,2024-07-18T12:34:49Z
@kimeisei,인구절반이 서울경기서 사는 한국이. 할말은 아니지,2,2024-07-16T03:04:12Z
@user-ie1kt4gh3v,한국에 불법체류자가 100만명을 넘었는데..몽골 가반수가 한국에 불법체류자네 ㅎㅎ,1,2024-07-14T17:42:48Z
@user-kh3jl7yx4h,"국결이 늘어나면 좋겠네요 , 페미들은 알아서 살겠죠 어차피 결혼 안해줄게요 , 아이 안낳아줄게 라고하는 족속들이니",1,2024-07-10T05:26:24Z
@그놈-f1t,징기스칸이  다 먹어도 <br>고구려 만큼 안건들음<br>거란 전쟁  한참 후세대 들임<br>징기 스칸이  유일 하게 침략 안하고  물러간 칸임,1,2024-07-10T00:56:30Z
@user-fr6gr8mw8n,한국에 기계의 힘을 빌린 미인들보다 훨씬 한국인같고<br>미인이네요<br>누가 봐도 한국인같아요<br>행복하세요<br>부정댓글 이해하지만 몽고반점의 역사를 알면 부정할수 없는 현실,58,2024-07-07T02:39:23Z
@user-mc9qe4fb7g,국제결혼이 답이다.<br>한국여자는 진짜 이제는 아닌것같다,0,2024-07-06T05:22:16Z
@user-sh4ux4ez2t,공항씬 드라마 찍었어ㅋ카메라가 360도 빙글빙글 돌았으면 극적인데 좋을때다.👍🛸👽,2,2024-07-05T17:23:34Z
@komukos2,"행복하고 더욱 행복하게 사세요!! 서로 사랑 하고, 또 사랑하며~",16,2024-07-04T09:00:35Z
@user-zm9jd3te5g,😂엘씨티가 마린시티로 브렌드가바뀌었나요?,1,2024-06-27T07:23:06Z
@minsjang9467,몽골 젊은층들도 수준 높음 만만하게 보면 안됨 ㅇㅇ 도전하고자 하는 자세는 응원함. 언어/외모 장벽은 거의 없을 거임.,7,2024-06-27T06:31:48Z
@user-ti3oq8iu1h,몽골은 고구려가 패망한 이후 우리와 헤어진 진짜 형제국가다. 몽골은 우리와 함께 고구려가 패망하기 전까지 고조선과 부여 그 이전의 고대 한(칸)국을 함께 일군 진짜 형제국가다. 다시 몽골과 합쳐질때 몽골과 우리는 몽골과 우리의 진정한 고대사를  함께 복원할 수가 있을 것이다.,7,2024-06-27T05:04:45Z
@shorts_er157,ㅋㅋ 떠셔<br>나는 왜 잡수셔가 생각날까??<br>떠셔 잡수셔,1,2024-06-26T08:41:33Z
@user-rj3ky6tm3d,외국 여자애들 애인보면서 뛰어오면서 폴짝 뛰어서 안기면...진짜 그것만큼 이쁜짓이 없습니다. 그걸 보면 우리나라 언니들은 감정을 살짝 자제하는 기분??,22,2024-06-25T15:11:58Z
@user-mu9hr6cy4w,몽탄,2,2024-06-24T23:18:31Z
@user-uc8jz7tp9u,엘시티가 마린시티가 되어버린ㅋㅋ,1,2024-06-24T16:12:57Z
@user-ph6lk7eq5s,여성분 미모가 와,12,2024-06-24T09:22:10Z
@컬生活,남자가  참으로  호남형이다,2,2024-06-24T01:36:51Z
@kylelee1506,여자 얻으러 몽골 간다,2,2024-06-24T01:30:55Z
@user-be6lf7sg6t,말타고. 학교가고 말타고 출근하나요,0,2024-06-22T23:12:40Z
@user-lx3rw4nk6j,저 올버브는  빵은 언제 먹나요??,1,2024-06-22T12:25:24Z
@Icingberry,호스트 여자분 공감능력없고 말투에서 상대에 대한 예의없음이 느껴져 보기가 불편하군요 6분가량 보다가 패스합니다,3,2024-06-20T19:21:34Z
@hollikan2126,시댁이 몽골이면<br>양고기육회 먹을수있나요?,1,2024-06-20T09:03:55Z
@sys879,나몽고반점 있었다 러뷰 몽골,3,2024-06-19T13:41:16Z
@user-ru8tx9sv5t,의왕시. 산과두개의 호수가 있어서 좋음,7,2024-06-17T02:53:13Z
@kwonjames6651,내 인생 25세. 취업후 몽골국결만이 유일목표다,86,2024-06-15T19:02:48Z
@hyeheejung3653,경기도 의왕시 시민입니다. 헝~<br>의왕시가 왜요?? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2024-06-15T11:22:35Z
@user-yy9hm5sl1d,한국은이미 끝났죠 스탑럴커론 도축론 퐁퐁론 마통론 모르시나요 ㅠㅜ?,9,2024-06-14T06:04:21Z
@JCK72825,어이 없는 종양일보 종편 짜증나네.<br>지들도 부끄러운지 채널 이름을 숨겨.,0,2024-06-13T12:12:40Z
@snoopy44061,저출산 해결책 국제결혼 남자들아 영어는 필수야 열공♡,5,2024-06-12T22:24:52Z
@walkingslowly2026,국결이 답입니다 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,48,2024-06-12T14:04:07Z
@crushonyou2884,역시 외국여자가 최고❤,35,2024-06-12T11:00:21Z
@user-uv9in4po9n,행복하게 사세요 😊💝🫰🎉,5,2024-06-12T10:52:56Z
@user-yi8dd6km8v,그냥 한국화 되었다고보심되요,4,2024-06-11T15:23:33Z
@user-gy7ze8tm6d,잘어울린다. 행복하게 잘 사세요 ~,64,2024-06-10T15:25:25Z
@user-lp3yc1kf6s,다있는몽고반점,0,2024-06-10T10:13:19Z
@김세훈-m8t,몽고 침략으로 황룡사9층 목탑 등 문화재가  불타버린 건 많이 아쉽다,2,2024-06-09T01:18:26Z
@김성곤-n2b,돈 버는 순간부터 명절에는 어른께 드라곤머니 드려야죠...ㅋ<br>이것이 우리의 전통.<br>물론 여유가 있는 집안은 봉투에 자그마한 세뱃돈도 줍니당...,7,2024-06-09T00:05:54Z
@김성곤-n2b,몽고의 침략때문에 졸지에 잘 나가다 금지곡이 되었지...,0,2024-06-08T23:39:54Z
@user-bq1ef1br3v,참으로 🤔 어이가 없네! <br>지놈 처갓집 장모를 만나던 말던 뭔 유투브 올리고 난리을 치나?,0,2024-06-08T21:18:59Z
@kyreb.3153,징키스칸이 지금 몽골보면 ....,5,2024-06-08T17:25:26Z
@user-us4fx3hp9s,"어렷을때 몽고반점이라는 부모님말에 우리 몽골사람이야? 물어봤더니 삼국시대이전 고조선때는 같은뿌리여서 그렇다고 알려주심 그런데 국딩되고 중딩되도 그다지 저멀리있는 몽골사람들하고 같은뿌리라는게 이해가 안댓음 그러다 고딩때 삼촌공장 알바하러가서 몽골분들 계시다했는데 누가 몽골분이지? 궁금했는데 물어보지 못했음 삼촌이 몽골에서오신 동포분들이라고 알려주셔서 깜짝놀랬음 저 먼 나라사람들이 우리하고 구별이 안된다는거에..그때서야 느낌 같은뿌리,동포분이라 알려줬는지를~몽골분들에게 삼촌이라 부르면서 2주동안 알바했는데 주말에 양고기로 만두만들어주신 그맛이 30년가까이 흘럿는데도 최고의 맛으로 기억에 남음",63,2024-06-08T13:40:21Z
@채인지,필리핀  배트남 말고 몽골과  국제 결혼하면  좋겠어요.<br>같은  한국인  같아 보여요.,27,2024-06-08T09:55:49Z
@user-mr4ev9vh6q,몽골이랑 합중국 만들어야 될듯.,10,2024-06-08T09:34:22Z
@lch386,몽탄신도시,3,2024-06-08T09:07:58Z
@Koreahitman,몽골에 여신님들많죠,25,2024-06-08T06:04:27Z
@soosul,몽골은 정말로 대한민국과 하나가 되어야됨!,125,2024-06-08T03:33:05Z
@jayyoo906,"중국령 내몽고에 몽고인 2백5십만 정도, 전체 몽고인 6백만 정도.<br>민족 그룹들의 보통 인구는 5천만에서   1억명을 달성하고 있는데 몽골인은 그렇지 못 하다. 왜?",3,2024-06-08T03:23:32Z
