Author,Comment,Likes,Published At
@user-ty4zr1jj2m,일본식으로 식사를 하시면 어떻가요?  온 가족 분 들이<br>맛있고 행복하면  만족하는것<br>이라 생각합니다ㆍ,0,2024-09-11T17:24:30Z
@홍정기-q9p,생각보다 집값이 엄청싸다~,0,2024-09-10T13:12:17Z
@user-qw3fi3li7j,너이하고 레별다르지,1,2024-09-10T07:16:24Z
@symmmmm8340,시부모님 집에 얹혀사는게 능력자인가요…?,2,2024-09-08T17:12:01Z
@bykim1962,미국에서 싱글홈 관리하기 힘듭니다. 한인교포 미국와서 꿈의 큰저택 장만하고  후회들  해요. 재택근무자가 아닌이상 출근하고 나면 빈집에 개 혼자 놀아요    청소 힘들구요 (남미인 청소업체 고용 하면 오케이) 뭐하나 수리할려면 여긴 엄청 비싸요. 핸디맨이면 모를까 사람고용시 돈왕창 나갑니다 잔디관리 나뭇잎청소 장난 아니지요 이것도 사람 고용 해서  돈으로 해결 안하면 주말엔 청소며 바깥일 하느라  쉬지도 못해요. 유튜버에 양평 전원주택 살면 고생 바가지라 그러죠 똑같아요. 큰집  좋아 보여도 막상 살아보면 관리가 힘들어요.    식구수에  맞혀 적당한 사이즈가 실속파지요<br>물론 몰게지에 관한 세금 혜택<br>보는 이점도 있지만요.,1,2024-09-08T04:51:24Z
@user-cs1ss5lq7x,오렌지카운티 2룸 조그만 콘도 신혼살림차린부부 20억주고 매입했다는데..  위치에따라 다르네요.<br>선택의폭이 넓어 좋아보여요.<br>재택가능하면 주에2~3일은 한가한곳거주도좋은듯,1,2024-09-08T03:38:31Z
@kycho8291,미국은 생활비가 비싸지않나요?ㅠ,0,2024-09-08T00:49:06Z
@김정호-u3t,Crab cake을 보니 문재인이가 처먹은 게살 동그랑땡이 떠오르네 ㅎㅎ....,0,2024-09-08T00:27:27Z
@user-ht7gw9ww1c,저만큼이나 잘생기고 이쁜 시부모님을 두셨네요😊😊😊,1,2024-09-07T05:12:05Z
@user-ht7gw9ww1c,미국은 앞에서 1층 뒤에서 2층인 집이 정말 많은데... 그냥 1층이랑 똑같이 좋다,0,2024-09-07T05:10:38Z
@kikitory,아니 이런거부러우면 저런데살든가 오로노 아파트에만살고  집값만 올려놓고 졸라 가식적이네,1,2024-09-07T02:09:16Z
@user-py8fs4zk8x,서울은 18억이면 40평 이하 아파트…. 미국은 대도시 아니면 정말 싸네요.,1,2024-09-06T21:40:25Z
@sangson5528,미국에서 이정도 못사는 사람도 있나요?,0,2024-09-01T01:32:01Z
@정호승-u6b,1470평에 놀라는 크리스 정작 본인집 부지는 47만평임 ㅋ,7,2024-08-30T04:51:16Z
@user-uh6iz4tx5h,"Houses are so much cheaper in Maryland …, 🥹 than SoCal",4,2024-08-29T03:17:45Z
@user-nn4dp7de8b,저런집이 엘에이에 있으면 <br>50억아상.,5,2024-08-28T16:53:29Z
@byunghsuh8623,"현관 (포이어)에 들어와서 오른쪽에 았는 방은 거실 (손님접대용), 왼쪽 방은 다이닝룸 (만찬용)<br>안쪽으로 들어오면 부엌이 있고 부엌창쪽에 아침식사를 위한 스페이스가 있고 평소 가족은 카운터 탑에서 <br>주로 식사를 한다. 부엌앞쪽이자 거실뒤에 있는방 (일반적으로 거실보다 사이즈가 큼)은 패밀리룸이라 칭함.",3,2024-08-27T22:18:44Z
@rosa-zf5hn,핫독 집 가서먹구 싶다,1,2024-08-26T12:03:57Z
@jongkim9292,워싱턴 디씨엔 90- 150 년 식당이 있고 늘 관광객들이 많아요.맛도 좋고 .,4,2024-08-25T16:40:56Z
@jongkim9292,일본식 아침 이 밥과 달걀에 간장과 미소슾 .,3,2024-08-25T16:37:10Z
@jongkim9292,일본식 아침 이 밥과 달걀에 간장과 미소슾 .,0,2024-08-25T16:30:42Z
@jongkim9292,뉴욕과 캘리포니아가 엄청 비싸요 . 싼데서 샀나 보다 . 택사스도 오일 부자들 사는데 비싸고요 . 50 개 주가 있는데 집값이  다르지요.,15,2024-08-25T16:28:51Z
@mhrosehb,미국은 어디에 집을 사냐에따라 집값이 천차만별입니다 30분 거리로 조금만 교외로 나가도 대저택을 살수있습니다. 시내에 살면 같은값으로 교외에 3-4개의 집을 살수있습니다,25,2024-08-20T01:37:55Z
@RichardLee-ov6ew,미국은 집이 정말 싸다...,7,2024-08-19T23:47:31Z
