Author,Comment,Likes,Published At
@user-zs4me9wd1l,재미있네요 안정환 이혜원 나오니까 더재 미있네요,0,2024-08-16T12:42:20Z
@user-rh3ry3md2x,외국여자하고결혼하는게무슨자랑이냐 ..?   참이해가안가네 ...외국에가ㅓ서살면  왜외국여자하고결혼을해 ...???,0,2024-08-13T23:06:49Z
@bukhansan9483,힌국도 조리원 문화가 없는데 핵가족 시대가 오면서 조리원 서비스가 상업적으로 발달하게 됌,0,2024-08-11T04:41:39Z
@mikekim4833,박정빈선수.. 초등학교때 정말 잘하셨지.. 넘사임 94년생에는,1,2024-08-07T11:40:03Z
@user-sb7wp7hu3r,참 한국은 돈버는데는 ㅋㅋ 타고났다 전세게가 안하는걸 만들어서 여자들 참 좋게 만들어주네,0,2024-07-20T10:05:50Z
@user-wy8hh5if9d,에릭센의 나라<br>호이비에르의 나라<br>그리고 불닭을 금지시킨 나라 덴마크네!,0,2024-07-14T07:58:34Z
@act5774,이쁘다,0,2024-07-14T04:09:08Z
@jsh6998,그냥 축구로 남들보다 많이 벌어도 복인데  저런 부인까지...<br>난 전생에 뭐했나,0,2024-07-12T12:05:48Z
@sk-rz8ye,간판 글씨체가 북한<br>같네 캐나다<br>이민사회 발전좀 해야겠다,1,2024-07-05T14:05:13Z
@JoraoCardoso,꿀탱탱 복귀 저라뎃도 올텐데 솔솔랭랭 무진장 핫해질 예정 입니다..,0,2024-07-02T02:40:14Z
@GenradPlores,레전드 솔솔랭랭 ㅋㅋㅋ드디어 부활했다ㅋㅋ레전드ㅋㅋㅋ,0,2024-07-02T02:39:50Z
@MarieYosikawa,너무나도 유명한 솔솔랭랭 유행은 돌고도는거 아닌가요??,1,2024-07-02T02:39:39Z
@OdeeNicolar,본전이상은 무조건이네 에라 모르겟다 솔솔랭랭,0,2024-07-02T02:39:25Z
@NaoShikikawa,나는야 물만난고기 ㅎㅎ 솔솔 랭랭 푸하푸하 헤엄쳐야징..,0,2024-07-02T02:38:44Z
@CallumEthel,솔솔랭랭 속는셈치고 들어갓따가 완전 인생의 전부가 되어버림..,0,2024-07-02T02:38:32Z
@SouzaRodriues,전장의지배자 솔솔랭랭 이거모름간첩이 아니라 친일파임.,0,2024-07-02T02:38:22Z
@JoseLlacksear,스트리머  솔랭 아주 야물딱이네 솔솔랭랭,1,2024-07-02T02:37:33Z
@HaydenNibbi,돌고돌아 솔솔x랭랭 언제까지 어깨춤을 추게할거야..내어깨를 봐 탈골됬자나 ..,0,2024-07-02T02:37:28Z
@AllenMilsons,솔솔랭랭 대유행,0,2024-07-02T02:37:07Z
@KomaErdo,치맥 조합따위는 아무것도 아닌  솔솔랭랭 궁금하지?,0,2024-07-02T02:36:57Z
@avocado9913,와 그 박정빈이 여기있구나<br>예전에 유투브영상중에 축구선수들 나와서. (아마  이강 손흥민이라는 청대시절 선수들이 )그 시절에 선수들이 볼때 제일 뛰어났던 선수가 누구냐고 하자 <br>그 은퇴선수들이 이구동성으로 박정빈이 동급 최고라고 극찬했는데<br>그 이후에 FC서울에 있는거 봤고 덴마크간거 까지 얼핏들었는데,1,2024-06-29T09:29:59Z
@MultiYoonie,"안정환 감독님, 역시 차도남같지만 김남일코치님 챙겨 주시는것 보면 너무 좋고<br>저의 찐찐팬이신데….저는 북버지니아에 살고있지만 안정환님 나오는 프로그램은<br>다 보고있읍니다 건강하게 오래오래 방송하시고 혜원씨랑 리원이 리환이 네가족<br>행복하세요 응원합니다.",5,2024-06-26T12:02:12Z
@kh24625,한국남자들  다른나라 여성들과도 결혼 많이 하는구나.여성분들이 다들 착해 가정적이고. 남편을 존중하고. 부럽다.. 😊,1,2024-06-09T15:30:27Z
@전지훈-d7r,김남일 선수에게 강동원 얼굴있어요 영화 설계자 보면 김남일 있다 화이팅 👍,2,2024-06-08T09:19:45Z
@onefineday6202,조리원 문화ㅡ》 개호구문화,0,2024-05-19T18:05:09Z
@lsh0204,여자들 절때 자기가 데이트 앱 설치 했다고 안하지 전부 친구가 깔아줬다그럼 ..설치목적은 대부분 원나잇 .... 사실임 .,0,2024-04-07T06:25:44Z
@tv-lg7nu,조리원이 있는게 비정상적이라는 것이 팩트임...  자녀를 가진 아빠지만...  수많은 아이를 가진 아빠들끼리 진심을 이야기 해보면  대부분 이해할 수 없다는 것이 팩트   그럼에도 유지되고 있는거 보면  대한민국은 전세계에서 여성 인권이 가장 센 국가이며  그것에 대한 폐해가  전세계 출산율 최하위...<br>과연  이것이 대한민국이 바르게  가고 있다고 말 할수 있나요?,2,2024-04-06T20:08:03Z
@user-wz2ue2rq6o,국민이 거지냐?  적선하냐 다 니돈이냐?<br>양심이 있어라~~~,0,2024-04-03T22:01:59Z
@xg3571,캐나다 아저씨가 존나웃기네 ㅋㅋㅋ 찜질하는거 그냥 한국인인데,1,2024-04-01T03:31:01Z
@아택이,모두다 예뿐 사랑하세요~😊😊^^❤,3,2024-03-27T07:37:50Z
@user-my8uk7ye6q,아이도없는데 왜 눈물이날까요?,2,2024-03-23T23:40:12Z
@user-mr4ev9vh6q,아내가 남편성 따라쓰는거 같은데..우리나라에서는 상상도 못 할일이네..,6,2024-03-05T10:48:16Z
@mikelee5522,"두 뷴 너무 러블리하고  행복해보입니다, 물론 살면서 항상 행복한 날만 있는건 아니겠지만  초심을 잃지말고 서로 배려하면서 평생  사랑하시기를...^^",2,2024-03-04T13:02:21Z
@mikelee5522,차범근이가  분대스있을때 허정무에게 한 잣을 힘 보고 파를 판단해도 늦지 않다,0,2024-03-04T12:52:11Z
@user-nd8on7wz5h,자유 대한민국은 재주가 많은 국민들이 많은 국민이 많은 국민이다 조금만 재주를 믿고 까부는 인간들은 과감하게 버려라,0,2024-03-03T04:42:44Z
@ktk870,💖💞💕💗💓💘💝,1,2024-03-02T09:20:27Z
@user-tt4hp8fh3r,연예인 오락프로에서 말장난 하지말고 진정한 마음으로 축구에 전념하는 것이 요즘 국민정서에 맞지 않나요?,1,2024-03-01T23:53:42Z
@user-nt4rj8wb9g,전생에 나라구함 저런 미모에 착하고 음식까지 영양학 공부해서 챙기고~,2,2024-02-29T20:14:35Z
@jongkim9292,와이프가 너무 착하다 요리도 잘하고 즐거운 마음으로 하고 애교도 있고 한국말도 좀 하고 얼굴도 예쁘고 복 많은 남자네 .,13,2024-02-29T02:17:19Z
@user-vi9ej6vw3h,샘 ㅋㅋㅋㅋ개웃곀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,2024-02-23T14:32:57Z
@qq-ij5ei,"조리원이 먼 한국 문화야 ㅋㅋ , 중국에 月子라는게 있단다",0,2024-02-23T02:50:16Z
@soo7295,그냥 하는말입니다만 여자는 애낳아주면 지맘대로 해도 되는건가요?그냥 궁금해서 물어보는겁니다 ㅎㅎ,0,2024-02-22T12:06:24Z
@user-dr1ej5sq7g,박정빈 선수 행복하네 쏘니도 저런배필 만나서 재미있게 선수생활 하면 좋겠다!,11,2024-02-19T04:08:34Z
@user-gc7uc2my4l,안정환 아내 과거사진 보다가 지금보니깐 너무역하다;;,1,2024-02-17T12:57:34Z
@pjy0310,난 아침에 삼겹살 좋음~두꺼운 베이컨이라도 구워 쌈싸먹음,1,2024-02-16T16:02:42Z
@kimsunku07,"<a href=""https://www.youtube.com/watch?v=_bHUIlM_7_c&amp;t=645"">10:45</a> 전형적인 한국여자 사고방식 드러나네.. 아들은 무성생식으로 혼자 낳았음?",0,2024-02-10T21:12:05Z
@Prevent831,. 차범근놈이야기두말거라.뛔뛔뛔,0,2024-02-09T21:42:31Z
@user-hd3tj8kl6h,"유럽, 미국은 승무원이 좋은 직업이 아니야,  힘든 직업이다",1,2024-02-05T08:38:48Z
@user-zv2nh7fq5u,차범근상 새이줘라,0,2024-01-26T23:07:26Z
@jeonggonkim3774,박정빈 선수 한국여자 안만난거 축하합니다^^,0,2024-01-21T10:33:39Z
@user-qu2dg1yr1l,부럽디ㅣ,0,2024-01-20T23:43:25Z
@jangbgu2172,외국인에게 발음좀 고칠려고 하지마... 진짜 씹선비들도 아니구 불편하네..,0,2024-01-17T05:22:48Z
@minsooKim-wj2fb,김남일   왈ㅡ팬들에게 사랑의  고구마피자 4000판 필요해요<br><br>Physiotherapy,0,2024-01-16T03:34:39Z
@user-ch9rm7hx3j,박정빈 😂 k리그유턴할때 합의서위반 논란있었잖아😂,0,2024-01-15T10:53:03Z
@mustafahassan5913,전남 뒤통수 쳤던 선수 아닌가? 🙄<br>백승호 수원 사건처럼,2,2024-01-15T07:39:06Z
@동만이,정환이형 와이프 왜이리 성괴같냐,0,2024-01-15T07:16:39Z
@dont9900,첫남자 란 말에 한국인특유의 반응! 촌시런 생각는 금지!😢😢😢,2,2024-01-14T10:07:54Z
@andykim1605,할부좌..,0,2024-01-13T08:17:20Z
@린그,김남일 머리 저리하니 개존잘인데?,4,2024-01-12T08:01:31Z
@hdl1015,할부좌 ㅋㅋㅋ,0,2024-01-08T16:06:37Z
@user-uw2qp5uv1w,와 김남일 덮머리하니까 잘생겼네...,1,2023-12-30T17:12:15Z
@오준영-c5z,호데즈 이팀 참 상남자 팀임. 문제는 박정빈은 쿠프드 프랑스 말고는 안나온다는게 문제... 그냥 호브로에서  쭉 있었으면 어땟을까 싶음... 비보르 가고부터 꼬이기 시작함,1,2023-12-27T06:14:44Z
@weseyuri,오 프랑스로 가셨군요 반갑네요,5,2023-12-26T08:26:11Z
@user-ji4bu1hd8t,와 진짜 김남일은 축구선수였는데 나이들어도 더 잘생겨졌냐? ㄷㄷ,52,2023-12-23T09:37:14Z
@U_can_touch_me,아내분 웃을 때 미소가<br>너무 귀엽다<br>반할만하네<br>남자들 저렇게 웃는 여자 너무 좋아하ㅏㅁ,23,2023-12-22T12:50:53Z
@U_can_touch_me,덴마크로 이민가세요<br>거기만큼 좋은 나라도 없습니다<br>정치는 정말 클린해서 앞으로의 삶이 행복할겁니다.<br>아내와 덴마크 가세요,3,2023-12-22T12:49:15Z
@user-dn8ih6he6w,누구냐 서울fc ㅋㅋㅋㅋ,0,2023-12-18T23:29:19Z
@doctor5725,김남일 존잘이네 진짜,15,2023-12-14T17:07:23Z
@life-cm3lr,김남일 안정환 정말 남자가 봐도...  멋지다,15,2023-12-13T05:30:19Z
@eornvk,유럽에서 여러 시즌을 뛰었는데 피지컬이......??,0,2023-12-12T22:12:08Z
@user-gg2ok9zg8n,규성이도,0,2023-12-11T22:23:03Z
@capacsis,응원합니다~,2,2023-12-11T00:46:38Z
@ongochian,살이 너무 빠진 것 아닙니까? 운동선수가 아닌 것 같은 체구,5,2023-12-09T14:50:51Z
@2448su,산후좆리원이 없다니 미개하군여,1,2023-12-09T09:13:06Z
@Soul_Flow_,"한국된장녀들, 좋은 한국남자 나두고 모하는거야",1,2023-12-08T16:04:30Z
@user-pp1on3gl9p,여자 잘만났네 요즘 아침밥 해주는 여자들 거의 없는데,4,2023-12-07T19:34:01Z
@taega-o8l,박정빈 외국에서 뛴다고 이름만 가끔 듣던 선수였는데 ㅋㅋ,6,2023-12-07T19:00:51Z
@mooyook2,마지막 이태리 패밀리는.. 와우` 이런 예능 프로에서 출산 전후 과정이 ...  방송 사상 처음일듯하네.,8,2023-12-07T10:18:13Z
@mooyook2,샘의 고향이 호주에서 캐나다 토론토로 언제 바뀌었지? ㅎㅎ,0,2023-12-07T09:54:56Z
@구자혁-w2t,애기가 태어나면 궁금할듯,0,2023-12-07T09:43:13Z
@user-ee1ct5cz9k,저선수 국대나 청대 출신인가요? 전첨보는선수이네 저정도 해외경럭있는 우리나라선수가 있다는것도 신기하네요~,3,2023-12-07T09:09:07Z
@sony_white,"덴마크 분 유튜브 찾았어요<br><a href=""https://www.youtube.com/@JBCILLE"">https://www.youtube.com/@JBCILLE</a>",1,2023-12-07T06:57:35Z
@edr24,이번엔 또 덴마크여..<br>장인 장모의 나라들이 점점늘어,24,2023-12-07T06:06:08Z
@user-qk1wc3cm1q,부럽다,2,2023-12-07T05:54:08Z
@kulawdwy,"<a href=""https://www.youtube.com/watch?v=_bHUIlM_7_c&amp;t=262"">4:22</a> 여기 심의없어요? ㅈㄴ웃기네ㅋㅋㅋㅋㅋ외국인이 한국방송 심의 따져ㅋㅋㅋㅋ",4,2023-12-07T05:48:23Z
@kk-se7xc,뒤통수왕~~~,2,2023-12-07T04:34:12Z
@user-dj1ho2hl2x,영화 글래디에이터에 러셀크로 상대역으로 나온 여배우 코니닐슨 하고 비슷한 얼굴형❤  코니닐슨도 덴마크 🇩🇰   박정빈은 손흥민 부러워할 필요없어 ㅋㅋ 🔥   너야말로 성공한 축구인이다 🔥,6,2023-12-07T00:58:40Z
@user-dl7pn9kt4j,미모의덴마크아내는언제나오나여,4,2023-12-06T17:11:09Z
@Jason-wr6bv,mc들 수준이 너무 낮다..쓸데업는 리액션..오바가 많다.. 정환이 남일이 둘니서만 해라..훨 재미잇을듯,11,2023-12-06T15:49:18Z
@Jason-wr6bv,안정환 부인..왜 나와잇니.. 업는게 낫다..정환일 위해서도..병풍이네..,10,2023-12-06T15:45:37Z
@user-jt8rr5ij6g,백인여자꼬신거면 전생에 일본놈 때려잡은 나라의 영웅ㅇㄱ다,0,2023-12-06T15:01:11Z
@Happymom58,"차범근 축구상 선수들은 정말 실력으로 보증수표임. 박지성, 홍현석, 등등",31,2023-12-06T10:59:41Z
@user-lq4mx8ts4j,북유럽 클라스 ㄷㄷㄷㄷㄷ<br>전생에 나라를 백만번 구하셨구만,44,2023-12-06T09:30:31Z
