Author,Comment,Likes,Published At
@GRANOLA-b3y,아기도 기억남는데 조토가 너무 임팩트가 쎄다 ㅋㅋㅋ,0,2024-09-07T00:37:24Z
@user-xk5tq3cm5f,연예로하여 20대에 결혼했는가 모친께서 나이가 40대중말인것 같네,0,2024-09-05T03:55:47Z
@wonpunchguy,병민씨 약갸 빅뱅 대성 닮았거 같네ㅋㅋ,1,2024-08-10T01:41:36Z
@carastanson1836,이탈리아 한국남편들은 헤어스타일들이 남다르십니다,1,2024-08-08T09:38:19Z
@이선호-u1v,째 헤어가 😅🙂‍↕️,0,2024-08-03T23:05:24Z
@글로벌-n8o,완전 천사!❤,1,2024-07-25T04:55:06Z
@글로벌-n8o,"아!! 파도바, 대단한 곳이군요. 걸릴레이 갈릴레오, 코페르니크스 탄생지..😅",1,2024-07-25T04:48:54Z
@sunnykim4093,ㅎㅎ,0,2024-07-12T03:58:37Z
@jkeagle8349,유전자의힘. 눈이 참예쁘다.,1,2024-07-06T22:11:08Z
@user-in4mk5on3v,이탈리아<br>참 아름답고 멋있는 나라죠.<br>이쁜아기랑 멋진 부부랑 다음회에도<br>계속 보고싶습니다.,2,2024-07-01T12:26:25Z
@user-wu5ho8yt2v,부부 가  사회타연예인도기회줘야지 피디머냐,0,2024-06-26T11:58:42Z
@covasfotoman,포대기 하지마시길.  다리모양 생각하시길,1,2024-06-26T11:27:20Z
@user-ci9cl2jc8c,갓양남❤,1,2024-06-15T02:13:56Z
@chungkwangtae,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2024-06-14T03:24:36Z
@user-bj7bb7uj6q,아이구! 이뻐라. 눈이 아쩜 저렇게 이뻐❤❤❤,4,2024-06-09T09:54:46Z
@SK1UROKPark,"Korean moms r the BEST! sorry but its the truth with a touch of <a href=""http://bias.lol/"">bias.lol</a>",0,2024-06-06T04:35:51Z
@SK1UROKPark,i&#39;m so happy that Christina is a part of Korea,1,2024-06-06T04:33:38Z
@user-ox1hq3un5k,"아빠머리가 여자같아요,,",0,2024-06-05T09:21:16Z
@johnnyyung5732,안나의 다이어트는 출산이었군요 ^^ 살 엄청 빠지셨어요 ㅎㅎ,1,2024-06-05T01:16:40Z
@jangjung3469,자식보다 더예쁜게 손주손녀 입니다,0,2024-06-03T16:57:06Z
@user-xr5ks7tw3g,20여년전에 뛰었던 기억이 나네요. 은근 한국 사람들 많이 도전했던 곳이였죠.😮,1,2024-06-02T14:59:35Z
@syk4713,❤❤❤❤😂,0,2024-05-29T05:11:40Z
@이루다-n2z,이탈리아는 도시 자체가 예술이네요!<br>우리나라도 군사독재가 낳은 흉칙하고 천박한 졸부식 흉물 천지 난개발 끝장내고 <br>건물 하나를 지어도 역사유물로 남을 만하게 디자인  신경 좀 쓰자 제발!,0,2024-05-27T17:06:15Z
@bukkaii4917,국결이  답이긴 하네,1,2024-05-27T10:48:17Z
@user-yp6sq7pl5t,한국 아지매들 등산을 많이 다니면 저럼 아찔한 곳도 많이 올라 가봐서 별로 무서워 하지않을 수도 있어요.<br>심지이 일부러 위험한 바위능선을 찾아 다니는 분들도 많아요,0,2024-05-22T14:54:50Z
@VitorJKhan,63시간. 아이고 고생했네.,1,2024-05-14T18:13:47Z
@Hoyoung1202,저 시어머니 우리 담임쌤임,3,2024-05-14T14:52:26Z
@user-yn4gm5ez1f,복수쌤ㅠㅠㅠ 우리ㅜ학교 과학 쌤 이신데 티비에도 나오시고 작년에 저희 과학 가르챠주셔서 감사합니다ㅠㅠ,26,2024-05-14T11:42:31Z
@JC-ke2wr,호주는 굴이 12개에 2만원인데 ㅅㅏ이즈도 조그만하고.. 이런거 보면 한국이 최고임,1,2024-05-12T12:14:18Z
@jkpark5495,유럽 외국에는 참 수학자 철학자 문학자들의<br>얘기가많이나오는대<br>한국은 그런것이별로없지요<br>한국에서는 장군이란이름이제일많이나옵니다<br>하도 한국은 타국으로부터 침입을많이받아온<br>민족이라서 장군이유명하지요,1,2024-05-11T04:29:08Z
@judithlapinou6583,불어로 빠두 라는 곳인가 ? Padoue ?,0,2024-05-09T19:16:45Z
@user-lp3yc1kf6s,깜직한아기다시보싶어요,2,2024-05-03T03:45:13Z
@user-lp3yc1kf6s,옛날생각이나네요포대기,3,2024-05-03T02:13:54Z
@user-lp3yc1kf6s,인형아기,3,2024-05-03T02:06:03Z
@user-gt6pn7bj8y,"&quot;오빠! 우리 저기도 가봤지???&quot; ㅋ,  에라,, 이 모지리들,,,저런 자격도 안되는 것들이 MC라고 가운데 앉아 있는게 꼴불견이다!!",1,2024-04-30T22:50:39Z
@갈채,아기가 바라보는 건 엄마만 바라보면서 입으로는 아빠하네.,3,2024-04-18T07:22:21Z
@user-ey4je2fj9z,포데기 오다리 양산템,1,2024-04-07T03:00:50Z
@김남영-w2x,이탈리아 김옥빈.... 예쁘다,1,2024-04-04T19:51:12Z
@papitoricokim8475,좃또 ㅋㅋㅋㅋㅋ,0,2024-04-03T17:55:51Z
@Brian-jf4kg,정환 ❤혜원 이커플 일상 유투브좀 하시죠,2,2024-03-29T21:38:33Z
@bukhansan9483,번지점프 쫄깃 하겠네,1,2024-03-22T02:41:34Z
@user-vn8fn1sq7u,진짜 번지점프하면 머리털이 곤두서고 아드레날린이 최고치로 나오면서 뇌가 리셋되는 기분이 들것 같다..,8,2024-03-18T05:37:24Z
@user-vn8fn1sq7u,이태리는 거리가 그냥 그림이네....저런데 살면 없던 낭만도 그냥 생기겠다...,9,2024-03-18T05:28:35Z
@user-wy3vb2ou7q,"번지에서 짜증나는 건, 1. 몸무게 공개, 2. 여러 번 튕기는 것과 3. 안전지대 도착이지요.",2,2024-03-13T18:08:36Z
@Min-te1cq,조 ㄸ ㅗ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아개욱기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5,2024-03-10T12:27:33Z
@june-vx3yl,크리스티나가 애가 없어서 부러웠겠다,3,2024-03-09T22:26:49Z
@user-ov3rw4wg4h,시엄니가 아니라 큰누나인것 같이 어릴때 결혼하고 낳으신듯,3,2024-03-04T06:07:07Z
