Author,Comment,Likes,Published At
@sarayoo6921,부추 있는ㄷㅔ 스패인에,0,2024-09-10T08:10:37Z
@LuckyPark-be3dt,😅0,0,2024-07-10T20:40:28Z
@user-vb6ng4xe3i,가이드 답사투어 진짜 대단하당,1,2024-07-03T16:37:34Z
@user-vb6ng4xe3i,이야 집에서 키워야겠다 ㅠㅠ 저리 구하기 힘드니,0,2024-07-03T16:36:43Z
@user-zk1zy1ym5i,저건 한국으로 시집온 미얀마처녀 그런거 아님???,0,2024-05-31T14:35:43Z
@poohhoney3434,"SoYoung, Brian here from Cape Town. Remember me?<br> I heard that you marreid with a guy from Belgium.  Howzit? Hopefully, you are doing well. Its been a while, hey?hahaha i have lots of happened in my life as well. <br>Keep it safe and enjoy your life with your family so far.<br>Cheers 😊<br>Regards, B.",0,2024-05-27T01:02:54Z
@천지개벽-h1z,안정환이부부 왤케 시르까ㅜㅜ,5,2024-05-22T05:24:34Z
@chacha792,안정환만나오묜될거같은뎈ㅋㅋㅌ이혜원은왜나오지 진행실력이좋은거도아닌데 ㅠ 제작진 판단미스,0,2024-05-18T08:57:11Z
@user-br5eo3dt2y,보고 갔네 ᆢ,0,2024-05-06T02:19:57Z
@jangbgu2172,진짜 저리 만나는건 로또수준이고. 펜팔 잘못걸리면 폐가망신 사기천지임.,0,2024-05-05T13:00:38Z
@user-lp3yc1kf6s,선넘은천군천사,2,2024-05-03T03:10:39Z
@gorgopaide8041,벨기에도 뭐 하나 하려면 오래걸리고 비쌀껄...<br>그래서 웬만하면 알아서 해결 하는게 몸에 벤걸텐데.ㅋ 집까지는 좀 오바지만.<br>한국도 타조 고기 파는곳이 있는.. 안퍼져서 그렇지.ㅋㅋㅋ,1,2024-04-19T14:50:34Z
@healinglife9830,안장환씨 너무 센스 있어요 ㅋㅋㅋ 개그에 피가 흐르시는듯..^^<br><br>천생연분 선넘은 부부 너무 이쁘네요. 선댓글 후 좋은시청 허겠습니다.,1,2024-04-08T23:59:15Z
@kcarolina2540,"요즘은 H마트에 다 팔아요~ 부추,깻잎",0,2024-04-04T15:19:04Z
@DANA-xz6ec,역시 한국인들은 부러워서 쪽팔린줄도 모르고 잘사는사람들 욕하기랑 연예인 패널 까기가 전부구만 에휴 ㅋㅋㅋㅋ,3,2024-03-30T08:56:00Z
@sunnyalacidelinaosunny7338,부추심으새요,0,2024-03-22T20:43:30Z
@mswkorea,겐트에ㅡ저정도 집이면 십억내지 십오억,0,2024-03-21T07:04:05Z
@user-ej5qq2xy6p,이혜원은 중간에 흐름을 깨고 자기채널인줄 아나?,7,2024-03-17T03:52:45Z
@user-cj7bn9yd3q,미카엘종족외계인김명현,1,2024-03-07T05:41:28Z
@napperracoon9608,저건 극히 드문 케이스고 펜팔 잘못하면 로맨스 스캠 당합니다,2,2024-02-21T18:03:29Z
@mizmin-ov4uf,감자양파 밀가루 넣고 전해도 되고.  호박전도 좋구 ❤아스파라거스전도 괜찮을것 같아요~~~,1,2024-02-15T03:52:19Z
@하이킥-x2b,부럽다~ 집 넘 멋있어요~!,5,2024-02-13T16:24:08Z
