Author,Comment,Likes,Published At
@l9금-야뎡-s8c,김남일 안정환 조합 너무좋아요!!!!자주나와주세요 앞으로도,0,2024-08-27T02:28:48Z
@user-ej2xq7cw9f,두분 아직 예전모습 그대로네요 멋지십니다,0,2024-08-16T00:44:14Z
@user-mx7ob2tj7f,안정환은 신이 내린 축구선수🎉🎉🎉🎉🎉,1,2024-07-23T04:02:09Z
@user-qf9wd3hs1v,두분다 절친으로ㆍ잘사시길❤❤❤❤❤,0,2024-07-22T03:52:31Z
@곽순철,남이라 너 정원이하고 놀지 마라 이용당한다. 박항서 같이 손가락 발린다.,0,2024-07-15T06:34:50Z
@user-lv2qu3gd4j,방송인 연예인병에  마누라까지 데리고 나와  <br>몸은더럽게  사리는거지<br>연예인 병 에 가만이  돈  버는걸로  축구 는 뭐 귀찬치,0,2024-07-13T11:13:38Z
@김오방,김남일은 안정환을 보고 즐기면서 배우고 함께 하다 보면 <br>후속 타자의 자리가 생긴다..ㅋㅋ,3,2024-07-03T22:01:39Z
@user-kn4st5bc7c,안느 좋은남표임ᆢ서로 사랑하며 잘지내세요,2,2024-07-01T07:00:03Z
@user-rs4zy7js6q,너무 재미 없더라,1,2024-06-25T03:25:50Z
@한마음-v7w,안정환 예능감 쥑인다,2,2024-06-24T14:29:03Z
@COMUSE,두분 캐미 너무 보기 좋아요,1,2024-06-20T13:58:25Z
@user-le1rr6kt6s,😊😊😊,1,2024-06-16T08:20:13Z
@user-ts2lz4ud4d,강동원…..닮ㅁ,1,2024-06-15T13:36:09Z
@여바람,김남일은 말 안하다가 한마디 툭 던지면 진짜 웃김. <br>하던대로 해요~~ 김남일 선수~~ <br>상대 선수 다쳤다니까 내  월급에서 까라고하세요~ ㅋ,2,2024-06-05T04:23:05Z
@user-ts2lz4ud4d,잘생겻어 김남일,4,2024-06-02T05:14:40Z
@soyongmun4402,저는 잘보다가도 이천수 나오면 무조건 안봐,0,2024-05-12T02:28:41Z
@user-su5bg8mr1w,안정환 : (김남일이) 많이 컸어요. 옛날에 제 꼬붕(?)이었는데,4,2024-05-01T14:51:10Z
@user-ii1iv1fl1i,김남일 너무 재치있고 말발좋고 재밌어요,12,2024-04-28T04:16:36Z
@entn8769,안정환은 연예계에 한이 맿쳤나. 축구발전에는 전혀 관심이 없네.,2,2024-04-27T09:57:18Z
@user-jk7mq7qp7w,깅낭일선수 ㆍ 넘멋쯔요~~,4,2024-04-16T06:14:37Z
@user-jk7mq7qp7w,김남일 찐  상남자 매력적인  김남일상남자~~,5,2024-04-16T06:08:17Z
@user-ki6lt5tk1b,안정환 슈퍼울트라 정신병자,2,2024-04-13T08:45:00Z
