Author,Comment,Likes,Published At
@user-sg9kg8ix7p,"지금 테헤란로는 팔레비 왕조 때 이란이고,,, 현재 이란은 러, 북이랑 테러 저지르는 나라고,,, 팔레비왕조의 이란은 좋지만 지금은 테러 국가 맞잖아,,,",2,2024-08-13T03:22:09Z
@user-zi7yn2nl6m,아주좋아요,1,2024-07-25T14:47:31Z
@TmO2O21,"<a href=""https://www.youtube.com/watch?v=vqKdRLoM7j8&amp;t=277"">4:37</a> Arabic song ????? 😭😭 <br>Iran is Persian country 😬 <br>Persian coutries : 🇮🇷🇹🇯🇦🇫",0,2024-07-18T13:32:06Z
@jeekgardel2662,이란과 이스라엘 친하게 지내길,0,2024-07-12T06:27:03Z
@dbstjy7639,국제결혼은 참 행복한 일인 것 같아요! 서로 다른 문화임에도 불구하고 이해하는 모습이 아름다워요. 하지만 그만큼 현실의 벽에 부딪치는 갈등이 있을 거라 생각해서 쉽지 않을 것 같네요....ㅜ,3,2024-06-08T13:38:23Z
@user-dt7kg9il3n,예전 인간극장에서 이란여성들 보고. 미인들잊 많아서. 정말 놀랐던 기억이 나요. 알렉산더 대왕이. 페르시아를 정복한뒤. 거기여자들이. 너무 아름다위서. 몇달동안. 눌러 앉아있었다는. ᆢ잠재력이. 많은 나라인데. 안타깝네요. 핵이. 있어서. 함부로. 할 수있는 나라는 아니지만. 미국과 대립해서 잘되는. 나라는 없던데,1,2024-05-29T13:27:30Z
@arefeh99,이란에 대한 언론의 거짓말에 귀 기울이지 마세요..이란 여행을 후회한 사람은 없습니다.,0,2024-04-12T21:52:14Z
@arefeh99,"가짜 언론으로 진짜 이란을 모르는 이란은 친절한 사람들과 고대의 역사와 문화를 가진 크고 아름다운 나라입니다... 이란을 다른 나라와 비교하지 마세요, 모든 나라에는 고유한 문화와 전통이 있습니다... 보시죠 이란의 아름다운 자연과 그 곳의 역사와 맛있는 음식에 놀라게 될 것입니다.",1,2024-04-12T21:50:24Z
@user-lp3yc1kf6s,복받길빕니다,0,2024-04-04T01:53:15Z
@user-vo8vp2jr8y,이란사람들 개개인은 하나같이 좋은데 집단이 되면 이슬람 과격파가 된다,0,2024-04-01T16:39:05Z
@user-ty8tx4nz3i,안정환 과마누라진짜사회못보네,1,2024-03-29T19:20:21Z
@307signal,"국적을  넘은 사랑  존중하지만<br><br>아직은  이란은  적국이다  북한과 더  많은교류와  지원을 하는국가<a href=""UCkszU2WH9gy1mb0dV-11UJg/7cIfY5niDOmSkNAP08CA6A4""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/7cIfY5niDOmSkNAP08CA6A4""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/7cIfY5niDOmSkNAP08CA6A4""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/7cIfY5niDOmSkNAP08CA6A4""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/7cIfY5niDOmSkNAP08CA6A4""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/7cIfY5niDOmSkNAP08CA6A4""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/7cIfY5niDOmSkNAP08CA6A4""></a>",5,2024-03-07T18:38:39Z
@user-yy5pb1dx4g,일본도 옛날 중세시대때까지는 기본성과 중간성이 존재해서 이름이 겁나게 길었죠. 그래서 일본 사무라이들도 이란인만큼 이름이 겁나 길었는데 현대시대에 들어서는 일본에서 중간성은 더이상 안쓰는데 이란은 아직도 중간성이 있었군요.,1,2024-03-04T01:02:20Z
@secondgenie,나! 이란싸람이야~~~ 라고 DJ DOC가 말했지.😊,0,2024-02-11T15:45:17Z
@enan1468,Wife looks much older.,0,2024-02-09T19:59:09Z
@홍-t2n,술이랑돼지는 포기할수없어,0,2024-02-06T20:07:42Z
@user-hg4qd4lf2g,한국 남자와 이란 여자와 결합 인종개량 하면 최고의 인간이  나올것 같습니다,0,2024-02-01T13:34:19Z
