Author,Comment,Likes,Published At
@user-qm9js6nf1v,"잉꼬부부라고 소문난 연예인도 실제는 쇼윈도 부부인경우도 많고<br>실제 이혼한 부부도 많지,ㅋㅋㅋㅋㅋ금슬 좋아 보여도 속은 아무도 몰라.<br>남자는 돈있으면 밤에 룸싸롱 많이 가지,ㅋㅋㅋㅋㅋ",0,2024-08-16T08:37:08Z
@user-qm9js6nf1v,"나이도있는데 저정도면 보톡스 시술 성형외과,<br>졸라 갔겠지????????",0,2024-08-16T08:34:13Z
@SKY-ne2yh,"막말 한번 합시다. 이탈리아 음식 부심 대단해도 솔직히 대한민국 음식(육,해,공,발효장) 만큼 다양하고 푸짐한 음식문화 없는듯 합니다. 국뽕이라고 욕해도 할말 없지만 이탈리아 여행 해보니 그럼 ㅇㅇ 전통 중요하지만 문화는 교류하면서 발전 하는것이지 선진국 이라는 나라에서 전통 따지면서 불편을 감수하는것 보면 좀 모자란듯 ㅇㅇ",0,2024-08-14T05:05:36Z
@user-op9ny4oz9y,"<a href=""https://www.youtube.com/watch?v=xECJxSsHsrc&amp;t=75"">1:15</a> 야 트리플 샷 에서 확실히 비교된다 안정환 진짜 잘생겼구나 꽃미모 어디 안갔다 어디 안갔어 유세윤이랑 진우 둘을 ㅇ한벽한 오징어로 만들어버렸어",0,2024-08-09T14:41:36Z
@ForEver-ls1vi,이혜원 안정환  가정이 화목하고 너무 편해요  두분 선남 선녀 천생연분이예요 두분 사랑하시는 모습이 보여요,0,2024-07-20T05:45:37Z
@user-hk9yr7ld8v,갑자기 TV를 보는데 선 넘은 패밀리를 보았다. 안정환 부부 너무 너무 기 잡고 너무나 잘 어울려요. 정말 정말 예뻐 보여요. 끝까지 예쁘게 예쁘게  익어 갔으면 좋겠어요.,0,2024-07-16T02:10:33Z
@user-gq8wv3xr3z,안정환씨 이번 사태 입장표명 안합니까?,0,2024-07-13T11:54:54Z
@Justlikethat2978,안정환이 인기인 이유 축구는 당연히 잘하고 재미도 있고 무엇보다. 삶의 태도가 좋은 올곧은 사람임 그래서 인기인이지,5,2024-07-13T11:14:12Z
@user-genfq2djixfs,둘다 어울리는 부부라 그런지<br>겉만 번드르르한게 아닌 진심<br>내실있게 살아가려 하는 모습이<br>엿보이고 또한 현명하게 살아가는<br>삶의 지향점이 서로 닮았다고 할까?!,1,2024-07-08T18:10:43Z
@youngone999,"이혜원, 대한민국에서 가장 행복한 여자.",2,2024-06-29T00:38:19Z
