Author,Comment,Likes,Published At
@karabelle33,"거의 삼십년 전에 미국 푸드네트워크(아마 제일 큰 케이블 요리채널인 걸로 아는데)에서 한식특집이라며 김치 요리사들이 레시피를 소개한다고 나왔는데...<br>한명은 한국계이긴 한데 한국말을 할 줄 몰랐고(한식책을 영어로 써서 나름 유명해짐... 그런데 레시피가 이상함), 한명은 중국인이었음.<br>김치를 어디 싸구려 구내식당에서 보조 뛰면서 배웠는지... 배추랑 무를 데쳐서 유리병에 담은 후 양념을 붓고 숙성시키는 레시피였음.  한데 그 양념이란게 그냥 핫소스에 마늘 넣고 고춧가루 붓는 거임.  심지어 한국고추도 아니었음.  숙성시킬 시간 없으면 식초를 더 추가하라고 자랑스럽게 말함.<br>그 옆에서 싱글싱글 윳고 있는 한국계셰프가 더 경악스러웠음.  직접 김치를 담궈본 적이 없는 눈치였음.<br>그걸로 볶음밥이랑 찌개를 만들었는데, 잘 해봐야 김치똠양꿍 맛이 나겠구나 싶었는데 둘이서 맛있다고 먹더라...<br>정작 사회자는 한 술 떠보더니 인상 찌그리고 맛있다고 안 함.",0,2024-08-02T18:41:31Z
@user-vz6ur3sv4h,성덕님은 텐션이 좋아서 뭘하셔도 성공할듯  한국에 와서 코메디언해도 될듯,1,2024-06-23T00:00:36Z
@A-i-4-U,제발 간장게장같은거 억지로 권하지 않앗으면; 간장게장 한국에도 안좋아하는 사람들 많아요 저도 비려서 못먹겟던데… 가뜩이나 비린거 못먹는 외국인들한테 비린내 잔뜩 나는 음식을 왜 갖다 들이미는지;;,2,2024-06-11T23:48:03Z
@han5243,나폴리 팬입니다...작년에 진짜 감사했어요~~,0,2024-06-08T20:55:52Z
@bananamilk75,이탈리아 꽃게 안 먹습니다.,0,2024-06-08T08:53:51Z
@업데이트취소,간장ㄱㅖ장은 숙성 해줘야 맛있지,0,2024-05-24T05:12:25Z
@meunggeunsong2874,간장게장은 처음먹는 사람이 먹긴 좀 부담스럽죠  차라리 익숙한 꽃게 된장으로 시도하는게 훨씬 나았을 듯합니다.  이탈리아 어부가 얼마나 대단한진 모르지만 알지도 못하는 식재료를 재대로 보관했다고 보기도 힘들고..  하다못해 꽃게라면이라도 끓였으면 더 먹을만했을듯..,0,2024-05-12T21:00:58Z
@minho955,확실히 한국인이 남에게 권유하는게 과할정도가 있긴 합니다만.. ㅋㅋ<br>자연스럽게 맛있게 먹으면 궁금해서라도 먹어보긴 합니다..<br>권유보단 자연스레 접근할수 있도록 두는게 맞다고 봅니다.,0,2024-04-21T09:22:16Z
@user-rj9us7mz2t,한국인의 딸입니다... 당연히 맛잇죠~,0,2024-04-19T15:43:38Z
@용림큰곰,생게는 얼려서 해동한 후<br>게장 담궈야 합니다<br>기생충이나 박테리아가<br>간장에 재워지는 동안<br> 거의 다 죽지만 더욱더 살균을 신경쓰려면 얼려야 해요,0,2024-04-19T11:07:21Z
@bossbsj1739,옛날  영국이 랍스터가 너무  많아서 죄수들 한테 줬다는  얘기를 들었는데 프랑스가 그 걸 요리해서 잘 되었다고 하네요,0,2024-04-07T01:55:35Z
@Viva_La_Vida_kr,굴을 자주 먹는 지역이라면 거부감이 없을건데<br>외국인들은 초딩 입맛이랑 비슷한듯 새로운 음식에 거부감이 강함<br>갑각류 살은 거의 맛이 비슷한데,0,2024-04-06T14:20:29Z
@user-qt6gc7pm9d,근데..<br>유투버하는 사람들이 많이나오는게..ㅉ<br>신선한건 없네요..,1,2024-04-06T11:34:40Z
@user-nt6gz5hv5r,30년전 독일 라인강 벤치에 앉아 따사로운 햇살을 맞으면서 즐기던 나의 젊은 모습이 그리워집니다.,0,2024-04-05T03:49:22Z
@JH-tv3bt,거부감 있을때는 맛있어도 체면이걸려서 맛이 있을수없음..오히려 몸이 거부해서 체하기만함...최소한 경험해볼까라는 생각은 있어야 맛을 느낄수있음..심리적인게 무시못함,0,2024-04-03T15:08:36Z
@user-fc4jd2yt5n,차라리 그게를 우리가 수입하는게 좋치않을깡?? ㅋㅋㅋ 게네들도 돈벌고 우리는 싸게먹고 ㅋㅋ,0,2024-04-02T07:39:33Z
@springwind-msk,"ㅉㅉ 제가 봐도 첨에는 꽃게찜으로, 꽃게의 달달함을 어필하고 마지막에 게장이 옳았다 봅니다.<br>왜냐하면, 게장...잘 만드는 집에서는 달달하게 맛나지만, 잘못 만들면 걍 짜기만 할수 있거든요.<br>게다가...밥하고 같이 주는것도 아니고;;; 전략 미스 같네요 ㅜㅜ<br>저라면 무조건 꽃게찜부터...흠.흠.",0,2024-03-30T16:04:42Z
@user-nj2zx2gj3s,저희 베트남 장인 장모님 대게 처음 드시는데 많이 좋아하셧어요ㅋ기,0,2024-03-30T14:37:16Z
@시라소니-b3g,게국지를 한번 도전 해 보심이. 김치야 지금 다들 한번쯤은 들어봤으니 김치를 이용한 게국지 특이 하면서 나름 건강하고 한국의 맛 또한 보장이니,0,2024-03-30T09:41:29Z
@user-oy5xp9er5u,토고전까지 안정환 선수 외모 리즈였지ㅋㅋㅋㅋㅋㅋ결혼 하고 나이가 들어서는 점점 마리오형님이 됐지만..,0,2024-03-29T06:49:25Z
@youngdo7,외국인 그것도 서양인한테 먹지도 않는 날 음식을 자꾸 먹으라고 하네<br>방송이지만 거북하다,1,2024-03-29T06:18:22Z
@user-jk6yb8tj5j,난 간장게장 먹고 토쏠리던데.. 왜 좋아하는지 이해를 못함 ㅠ 내가 처음으로 시작한 간게가 문제였나,0,2024-03-29T05:58:26Z
@user-tx7iv7yc5q,게 손질하기도 귀찮고 먹기도 불편한데 안좋아할만함,0,2024-03-29T04:48:53Z
@user-cl9fd2fi1l,😂😂😂😅,0,2024-03-27T20:10:14Z
@user-cl9fd2fi1l,"우리나라에선. 반탱이 ,눈탱이,",0,2024-03-27T20:09:37Z
@user-ft8my2yo6s,상금 걸어놓은거겠지 아님 캐스팅<br>곧 한국은 한국이 아니라 다문화 가정이 될거란거죠 한국이란 나라는 사라질겁니다,0,2024-03-26T12:25:10Z
@user-go8lq9kv7v,세바형은 여복 뭐냐 아내랑 딸 천사 두명이랑 사네,0,2024-03-22T15:11:03Z
@EKKLESIAKKIM,게 튀김을  갔어야 했는데,0,2024-03-22T04:52:10Z
@Giniman,맞어  친구가  외국갔다가  빡쳐서  아이씨$ 버스왜안와  했는데 옆에 있는 아저씨가  학생~  그 버스  는  이미지나갔어!  라고 한국말로 하시더군요 ㅋㅋㅋㅋㅋ <br>친구 당황해서  네? 하니까  <br>외국인 아저씨가  그버스말고 다른 노선버스 환승하면 더빠르다고 구글 지도 있냐고 하시더니  <br>오히려  타려던 버스보다 20분더빨리 도착했다는 ㄷㄷ,0,2024-03-21T22:07:35Z
@LINA-vn1me,이탈리아 가족 엄청 웃었어요ㅋㅋㅋㅋㅋㅋ,0,2024-03-17T12:31:05Z
@duboosoon,혹여나 이태리분들이 맛있다고 할까봐 조마조마 했네요<br>다행이에요~,0,2024-03-17T01:29:44Z
@user-vv2gm1gt1e,한국음식은 죄다 전라도에서 비롯되었나? 홍어 산낙지 등 한국사람도 먹기힘든걸 왜 맨날 외국인에게 먹이는건지 모르겠다,0,2024-03-15T20:42:36Z
@user-vw3lz6wsdd,다른것보다 외국에 요거트 스무디가 별로 없어,0,2024-03-15T03:20:02Z
@검정봉지,"<a href=""https://www.youtube.com/watch?v=xGwZSVbC-ak&amp;t=1113"">18:33</a> 이 법적 피카 타임 회사에서 사무용품 마냥 제공되는 믹스커피라고 생각하면 이해가 빡 되긴...함 한국에서 믹스커피는 법적으로 보장되진 않지만 ㅋㅋㅋㅋㅋ 없으면 야 그거 복지 개그튼거 소리 바로 나오지",0,2024-03-14T11:43:45Z
@leekoko7289,이탈리아 사람들이 게를 안먹는게아니고 요즘 많이 잡히는 화재의게가 외래종이라 안먹는겁니다 그리고 조개를 훨씬좋아하기 때문에 조개 천적인 게를 잡아서 퇴치하는데 먹을사람이 없어서 버리는거구요<br>웃기는건 블루크랩은 미국에서 흔히 잡히던 게인데 미국에서는 인기가 많아 개체수가 감소했고 블루크랩이 이탈리아에서 잡힌다고 하자 가장먼저 수입을 타진한게 미국입니다 그리고 세계미식의 기준이 이탈리아에서 시작되었는데 뭘 먹을줄 모릅니까 ㅎ,0,2024-03-13T17:08:44Z
@user-uu1mq3em3v,이탈리아 꽃게를 모두 한국으로 가지고 오면 대박나겠당...<br>저걸 안드신다고? 흐미..<br>한국에선 비싸서 못 먹는거잖어요.. 이긍..<br>근데 한편으론 행복하기도 하고.. 이탈리아 사람들이 꽃게 맛을 모른다는게 왠지 안심이 된다..ㅎㅎ<br>그 맛을 알아버리면 우린 비싸서 못 먹을거다.. 어쩌면..,0,2024-03-11T10:03:36Z
@껌꾸끼까,난 간장게장은 한번도 안먹음<br>우리 가족들 다 잘먹는데 난 안먹음,0,2024-03-09T10:02:57Z
@user-cw7pu1tz4g,게장은 낼모레 50인 나도 안먹는데… 아니 못먹음. 게장 좋아하는 사람들이 의아해하는 표정 지을때면 참 머쓱함. 먹는것만큼은 강하게 권하는 거 하지맙시다.ㅠㅠ,0,2024-03-08T04:44:21Z
@알못알못,간장게장을 그날해서 그날 먹으니 맛이없지 ㅎ,0,2024-03-06T23:27:27Z
@user-sc6fm7lc9t,딸래미가 아빠안닮고 엄마를쏙빼닮아서 천만다행이다 졸귀탱 긔요미😊,1,2024-02-22T17:58:26Z
@user-vl9ph2tr1w,이탈리아 저분 한참 김민재 축구 이탈리아에서 할때 자주봤었는데 ㅋㅋ성격 엄청좋던데 ㅋㅋ,0,2024-02-19T02:19:59Z
@user-dw9jm8xz5c,라면 먹을때 한마리씩 넣어서 먹고싶네,0,2024-02-11T06:55:40Z
@인생은혼자야,해산물을 잘 안먹는 지역이면 생소한 음식보다 게살파스타로 접근시켜보셔야지..,0,2024-02-10T07:40:21Z
@533-y2k,세상에서 가장 깨기 힘든게 노인들 고정관념이다.,2,2024-02-07T14:20:59Z
@mipark3815,이탈리아 꽃게편 남편분 너무 유쾌하고 재밌는 분이세요<br>이분편은 다 재밌어서 찾아보게 되네요<br>이분은 끼가 있으신것같아요,0,2024-02-06T05:05:33Z
@yeaha560,간장게장은 몇일 삭힌 뒤 먹어야 해요,0,2024-02-05T04:22:43Z
