Author,Comment,Likes,Published At
@user-lh2hi9gs1t,살림 잘하는 사람찿아요  아인데요,0,2024-09-13T05:10:28Z
@user-bm2ox5xq2x,에녹아ㆍ빨리가라ㆍ아버지말잘들어라ㆍ의사하고하라ㆍ국가에봉사하라ㆍ에녹ㆍ파이팅,1,2024-09-13T04:41:08Z
@윤흥순-g6d,나이 좀어리고  순수한 사람 만나 행복 하시길 바라는 데  ❤,2,2024-09-13T00:01:52Z
@user-ru1zx1cg2u,에녹 님<br>시간이  갈수록<br>더 진한 향기를 품어 내시고 <br>속이 꽉 찬 사람냄새 <br>풀~ 풀~ 풍기며 준비된 실력을 뽐내시는 <br>울 에녹님 격하게 응원합니다,6,2024-09-12T21:48:34Z
@user-mt7ye8pp9f,에녹님 이번에 잡으세요 그리고 정현님도 우리에녹님이 넘 좋은분이니까 꽉 잡으세요<br><br>난 갈수록 에녹님을 좋아하게 됐어요,8,2024-09-12T16:41:34Z
@user-fe1kz1en7n,너무두분 예뻐요 결혼까지 가시길요,7,2024-09-12T14:18:42Z
@user-yx5tq6fz2n,강정현씨 묻지도말고 따지지도 말고 무조건 사랑하세요  저애눅씨 팬이예요,8,2024-09-12T12:40:38Z
@안영심-e9i,예쁘네요꼭.<br>결혼하세요,6,2024-09-12T11:44:15Z
@user-fe6hv4es5r,준비된 에녹님 ❤짝❤,8,2024-09-12T11:29:41Z
@user-vq9ru5os8z,신랑수업등장인물가운데<br>최고의 미인이다🎉,9,2024-09-12T11:28:48Z
@syaosyao-kh6sm,다해 진화 귀엽당 ㅋㅋ,3,2024-09-12T10:20:59Z
@syaosyao-kh6sm,이제껏 만난 사람중에 제일 괜찮다. 에녹아 꼭 잡아라,7,2024-09-12T09:52:56Z
@user-vb6hy8hq9q,쌍팔년도도 아니고 무슨 6대 독자 근데 저 남자 뭐 하는 사람 이고,3,2024-09-12T08:42:21Z
@user-db8ww9sf2t,응원 할게요  !,9,2024-09-12T05:26:48Z
@bae3794,애녹 상대중 에태껏  제일잘어울리고 예쁘다,11,2024-09-12T05:08:21Z
@user-xw9qt7zx9g,진짜 이쁘네요.~~,9,2024-09-12T04:46:02Z
@changyoungah-us4kv,"에녹님 응원합니다 ㆍ<br>배려하고 착한 에녹님모습  다보이네요 ㆍ<br>두분 참잘어울리네요<br>여자분도 착한거 같고 ㆍ <a href=""https://www.youtube.com/watch?v=08xC7dl-0FU&amp;t=130"">2:10</a>",11,2024-09-12T03:25:57Z
@강외자-y4d,에녹님하고 정현님<br>선한모습도 너무 잘어울려요<br>좋은소식 기대합니다,14,2024-09-12T02:13:37Z
@이경숙-e7n,신랑수업 에녹 님  항상 행복하시고 승승장구 하시길 빌겠습니다 에녹 님 편 이되어 정말 좋습니다,12,2024-09-11T23:13:03Z
@user-ru1zx1cg2u,착하고  효자인 에녹 님<br>앞으로  꽃길만 펼쳐질것같아요<br>멋진에녹님 응원합니다,14,2024-09-11T22:12:55Z
@user-ru1zx1cg2u,두사람 너무예뻐요 <br>지적인성품과 웃는모습 너무 예쁘고<br>너무 달콤해요 <br>두분 잘되시길~~,13,2024-09-11T22:11:32Z
@user-bt2yg7ig6h,강정현이쁘다❤❤❤❤❤❤,4,2024-09-11T19:56:10Z
@user-on6nh5xr1l,애녹씨의사고변호사고직업은좋지만평멈한여자랑결혼해요신앙심이좋은여자랑해요여자직업좋은면가정이안편타평멈한여자랑해요,1,2024-09-11T13:29:59Z
@heejukim8360,아나운서 닮은듯..jtbc,4,2024-09-11T12:26:13Z
@user-jh7dh5ic8b,에녹 님  두분너무너무 좋아요 커플 되면 최고예요  멋져요,11,2024-09-11T12:24:06Z
@user-qh9dh9tb5u,여자분 미소가넘좋으시다<br>물론사람은격꺼야겠지만,7,2024-09-11T12:13:48Z
@user-qg5tb7ts6j,진짜 너무너무 잘어울려요,9,2024-09-11T11:55:48Z
@오아시스같은날,선녀같으다..,5,2024-09-11T11:38:33Z
@jungjiyoung656,이거보고 에녹님 팬되었어요. <br>어쩜 이리 말씀을 이쁘게 잘하시는지..<br>여자분 의사에 외모또한 할말을 잊게 하네요. 웃으시니깐 저도 막 설레이네요..<br>두분같이 계시니깐 영화에 한장면 같아요..<br>두분 같이 계시니 서로 빛이 나네요..<br>너무 응원합니다!!!!<br>다음편 너무 기대되요!!!,12,2024-09-11T10:59:44Z
@user-sb8tu7hr4v,에녹님이 좋으신분이라 복받으셨나봐요 꼭 잡으세요 결혼하시길~~~❤,9,2024-09-11T10:20:28Z
@user-xf1hb1fl1h,멍청한 순진한척하기는 잔머리~,2,2024-09-11T09:33:38Z
@user-du2du9qg6v,허망한 말만 하지 말고 나이도있고 빨리 결혼 해라 20년 30년 이상 살수가없다 마음 생각에 걸림없ㅇㅣ 살다 가거라  시간 없다.번개같이지나간다,0,2024-09-11T09:22:00Z
@유병해-t4r,"제발 잘되길 <a href=""https://www.youtube.com/watch?v=08xC7dl-0FU&amp;t=151"">2:31</a>  🙏 할께요",2,2024-09-11T09:02:02Z
@pol636-o4e,"그냥여자분자체만놓고봐도 혹할거같은데 거기에 지성겸비라니...약사,의사아니더라도 저정도면 진짜 최고아닐까생각드네요.직업은 그녀를 더 빛나게하는요소입니다.에녹씨잡으세요.",8,2024-09-11T08:39:25Z
@노영철-x5l,때묻지 않은 청년 에녹이 상대를 만나 웃는 얼굴이 너무 보기 좋다. 정현양 이런 청년 놓치지 마세요...,10,2024-09-11T08:13:00Z
@dcba851,"에녹님, 아이는 둘은 낳아야한다고 못을밖아요. 하나만 낳으려는듯 보여요.",1,2024-09-11T07:52:17Z
@user-ru1zx1cg2u,멋진에녹님 응원합니다 <br>두분 너무좋아요 <br>지적인성품과 웃는모습예뻐서 흐믓했어요 <br>결이 비슷하고 결혼까지 성공하시길~~,10,2024-09-11T07:21:42Z
@user-ys9fc2ep9i,에녹님천생연분만나거가타요응원합니다,11,2024-09-11T04:55:04Z
@user-so9yv6mh1t,진실되고  솔직하고 속이깊고 배려심 많은 에녹님 정현님과  정서가 너무잘  맞을것 같아 진심으로 <br>잘 되시기를 응원합니다 <br>정현님도 에녹님 같은분 어디서도 만날수 없는 최고의 신랑감  입니다 꽉 잡으세요~<br>놓치지 말아요,9,2024-09-11T03:16:44Z
@김명진-e4h,이커플은 동아커플처럼 흐지부지 되지말고 결혼까지 가시길 기원 합니다,6,2024-09-11T03:09:01Z
@ssk-ic8ro,남지현배우님 닮은것 같기도 하고~~<br>에녹님 화이팅~~,6,2024-09-11T02:24:11Z
@user-ij1ws1me1o,여자분이 빠지신거 없으시네요<br>에녹님잘해보세요<br>에녹님 눈이 엄청 높아보이긴하삼,9,2024-09-11T01:56:18Z
@user-qm4dc7dt6j,두분잘 맞네요.<br>응원합니다.,8,2024-09-11T00:29:10Z
@naboajj79,여자 너무 매력적이다  약사.의사 미모까지 넘사벽❤  에녹님 놓치면 평생후회할듯~~여자분이 성격도 반듯하시고 진짜 짱❤,7,2024-09-11T00:11:28Z
@fh-f7g,다음주엔 두분이 <br>나오실것 같은<br>느낌이 드네요,7,2024-09-10T23:59:21Z
@user-vb7qq4jv9d,방송용이 아니길~🎉,2,2024-09-10T23:24:44Z
@cityfarmer48,저는 에녹을 좋아하는 찐팬인데요 왜 에녹은 파트너가 자꾸 바뀌는 건가요? 신성이나 김동완처럼 성공스토리는  안되고 에녹에게 무슨 문제가 있는 건가요?,0,2024-09-10T22:42:12Z
