Author,Comment,Likes,Published At
@user-yo6dn2ix4q,바위에 치마만 걸어나도<br>여자로 보인다 남자란<br>강혜연 남편복많고 심성이<br>고운 공주님복덩이 만나기<br>힘들텐데 ㅉ,0,2024-09-13T02:41:59Z
@user-yo6dn2ix4q,각자무치<br>여인의 매력은 복덩이<br>혜연공주는 되야지❤,0,2024-09-13T02:30:14Z
@user-bt2yg7ig6h,멋진 부부 일심동체❤❤❤❤❤땡큐다,1,2024-09-12T09:11:48Z
@최현숙-z2m,강혜연과잘되길바랬는데아닌가요혜연양예쁘고좋던데실망이네요,0,2024-09-11T00:01:39Z
@user-jl2ld4bv9h,에녹님~ 삼프터 안에 꽉 잡으셔야해요 넘 훌륭하신 배필이세요 😊,1,2024-09-10T16:50:29Z
@user-ys9fc2ep9i,강혀짖,0,2024-09-10T08:49:20Z
@user-ug7hq4hq2u,데니안너나잘하세요,0,2024-09-10T08:00:14Z
@user-oo2vg4uc2l,에녹 ^^<br>저분 미모 인성 실력 모두 짱입니다<br>어녹 화이팅 ^^,17,2024-09-10T05:26:30Z
@Clara-l9t,방송보는 우리가 더 설레네요 두분 넘 잘어울려요  모든 일에 최선을 다하는 에녹 정현 님  열응합니다. 서로 보완하며 달래고 이끌어 주는 느낌. 좋은 배우자들 같으네요,5,2024-09-10T04:21:14Z
@user-gu8bb3nb3d,일등신랑감에녹님. 정현님 정말 선남 선녀네요  너무잘어우려요  잘웃는모습도 닮았어요 예뻐요. 잘어울려요 정말잘되길 응원합니다,6,2024-09-09T03:44:14Z
@user-qs9eo5le3n,에녹님이  말주변이  없는거갇지만   조심스러워서   그런거갇에요   찐입니다  진짜😮😮😮,6,2024-09-09T00:49:12Z
@user-fr7zl5tg2o,이장면를 종일보고 있네요 ㅎㅎㅎ❤❤❤🎉🎉꼭 연이 되시길,8,2024-09-08T11:42:32Z
@user-bt8uz9ld8x,에녹님 정현씨<br>꼭 잡으세요<br>너무 둘이잘 맞아요<br>꼭 꼭꼭  두손잡아요<br>너무 좋아요<br>둘이~~,17,2024-09-08T10:43:32Z
@user-ik2vy6qf9w,잘 어울려요^^,10,2024-09-08T09:06:45Z
@user-lq5xi7eb1q,에녹.님.방송내내.마음설랬어요.저희.팬들은.에녹.님.행동에서.수줍어하는모습.당황하며.뚝딱거리는모습.첫눈에반하신걸로.에녹.님.에인간미가돗보였어요.넘.재미있어.계속.재방시청중.에녹.님.두분.응원하며.데이트.하시어.서로알아가시어.결혼까지.꼴인하시면하는바램.그것이현싫이면.좋겠어요.화이팅,22,2024-09-08T06:43:56Z
@user-xi3fe6vg8u,두 분 닮읏 듯 참 잘 어울려요<br>신랑수업 그만하시고 신랑으로 진입하시면 좋겠어요<br>정현님 우리 에녹님 진짜 멋진분이시니까 좋은일 많이 만들어가시면 좋겠습니다,12,2024-09-08T00:28:01Z
@김매화-t2k,에녹 비호감 에녹 비호감 에녹 비호감 저여자도 비호감 저여자도 비호감,3,2024-09-07T22:22:17Z
@김매화-t2k,에녹  바보같아요 뭐대단한 임물이라고 강혜연 하테도 꼬리치더니 이여자 저여자 즐기면서 살지 왜프로나와서 쇼만하고그래 원래는팬인덴 싫이져서 비호감 비호감,3,2024-09-07T22:21:16Z
@벽뚫고나온딱여사,"지적이고 예쁜데,<br>마음씨도 고울 것 같은 천상배필~♡",9,2024-09-07T16:15:45Z
@user-cr3no3bn2z,첫눈에 확 반해야 되는데 <br>남이 보기엔 예뻐 보여도 본인이 좋아야 겠지요,4,2024-09-07T12:32:18Z
@user-jz6zf5im5w,정현씨  최고 배필인듯ㅡㅡㅡ에녹씨는 이미 빠져있고<br>정현씨 탁월한 선택해요<br>집안 다 의사라도 에녹씨 골고루 다 갖춘 최고~~^^^,7,2024-09-07T07:34:08Z
@user-gq7my2wg5k,자세히    보아야<br>예쁘다🎉<br>오래  보아야<br>사랑스럽다🎉<br>너도    그렇다🎉,6,2024-09-07T01:50:38Z
@user-hg4qd4lf2g,애녹씨 이번  강선생 놓치면 이생에  장가는  포기하세요  무슨 말인지 알겠죠  ?,4,2024-09-07T00:47:05Z
@user-xy4sg3eh1f,아~~~~이 커풀도 상큼하네 윤아하고 동완  서진이랑 지윤  오~~~어울려,4,2024-09-06T12:31:09Z
@user-nf7il4jb6k,에녹 나 만나보자 ㅋㅋ 나한데 꽂힐수도 있잖아,1,2024-09-06T10:26:45Z
@user-ys9fc2ep9i,에녹님너무잘어울려어요꼭잡으셔요💚💚💚💚✨️✨️✨️✨️✨️✨️💜,6,2024-09-06T06:38:29Z
@user-ru1zx1cg2u,에녹 님<br>시간이  갈수록<br>더 진한 향기를 품어 내시고 <br>속이 꽉 찬 사람냄새 <br>풀~ 풀~ 풍기며 준비된 실력을 뽐내시는 <br>울 에녹님 격하게 응원합니다,17,2024-09-06T05:39:24Z
@user-cx4go9jm2r,에녹 님 아직 이상형을.<br>인연을 못만나서 그래요<br>딱 느낌옵니다  <br>3번 만남에서 답을 받고싶다는뜻?^^ 당연한거죠<br>정현님 차분하고 배려심 많고 좋으신분같아요  <br>에녹 님 응원합니다 💚,13,2024-09-06T04:03:23Z
@user-tq4rn2bb5h,신랑수업 재밌게 봤고 에녹 님 예능도 맛깔나게 참잘하시네요<br>에녹 님 홧이팅 입니다,16,2024-09-06T01:42:45Z
@user-mt7ye8pp9f,에녹씨 이 여성이 에녹씨의 반쪽이라고 생각됍니다 <br>잘 붙잡아요 <br>어쩐지 에녹싸 집안분들하고 좀 닮았어요,14,2024-09-05T19:25:05Z
@user-wt8sw3tz9s,두분이 어쩜 이렇게 공감대가  많은지요 에녹 님 인연만난것 아닐까요,20,2024-09-05T16:07:07Z
@Ayj아득히,에녹 님을 진심으로 응원합니다<br>에녹 님 2세를 생각하시면 조금 더 어린분을....,7,2024-09-05T14:21:06Z
@user-vs7gi8rx2l,😂😂❤❤<br>두분 잘 어울리네요🎉🎉,12,2024-09-05T13:29:37Z
@user-id6qx3ht3w,난 강혜연이 너무잘어울리든데 귀엽고. 이분은 좀 까다로울듯. 에녹님  잘선택하세요,1,2024-09-05T13:16:57Z
@user-uh6ed4zb9c,예님  정사랑합리타,2,2024-09-05T11:55:36Z
@user-df7pp8mw3i,에녹님 매너좋고 사람은 좋아보이는데 답답한 면도 있네요<br>연애속도는 사람마다 다르니 잘해보세요,7,2024-09-05T11:20:36Z
@kji4150,에녹 어렵게 하지말고 단순하게 ㅎ 너무어렵다,5,2024-09-05T10:46:57Z
@jpy760,너무 잘 어울림❤,18,2024-09-05T10:46:52Z
@user-dl1vg1gm5j,에녹 님 정현 님 잘 어울릴것 갓네요  인연 이 였으면 좋겠어요<br>더 알어가세요 ❤,30,2024-09-05T08:55:45Z
@user-je7cq6dm7o,달달 촉촉한 대화에 몽글몽글해지네요,29,2024-09-05T08:45:20Z
@문익-c2s,여자분 ~학구파에  얼굴도 맘도  예뻐 보여요~,39,2024-09-05T08:38:07Z
@user-oi2kr9em9e,오ㅏ 잘되시길 응원합니다<br>에녹 님 꼭성공하세요 진짜<br>내반쪽찾기 쉅지않죠 홧팅,28,2024-09-05T07:49:54Z
@jzl7613,두분 잘 되였으면 좋겠네요,29,2024-09-05T07:11:08Z
@user-rt5uu2bt3z,김동완 허경완 얼토당토않게 여의사 갖다 붙이더니 또 이러네,6,2024-09-05T05:53:03Z
@user-gq7my2wg5k,지금까지   나온<br>출연자중<br>최고의  동반자가<br>될것   같아요<br>응원합니다🎉,38,2024-09-05T04:44:32Z
@user-nl1ml1qb8q,에녹님<br>응원합니다<br>멋진 에녹,27,2024-09-05T04:30:46Z
@user-pk8qu9bp5d,에녹 님 정연님 좋은인연되시길바랄게요<br>응원할게요 <br>잘어울리세요,29,2024-09-05T04:19:15Z
@user-qn1jq5bn9s,신랑수업 짝꿍님이 참 맘에 들어 몰입하게 되는데 예능으로 봐야.....ㅈ,12,2024-09-05T04:14:53Z
@user-xt1dd7kx5d,에녹 님 좋은분 만나서 행복하세요 신랑수업 응원합니다,25,2024-09-05T03:57:14Z
@user-nu8yl6yi9f,에녹님용기내세요너무수줍어하시지마시고자신감있게하셔요응원할께요😅,20,2024-09-05T03:23:57Z
@help.75.,와  잘어울려요,21,2024-09-05T02:57:46Z
@user-bz1ez7mb9m,진심 응원합니다~!!,25,2024-09-05T02:47:01Z
@user-jv1zo9vw5t,에녹 님 두분 응원합니다!❤,20,2024-09-05T02:42:16Z
@user-nf6il5wm3l,애 녹님.최고 최고.잘델꺼예요..바램임니다,24,2024-09-05T02:31:19Z
@user-nf6il5wm3l,너무나좋아요멋저요최고최고❤❤❤,22,2024-09-05T02:30:03Z
@user-em1rk1zg5n,너무 멋진 에녹 님 신랑수업 응원합니다.^^,31,2024-09-05T02:25:24Z
@user-sk9jw6ge1n,에녹 님 정현님 두분 응원합니다  ^^  🙆‍♀️🙆‍♀️🙆‍♀️,33,2024-09-05T02:21:15Z
@황명애-m3c,보는동안 너무~  재미있게 <br>웃으면서 봤어요 <br>에녹님 응원합니다,20,2024-09-05T02:17:24Z
@user-ds8pj6vu9h,나만 안어울리게 보이나..,8,2024-09-05T01:59:11Z
@user-vr2yb1nn2k,정말 예쁜데다 천재인 여성을 만났군요. 잘 되었으면  좋겠읍니다.ㅡ강혜연과의 관계를 거짓말한 tv 들 반성 좀 하세요.,45,2024-09-05T01:53:15Z
@user-ip6ey6th6f,에녹님 두분 너무 잘어울려요 정말 결혼까지 같어면 좋겟어요❤❤❤,21,2024-09-05T01:40:01Z
@격린이,별로 맘에 안들어 하는거같은데....에녹씨가...,3,2024-09-05T01:37:25Z
@user-go7wk4hb4k,사람은 조건도 중요하지만 젤 중요한건 인성이죠 돈주고도 못사는 인성 그걸 울 에녹님은 <br>갖추고있잖아요 모든걸 다 갖춘 매력부자에녹님 꼭 알아보세요 순수하고 정직한 에녹 ~~,20,2024-09-05T00:47:27Z
@user-ln5jf2vh3o,나의 히라이와 심형탁은 왜 나오지 않았나? 그들의 순간이 그리워요 하하,4,2024-09-05T00:30:56Z
@user-qf8uc3wm4t,에녹 님 너무 귀엽고 멋져요<br>늘 행복하세요,26,2024-09-05T00:06:48Z
@grace-nam,잘되길 바래용^^ 너무 잘 어울려용~,22,2024-09-05T00:01:09Z
@user-ej7su4gf6u,처음 두분이 만났는데 닮었어요<br>에녹 님  정현님  자신능력을 키우기  워해서  열심히  사시다가  만나신거 같아요<br>최고 커플로  보이는데 일단  알콩달콩 만나보셔요❤,20,2024-09-05T00:00:38Z
@joymaru7335,에녹님의 마음이 가는대로 자신감 있게 직진하세요 <br>평생 자기관리 인격수양 준비된 완벽남이시니 걱정마세요 안목가지신 분이면 에녹님 매력에 푹 빠지실 거예요 응원해요,27,2024-09-04T23:52:40Z
@user-ul1dk5pi1l,일등실랑감 어디하나 부족한게 없는 꽉찬 8각형 에녹님 응원합니다,52,2024-09-04T22:45:53Z
@user-ul1dk5pi1l,역시 에녹님은 한테는  지적인 능력이 있는 녀성이 딱어울리네요 두번채 데이트 성공을 기대합이다 너무너무 좋아요,31,2024-09-04T22:43:47Z
@user-ul1dk5pi1l,에녹님에게 잘어울리는 지적인 여성 만나것같네요 너무 기쁘네요  박수 보냈니다 뮤트롯 에녹님 화이팅,64,2024-09-04T22:40:07Z
@user-tj5ex2gi4n,두분  너무 잘어울려요 <del>두분다 지적이고 고급스럽고</del>   잘되길 화이팅입니다,28,2024-09-04T22:26:30Z
@SOSOHAGE-x3j,다른 영상에. 실제로. 사귀고 헤어진. 커플  이 문구 쓰려다. 연애하다 결별한 커플 이라고 썼어요. 설령 썸 타고. 가상으로 끝난다. 해도. 예능 보는 제미로. 보려고. 합니다,10,2024-09-04T22:09:02Z
@user-wr5zm8pk5e,에녹 님 맞아요~<br>사람마다 느껴지는 매력이 다르니까 콕! 찍어 이상형을 어필하기가 그렇죠?,33,2024-09-04T22:05:37Z
@김숙희-r4o,보는내내 행복했어요 좋은 인연이 되어서 좋은 만남 가졌으면 좋겠어요,37,2024-09-04T22:04:37Z
@user-ej6xn7fn4l,애녹장가 가나😂😂😂,22,2024-09-04T22:00:43Z
@user-fs6cr5nu7d,목소리 좋고 키크고<br>직업좋은분들은  없어요<br>연애인들은  코수술은<br>다한듯 98프로,6,2024-09-04T21:53:00Z
@park2500,남자 인조인간같네,5,2024-09-04T19:58:11Z
@user-ds3sd6el1m,두분 닮은거 같아요!,28,2024-09-04T19:44:24Z
@user-dt4pb2uv6r,너무 좋아요 두분 잘 되었으면 좋겠습니다 에녹 님 언제나 응원 합니다,23,2024-09-04T18:24:24Z
@user-bu5ei8po2o,두분 분위기 보니까 잘될 수도 있을 거 같아요,31,2024-09-04T16:34:47Z
@user-zk2cl9ji3n,오늘신랑수업 최고였어요<br>웃음도 있고 감동도<br>에녹 님 노래듣고 산책했단 정현님 말에  뭉클하네요<br>감사하구요<br>두분 응원합니다,52,2024-09-04T15:54:51Z
@user-zs2iv4eq9h,울에녹님 늘 응원합니다,33,2024-09-04T15:42:04Z
@user-py3bt8gt7g,꼭잘되시길. 바랍니다. 꼭꼭. 꼭이요 애녹님 정현님. 예뻐용^^,45,2024-09-04T15:37:25Z
@user-py3bt8gt7g,애녹님. 눈높으신지알고있어요. 참 잘하셨네요 애녹팬임다. 의사부인만나세요,39,2024-09-04T15:35:36Z
@aria.202,두분 이쁜 미소가 닮았네요 에녹 님 신랑수업 응원합니다,62,2024-09-04T15:28:57Z
@user-nc3gi5el9f,정현님 의사인데 너무 예쁘네요,47,2024-09-04T15:19:30Z
@nochturn,에녹  님  응원합니다 <br>잘 되시길  빌어요<br>여자분  너무  멋지시잖아요<br>에녹 님과  딱  어울리시는듯~ㅎ,46,2024-09-04T15:05:44Z
@user-qf8uc3wm4t,에녹 님 멋져요<br>언제나  응원합니다,41,2024-09-04T15:03:06Z
@user-bb4cj2gs6x,정연님 반가워요 너무 욱겨서 많이 웃었어요 두분 잘 어울려요 응원합니다,43,2024-09-04T14:39:14Z
@노봉열-d5o,공통점이 많은 두분 잘어울리네요 좋은 인연이었으면좋겠어요,33,2024-09-04T14:36:56Z
@soopni,정현님 넘 고급지고 예뻐요❤❤,51,2024-09-04T14:36:52Z
@휴학-z3p,지적인 언니가 얼굴도 예쁘다니 에녹님 꽉 잡아요,61,2024-09-04T14:34:34Z
@iii4384,이여자분이랑 있의니 에녹이 헐 멋저보여요<br>서로 서로 같이있어서 더 예뼈보여요<br>여자분 넘 예쁘고 멋지다<br>둘빨리 결혼해서 예쁜애 낳았의면 좋겠다❤<br>보는사람들도 설렌다보 하잔아요,50,2024-09-04T14:33:24Z
@user-jm1wt5xe9z,요즘은 독자 안따져요<br>걱정 마세요,38,2024-09-04T14:31:09Z
@mjjy13,에녹 님 신중하고 바르신분이라 좋은분 만나실겁니다 두분 잘어울리고 이쁘셔요,52,2024-09-04T14:31:08Z
@앵초-m7w,본방사수 하고도<br>자꾸보게 되요<br>긴장 해서 웃기도 하고 예능이라도<br>꼭 이루어 지셨으면 해요<br>지적이고 미인 이시고 에녹님 짝궁 만나신듯요<br>무대에 설떼처럼<br>최선을 다하세요<br>제발요,39,2024-09-04T14:29:46Z
@user-wf6rj7dp5f,아 진짜 어울리는데,40,2024-09-04T14:28:06Z
@user-zr7bw4fo2s,에녹 님과 정현님~<br>보는내가 더 콩닥콩닥 두근두근 설레네요😄<br>두분 잘되길 바래요🤗,51,2024-09-04T14:27:11Z
@user-vv9er7yt4y,잘 되었으면 좋겠지만~좀 왠지 안될거 같은 느낌,11,2024-09-04T14:26:22Z
@user-ty1qt4zr7h,두분 다음주 도 기다려지네요,33,2024-09-04T14:24:57Z
@user-es6fi7hs6e,에녹 님도 커피 좋아하시는데 <br>경사났다요 ㅎㅎ<br>두분 응원합니다 💚,55,2024-09-04T14:24:14Z
@jjongipark3369,두분 닮았어요ㅎㅎㅎ,36,2024-09-04T14:23:54Z
@user-rw6fi1fq7b,여성분이  정말  지적으로  보이신다!!!,37,2024-09-04T14:19:04Z
@use-ri9nb,에녹 님 과<br>잘 어울리는<br>여자분 같아요<br>두분 좋은 인연이<br>되었으면<br>좋겠습니다,71,2024-09-04T14:18:18Z
@user-dh5qg6sh7e,에녹 님에 대한 미리공부해온 정연님 너무 고마워요  역쉬 브레인은 다르네요,45,2024-09-04T14:16:07Z
