Author,Comment,Likes,Published At
@user-ik8qh7gx9g,으이그~~~~몬산다ㅋㅋ<br>철없는 남폰!!!!!!!,0,2024-09-11T11:49:02Z
@user-ph6lk7eq5s,형탁 얼굴이 왜저럼 살엄청 찐듯,0,2024-08-27T09:48:46Z
@user-gp5ei3wi7q,저도 입덧했을때 흰밥냄새를 못맡았어요. 티비에서 밥 영상만나와도 구토가 올라왔고 ㅜ 어느날 입맛이 돌아 신랑이랑 육개장먹다가 갑자기 울렁려서 구토했는데 신랑이 더 놀라더라고요ㅋㅋㅋ사과먹다가도 토하고 하..,0,2024-08-20T09:35:44Z
@arrkaize,"<a href=""https://www.youtube.com/watch?v=4rfhNhnQug4&amp;t=318"">05:18</a> 개피떡?<br>계피떡 아녀요<br>?",0,2024-08-16T05:20:19Z
@kwiapark4569,조그만 냉장고가 필요할듯. 사야를위하여 왜쓸데없는거짖말을 하지 기대하면실망도클탠데,0,2024-08-16T00:22:15Z
@user-gq6qc2yo5i,임신초기땐아들이어도시큼한냄새맡으면 입덧 해요,0,2024-08-16T00:09:29Z
@jun9618,진짜 천사다 둘다 꼭 행복해라,1,2024-08-15T03:13:18Z
@kk0730ym,대형마트에 냉동딸기 파는데,0,2024-08-14T13:57:26Z
@user-lj6sl8gf1e,아이스딸기있어요 대형마트에 홈풀러스에가면 있어요,0,2024-08-12T10:49:47Z
@hyeejuju,おめでとううう😭👏👏,0,2024-08-10T15:59:40Z
@user-br8dk4kp2d,그만나와!둘다싫다!,0,2024-08-08T12:32:20Z
@voyager4242,멍청해 진짜 아니 무슨 지 먹고싶다고 굳이 김치 쳐먹고 아 진짜 싫다,0,2024-08-07T09:46:54Z
@TTiiPP24,빨리 임신했음 했는데...너무 다행이다..아기가 생긴만큼 빨리 좋은 작품과 방송도 많이 했음 좋겠다..아기 낳으면..슈퍼맨이 돌아왔다 추천👍,6,2024-08-05T15:11:00Z
@user-qi3qt4qb6f,한고은씨 어디 감?,0,2024-08-04T08:45:53Z
@user-cr3no3bn2z,재주 많은 사야 잘 생긴 형탁씨 축하 합니다 <br>아기를 낳고 싶은 모든 분들께도 좋은 일 있기를 ...,2,2024-08-02T06:16:58Z
@denisecole6128,Pls English so we know what they are saying.,0,2024-08-02T05:54:18Z
@pascuycami9942,자막을 활성화해 주실 수 있나요?,0,2024-08-02T04:09:43Z
@user-sh4ph9ju3c,맞아요저아기낳는것보다입덧이더더힘들엇네요낳는건순간이지만익덧은 몇달그의지옥,0,2024-08-01T05:30:12Z
@Jays-zw5li,애기빨리 보고싶어요~~~,1,2024-07-31T22:11:59Z
@user-ld1ye2sn1w,냉동딸기요～,0,2024-07-31T16:34:52Z
@user-yf4gr5fl5g,형탁이 동생 ㅡ 완전 날 도둑놈 ㅡ저리 어닌 색시와 살 다니 완전 날 도둑 놈 ㅡ복도많네,0,2024-07-31T10:24:20Z
@chuchutv0001,입덧 진짜 힘들어요ㅠㅠㅠ 저희 남편도 라면이랑 김치 못먹은지 6개월은 넘었을거에요... 아무리 방문을 꼭 닫아도 냄새가 스멀스멀 올라와서 ㅠㅠㅠㅠ넘 힘들더라구요,0,2024-07-31T08:54:40Z
@user-ps7oz3um9k,형탁씨 진짜 사야한테 잘해주고 행복하게 즐겁게. 사셔요 응원합니다  ❤,3,2024-07-31T03:24:50Z
@user-zd7ik8he2g,심형탁 등치값좀하구. 귀한애기생각해서라두 집에선 먹지말라구여,2,2024-07-31T02:29:15Z
@user-to6ro6vt6z,새복이 화이팅 무럭무럭 자라기를 기원합니다 ❤❤❤❤❤❤❤,2,2024-07-30T22:18:17Z
@taetae4194,Add english subtitles too ... I also want to understand them plz 😢😢😢,1,2024-07-30T04:09:05Z
@user-vs5he8yr4w,"항상,일본서,응원합니다 <br>두분소중하게,찾아온,아기천사도,행복한일만,있기를,바랍니다<br>형탁씨 도,사야상,<br>화이팅",1,2024-07-29T23:32:09Z
@LwO5ezP06iPgntnJhppmZw,"먹고나서 맨날 토하는사람도 있어요,,제발 임신부 배려 좀",1,2024-07-29T19:17:53Z
@seo976,형탁님 니혼자 산다 나올때 부터 쭉 봐왔는데 늘 행복하셨음 좋겠어요 사야님 이랑 새복이랑 건강히 오래도록 행복하세요❤,2,2024-07-29T18:38:26Z
