Author,Comment,Likes,Published At
@user-ug2iy3fq7v,이쁜 재중씨 뱀 식탁 좀 무서워..,1,2024-09-13T04:12:31Z
@violetamariasanchezmontene7203,Debería de haber traducción al español 😢 sería genial,0,2024-09-13T02:56:48Z
@user-rg2ck8kd4x,60대할머닌대 펜이에요<br>다챙경보고있는데  넘무 멋진<br>총각입니다<br>늘  응원할게요^^,0,2024-09-12T08:29:04Z
@user-qj9dv9ig6b,뒤늦게 입덕 ? ! 정말 인간적 매력 가득한 멋진 사람이네요.<br>틈나면 계속 보고 있어요.<br>고마워요 ❤,0,2024-09-12T01:35:26Z
@insoonhyun1443,재중씨성공한모습짱이다/ 부모님도큰집지어들이고 / 정말멋지다 요리도잘하고 아직도동안인얼굴에 부럽다 멋장이아들 최고 파이팅.,1,2024-09-11T20:53:02Z
@숙희박-v9m,멍청이 여름 무가쓰지,0,2024-09-11T19:20:12Z
@숙희박-v9m,다좋은데 김재중식탁에 뱀 그림이 제일싫어요<br>징그럽고 뱀은 교회서는 마귀를 상징 하기도 하는데<br>허구많은 그림중에 왜 하필 뱀일까,0,2024-09-11T19:07:55Z
@danangpamungkas1003,For globals audience pls give us english sub,2,2024-09-11T14:53:42Z
@hidychoi3942,빈속에 양자폭발....,0,2024-09-11T07:50:32Z
@user-tg2zs1ew8c,"와 친구하고싶다 성격도 좋고, 나랑 취향도 비슷해..",0,2024-09-11T00:41:33Z
@only7452,재중님 뒤늦게 입덕했으요,1,2024-09-09T15:05:07Z
@jjj6023,재밌어요❤,1,2024-09-08T14:15:51Z
@user-gl5pt1pq9z,솔직히 이정도 부 누릴한다 아이돌때 너무 고생했어!!,1,2024-09-07T20:47:23Z
@user-ym3zm6jy4x,효자 이고  진실성있고  ᆢ❤,1,2024-09-07T17:24:10Z
@user-nz7bx9vv1m,"<a href=""https://www.youtube.com/watch?v=4tJnhtTUQIU&amp;t=1037"">17:17</a> 리스 이쁜 거 보소... 미감 정말 좋고",1,2024-09-07T05:37:10Z
@user-nz7bx9vv1m,와 진짜 사는 거 너무 괜찮게 산다 미스트 뿌리는 것부터 영양제 먹은 거 바로 정리하고 냉장고 각 잡힌 것도 그렇고...,1,2024-09-07T05:21:55Z
@아지-d7h,ㅋㅋㅋㅋㅋㅋ편집이 카시오페아이신가ㅋㅋㅋ귀여워,1,2024-08-31T07:15:28Z
@user-xn4tx3cg2h,블랙카드 갖고 있는 사람이 왜 이렇게 소박하게 시장 다니고 식당에서 밥 먹고 그래 다 가졌네 진짜,0,2024-08-28T07:10:50Z
@user-xn4tx3cg2h,김재중이면 누나 8명 감당할 수 있지,0,2024-08-28T06:53:13Z
@0juujuu,앞으로는 온통 행복만 가득하길..,10,2024-08-26T01:31:43Z
@thursdayschild12,"What more can you ask from him?? Can sing, cook, clean, has a great sense of humor, cool person yet sometimes he can be clumsy and adorable, have unique hobbies, a very caring person,  has a great visual and of course has a lot of money😂😂 hoping that he will find someone that will truly love him and be happy for the rest of their life",3,2024-08-25T18:45:23Z
@Lovely_rose_,저 식탁에서 밥 먹으면 식욕이 떨어질것 같아요...제게도 필요한 식탁이네용~!😳,0,2024-08-25T07:28:48Z
@hastix_xyoutuber5998,아니 진짜 반갑네...,3,2024-08-25T00:19:24Z
@rosagabrielaarreolagarcia4498,"Yo quiero pedir un favor al departamento encargado de subir los programas a youtube, que si los van subir,  pónganle de menos subtítulos al ingles, porque lo promocionas como un contenido para distribución internacional pero no lo preparan para su distribución internacional.<br>Así que en en lugar de motivar a la audiencia a verlo desanimas y no generas mas vistas.",4,2024-08-21T20:25:35Z
@user-yz5jh5dy6x,겨울  무는   제일  맛있어요  겨울  무가  쓰다는것은  잘못 알고  있는것이다,1,2024-08-15T17:14:40Z
@Ernane792,"Jaejoong udah kaya raya pinter masak,pinter merangkai bunga,suka bersih2,sayang keluarga,cuma satu kekurangannya tak bisa dimiliki 😢",1,2024-08-15T14:25:09Z
@shaluwahshamar,I don&#39;t know him but he has Vybz of vampires ❤🎉😂,0,2024-08-14T22:13:05Z
@sooooooooya_4,my babyyyy,1,2024-08-13T02:26:30Z
@이종은-i2t,식탁에 뱀???,0,2024-08-13T02:25:04Z
@user-ks7sn7nv3o,그동안 전세게에서 동방신기인기창이 지많 노래면 노래연기면연기 예능까지 재중씨가 인기짱 대박 탄탄대로 민얼굴도<br>너무잘생겼으니 👍 👍 👍 ❤❤❤,1,2024-08-12T02:32:47Z
@Jaejoongwife08,I use the same alarm to wake up❤,1,2024-08-10T23:12:51Z
@stephanie7114,English caption please,0,2024-08-10T02:45:51Z
@user-qr6wj3xc4t,"<a href=""https://www.youtube.com/watch?v=4tJnhtTUQIU&amp;t=1117"">18:37</a> 재중님 마음도 따듯하시네요😮",6,2024-08-09T15:02:50Z
@user-le5vo7wg3u,어려웠던 시절 다 이겨내고 지금은 진짜 영앤리치로써의 삶을 살고 있고...<br>이또한 다 근검절약이 몸에 습관화 된 사람이라 생각됨 진짜 본받을만 함,2,2024-08-09T05:42:23Z
@anabellnizama4438,Los subtitulos cuando los agregan ?,1,2024-08-08T22:27:24Z
@user-kr7jx3ty7l,누나 8명 압박때문에 여자가 안들어오나바. 시월드 입성🎉🎉🎉🎉🎉😂😂,1,2024-08-08T06:12:47Z
@user-xq5zi5tk5r,드디어...공중파에서 볼 수 있게 됐네 울 오빠들😊,1,2024-08-07T15:20:54Z
@user-qe6fo4ex7w,김재중 너무 괸찬은것같네  응원합니다,2,2024-08-06T08:33:27Z
@user-rj1uu7ew9k,엥!!!김재중 이런데서 산다고!!?!?나 방금 빚쟁이에 쫒기는 김재중 보고와서ㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋ,7,2024-08-06T04:32:38Z
@user-hi4fx4cs6q,"개인적인 문제도  알겠지만 그냥 그때그냥 5명이 계속남아 활동해줬으면 얼마나좋았을까... 재중,준수한테 묻고싶다 지금다시 그때로 돌아갈수있다면 어떤선택을 할지",3,2024-08-05T08:15:44Z
@user-fs7or6le2x,용준씨 스키연습을 좀더 한 후에 아이스하키 해야,0,2024-08-03T02:35:52Z
@user-pn6cp6pm4e,재중은 동방신기중 유일한 사고 안치는 연예인 그리고 창민도,0,2024-08-02T14:55:09Z
@18ai18ia7sss,뚜들겨팬사생팬들 모아서 집들이 한번시켜줘라❤❤❤❤❤❤❤❤❤❤  팬서비스❤❤❤,1,2024-07-31T20:31:46Z
@user-fc4be8tr9u,옛날에는 저런모습 생각도못했는데,1,2024-07-31T14:24:42Z
@user-H.S.J,편집자님 사심을 넘어서 사비 얼마 썼어요?  보태주께요 솔직하게 얘기해봐요 ㅋㅋㅋㅋㅋ,0,2024-07-31T07:30:31Z
@insoonhyun1443,김재중 멋진남자 얼굴도취미도 세련돼보인다/ 집은왜이리세련되보일까 요라도잘하는찐남자 얘인도있겠지? 와대박 .,2,2024-07-30T23:16:55Z
@곤니치와와,박태환 스포츠라고 저장해놨엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2,2024-07-30T10:10:55Z
@user-mq1tt1mk7b,무김치에 설탕 넣으면 죽됩니다ㆍ못먹어요ㆍㆍ,1,2024-07-30T00:53:30Z
@kimukyung318,이규한님 지적하는 스테프님 귀엽네요,2,2024-07-29T20:17:29Z
@user-yu2mo2fn1k,겨울무는.   괜찬고. 여름무는. 맛이 없어.  단맛을.  더줘야합니다,0,2024-07-29T04:18:04Z
@감자는못말려-y7g,슈퍼주니어 숙소와 비교했을때 <br>같은 건물 다른 느낌 ....,0,2024-07-28T15:13:17Z
@attention_me,슈퍼주니어 숙소 구조랑 똑같은거 같은데,0,2024-07-28T13:26:25Z
@user-ow8pq2mf6y,겨울무가 아니고 여름무가 써요 😅 겨울무는 맵고 달고 시원~😂😂,0,2024-07-28T10:42:00Z
@bumbum5444,기부는 하나,0,2024-07-28T08:01:34Z
@mykang6574,검소하네...,1,2024-07-26T12:41:07Z
@JJ-bd4rw,Akan lebih menyenangkan kalau ada subtitlenya. Ingin tau apa yang dikatakan oleh Jae Joong,0,2024-07-25T14:05:26Z
@Enoti_SunGlass,용준이 얼굴 비칠때마다 노이어 인줄 착각함,0,2024-07-24T12:59:16Z
@jvgv6684,가정 꾸려서 아이들하고 다니면 되게 행복해 하겠다~,1,2024-07-24T11:49:57Z
@sangtori2438,볼수록 매력있다!!,1,2024-07-23T10:17:32Z
@user-rt5zo6wk6b,와이지 엔터출신 징역 다녀온 애랑 그 패거리 보다가 이런 재중 보니까 인간은 이렇게 다를 수 있구나 느낀다 그러니 여태 구설수에 오르지 않았지 승리랑 비교해도 인상이 눈빛이 달라 선해,2,2024-07-22T23:12:39Z
@user-md7sb1ri5v,치질걸 ㅡㅡ,0,2024-07-22T02:42:42Z
@connielee137,이분 다 좋은데 <br><br>Table 위에  뱀... <br>너무 기괴..<br>무슨정신...,1,2024-07-21T22:54:24Z
@bluaaahhhh,I was really hoping for him to appear in ILA but didn&#39;t know he appeared here showing his daily routine <br>So happy to see JJ on tv,1,2024-07-21T11:40:10Z
@user-oy9ku9tc6y,인테리어소품이 아니라 엄청 비싼 미술품들이구먼 ㅋ,0,2024-07-20T16:22:32Z
@김미지-v3j,이규환말 공감 의무적으로 연락,1,2024-07-20T11:57:34Z
@user-ow5ir4mh6t,돈 ㅈㄴ 많네,1,2024-07-19T10:01:41Z
@user-cy2lj9dc9n,멋져멋져❤,1,2024-07-19T02:21:48Z
@BaybAzzon,OMG! Plz ENGLISH subtitles!<br>JaeJoongie is super famous  world wide!<br>I am so happy to see him.on Korean shows again,2,2024-07-18T04:37:43Z
@inds9335,Gilak jaejong kaya banget 😂 rumah ny maximalis tipe2 artis mentereng 🎉😂,1,2024-07-17T12:51:21Z
@user-if5gt5hc8f,여름무가 쓴맛난다,1,2024-07-16T06:59:15Z
@user-pu3mn2im6r,다이어트 식탁..😅,0,2024-07-15T03:59:29Z
@user-lq4le9ip1e,양자역학은 궤도님이랑 얘기하셔야하는데ㅋ,2,2024-07-14T23:51:57Z
@user-tj6dk7vn2f,"I love you, Jaejoong do much",1,2024-07-14T10:08:21Z
@원신화,❤ 있는그대로가 멋있어요,1,2024-07-12T14:24:37Z
@lmoky,what&#39;s the nameof the show?i love him!!,1,2024-07-12T06:44:53Z
@user-zp7uj4iw6p,재중님. 참인성도짱 우리. 이찬원님하고편이될래요❤❤❤❤❤,1,2024-07-11T12:28:11Z
@zozo-pl7rk,Eng Sub please 🙏,2,2024-07-07T00:21:46Z
@mkj9240,실화임? 코인사기 돈을 돌려받았다고?,0,2024-07-06T20:11:10Z
@SHY선,저렇게잘생기고멋잇는분이왜아직결혼은,2,2024-07-04T08:09:31Z
@RegularFanDotCom-uu6vz,so good to see you again jaejoong &lt;3,2,2024-07-03T18:02:58Z
@user-gv2ug3uc8k,동방신기 멤버중에 젤 멋진사람이라고 생각함!볼매 재중씨❤,54,2024-07-01T07:51:14Z
@healingsmile2833,어우 근데 캡사이신 김치찌개라니 😱,1,2024-06-28T23:38:42Z
@user-gi6py6dg3s,식당밥은 쌀이 상급은 아니니까 좋은 쌸로 압력솥에 밥을 지어서 1인분씩 담아서 냉장후 24시간 지난 후에 냉동실로 직행...밥맛이 달라요.,8,2024-06-26T21:22:28Z
@jksanbox,자고 깬 얼굴이 너무 잘 생겼음. 그리고 예전부터 음식하는 것을 좋아해서 멤버들 해먹이곤 했음.,23,2024-06-26T20:00:00Z
@user-lw9jv8hw2e,저 애없는 여자는  도중에  자꾸 결혼결혼  하고 있냐?  40도  안된 저나이에  저인기에  지금  하기엔  이르다,0,2024-06-24T17:26:50Z
@rainrain2826,So this was the horse lamp he was taking about with that groups😂😂,2,2024-06-22T08:58:01Z
@염보라-o5w,사랑해요❤❤❤,5,2024-06-22T00:16:58Z
@user-hi2ob6et5h,여자 너무 멋잇네😊,0,2024-06-20T03:32:33Z
@user-gv5wr5yr5e,사실 그전엔 이지적이고 차가워 보이는 이미지라서 잘 몰랐는데 요즘보니 사람 참 괜찮아 보이네요. 텔레비전에 자주 나오면 좋겠어요. 뒤늦게 입덕요❤,122,2024-06-17T14:08:33Z
@user-ye1nn1ss8t,"<a href=""https://www.youtube.com/watch?v=4tJnhtTUQIU&amp;t=1118"">18:38</a> 이게 대박 감동이당...",8,2024-06-17T11:55:24Z
@aliceleao2130,english subs please!,0,2024-06-17T01:32:10Z
@chloe9-p7s,준수 오빠 이어 재중오빠까지 신랑수업! 좋습니다 ㅎㅎ 둘이 활동해줘용,1,2024-06-15T15:41:34Z
@user-bn5rd7rf6j,"김재중님 이제보니 트와일라잇의 로버트 패틴슨 닮았네요~<br>정말 깜짝 놀랐어요!!  얼굴도, 식탁도^^",77,2024-06-10T03:58:19Z
@user-tk7zs1gp7b,누나 8명 영향이 없지 않을듯 하네요<br>조분조신한 예쁜면만 많이 물려 받은듯 <br>가족들이 예뻐하며 키운 티가 확 나네요.,5,2024-06-10T00:39:54Z
@haobui8168,Nhiều lúc xem thấy ông ấy ngầu lòi k bóng cute tí nào luôn á 😂😂😂,1,2024-06-08T05:36:11Z
@코코가을이에요,와일드하게 봤는데.너무 다정다감한 성격에.요리잘하고.성격좋고.너무 스윗한 재중님.~인성좋음의 끝판왕<br>뒤늦게 입덕했어요.<br>항상 건강하시고.행복하세요.❤<br>매렴이 넘치는 재중님❤❤❤❤,84,2024-06-07T23:53:40Z
@aarshaasojan843,English Subtitles please,0,2024-06-07T17:11:27Z
@그림못그리는사람-h6y,재중씨!  진짜  좋은  여자  만 낫으면  좋갯네요!,5,2024-06-06T00:44:57Z
@minleelee6317,재중아 나두 양자역학 좋아해,10,2024-06-05T00:39:32Z
@sheinneraqueno9981,I hope they put English subtitles on this . Pls !! Im a big fan of his.,1,2024-06-04T23:04:14Z
@user-cm9cj9do8q,다시봐도 얼굴 대존잼 ㅋㅋ아니 집에 음식냄새난다고 요리하는거 극혐할꺼같이 새침하게생겨서는 아침부터 김치찌개 ㅋㅋㅋㅋ,9,2024-06-04T12:30:01Z
@user-nf5jd3mm2z,식탁에 뱀은 아닙니다 파충류 혐오하는사람들 많습니다  아이들도 다보고 임신부도 보는데 그식탁은 그만 보여주세요 신랑수업 그만볼꺼애요,1,2024-06-04T09:44:51Z
@user-sr7fk2dl1f,재주꾼  볼수록  매력있네요,23,2024-06-03T05:40:11Z
@user-wl7mz7zf1m,우리재중님   사랑해요~~?   넘무착해서  복받았요~~?,22,2024-06-03T03:44:01Z
@BIDOfans,He is damn rich idol😂😂😂😂,2,2024-06-02T06:14:57Z
@user-wg8lt8vt2w,털털하고 멋있다 재중씨,42,2024-05-28T13:43:07Z
@myThao-gf9sq,KIM JAE JOONG  &lt;3,11,2024-05-27T16:00:06Z
@7umr647,염예인들 맨날 집자랑 돈자링.. 일반인들하고 너무 괴리감. 이런방송프로가 왜 필요할까.. 언제부터인가 그들만의리그가 돼버린 종편 방송국들.,2,2024-05-27T02:42:02Z
@wa-et1nj,같이 수영하실래요,1,2024-05-26T04:20:18Z
@Ni-dm5ni,Where i can watch this?,3,2024-05-25T13:09:20Z
@user-kx7pb9cb6r,"저 얼굴에 주방에서 요리하다니,, 왤케잘생김",19,2024-05-25T05:12:12Z
@user-oe2jq5fd6d,재중님 먹방 맵하니랑 매운 대결해보시면 좋을듯요,8,2024-05-25T02:46:43Z
@MrLikeyano,유명 연예인은 다르긴 하네요 먼가 완전 다른 세상인듯😂,11,2024-05-24T20:54:26Z
@maureen72720,Je have collection of plate collaborated with Heart Evangelista wow,2,2024-05-24T18:26:54Z
@relax-kq7fu,"김재중 : &quot;난 사람을 집에 잘 안들인다. 과거에 안 좋은 일화가 있었다. 내가 사랑하는 후배가 있다. 그 후배가 술에 취해 우리집에서 새벽에 라면을 먹다가 4,000만원짜리 러그에 국물을 쏟았다.&quot; ㅋㅋ 아주 욱기는 놈이네",6,2024-05-24T14:03:22Z
@relax-kq7fu,겨울무가 쓴게 아니고 짱짱해서 맵고. 김치 담가서 숙성되면 기가 맥히게 맛있고 맛이 변하질 않습니다. 그래서 2년3년 5년 저장되도 변하지 않습니다.,6,2024-05-24T13:24:37Z
@user-qv4ue9ff2p,역시~^^재중이오빠..집이다.,7,2024-05-24T07:37:26Z
@vijin30,재중 매력있다❤ 가면 갈수록 더 호감,14,2024-05-24T07:32:53Z
@user-tq5cz2dn4p,누나가 8명ᆢ헐ᆢ,2,2024-05-24T05:44:08Z
@초긍정-x6l,와 조회수 124만👍,12,2024-05-23T07:00:46Z
@user-hv1mw9xx8q,이규환씨 때문에 빵터졌어요 😂😂😂😂😂😂,1,2024-05-23T01:00:20Z
@J-D-L-O,김재중 화이팅~~~~,22,2024-05-22T22:52:49Z
@mago9934,사생팬들이 재중이 괴롭힐까봐 걱정되요 ㅠㅠ<br>이렇게 조금이라도 집이나 택시 잡는거 공개되도 되는지..<br>촬영 보면서도 뭔가 그런 불안이 느껴지는것 같아서 ㅠ 마음쓰이네요,5,2024-05-20T17:34:54Z
@user-vp1cg1yq9t,동방신기 sm믿고 있던 2맴버는 개털되고<br>나와 소속사 차린 2맴버는 앨범 몇장 국내<br>해외 콘서트 와 아시아 투어로 적어도 두당 300억 이상 벌었을텐데...,2,2024-05-20T04:33:55Z
@SteVieOliVie,"Hello<br>I&#39;m Jaejoong&#39;s fan-translator, all Jaejoong&#39;s episodes with eng sub are available on my Dailymotion &quot;SteVie OliVie&quot; 😊",5,2024-05-20T00:21:03Z
@3-qr3dg,리스펙,3,2024-05-19T16:51:15Z
@user-kv6np9vw2t,진짜너는대대손손복받을수밖에없는사람이다 형이응원할께<br>멋지다 같은남자로써 리스팩<br>너의살미부러운게아니라 너의마음씀씀이가 진짜존경스럽다,13,2024-05-19T05:44:28Z
@user-if5gt5hc8f,여름무가 쓰다 겨울 무는 보약이다,2,2024-05-18T23:06:40Z
@user-mg9go3qf2b,재중씨 멋있어요,10,2024-05-18T20:35:19Z
@user-mg9go3qf2b,멋있어요,8,2024-05-18T20:31:55Z
@qadrianaarmaningtyas6910,Engsub please,1,2024-05-18T14:43:11Z
@sierra1241,방송을 취미로 하시는분이지.,0,2024-05-17T22:01:49Z
@bellasonya9685,Rich,3,2024-05-13T12:38:13Z
@jykim5333,쟤는 부잣집 귀한아들이라 재산 많이 받았을 듯.!! 또한 새는 구멍도없으니~~,1,2024-05-12T05:01:58Z
@user-ck3fx2jf7r,집이집같지가않노ㅋㅋ,0,2024-05-12T02:43:23Z
@DDORING2,이규한 저 듣보새기 왤케 옆에서 틱틱대냐?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3,2024-05-09T14:07:53Z
@sibal11,김재중하고 나하고 닮은점 찾음 과학유튜브 보는건좋아하는데 진지하게 공부는안함 개쩌는듯,4,2024-05-09T10:35:09Z
@saeumpark2668,인테리어가 너무 세다.... 넘 독특해,10,2024-05-06T07:54:53Z
@thaomy8538,Kim Jae joong &lt;3,5,2024-05-06T05:01:17Z
@user-fv2ng3xt8k,Do you know where to find it with English sub?,1,2024-05-04T22:55:49Z
@lights6220,"bdc. (<a href=""https://www.youtube.com/watch?v=4tJnhtTUQIU&amp;t=235"">03:55</a>) (<a href=""https://www.youtube.com/watch?v=4tJnhtTUQIU&amp;t=413"">06:53</a>) (<a href=""https://www.youtube.com/watch?v=4tJnhtTUQIU&amp;t=482"">08:02</a>)",0,2024-05-04T00:27:45Z
@dita7199,where can i watch the subbed video?,1,2024-05-03T08:09:28Z
@e_a_m_e,This would be perfect with ENGLISH SUBTITLES,1,2024-05-02T14:30:11Z
@arinarrieyn6048,WHAT SHOW is this? Please give me the show name 😭😭😭,1,2024-05-02T08:53:30Z
@user-hu5bv4sm5k,このクソ蛇が首にからんで来んのかな（#^ω^）ｲﾗｲﾗ,0,2024-05-01T19:29:14Z
@birdyashiro1226,顺毛在中，可爱捏✧⁺⸜(●˙▾˙●)⸝⁺✧,1,2024-04-25T03:01:05Z
