Author,Comment,Likes,Published At
@meromeroy,결혼 잘하셨다 부럽..,0,2024-09-11T16:50:56Z
@jpa57cg,맨날 해다 바쳐야하고 여자가 너무 피곤하다 <br>성격이 시원시원하지도 않고 말도 안하고 <br>답답,0,2024-09-10T13:13:30Z
@hannakim2981,사야~ 내가 좋아하는 정국이랑 너무너무너무 닮았어 ㅋ,0,2024-09-10T08:26:07Z
@Thezookeepersboy,숏컷 하니까 더 정국이랑 닮았어 ㅋㅋㅋㅋ,0,2024-09-09T20:47:21Z
@Ari-nw8cz,아이고 형탁시 앞에서 사야씨 웃는거 첨보네요,0,2024-09-08T05:17:43Z
@aira9534,肉じゃがもコロッケもライム入りの蕎麦も美味しそう😋❤凄いですね☺️👏,0,2024-09-05T06:23:37Z
@Pinocchio4thepeace,"사야가 잘 먹으니까, 나도 모르게 미소짓고 있어요. 흐뭇. 굿잡~~❤👍",0,2024-09-03T23:47:30Z
@user-sn3jt8od1u,사야 너무아쉽다<br>너무인형이야...,1,2024-09-02T22:03:54Z
@user-sd3vy1ml2d,아무리 봐도 오래가지 못할 부부사이... 심형탁만 안달복달 지내다가 조만간 헤어질듯...,3,2024-09-01T14:48:12Z
@영한김-y6p,세상개부럽습니다,1,2024-08-31T00:06:37Z
@jihyuncv,안 그러려고 그러는데.... 자꾸 정구기도 완전 마르면 사야님 같겠구나 하는 생각이 계속 듦ㅠㅠ 사야님 힘내여!!!! 버틸 수 이써여,1,2024-08-30T07:37:33Z
@user-uf8ik4ll5c,저런거라도있어야죠ㅜㅜ<br>아무리옆나라라고해도 남편하나믿고 온건데<br>잘드시는모습이너무좋네요♡♡♡♡,2,2024-08-29T07:14:53Z
@user-xl1sq1su5f,사야님 심형탁배우님<br>유튜브채널 많들어 보시는거 어때요<br>대박날거같아여!!,2,2024-08-28T15:54:27Z
@multibus2886,일본 아내를 위해서 和食까지 배워서 해주다니... 이런 남편이 어딨노...,0,2024-08-27T15:49:37Z
@user-xd2wp4od3e,진짜 입덧 심하면 엄첨 고생이에요<br>잘먹으니 다행이네요,6,2024-08-26T08:44:34Z
@해환-c6t,사야 씨 작은 참새 같아요,7,2024-08-26T02:46:48Z
@user-pj9bd7kb2q,아이구 이제 입덧 안하는 음식 찾아서 잘~ 챙겨드세요❤ 산모가 건강하고 행복해야 아기도 행복해요❤ 심형탁씨 사야씨 잘 챙겨줘요~,1,2024-08-25T06:34:00Z
@dungdale,건강하세요 ❤,2,2024-08-25T03:49:21Z
@박경애-g2d,심진화씨 블라우스 예쁘다~~,2,2024-08-25T00:50:55Z
@user-ol1yi4oq5f,사야 친정에 한번 갔다와라 방송도 같이 하고 ㅜ. 엄마기 해주는 음식이 그리울 때지,1,2024-08-24T22:40:20Z
@E수진,입구부터 도라에몽 피규어가ㅋㅋㅋㅋㅋ😂😂ㅋㅋㅋㅋㅋㅋ멀리서 봐도 심형탁배우님 집이네요,4,2024-08-24T11:53:35Z
@user-uw5uf5bv1q,착한 형탁씨 와 사야씨. 항상  행복 하시고  건강하게 잘 사세요🥰 보기 너무 좋아요.,6,2024-08-24T08:36:29Z
@이앙수개,한고은 씨는 왜 안나오나요 ~~,2,2024-08-24T02:27:34Z
@이앙수개,심진화님 좀 품위 있게 웃어요,0,2024-08-24T02:25:36Z
@이앙수개,"신랑수업 왜 한고은씨 안나오나요<br>품위있게 말하는데<br>심씨 개그우먼, 넘천박하게 웃는 모습 보기 싷어서 체널 돌립니다",3,2024-08-24T02:23:55Z
@ddoristeward,"행복한 모습보니 저까지 기분이 좋아요 :-) 심형탁 배우, 앞으로도 행복한 가정 꾸려가시길 기원합니닷",5,2024-08-24T02:02:46Z
@user-og7vu3hh6i,잘먹고  예쁜  딸  낳아요,2,2024-08-23T17:45:11Z
@user-go9bk9ge2r,사야님은<br>배우보다<br>더이뻐신듯♡,10,2024-08-23T14:10:57Z
@user-jq2os3nj4g,임산부그렇게힘드나<br>그럼옛날엄아들은병원도안가고집에서어떻게출산했지<br>옛날엄마들이훨씬힘들지않을까<br>엄살좀부리지마<br>애1명나면서옛날에는기본4명이상났어<br>애낳고그다음날바로밭에가서일도했어,1,2024-08-23T09:55:05Z
@sungsoopark7293,귀요미❤❤❤,1,2024-08-23T08:18:01Z
@user-uj9zz1my3y,"이승철 교장 선생님 이 형탁님칭찬 해주셔서 감사합니다 심씨에거 희망 용기를 주세요 응원,,합니다❤",16,2024-08-23T07:01:20Z
@user-uw1gr7no9r,입덧하는동안만이라도 그냥 친정에 보내주지.<br>저번 주에 보니 일본 많이 그리워 하는 거 같던데…,1,2024-08-23T02:20:22Z
@보현김-d3k,심형탁.ㅡ가족들때문에.마음고생한거보고.ㅡ너무.마음이.아팠다.ㅡ가족이.짐이되고.평생.붙어뜯어먹고.ㅡ참.가족이.아니다.ㅡ각자자기인생들을.책임지고.살어야지.ㅡ나도.겪어봐서.그심정.안다.ㅡ지금은.가족들하고.의절하고사니.속편하다.내인생이.소중하니.가족들.다외면하고.ㅡ내가정만.생각하고.살기바란다.ㅡ너무.짠했다,3,2024-08-22T22:33:32Z
@Itsgood-gs8ky,제가 다  고맙네요 <br>일본식 많이 해주던지 사맥이던지해서  사야 건강하게  건강한애기 순산하세요,7,2024-08-22T19:54:36Z
@user-bi9lo9bd5y,음식 못먹는건 없었지만 임신으로 조금만 먹어도 금방 배가 차서 일인분 이상 먹은적이 별로 없었어요 지금 둘째 7개월 진입 했는데 두아이 육아를 하다보니 살이 더 쏙 빠지네요 갑상선에 이상이 생겨 어제 병원에 다녀왔는데 몸이 너무 힘들면 떨어질수 있는 수치라고 하시네요 다행히 큰문제가 아니었긴 하지만 육아는 정말 장기전이에요 엄마 건강 정말 중요하답니다,1,2024-08-22T17:22:23Z
@user-fq3ud5uv6s,사야 근데 너무이쁘다,7,2024-08-22T15:51:39Z
@sunok1160,이런것도 좋지만 처가에 한번다녀오시는것도 어떨런지요 🙏,1,2024-08-22T15:48:12Z
@user-cl1bc3vd8d,아니김밥한테두 물어봐야죠.김밥두 가족인데😂😂😂😂,1,2024-08-22T15:12:49Z
@user-cl1bc3vd8d,사야씨는 표현 넘잘해 형탁씨 복이당😊😊😊😊😊,10,2024-08-22T15:11:02Z
@user-cl1bc3vd8d,모야 도라에몽  실수안하는ㄷㆍ기😅😅😅😅,1,2024-08-22T15:09:48Z
@아리아리-q8i,다행이다. ㅠㅠ<br>근데 자꾸 정국이가 보여여^&amp;;;,3,2024-08-22T14:29:20Z
@user-nu6bd2kz1m,형탁님 사야님 늘삶속에서 승리하세요 건강하시고 행복하세요,8,2024-08-22T13:18:57Z
@olive-ABC,심성이 착한 심형탁씨 입니다❤사야씨가  어서 빨리 음식을 많이 먹을수 있는 날을 팬으로써 기다립니다😊,12,2024-08-22T11:55:42Z
@jinik8277,둘이 진짜 보기 좋아요^^,7,2024-08-22T11:46:16Z
@user-rx8gd2dc5d,아름다운 부부 심씨와 사야😊,11,2024-08-22T11:11:46Z
@YHC-tn7lk,임산부가 저렇게 마를수가 있구나,2,2024-08-22T10:23:20Z
@user-wv3zh6tc4b,요리 배워서 해주신다니 ㅠ 넘 감동적이고 사야씨가 맛있게 드셔서 다행이에요 <br>두분 행복하세요 ❤,10,2024-08-22T09:06:07Z
@anisaroroatiningsih2511,𝙴𝚗𝚐𝚕𝚒𝚜𝚑 𝚜𝚞𝚋𝚝𝚒𝚝𝚕𝚎𝚜 𝚙𝚕𝚎𝚊𝚜𝚎,2,2024-08-22T08:56:49Z
@user-mk5eo9si7c,그래!!<br>정답이네~~~🎉🎉🎉,4,2024-08-22T08:34:23Z
@myung-suklee1763,사야 넘~ 여위여서 안쓰럽네요<br>남편의 정성스런 음식으로 잘<br>먹고 입덧이 어여 끝나기를 <br>바래요❤,13,2024-08-22T08:31:52Z
@user-qo2vd9je1i,입덧 곧 끝나면 입터져요! ㅎㅎ 조금만 참아보세용 😊,6,2024-08-22T08:27:31Z
@user-fn9tu3gg9l,심진화님...입고 나온옷 브랜드가 어디꺼일까요??,2,2024-08-22T07:51:01Z
@user-pq3bs7zd1s,"입덧은 조금 더 견디시면,<br>신기하게도 다 사라지고<br>편해진답니다.<br>입에 당기는것이라도<br>열씸히<br>잘 드셔야해요.<br>특히 방울토마토 많이드셰요.<br>엽산이 많아 아기 두되에 최고지요😊",4,2024-08-22T07:50:07Z
@user-fl5tw9ip6z,사야씨 남편이 해준거 마니 드시고 힘내세요 입덧 힘들어요,15,2024-08-22T07:36:32Z
@jadekim7134,사야씨 일단 먹을수 있는건 똑같은거라도 매일매일 먹어도 되요. 그렇게 하루하루 버티다 보면 어느새 입덧 끝나있을꺼에요.^^,3,2024-08-22T06:20:08Z
@user-up8qo2if9z,항상 맛있는거 땡기는거 많이 해주세용....부럽네요....😂저능 8개월 만삭몸으로  해주기 바쁜데....비교되네....아흑!😢 반성해라 우리신랑!,3,2024-08-22T06:19:58Z
@hamssu00,그까이 일본음식 간장 설탕 그거만이슴된다 고로게 모밀 스시 울 나라 널려있는데 무슨 특별한음식이라고 유난이야 글고 한국음식이 김치 매운거만있나 기분나쁘게,1,2024-08-22T06:11:59Z
@ruhimae5048,아구 이뽀라~~~,7,2024-08-22T06:08:51Z
@katielee3371,감자라도 드셔요 ㅜ 너무 마르셔서..,2,2024-08-22T06:01:48Z
@zyiee3149,남편이 다 이렇다면 애기 막낳을만혀 최고,5,2024-08-22T05:41:36Z
@user-uj9zz1my3y,심씨 가 만들어준 음식 을 사야 님 맛있게 먹네요 오랜 만에 맛나게 먹는 모습 을 보고 내가 행복 했네요  서로 노력하며 행복하게 사세요❤,7,2024-08-22T05:14:09Z
@NethNeth-dy3fr,❤❤❤❤❤,5,2024-08-22T04:37:15Z
@ky6653,이건 방송일뿐 <br>한국은 현찰이다.<br>입덧할때 현찰.카드주고 필요한거 사고 먹고싶은거 먹으라했더니 <br>퇴근후 웃고있더라,1,2024-08-22T04:31:42Z
@usa0201k,사야씨 처음 나왔을 때부터 느꼈지만 bts 정국 누나라고 해도 믿을 만큼 닮았어요❤,11,2024-08-22T04:30:16Z
@user-yp5xv3jx5o,오랜만에 봤는데 사야 그동안  말랐네요<br>잘 먹고 건강해졌음 좋겠어요,6,2024-08-22T04:28:31Z
@HoJin3316,이왕이면 날 잡아서 두분이서 일본으로 여행을 한번 가시는게 어떠신가요?<br>형탁님이 사랑하시는 와이프분을 위해서 ㅋ,10,2024-08-22T04:08:51Z
@jun9618,사야 먹어야 된다<br>왜캐 말랐노 클난다ㅠ,7,2024-08-22T03:53:40Z
@yukiakko6386,優しいねー😆,4,2024-08-22T03:42:36Z
@오홍당무지롱,땡기는거 땡길때 먹어놔야해요 …사야 화이팅,115,2024-08-22T03:42:13Z
@enen2911,아내를 위해 노력해주는 모습 너무 부럽다. 내 남편은 내가 임신했을때 불고기먹고싶다고했는데 비싸다고 눈치주고그래서 못먹고 지가 다 먹었는데,67,2024-08-22T03:28:26Z
@MongChi-vl5vc,사야 인형같이 생겼네요~😊,27,2024-08-22T03:25:07Z
@sijinh5923,심씨 멋지시다👏🏻👏🏻👏🏻,17,2024-08-22T02:31:59Z
@user-uh2ee9dc1c,"셰프님이랑 형탁님이 사야님과 새복이를 위해, 저렇게 고민하고 열심히 준비하는 모습이 너무 따뜻했습니다...😢💕사야님 어서 입덧 나아지시고 식사도 편안해지시길...",27,2024-08-22T02:13:34Z
@user-bs2sx4mb8u,너무예뻐사야착하기도하지예쁜애기보고싶네요,4,2024-08-22T01:49:58Z
