Author,Comment,Likes,Published At
@dawn9362,우리 할머니가 고등학생때 <br>학교에서 단체로 일본으로 보내졌는데 거기서<br>하루에 주먹밥 하나 드시고<br>일본말 쓰면 두들겨맞고<br>일본노래 부르라고 혼나고<br>포탄닦는 일을 하셨다는데<br>말년에 자궁암으로 돌아가셨다<br><br>조선시대부터 무려 49차례나<br>한국을 침략한 일본놈들이<br>일제시대 위안부.군함도.731부대 생체실험<br>뭐하나 인정하고 사죄하지 않고<br>심지어 후손들에게 제대로 된 역사도<br>가르치지 않으면서 <br>그렇게 남의 나라를 침략하고 짖밟은<br>대가로 일본의 아이들이 호위호식하면서<br>편하게 살다가<br><br>아무렇지도 않게 한국남자 만나서 결혼해서<br>또 똑같이 역사의식도 없이 살면서<br>과거는 과거일뿐<br>지난일을 지난일일뿐<br>&#39;독도는 누구의 땅 입니까?&#39;<br>&#39;우리 모두의 땅입니다&#39;<br>추성훈 같은 놈들이 개소리나 지껄이면서<br>한국에 살면서 온갖 지원.의료.복지.<br>다문화 혜택까지 받는게 어이없다<br><br>천재지변.쓰나미.지진.화산폭발<br>일본은 침몰할 일만 남았는데<br>한국으로 피신온다는 일본인들<br>받아주는것도 짜증난다<br><br>NO JAPAN,0,2024-09-13T04:31:17Z
@user-qz5nx5lu7s,8/11 코엑스 베이비페어에서 4-50분 걸려서 주차하고 어렵게 들어가서 구경하고 임신 8개월차에 무거운 몸 이끌고 서있는데 당신들 촬영하는거 연예인 오는거 관심도 없고 연예인 애를 낳든 말든 관심도 없는데 왜 밀면서 촬영하세요? 촬영하니 자리좀 옮겨달라고 양해라도 구하셨어요? 카메라맨부터 임산부 밀치면서 촬영하더니 피디든 작가든 촬영좀 하겠다고 말한마디 없이 다같이 사람 밀고 들어와서 설명도 없이 촬영하던데 너무 스트레스 받고 기분 나빴습니다 당신들 누군지 무슨 프론지도 모르다가 찾아서 찾아서 여기겠지 하고 챶아와서 말합니다 연예인 임신은 중요하고 다른 임산부들은 안중요합니까 거기 다 출산 임박한 임산부 들이에요 다들 땀 뻘뻘 흘리면서 돌아다니는데 자기들이 무슨권리로 양해도 없이 사람 밀치면서 촬영하는지 모르겠네요,1,2024-09-12T18:02:02Z
@haatssanapdul1696,당근 추천해요❤,0,2024-09-12T16:45:10Z
@user-mu1gi3bz2g,허세다..허세..다 부질없다..,0,2024-09-12T14:57:21Z
@happy_yangbong,어차피 다 협찬 받으실거면서 😅,0,2024-09-12T14:45:01Z
@user-bq3in8cp7z,그냥 쿠팡에서 가성비좋은가격인거사면되는데 ㅋㅋ,0,2024-09-12T12:38:14Z
@user-ok7xh8df6o,울 며느린 선물 받는건 말곤 대부분 당근 이용 하더만 요즘 젊은 엄마들 지혜롭고 현명함,1,2024-09-12T12:25:50Z
@hjl1610,쓸데없이비쌈 장난감 유모차 중고로샀는데 쓰는데아무문제없음,0,2024-09-12T12:08:16Z
@user-fp9pv3np4s,연예인들 돈 많이 벌지 않나?<br>백만원이 이들한테 돈인가?,1,2024-09-12T11:00:06Z
@user-df7pp8mw3i,육아용품 중고로 얻어서 애들 잘 키웠네요<br>다 허세고 거품입니다<br>애들 크면 저런거 다 당근에 팔던데 ㅋㅋ,1,2024-09-12T10:37:26Z
@user-iwannasteak,아니 뭐 자율주행기능 있어?,0,2024-09-12T10:35:50Z
