Author,Comment,Likes,Published At
@user-mk6xr4vh8z,신랄수업이변질되고있고만.재미없다안볼란다개그맨프로인가,0,2024-09-04T02:15:06Z
@hong_0415,아니 이 조합 재밌어서 일부로 찾아들어왔는데 반응들이 왜이러나 ㅠㅠ,1,2024-09-03T11:19:05Z
@ldh0428,정경미 윤형빈 부부가 겁나 웃긴데ㅋㅋㅋ<br>심진화 김원효는 너무 보기 좋고,0,2024-09-03T07:09:53Z
@user-mf3pw6ck5k,아니  개그우먼들  보자고  신랑 수업  시청하는것  아닌데  도대체  왜  이런걸  봐야합니까?  동아커플은  하차한것  입니까?  소재가  없는가요?,1,2024-09-02T00:33:57Z
@user-rg1zy6fs3w,김동완 윤아커풀 이제 안나오나요? 요세 너무 재미 없어요. 보기싫어요.,4,2024-08-31T11:09:05Z
@HunPark-x2x,개그수업으로 바꾸는게 나을듯 물론 보는사람은 별로없겠지만,7,2024-08-30T09:04:42Z
@user-bc2kk8qj1d,신랑수업에 지들끼리 나와서 모하는건지. 에효.  안본다 안봐.,3,2024-08-29T05:01:51Z
@user-qs4cd5ne3y,개그맨  여자들이  신랑수업에서  판치네,5,2024-08-29T04:17:11Z
@수아로그,육아 안하면 싸울일이 있나요....,1,2024-08-29T03:23:42Z
@user-cc8ef4tb7h,개그멘파티야뮈야보기싫다,1,2024-08-28T23:54:48Z
@user-gc9hc1yr8x,다음주도 동아커플 안나오네요. 하차로 생각하면될거같습니다. 에녹은 또 소개팅하는군요. 어서 새로운 커플이라도 나와야 신랑수업이 좀 재밌어질텐데.. 예고편만 보게되네요 ㅎ,11,2024-08-28T13:57:55Z
@user-mt9sm1ej6y,신랑수업이 개그프로 가 되었네,7,2024-08-28T13:57:48Z
@user-pkm1319,여기 위치를 알려주세요 ^^,0,2024-08-28T13:47:17Z
@geum-heeyi,개그우먼들이재밌네<br>저 귀걸이촘 봐,0,2024-08-28T13:41:29Z
@geum-heeyi,홍윤화 어떻게요<br>살빼야겠네,1,2024-08-28T13:40:29Z
@rishw6068,방송제목이 신랑수업이면 신랑들이 어떻게해야하는지 그런걸 알려주는 프로그램 이되야지 점점 프로가 산으로가냐? 너무 정신없음 시끄럽기만하고 복분자 딸때 일도 재대로 안하고 홍윤화는 먹기만하고,4,2024-08-28T13:29:11Z
@user-ir9fl3st5m,왜 저런걸 내보내는지. 출연진 신경좀 써세요 인기 완전 떨어지기전에.,4,2024-08-28T13:28:50Z
@user-ir9fl3st5m,아니 개그맨들이 왜설쳐  애청자었는데 실망이다 제발 출연자좀 신경써주셔요 요즘 볼 인물이없어 실망 아휴 저것들 꼴보기싫어,5,2024-08-28T13:26:37Z
@user-rq9xq7lg2w,신랑수업이 가끔 산으로 가는것 같음,2,2024-08-28T13:12:34Z
@황영미-r4i,신랑수업 재미없다<br>김동완윤아 없는 신랑수업 지루해<br>에녹 노,12,2024-08-28T12:37:48Z
@황영미-r4i,김동완 윤아 없는 신랑수업은 노~~,11,2024-08-28T12:36:33Z
@user-jk5hf7kn1f,시청률 떨어진다 나도 안보고 간다,3,2024-08-28T12:13:24Z
@sunillee7817,할꺼 드럽게 없나 보네 참,5,2024-08-28T11:24:14Z
@user-ik7zt5hm7i,윤아님. 언제나오나요❤,11,2024-08-28T09:29:31Z
@user-dh5qg6sh7e,소재가 없나요? !별루 공금하지않는데,6,2024-08-28T09:27:32Z
@user-dh5qg6sh7e,이 뭐임 모지?<br>별루 보고싶지않음,10,2024-08-28T09:26:51Z
@user-lf9ku1pr1m,연애인중에신진아가제일싫어재수없어,3,2024-08-28T07:30:32Z
@user-ki6kh1yl7u,동완❤윤아 언제 나오나?,15,2024-08-28T07:29:55Z
@user-lf9ku1pr1m,진짜재수없어,0,2024-08-28T07:29:17Z
@user-uz3ct6mn5f,동아커플   보고싶네요~😢,16,2024-08-28T06:59:36Z
@user-df7pp8mw3i,굳이 저 모임을 방송에 내보낼 필요가 있나 소재가 없긴 없구나,22,2024-08-28T06:56:47Z
@user-cx9xw3wn3u,동.아.커플.보고싶네요.언제쯤나오나요?,19,2024-08-28T06:41:31Z
@user-kg2ln8le8w,윤아동완 언제 나오나요,17,2024-08-28T06:31:33Z
@user-ri4pq2wg8r,🍇🍇🍇💃,3,2024-08-28T06:19:41Z
@정수자-u7d,다이어트하시어요 홍윤화님 건강생각하셔야지요😢,12,2024-08-28T05:54:15Z
