Author,Comment,Likes,Published At
@soohyunikelly,"한고은님 배우로도 많이 활동해주시길..<br> 눈빛이 참 아름답다 생각하던 배우님이신데<br>시집갈 때도 놀라고 시댁, 남편분 잘 만난것도 놀라고,<br>결혼해서도 행복하게 잘 사시는 모습.. 역시 아름답고 멋지시다.😊<br><br> 눈빛은 마음이 창이라했던가..<br>빛이 나는 사람....❤",1,2024-09-11T08:58:38Z
@user-tv3cf3mr,고은씨 두부나 콩국수나 옆 사람 먼저 권하고 나서( 남편 뿐아니라 )본인이 드시면 더 보기 좋을 듯요^^,0,2024-09-05T13:19:51Z
@user-vn3or1od4p,여기어딘지알겠다....우리집에서가깝네나중에가서한번먹어봐야겠다,0,2024-08-31T05:13:09Z
@user-bi1qb6no3z,한고은 당신은 사랑 받기 위해 태어난 사람 ㅎㅎㅎㅎㅎㅎ<br>고은씨 전요 남편분하고 한동네 사람이에요 <br>부산에서 저도 수원으로 시집와서 살고 있어요<br>늘 행복하세요 ㅎㅎㅎㅎ,0,2024-08-23T20:57:18Z
@user-lp2ws5je3p,고은씨 아기생기길 부처님께 기도드립니다,0,2024-08-13T12:00:03Z
@user-lp2ws5je3p,이부부 멋지게살아요,0,2024-08-13T11:55:20Z
@오렌지-b3l,과일다손질해온거<br>대~~~~박❤,0,2024-08-10T11:11:46Z
@user-gf7lb2fr1e,財慈弱殺을 이루고있는 사주인가보네요 이같은 命을 갖춘 여인을 아내로 맞이하면 媤家가 잘되고 남편이 사업가면 사업이 잘되고 관직에 있으면 해마다 승진하며 설사 부귀영화를 누리지 못하더라도 가정이 화목하리라 ~~~,0,2024-08-10T09:18:18Z
@user-JinSang2258,영수는 최고의 남자.<br>그 영수를 픽한 최고의 고은~^^♥,0,2024-07-18T21:38:20Z
@쁘니-q1i,한고은씨는예쁘고 영수씨는 심성이 참 착한사람 같아요 왜 건강ㅎ거 향복하세요❤❤😮❤,0,2024-07-13T12:09:53Z
@user-or6ut8ws5u,용준씨 이젠 더 멋진 효도 하세요 이쁜 그분과 잘 이어지셔서 더욱 많이 행복하시고 어서 결혼도하셔서 이쁜아가도 선물하세요,0,2024-07-13T09:14:39Z
@user-or6ut8ws5u,이젠 하나님이 이쁜 아가만 낳게 해 주시길 같이 빌어봅니다 <br>아버님도 기뻐하셔서 이쁜 아가낳을겁니다 늘 행복하세요,0,2024-07-13T08:46:34Z
@user-iy1xr6sp1e,멋지고 아름다운. 고은씨<br>진정한행복이 무엇인지를<br>실감케하네요<br>고은씨 사랑하는남편과함께<br>늘 행복하세요,0,2024-07-11T03:50:25Z
@기오-v4k,고은씨는 사람에 소중함<br>부모에 소중함을 알기에 <br>더욱 좋은 인연들을 만나신거<br>같아요,0,2024-07-07T12:10:26Z
