Author,Comment,Likes,Published At
@user-so4xl1mt6z,티키타카. 두분. 너무귀여워,0,2024-08-21T14:22:52Z
@user-zt7pf3bh8q,나는 여자로서 데니는 너무 나대면서 잘난척 하는것이 싫다 그래도 에녹씨는 남을 잘챙기고 조용하고 무게감히 좋아서 존경합니다,0,2024-08-21T13:07:20Z
@user-to8oc5id8o,동완윤아 안나오니 재미없다,0,2024-08-21T12:17:09Z
@user-ov5bu6jq9n,신랑수업 <br>에녹 님 땜 에 <br>넘 잼나요<br>열응 함니다,0,2024-08-20T12:45:49Z
@user-ci3pv7lg9h,에녹님 좋은디 ㅠ,0,2024-08-20T11:12:08Z
@최순덕-e1d,에녹님 넘ㅡ우껴       티비시청률올리려고 에녹님고생시키네요  사실은에녹님이최고  멋저도넘ㅡ멋짐❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2024-08-19T11:04:07Z
@user-gg5ho8fs5s,에녹님은 마리아님과천생연분입니다,1,2024-08-17T14:21:46Z
@user-te6cv9bz1w,부드러운 에녹 님  세상에서 최고지요<br>에녹님  신랑수업 열심히 받고  오세요 응원합니다💚💚💚,3,2024-08-16T23:33:13Z
@애쿠우,"<a href=""https://www.youtube.com/watch?v=S_tzooIqH2s&amp;t=84"">1:24</a> 17년만에 할 수 있는 건 당신 남편이 당신을 여자로 안봐서 그래.  가서 춤바람 나도 남편은 관심없다 상관없다는거죠ㅋㅋㅋ",1,2024-08-16T16:36:50Z
@비와-p6c,에녹 강혜연 이랑  진도는?,2,2024-08-16T07:13:17Z
@user-fe6hv4es5r,"멋지남자,이 ❤❤❤",0,2024-08-15T23:42:27Z
@나나루나,"데니  참 매력적이네,,❤❤",0,2024-08-15T14:35:51Z
@nochturn,예능으로  보는  에녹 님  <br>그  매력에  또  치이네요~~ㅎㅎ<br>섬세하고   귀엽고  한없이  부드럽고  따뜻해서   에녹 님 보는것 만으로도  아주  큰 힐링입니다 ~😂😂😂,6,2024-08-15T12:02:14Z
@MAP-gg6eh,인성짱 에녹님 <br>어디서나 반듯하고 착한 심성이 돋보여요<br>예능도 잘 소화하고 계셔서 너무 보기좋아요 <br>항상 응원합니다,10,2024-08-15T11:29:30Z
@merrypark1283,에녹님 연기 잘하시네요<br>너무 귀여우세요~~ㅋㅋ<br>신랑수업 에녹님 땜에 봅니다<br>데니님하고 케미가 좋아요.<br>계속 나오셔서 잘생긴 모습 보여주세요~~,9,2024-08-15T10:18:40Z
@이경숙-e7n,신랑수업   에녹 님  혼자안가신게 더 재미있습니다 응원합니다,7,2024-08-15T09:28:11Z
@aroha9988,아니 에녹 님 살사댄스 추신다고 해서 드디어 울 에녹 님 매력을 시청자들이 다 보고 푹  빠지겠다 했는데 이게 뭔가요 너무 실망스러워요,10,2024-08-15T09:15:19Z
@모두다꽃,도대체 신랑수업 에서 에녹 님은 어떤 컨셉인가요? 이상하게 보면 볼수록 화가 나네요 이러다 가을 개편때 프로그램 사라지는 건 아닌지 <br>시청률도 뚝뚝 떨어지고 많이 아쉽네요,8,2024-08-15T09:11:39Z
@yis2968,🍀 에녹 참으로 훌륭한 사람이군요<br>넓은 시야로 사랑과 평화를 지향하는 박애주의자 평소부터 매우 친절하고 관용적인 자세로 주의를 배려하고 항상 겸허한 에녹 님을 두고 속인들이 볼썽사납게 주접을 떨고 있네요!<br> 그는 소심한 상대를 속단하지 않고 천천히 자연스럽게 서로를 알아가며 좋은 인연과 신뢰를 쌓아가는 성격같아요🪴,9,2024-08-15T08:41:49Z
@user-ov5bu6jq9n,울 에녹 님 <br>남생각할실때가 <br>아님요 <br>어서 결혼 하세야죠,4,2024-08-15T08:40:57Z
@user-rl4dn1sb1c,눈치 밥말아 드셨쥬? 에녹 님?<br>그래도 늘 여유 있으신 에녹 님 <br>우린 꼭 잘될줄 믿어요,7,2024-08-15T08:24:27Z
@user-jo5nf9qd7q,에녹 님 춤신춤왕이신거  모두들 아시죠,11,2024-08-15T08:23:49Z
@user-pt6lr5im7z,에녹님 혜연양 하고는 안만나요 이거는 무엇입니다~^^,1,2024-08-15T05:45:44Z
@user-sr4wc2kg2i,에녹님  컨셉이  짜증나  멋있는  에녹님 왜 자꾸 그래요 에능ㅇ라  생각하면서도 화가나,7,2024-08-15T05:31:29Z
@Anne-kn1fs,에녹 님이 나오시는 신랑 수업은 항상 재미있네요.,21,2024-08-15T05:24:00Z
@hyeokjaecho,여자분 너무 예쁘네여 매력만점,4,2024-08-15T03:49:28Z
@김은혜-z6k,에녹보러 왔다가 데니안 매력을 보게되서 좋네요 ~,6,2024-08-15T03:05:56Z
@김은혜-z6k,에녹님 소개팅에 둘이 나가고 또 뺏기면 좀 어떠냐고 말하는건 소개팅을  준비하느라 수고한  홍지민님에 대한 예의가  아닌듯 ㅠ. 이제  예능으로만 볼께요,5,2024-08-15T02:33:04Z
@user-dh5qg6sh7e,혼자 춤추는 에녹 님  ㅋㅋ ㅋ,11,2024-08-15T02:28:54Z
@user-dh5qg6sh7e,에녹 님 구박하는건 컨셉인가요  ㅎ ㅎ  그래도  즐겁네요,10,2024-08-15T02:25:03Z
@user-gn9fs8dw4i,다혜 세븐 너무이쁘게산다,1,2024-08-15T02:20:32Z
