Author,Comment,Likes,Published At
@jessicakim884,하루에  몇번씩 보고 매일 봐도 또 보고싶어지네요. 너무제미있어요^^ 두 분이 너무 어 잘 어울리고 너무 아름답고 정말 두 분이 꼭 이루어지길 바랍니다. 착한 에녹님 앞으로도 더욱 무궁무진하게 좋은일이 가득 하시길 ~,0,2024-09-12T23:14:11Z
@user-eo3ls2gk2c,깊은인상천사미소화이팅 응원함니다 아니강혜은 헤어졌나요 자기가뭐 그리잘났다고 더좋은인연 만나세요,0,2024-09-12T22:32:20Z
@user-eo3ls2gk2c,애녹씨 화이팅하세요,0,2024-09-12T22:23:52Z
@user-eo3ls2gk2c,강애연보다 낳아요  화이팅하세요,0,2024-09-12T22:23:19Z
@junghanjin1990,에녹 님 정현님과 잘 되시길 응원합니다 <br>두분이서 너무 잘 어울리셔서 다른 분과 결혼 하시면<br>저는 실망스러운 느낌이 들것 같네요,2,2024-09-12T12:53:37Z
@user-vq9ru5os8z,역대급미모입니다🎉🎉,2,2024-09-12T11:30:53Z
@syaosyao-kh6sm,우리 수지 어디갔어. ..,2,2024-09-12T09:37:45Z
@syaosyao-kh6sm,이번에 만난분 괜찮다. 인상이 너무 좋아. ..  순수하고 착해보임. 착하면 잘잡아서 장가가자 에녹아^^ 직업이 의사면 최고네,3,2024-09-12T09:36:52Z
@namseokkim7198,여러 애기할것 없다<br>결혼 해라~<br>잘 맞겠다,2,2024-09-12T09:35:12Z
@syaosyao-kh6sm,우리 아빠도 4대독자였는데 다딸을 낳아서 대가 끊김. .  근데 전혀 그런거 없이 살다 다들 돌아가심. .  오직 딸사랑 딸바보 그자체였음. . 몇대 독자 따지는 집은 다 구세대다. . 시대가 바꼈다 에녹아,3,2024-09-12T09:34:58Z
@user-xt9ki3tm2r,드라마보다 더 재미있는<br>한편의 드라마로 잘 보았고 계속 반복해서 보게됩니다 <br>에녹님 순수시대 로 저장,7,2024-09-11T22:04:30Z
