Author,Comment,Likes,Published At
@user-jg2xz1ub2w,신랑수업 비쥬얼 담당 커플 잘생김에 예쁨 지수 한도초과 커플<br>도대체 이영상을 나는 몇번째 보고 입벌리고 미소짓는거냐고~!!!,2,2024-08-27T15:45:39Z
@user-qj3jg9de6y,최고의 신혼부부 <br>동❤아커플 <br>아름답고  사랑스러운 <br>하나뿐인  최고의  여인<br>보고싶어요 😂😢😅😊🤗🫶🙏,3,2024-08-27T14:39:30Z
@노영철-x5l,이런 사위감 구하기가 쉽지 않을거야...,3,2024-07-12T21:43:28Z
@lovemanna7522,저기 어디에요?,1,2024-07-09T09:37:07Z
@user-if5vs8br2n,수십번을봐도 넘 이쁘다 ㆍ담주는 한복도 맞추고 ㆍ애녹이한테  잡아둔 예식장 먼져쓰라고 하는거보니 가을에  결혼할거 갔네요,6,2024-07-06T13:32:01Z
@user-di9dm9mk2j,장영란한고은님 다시 데려와주세요... 사야랑도 여자끼리우정 재밌고 부부동반도 재밌고 스튜디오에서 출연진들끼리 티키타카도 너무좋았는데 ㅠㅠㅠㅠ,5,2024-07-05T09:32:35Z
@user-qv5ng3bg4o,동완님  사랑해주는  윤아사랑해요😢😅😅😅,8,2024-07-05T03:18:18Z
@user-qv5ng3bg4o,최고의연인 윤아와동완 😢🎉😊😊,9,2024-07-05T03:14:34Z
@hyeminmoon8215,비올때 뛸때 스튜디오에서 <br>동완이가 윤아 이쁘다할때<br>찐 이뻐하네ㅋ본인도 빠져들듯이 보네ㅋㅋ,20,2024-06-29T15:11:16Z
@user-nw2kt2yc4h,두분 넘~예뽀요,9,2024-06-29T06:06:18Z
@user-em7rt9to7t,무슨 짓 할거야??????? 해야지~~~~ㅋㅋ,10,2024-06-23T22:11:58Z
@user-dc9ij5kz4m,기대돼요❤,19,2024-06-22T07:12:39Z
@jzl7613,동완씨 윤아랑 해외여행 갔으면 허그도하고  키스도 사랑한다고도 표현해야지 진도 좀 나가야죠 맨날 손만 잡지말고 팬들이 그걸 바래요  그래야 빨리 결혼도하고 이쁜 아이들도 낳고 행복한 가정 꾸리지요 💞💞💞💞💞💞💞😍😍😍😍😍💐💐💐💐💐,17,2024-06-21T21:38:27Z
@youn7014,찐짜 동아커플은  찐이다  이러케  해먹하나에  즐거울수가   잘 논다   ㅋㅋ 윤아  동완   포에버  ♡♡,28,2024-06-21T15:16:39Z
@user-rs6my6tk8q,윤아 넘예쁘다 동완씨너무잘어울려요  예쁜윤아랑 결혼했으면,15,2024-06-21T10:42:56Z
@user-qr4mh4ob4k,동완윤아그림같은모습아름다워  다시봐도달달<br>예쁘고아름다운달달커플<br>나이들어도다시봐도감동<br>동완님멋진청년몰해도귀여위서웃어주는윤아님넘예뻐두분참사랑스러운모습<br>응원합니다,26,2024-06-21T08:17:19Z
@user-mp3tg9kd5m,아주좋아경치,10,2024-06-20T15:32:50Z
@user-gd6hc5xx3e,이쁨 😊,25,2024-06-20T13:25:15Z
@user-uh8el5tk4i,그냥 드라마 본다고 생각해야지 자꾸만 몰입되서 둘이 깨지면 힘들듯,10,2024-06-20T12:42:09Z
@user-zz7ub5bg8e,동아커플 서로 호감이 강하지만 확실히 남자가 더 여자를 좋아해야 보기가 더 좋은거같아요❤ 너무 잘 어울리는 커플이기에 보는이들이 심쿵하는듯😊,32,2024-06-20T11:39:11Z
@remnnt0820,계순이 울리기만 해봐...,19,2024-06-20T07:26:39Z
@문익-c2s,정말 ~ 고급스런 자연미 넘치는 두분<br>보고  또 봐도 보고 싶네요<br><br>예능  보고 힐링도 할수 있네요~~♡♡,24,2024-06-20T06:58:55Z
@rock2winss,연예인 참 좋아 여자 소개시켜줘 해외여행 보내줘 출연료도 줘 대박 ㄷㄷ,4,2024-06-20T04:16:16Z
@이명숙-k5p,너무 예쁜커풀  너무잘어울려요ㅡㅡ두사람때문에  신랑수업 본방사수해요~,30,2024-06-20T03:01:33Z
@진영박-w9r,둘이넘잘어울려요~응원합니다❤❤,36,2024-06-20T01:13:42Z
@허니-o7w,이런 인연 운명입니다<br>윤아씨 품위가 느껴줘,38,2024-06-20T01:12:11Z
@user-ki3pd9lm6q,이러게 잘 어울린  커플 못 봤어요,39,2024-06-20T01:05:27Z
@mariadakila,It&#39;s more than a honeymoon 🥰,19,2024-06-19T22:08:03Z
@user-xp9kw8hk7b,모든것 쇼다 둘이서 로맨틱한<br>사랑의 행위는<br>없다 침대가 따로있어서 같이<br>사랑은 안한다<br>결혼도 어쩌면 가짜일지 모른다<br>시청자들이 너무 몰입해서 결혼 안하면 큰 실망할지도 모른다 지금가지 신랑수업에서<br>한쌍도 결혼한적<br>없다 방송용이<br>될 확률이 있다<br>하여튼 시청률은<br>올랐기 때문에 신랑수업은<br>성공한것 같다<br>결혼 못해도 시청자님들 너무 서운하지 마시길,3,2024-06-19T18:06:30Z
@hamssu00,이커플은 꼭 결혼하길 둘이 넘 잘어울려요 윤아씨 성형안한 자연 미인 이다혜랑 넘 비교되잔아 또 했는지 웃을때도 넘 어색해 이다혜가 성형했잕아요,28,2024-06-19T17:54:12Z
@user-pv5zn4jf6g,패널들아 너무 오버 시끄럽게 집중 못함,6,2024-06-19T17:34:28Z
@user-lh7gf6ni4v,이러고 결혼은 커녕 안사귄 방송용 커플들한테 속아서 안믿어!!!!<br>이 방송 끝나면 그냥 연락도 안할거 같음,7,2024-06-19T16:36:58Z
@user-ib4sp4xu8g,둘이 꿍짝이 찐 좋네❤,35,2024-06-19T15:50:08Z
@BoBo-qe1gt,우와~~~~~ 진짜 영화같아요. 윤아씨 너무 예뻐요!!! 너무 잘어울리네요~~~ 둘을 계속 봐서 그런가 웃을때 둘이 묘하게 닮았어요!!!,30,2024-06-19T15:38:06Z
@user-qv5ng3bg4o,정말정말 어울려요  이렇게예쁜커플은 처음봤음  😅😅😅,28,2024-06-19T15:31:19Z
@user-cl1bc3vd8d,잘됐네 ! 허니문은 다른데서😅😅😅😊😊😊😊,19,2024-06-19T14:50:09Z
@youn7014,진짜보는내내   미소가 절로   윤아는 꽃무늬 원피스  왜케 이쁜거야   동완씨  광대가  ㅋㅋ   둘 진짜  잘어울림   담주  또 볼수   약속있는데  취소해야겟당 ㅎㅎ,34,2024-06-19T14:49:33Z
@user-cl1bc3vd8d,그냥조아조아😊😊😊,24,2024-06-19T14:48:46Z
@Rain_Tears_,다음주보니 동완씨가 신혼여행을 베트남에 다시 오고 싶데요~😊,30,2024-06-19T14:46:08Z
@user-cl1bc3vd8d,다음엔 예쁜 딸 가족 그러면  또 자구가나요?😅😊😅😊😅,20,2024-06-19T14:45:15Z
@꾸러기-k5i,신화는 여복터진듯,25,2024-06-19T14:43:39Z
@전주후리지아,첫회부터 쭉 봐왔는데 윤아.동완 커플 잘 어울리고<br>이제는 서로를 챙겨주는 모습이 보기 좋습니다.<br>둘이 꼭 결혼까지 갈거 같아요. 서로 더 이상의 커플은 없습니다.,38,2024-06-19T14:28:08Z
@user-vr1gh5zx1b,윤아씨 넘 예뻐요❤,32,2024-06-19T14:22:01Z
@김화선-g2z,영화보다 더 아름다운<br>동❤아 커플 love story   모든 장면이 <br>감동 그 자체  ❤<br>더 이상의 사랑은 존재 하지 않을꺼예요,26,2024-06-19T14:20:14Z
@user-heru16,돈까스 좋아하시는 분들은 GS SHOP에 김동완 돈까스 3종 주문들 해주세요 동완씨 돈벌어서 하루 빨리 장가 가게요😊,34,2024-06-19T14:16:08Z
