Author,Comment,Likes,Published At
@user-ir1on5ms8w,야마나시갱 너무이쁜마을이죠 후지산이다보이고  공기도넘좋은곳 그래서 사야가순수하고 이쁜것같아요.,0,2024-06-13T03:34:01Z
@Foreveryoxxg,Please add English subtitles,0,2024-04-27T11:28:48Z
@Heal_Law,가족이 왠수라고.. 심형탁 가족들 때문에 평생 번 돈 다 날리고.. 평생 가족들이 싼 똥... 빚 까지 다 끌어 안아 마음 고생 먾았을텐데..ㅠ 결혼 잘했네요. 착하게 사니 복 받았네 ㅋㅋㅋ,0,2024-04-12T20:26:32Z
@무진기행-w5o,"보면볼수록 사야가 아깝다는 생각.<br>저렇게 허접한 형탁한테 사야라니...<br>형탁은 생전에 나라를 구했고,헌데 사야는 어떤죄를 지었길래...ㅉㅉ",0,2024-02-01T20:26:05Z
@user-db3hy9ru5q,きりの息子可愛いちょ可愛いよ,1,2024-01-26T15:22:29Z
@user-ib6lo4yp6y,🎉,0,2024-01-15T18:11:47Z
@shk2784,우리돈네야~...ㅋㅋ,0,2024-01-09T03:42:36Z
@user-kq7es8vt9z,나의 워너비 심형탁성님 ㅠ ㅠ,0,2024-01-07T07:50:58Z
@user-kq7es8vt9z,아 나도 탈조선 해서 저런 한적한 일본 가서 살고싶네요 ㅠ ㅠ,0,2024-01-07T07:48:28Z
@dia3375,역시 있는 집 딸내미가 우직히 착하고 잘생긴 남편감 데리고 가는구나,3,2023-12-16T23:23:59Z
@hansj1234567990,사야씨가 한국말 하는것 처럼 형탁씨도 일본말 왠만큼 할수 있으면 좋은데....아쉽다......그래야 더운더 친해질수 있고 좋을것 같은데...,1,2023-12-11T09:59:24Z
@user-ih3kl6xp9s,축하드립니다 ~^^  주니네성주참외 한번 들려주세요^^,2,2023-12-03T07:06:42Z
@user-qb9fg2ju7u,다른나라는  아니고 일본은 우리나라하고 친해져야되야 됩니다,2,2023-12-02T06:59:50Z
@NeonEvan,형탁이 결혼 잘했네. 사야가 이쁘기도하고 한국말도 잘하네요.ㅎ,1,2023-11-30T16:36:20Z
@danbi82,일본인분들은 차분하고 오히려 한국인 심씨가 야노시호같은 느낌 😅,1,2023-11-27T11:14:17Z
@bwl2604,조카뻘되는 애한테 뭐하는 짓거린지.더럽다.,0,2023-11-22T15:06:58Z
@user-qj8xz5vh9t,18년 차이면 여자는 재혼하고도 남겠다..,0,2023-11-20T11:53:47Z
@user-jz9ri8to1k,볼때마다 재미 있네요.,0,2023-11-16T12:13:17Z
@00SimSim00,부럽당 😊,0,2023-11-07T15:52:09Z
@user-zt7xv5nk3e,역사,0,2023-11-06T12:17:44Z
@소스-v3b,장인어른 좋아보인다<br>심씨 그동안 사기당하고<br>마음고생 많았는데 처가복은 있나보다<br>행복하시길🎉,0,2023-10-21T13:00:24Z
@Kojo119,형탁님 도라에몽덕에 이쁜 일본 여자분이랑 결혼도하시고 아버님도 너무 대인배이시네요..착한 심성이 전달된듯해요 ㅎㅎ 좋아보여요 ^^<br>돈을 노려서 누군가를 좋아하는사람도 비일 비제하는데...ㅎㅎ 좋은일 생기니 팬으로써 기분이 좋습니다!,0,2023-10-20T07:12:29Z
@user-np3vx3uc7c,일본어 자막을 넣어주시면 좋겠습니다😊,0,2023-10-06T13:54:04Z
@user-xe3pd1cr3s,"다들  자세히 보세요.일본 골목이 깨끗하죠?쓰레기 밖에 없고.주차된차도,없죠? 울나라가 본받아할게 많아요.너무이쁜 두부부 진짜행복했음 좋겠어요",1,2023-10-05T11:54:32Z
@AMO-xu2bw,가업을 잇는 전통이 있는 일본 부럽다,1,2023-10-04T02:37:27Z
@풍운인물,우와 120년 정말 놀랍네여 가업을 이어받아 5대째는 심씨 가이어받는다 와~우 대박,1,2023-10-02T04:46:10Z
@mikyungkim4887,하시는일들 시야씨와 행복하게 잘 이끌어가시길 진심 바랍니다!!!,2,2023-10-01T19:13:07Z
@수정박-b8q,도라에몽이 형탁이 면공장사장님 만들어주네~,0,2023-09-29T06:41:49Z
@user-ms1ty4yw9f,심씨가 반한거에 비하면 일어를 너무 못하네요/😂😂😂 정말 사랑한다면 공부 열심히 하셔야 사랑받습니다/  두분 언제나 응원합니다🎉🎉🎉,0,2023-09-28T11:13:59Z
@user-de8ly6sn4o,이쁜 사야씨 행복하세요 응원합니다,1,2023-09-27T14:34:01Z
@sunnyland8240,요즘 심씨 얼굴에서 광채가 나는걸 보니 좋은일만 있을거예요.,1,2023-09-27T05:33:44Z
@user-kq6rz3zt5j,응원합니다,0,2023-09-27T04:11:43Z
@user-kq6rz3zt5j,축하드려요 행복하세요 ^^,1,2023-09-27T04:11:31Z
@user-jt8vm4jp7f,사람만좋으면 뭐하나 한번뿐인 결혼식에 부모도 초대하지않고  아무리부모가 잘못을한들 그래도 결혼식에는와야지 완전불효네 뭐가사람이좋아,0,2023-09-26T22:15:28Z
@user-td4fy9jr6k,장열란 얼굴 뭐임?,0,2023-09-25T09:57:51Z
@user-fr9kr7et5b,와 ~일본여행 가고싶은데 ~,0,2023-09-25T01:04:14Z
