Author,Comment,Likes,Published At
@dltmdgh13,MC가 이승철임??? ㅋㅋㅋ,0,2024-09-13T00:54:10Z
@user-ju2xi5wp7m,신랑 교육 제대로 받은 정말 멋있는 남편입니다 똑똑해요,0,2024-09-11T08:15:33Z
@user-cn9ps9th8e,와... 정말 멋지고 예쁜 부부 네...<br>말고 안되는 이유 로 이혼 이 판 치는 세태 에서 정말 본보기가 되는 부부 ...<br>영원히 행복하고 건강하게 잘 살기를 바랍니다...,0,2024-09-05T03:16:44Z
@user-pg1tg9jv8v,❤❤️❤️❤️❤️❤️❤️❤️❤️,0,2024-08-18T14:53:12Z
@teddy_8figure,한고은 보니까 저런 여자와는 절대 결혼하면안되겠다 싶었음.,0,2024-07-27T17:41:52Z
@gamsungleeji1569,예전에 한고은님 실물 보고 너무😊 놀랐는데 찐 예쁜거 넘어 아름답다라 느꼈던거 같음❤😊,0,2024-07-15T22:53:16Z
@user-co8sd5pz7x,전 결혼에 실패하고 13살 아들 홀로 키우는 돌싱이지만요~저랑 반대로 행복하게 결혼생활하시는 부부들~진심 응원합니다~♡,0,2024-07-06T17:40:21Z
@duman4023,아닌(?) 인연은 그만보는게 좋다.<br>그게 삶에서 이로운거지.,0,2024-07-03T17:36:10Z
@user-cx5lx5tx3h,한고은  부부  너무  좋아요❤,2,2024-06-29T00:56:05Z
@최은진-p7d,고은씨 다시보게되네요<br>두분 서로아끼고 사랑하는맘 넘조아용,5,2024-06-26T08:57:36Z
@user-vz5jv9ev3b,계산해서 이문남기는 장사꾼 관계는 손해보는순간 파괴된다,1,2024-06-23T10:02:09Z
@user-qe6ik3dp2l,저분들은 정말 백년회로하겠네요 특히 연예인은 저런남자 만나야합니다,0,2024-06-23T01:25:23Z
@user-ib8wi8nh5g,한고은 이쁘다,0,2024-06-18T09:05:10Z
@kbguu,장원영보면 한고은 생각남.,0,2024-06-16T06:49:40Z
@haijinzhu8113,한고은실랑 전생에 너라를구했나 어쩜 한고은여자랑 결혼해지 두분 오래오래 행복하게사세요,0,2024-06-16T04:52:03Z
@user-ci3pv7lg9h,너무 멋있어요❤❤ 결혼 진짜 잘하신듯 ㅎ,0,2024-06-14T00:44:41Z
@pkl0518,한고은말투목소리너무예뻐 얼굴은 뭐 대박예쁘고,0,2024-06-13T08:33:35Z
@stingchoi8358,와~~~진짜  멋있다  나도  배웠네~~고은씨  시집 잘가셨네~~~,0,2024-06-06T15:43:08Z
@Wertyuioko,한고은씨가 진정남자볼줄 아시네,2,2024-06-05T15:17:48Z
@user-do8lj3rv8i,남편 너무 평범하게 생겨서 의외였음 한고은한테 쩔쩔매는느낌    남자외모 안보는듯,1,2024-06-04T07:23:10Z
@moonlight7440,흐...  다음생에는 저런 좋은 남편과 사는걸로..,0,2024-06-04T03:40:56Z
@violetlee79,너무나 순수하고 배려가 깊은 한고은 부부의 모습 부럽습니다~~오래도록 행복하세요,1,2024-06-03T05:36:11Z
@user-yk2ld7pq3f,한고은씨는 진짜 남자보는 눈이 너무 훌륭했어요. 한고은씨 신영수씨 넘 이뻐요.최고,1,2024-05-31T22:55:40Z
@n1004ha,참 좋은 남자군~ 내가봐도,0,2024-05-31T17:58:34Z
@Lucky-vf9lv,애가 없으니까 가능...,0,2024-05-28T18:28:35Z
@iliiilil2232,"<a href=""https://www.youtube.com/watch?v=vryE-KaVK4A&amp;t=315"">5:15</a>",0,2024-05-28T06:14:30Z
@user-sv9hf1mz2q,한 고은씨의 고운 마음씨가  어여뻐서 더빛나 보이네요❤,0,2024-05-26T14:52:45Z
@user-sv9hf1mz2q,마음 안까지  웃음 머금게하는 보기 좋은 정말 행복한 두분이네요. 오래도록  변치않기를요,3,2024-05-26T14:43:37Z
@user-gf8wc3zo5u,멋져요❤,0,2024-05-26T08:55:18Z
@whynot6203,내 남편같당&gt;&lt;,0,2024-05-24T09:09:11Z
@user-zo3cj2lv2r,김고은씨는 언제 봐도 이쁘네.,1,2024-05-22T15:11:07Z
@sun-om4tx,정말 제 이상형~~ 1등 신랑감,0,2024-05-21T04:50:20Z
@user-ck6qd3kn5s,역시 교감 선생님 부부 화목한 부부,0,2024-05-18T11:19:48Z
@glamchae6702,회의중에 한고은 여보한테 전화온다? 난 스피커 폰에 마이크까지 대고 전화받겠어....,0,2024-05-16T17:04:26Z
@glamchae6702,정말 천생연분,0,2024-05-16T17:00:52Z
@ZXCVBNMasdfgh7111,"고은 언니 이쁜 것도 이쁜거지만, 속이 어른같은 사람.",0,2024-05-15T05:25:12Z
@YALLA8282,두분 정말 잘 어울려요🫶🏼,0,2024-05-14T11:58:34Z
@user-xe8id5cl3u,한고은 목소리가 사람을 홀리네...,0,2024-05-14T05:00:49Z
@user-gn1fv5ee3l,얼굴ㅇㅣ뻐 몸매이뻐 목소리 이뻐 요리잘해 최고지,1,2024-05-13T07:32:26Z
@user-wc8tw1xv2w,재벌 이런게 아니고 일반직장인과 연애결혼한거니,0,2024-05-07T18:38:23Z
@user-ucdfsykhykhg,애를 못낳으니...,0,2024-05-07T14:39:30Z
@서민준-c1h,"한고은님도 남편도 둘 다 좋은 사람이네요.<br><br>멋지고 존경스럽습니다. 두 분 모습에 너무 배울 점이 많네요.<br><br>늘 행복하세요. 늘 응원하겠습니다.",0,2024-04-23T05:48:38Z
@user-uj5dz5or5x,한고은씨는 깊이있는사람인게 느껴져요<br>저런여자를 사랑하지않을수 없죠,0,2024-04-05T21:46:59Z
@user-ql6ir3lx5b,두분 너무 아름다우세요<br>감동적이네요,0,2024-03-27T08:46:30Z
@bittersweet8361,둘 다 인간 자체가 참 좋아보인다 그리구 서로 같이 있는게 편안해보여😊 천생연분이시다,1,2024-03-15T14:05:36Z
@amparofuentes6208,HaGoEun is just a natural beauty who is gentle and strong. She is just for real.,0,2024-03-10T12:57:38Z
@user-sc9hg5yt8x,진짜 너무 보기 좋고 부러워요😂😂,0,2024-03-10T12:03:19Z
@user-sd6ts4ku9w,한고은남편 진짜 이시대 최고퐁퐁남임.직장도있고 집도있는데 친자식을 포기하고 저렇게 살고있다는게 정말대단함<br>나라면 절대 저렇게 살지는않았을텐데....<br>아무리 이뻐도 어떻게 단둘이 몇십년을 사는게 이해불가임ㅋㅋ,1,2024-03-03T08:27:57Z
@user-oq6hf7rl7g,한참 지나서 다시한번보고가요  정말  진심 많이배우네요,1,2024-02-26T23:46:58Z
@user-xz8ud3wb2s,ㅇ와 진짜 이쁘네,1,2024-02-25T15:17:51Z
@openureyes3541,아니.저런 남편이 있네.진짜부럽다.이승철 마인드도 부럽고 <br>아씨.승질나네.난어째저런,1,2024-02-10T13:30:51Z
@김시후-p6s,정말 한고은부부 서로 너무 잘<br>만났습니다.정말 부럽습니다.<br>이젠 아기만 있으면 더바랄것이<br>없겠네요. 항상 행복하세요.~^^,0,2024-02-10T12:35:52Z
@claudiayun5675,아름다운 두분이십니다. <br>아름답게 사시는 것을 보는 것 만으로도 제 마음에 행복이 쌓이는 것 같아요,2,2024-01-26T07:34:33Z
@user-nt7yk8se2h,저게 내후년에 50이 되는 얼굴인가...,1,2024-01-14T01:19:00Z
@user-pf3cm1kk1m,자식 낳고 얘기하자~,0,2024-01-06T02:33:18Z
@user-os4sk6mp8t,⚘️😅 오호 한양수자인,1,2024-01-06T00:18:23Z
@dia3375,우리의 우주에 끝이 없잖아 이야 한고은 남편답네 명언이 막 나오네. 집안의 평온 설렁설렁 별 말 안하는 것 같아도 남편 아버지의 힘 묵직함을 아시네 쎄다. 고은씨가 아주 좋은 의미로 무서운 사람을 만났네,2,2023-12-17T01:05:13Z
@dia3375,사는 게 참 재밌어 보인다 멋지다 아름답고도 멋지다,1,2023-12-17T00:48:41Z
@m880912,외모 이뻐서 좋아하는건 몇일이지.. 그렇게 치면 수많은 연예인 아내둔 비연예인 남자분들 이혼안하고 잘살거임..<br>남편이 한고은을 많이 좋아하는것도 있고 한고은도 그만큼 남편을 좋아하는 서로 피드백도 있는거고<br><br>한고은 성격이 상당히 좋단 이야기임..연예인이란 직종이 한국에서 유독 더 신분상승한 허영이 들어가서 필요이상으로 좀 비연예인 남자만나면 들들볶는 경우도 많다고함..,5,2023-12-11T06:48:12Z
@smilezack,한고은이면 죽을때 까지 신혼가능하지,0,2023-12-10T15:32:09Z
@getifucan,저기에 약쟁이는 왜 나오냐,0,2023-12-08T15:39:16Z
@user-qi9qo8tv5t,"한계를 없애라는 말이 무조건 참아라가 아니라, 생각을 다르게 함으로서 자기 자신도 자라는 효과를 불러오는 듯, 생각이 참 깊고 넓다라는 생각이 든다. 그리고 한고은이 아직도 저런 미모를 유지 하는 것은 본인의 노력도 노력이지만, 진짜 남편이 어지간한 일로는 속을 썩이지 않기 때문 인 듯. 사람이 걱정과 근심이 많아지면 늙어진다는데, 아니 어떻게 저게 45살 48살 부부의 외모란 말인가...!",1,2023-12-06T11:20:59Z
@kingbyurak1429,얘기 하는거 보니 확실히 사람은 서로에 대해 존중하고 고마워하고 표현해야 더 아는거 같다<br>저 남편분이 저렇게 얘기 한다는건 한고은씨가 얼마나 잘 했을지 서로 얼마나 평소 잘 하는지 보인다,1,2023-12-04T15:34:17Z
@starwngus,남편분 인상 너무 좋으시다.... 살면서 본 일반인 중에 제일 인상 좋으신듯,3,2023-11-29T11:37:23Z
@user-xd2sb9gv2u,웰케 잘생겨져씀..?!,0,2023-11-27T11:58:55Z
@user-qe5ik8bd3o,예쁘긴 진짜 예쁘네 한고은^^,1,2023-11-25T23:28:26Z
@user-bd5qk9ee1o,한고은씨 남편 참 괜찮네요. 결혼 잘 하신 것 같아요. 고은씨를 더 빛나게 해 주고요..,0,2023-11-25T16:53:39Z
