Author,Comment,Likes,Published At
@userkjc9266,그래서! 너희들은! 어느 쪽이냐?<br>철수 찬성이냐?... 철수 반대냐?... 어느 쪽이든 나하고는 사관 없다냐?...,0,2024-09-13T00:49:36Z
@user-zt5vr3gj2e,주한미군 철수하면 방위비 주한미군에 쓰지말고 우리도 핵개발하여 핵보유하고 최신무기들 개발하여 자주국방 합시다,0,2024-09-12T05:10:55Z
@mamasmokin,"1조5천억 분담금이 비싸다고? 폴란드 보셈. 미군 만명 유치하려고, 땅 주고 기지 지어주고 연3조...게다가 기지 이름을 포트 트럼프ㅋㅋ 지금은 싸드 달라고 난리인데 받기 힘든 모양",0,2024-09-11T07:36:04Z
@user-jk1qg2vl2p,5조로 올려줘도 현재 한국으로서는 남는 장사입니다.,1,2024-09-11T07:14:50Z
@user-tz1ut4lu2y,트럼프가 미군주둔비 올릴려고 하는데 아무댓가 없이 한국에 핵개발 허락하겠음 <br>말뿐인거지,0,2024-09-10T01:22:51Z
@edwardwonghaupepelutivrusk6666,그 돈이면 차라리 국방력을 키운다고? 사병 월급 300만원으로 올려주게? 증시나 국가신용등급이나 파탄나버릴텐데? 미국이 제공해주던 정보자산은? 그걸 대체할 기술도 없잖아.,3,2024-09-09T15:15:48Z
@choikyusung8986,철수 해라. 더러워서 당장 핵무장 하자,0,2024-09-09T06:58:40Z
@user-yy3vr1xi8c,주한미군 철수 절대 NO!!!!!<br>대통령은 트럼프 ~👍👍👍👍👍👍👍,1,2024-09-08T22:19:41Z
@user-zt5vr3gj2e,6.25 때 희생한 미군들 지하에서 웃겠다,7,2024-09-08T19:09:37Z
@user-zt5vr3gj2e,정유나 목아지 끄떡 끄떡 하는것도 전염시컸네,0,2024-09-08T18:28:06Z
@user-zt5vr3gj2e,미군철수하면 핵 연구해서 핵부터  만들자,5,2024-09-08T18:24:55Z
@이우용123,왜캐재밋냐,2,2024-09-08T15:35:00Z
