Author,Comment,Likes,Published At
@hoya9821,미국은  결론 선거인단  투표가  중요함,0,2024-09-11T07:58:39Z
@user-go7xq4xf7d,"말도 안되는 소리하고 있네! 젏은 친구들이 멍청해서 그렇다. 바이든 한테 속아서 투표 해줬는데! 나라 말아먹은 바이든, 해리스는 바이든 보다 더 심하지,<br>해리스는 절때 아니고 트럼프가 되야지",0,2024-09-10T08:11:05Z
@아파트는후분양이답이,돈밖에모르는 트럼프 미군빼고싶으면 나가라하구 우리도핵만든다하면된다 아님 닥치고 주는대로 눌러앉아잏어라며 당차게 협상해야하는데... 어째지금정부는...,0,2024-09-10T05:51:36Z
@user-zp2od2pl1v,ㅋㅋㅋㅋㅋ 조엘인지 잦엘인지 ㅋㅋㅋㅋㅋ 한심하다.<br>미국정치를 몰라도 너무 모른다.<br>트럼프는 역대 최고의 연설가 최고의 티비토론자 입니다.<br>해리스...ㅋㅋㅋ 말주변도 없고 앞뒤 맹락도 없고 머저리 그 자체라고<br>정상적인 미국 국민들은 대다수 알고있다고 하는데 ...(원용석의 진실정치),10,2024-09-09T23:54:23Z
@mst-v9,mz들 다 트럼프던데? ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,9,2024-09-09T23:39:06Z
@user-rq7qb2oe6u,트럼프가 됩니다.,16,2024-09-09T16:26:49Z
@dazzle95,2024년 미국 첫 여성대통령 해리스 당선 되기를 바랍니다,1,2024-09-09T13:18:13Z
@ums1007ify,뼛속까지 좌파 연예인 딴따라들이 카말라 해리스가 되길 간절히 바라는 염원을 담은 우덜식 쓰레기 잡담 역겹다.,1,2024-09-09T10:54:53Z
@김미경-x9o,당연히 해리스,1,2024-09-09T10:18:02Z
@user-ju4wi9zv2l,돈으로 해결? 그게 국민혈세임ㅋㅋ,2,2024-09-09T09:44:56Z
@michunglee2627,😂😂😂 그만해라 찌라시에 쩔어 가지고 😅😅😅,8,2024-09-09T09:40:17Z
@michunglee2627,조엘 그만 해라 아니거든 😅,11,2024-09-09T09:36:49Z
@dragonyob,실상은 트럼프가 대통령이 될 것인데 이 프로그램의 출현자와 진행자들은 주류 언론에 속아 해리스가 될 것이라고 착각하고 있지요. 자신들이 그 동안 너무 오만해졌다는 것을 망각하고 있는 채로 말이죠.,1,2024-09-09T05:18:36Z
@jamespaek1645,"한국에  유익한 대통령은   당연히 트럼프 임니다.   이유는    북한의 핵무기 소유를 인정해주고   한국정부에 핵개발을<br>허용해주면서  주한 미군숫자도   대폭 줄이려 할것임니다.   한국이 분담금 문제로  프럼프를 평가절하 하는 여론은<br>한국에 핵무장을 허용해준다는  트럼프의 내심을 모르기 때문임니다.    만약 한국에서 전쟁이 일어난다면   6,25 때처럼<br>미군이 참여하여 많은 미군이 사망하는 일은   절때로 없을것임니다.    미국 국민들이  원치 않습니다.",1,2024-09-09T04:32:54Z
@jamespaek1645,조엘 이란 젊은학생은    연세대학 정치학과에 다니는  한국계 미국인  인데    뭘안다고   헤리스가 승리한다고 하는지 ?<br>미국에서 235년동안  46명의 대통령이 탄생했지만    여자가 대통령이 탄생한적은  단한번도 없었습니다.<br>내가 40년동안 6명의  미 대통령 선거에 참여했지만   이번에도   해리스 란 여자가 대통령이  될것으로는  생각 안함니다.<br>준 연예인 생활하는 조엘이 정부에 아첨하는 말투로  해리스가 승리한다는 점괘는   아첨 그 수준에 불과함니다.,15,2024-09-09T04:17:00Z
@SandyKim-q5m,Trump all the way!11🦈🇱🇷🇱🇷🇱🇷🇱🇷🇱🇷🇱🇷,9,2024-09-09T03:22:00Z
@user-tk4hy7cn7z,이친구 미쳤네,5,2024-09-09T01:25:22Z
@Json285,젊은 사람들이 깨서 해리스가 된다? 웃기고 자빠졌네.. 젊은 사람이고 히스패닉이고 흑인이고 미국 민주당 도시에 사는 사람들중 민주당이었던 사람들도 이번에는 반드시 공화당 투표한다고 그러는 사람들 정말많음. 진짜로 미국의 민주당은 썩었다. 이번에는 무조건 공화당 그리고 트럼프.,22,2024-09-08T23:47:27Z
@jamespaek1645,쪽집개 처럼   미대선 승자를 맞춘다고  말한놈은   누구냐 ?    자신의 희망사항 이겟지요 ? <br>나는 미국에서   6번의 대통령 선거를 치룬사람임니다.   미국의 모든국민들도    맞추기 어려운   예상 질문임니다. <br>트럼프가 재선되면   방위비가 증가되겟지만     북한과도 유화정책이 되겟고   한국의  자체 핵무장도 허용 될것으로<br>예측됨니다.  트럼프가 57개 항목으로 기소되였지만    무난히 넘어갈것으로 예상됨니다.,1,2024-09-08T23:35:46Z
@peoriaful,"트럼프 나이 가지고 문제 삼는 당은 민주당임.<br>그들은 나이로 갈라치기하고 성별로, 인종으로, 학벌등등으로 갈라치기 해서 뽑은 까말라!!!!!!!<br><br>여자이면서 흑인이라고 우겨 그들의 갈라치기에 합리적인 까말까말까 까말라를 대통령후보로 내세움.<br><br>상식이 있는 국민이라면<br>실력이 아닌, 다른이유로 특별선출되는건 옳지않다고 생각해야함.<br><br>더군다나  세계으뜸나라 미국이란 나라의 대통령은 &quot;실력&quot;으로 당당하게 뽑혀야함.<br><br>선입견 가지지말고 트럼프대통령의 연설을 한번만 들어봐라<br>그가 얼마나 미국을 사랑하고 미국을 위한정책을 내세우는지를 그리고 얼마나 그가 논리정연하고 다방면에서 똑똑한지<br><br>상또라이라고 무시하는 민주당 까말라가 트럼프의공약인 웨츄레스팁에 세금부과 하지않는걸 카피???!!!! 왜???!!!!!<br><br>트럼프와 창녀 스토미데니얼은 욕하면서 정치꽃뱀 까리스는 왜 대선후보로??? 지지씩이나 하는데???!!!!!<br>말이안돼는 민주딩.<br><br>민주당정책 알면 안뽑으니<br>악마프레임 씌워놓고 <br>&quot;트럼프만 아니면 돼&quot;<br><br>트럼프가 얼마나  무서우면,겁나면 &quot;트럼프만 아니면 돼&quot; 로 선동하려하는지??!! <br><br>국민이 개돼지로앎???",1,2024-09-08T23:17:08Z
@isolamar,Kamala는 강세가 첫 음절에 있음. 그래서 카아멀라 라고 읽어야 함. 탈북 정치 외교학 전공자처럼 크말라 라고 읽지 말라는 말. 카멀라 해리스가 처음 바이든의 VP로 선택된 후 미국 내에서도 다 이름 어떻게 발음하냐고 물었었고 카멀라 자신이 그렇게 발음하는 걸 들려줬었음. 발음을 모르겠는 단어나 이름은 유튜브에 찾아보면 다 나옴.,3,2024-09-08T21:53:36Z
@user-yy3vr1xi8c,당연히 트럼프~👍👍👍👍👍👍👍,25,2024-09-08T20:20:18Z
@fredkim01,이 친구 처음으로 틀리겟네.. 😮😅😅 카멜라 가 이기면 세상은 망가져.. 1. 미국이 더이상 최고 강력국이 안되고. 2. 보수는 힘이 없어지며.. <br>3. 남자 여자 말고 다른 성별 이 있다는 헛소리가 지금보다 더 받아들여지게 되고.. 4. 정상이 비정상이 되고 비정상이 정상이된다.. 한마디로 큰일나지..,25,2024-09-08T20:03:44Z
@뭘봐U,좌빠리들이라 햇더니 내글을 지웟네??<br>똑바로 알고 토론 하세요~,2,2024-09-08T19:10:24Z
@user-zt5vr3gj2e,이제수다떨로갑니다<br>프로 바꿔,9,2024-09-08T18:31:14Z
@zsdaxc4567,한국과 세계에 끼치는 영향력이 중요하지.,5,2024-09-08T18:01:46Z
@sssunn910,어쩌라고<br>우리나라 부정선거 토론이나 해라,12,2024-09-08T17:18:36Z
@user-ek5od4rl6k,조엘 진짜 잘생겻네,2,2024-09-08T17:09:49Z
@user-fc5hu8ih7s,미국이 정상이면트럼프가 당선되야지 미국 초중고 교육봐라 ㅅㅂ 중성화장실 만들고 동성애하게 교육하고 그게 나라냐?,2,2024-09-08T16:42:14Z
@kumhyangbegin1727,이상한 사람들이 모여서...<br>잘 알지도 못하면서...<br>미국에 사는 나보다 몰으면서...<br>공부좀 하고 말하세요.<br>아 ~ ~ 휴...,22,2024-09-08T15:46:58Z
