Author,Comment,Likes,Published At
@user-nm2fg6wk1l,경상도 말은 새그럽다= 식초를 많이 넣어 시다는 말인데..,0,2024-09-13T02:35:36Z
@user-xk5tq3cm5f,북한조선족 날씨가 한국과 다르게 봄없이 겨울만 여름없이 가을 그래서 북한여자들은 예쁘고 한국 날씨는 북한조선족과 다르게 봄없이 여름 가을없이 겨울 그래서 한국여자들 피부가 못생겼는데,0,2024-09-12T20:24:51Z
@martika363,진짜 양말은 최민용이 한게 쵝오다 양말 목 안늘어나 뒤집어 말면 목 다늘어나거덩,0,2024-09-12T15:18:21Z
@user-wg4go4xx9d,"이북 통천이 고향인 제가 볼때에는<br>민주당쪽사람들이 북한체계가 좋아서 그런게 절대 아니야요...<br>잘 품어서 한민족을 만들기위해서 그런겁니다,,,,<br>남족쓰레기들은 국민의당 대구경북에 다 있어요...<br>세뇌당하지말고,  냉정하게 바라 보셔야합니다",0,2024-09-12T09:59:10Z
@user-dl2bnhonb123,두분 너무달았어요~~~~오래오래 행복하게   사세요 홧팅❤❤❤❤❤,0,2024-09-12T08:40:57Z
@TV-it7op,엄청 이뻐,0,2024-09-11T09:28:11Z
@huuau,나중에 갱년기 오고 샘물 말라도 그때도 사랑이 유지가 될까 ?,0,2024-09-11T03:45:39Z
@배명길-s3t,우리집도   이불을   저렇게   개요.,0,2024-09-10T12:09:56Z
@배명길-s3t,Igo  ~  O    ᆢ    15살차이라  ~   힘들다.    힘들어   ~<br>ㅎㅎㅎㆍㅋㅋㅋ.,0,2024-09-10T11:34:26Z
@user-zc8wg9ii3x,뭐 하는 짓들이냐?????,0,2024-09-09T19:48:17Z
@Boy-fj1cj,15살연상 5년안에 100%이혼한다 남자26살인데 부모가 반대하는데. ㅉㅊ,0,2024-09-09T03:10:51Z
@jgc2776,여성분이 저 정도의 매력이라면<br>나도 결혼한다. 얼굴도 복스럽게<br>잘 생겠고 귀엽고 넘 이뻐요.<br>두분  백년해로 하시고 아들 딸<br>구분말고 3명만 낳아 행복하게<br>잘 살았으면 해요.<br>부인되시는분은 나이차를  못볼 <br>정도로 옛되 보이시니까<br>전혀 누님같은 부인티가 전혀<br>안 납니다.<br>부인이 땡잡은게 아니라<br>남편이 땡잡았네요. 그러고 보면<br>남편 연애할줄 아시네요.<br>여하튼 원도 한도없이 즐겁게<br>사시고 남 눈치볼것 없이<br>당당하게 사세요. 그럴 자격<br>다 갖추신분들입니다.<br>행복하세요. 그리고 아들 딸<br>낳아 보세요. 뽕 갑니다.<br>알았지요.,0,2024-09-08T01:14:06Z
@이종찬-y3i,"친일매국노들이 이른바 &#39;빨갱이 사냥&#39;으로 애국자로 둔갑해 국가를 장악했다. 그 길을 열어준 이승만, 일본군 패잔병으로 &quot;국가가 곧 자기&quot;라던 박정희, 그놈들의 계승자 전두환 그리고 윤아무개... 그리고 일장기를 제호 위에 올리고, 천황폐하 만수무강을 기원했던 친일 매국 신문인 동아일보와 조선일보!!",0,2024-09-07T11:45:33Z
@user-kj2dj5rz6u,저의 남편도 7살 어려요,0,2024-09-05T07:27:51Z
@user-vv4od2gl8g,"우리 친구는 엄마와 14살 차이다.<br>엄마가 15살에 낳았다나,<br>칠십년 전 애기다,",1,2024-09-05T02:20:18Z
@calspect,근데 팩트도 많겠지만 내가 느끼는건 왜 프로그램드로 만들어진 꼭두각시 연극으로  많이 보일까.,1,2024-09-04T17:56:01Z
@fifcshssc,41살에 저외모면... 할만하다,0,2024-09-04T09:32:38Z
@user-xe1hm5xs5r,세상에 이런 일도.......,0,2024-09-04T06:00:09Z
