Author,Comment,Likes,Published At
@user-ro3zv9uq7t,그렇게잘살았는대 뭐하러왔니,0,2024-09-06T06:20:01Z
@user-tw7ev8dv2o,어쩌라고..... ㅋㅋ    어디  남한  와서  지가  앨리트입네.  백두혈통입네  깝치고있어......그냥  조용히  살아라....  상위1%니.뭐니.  그딴  개소린  북한가서나  해.    지  삼촌이고  형이고  암살하는놈  옆에서  기생하던것들이  어디서  우월의식을  느껴......점잖게  받아준  대한민국에  고마운줄  알아야지.<br>.  무슨  지들이  대단해서  받아준줄  아나......세금이  아깝다,1,2024-09-04T12:35:00Z
@user-sh2pg2oj4k,17명이 일본군2000명을 박살 냈다고?그걸 사실이라고 믿는다고?,1,2024-09-03T11:38:58Z
@KyuheonLee,북한 금수저 출신들은 여기서 땀 흘린 노동의 의미를 진하게 깨닫기를 바란다.,1,2024-08-29T02:58:17Z
@young77777,북한에서 뇌물받아 잘 살았다는 분들은 참 해맑게 이야기하는데 인민 피빨아 먹고 살아온 건데 북한 사회가 그렇다해도 옆에 있는 사람들은 듣기 힘들 것 같다,2,2024-08-28T18:53:02Z
@terramask3422,진심으로 우리나라랑 다를바 없다고 생각하는 사람= 좋아요/ 우리나라랑 다르다= 싫어요 눌러봐봐,0,2024-08-26T15:09:29Z
@Cho-Eunji,"예전엔 평양출신 이야기 들으면 아무생각이 없었는데 북한의 실상을 조금이라도 알고 평양출신들의 이야기를 들으면 그 빈부격차와 비리, 비정상적인 체제에 냉소만 나오네요.",0,2024-08-26T14:45:14Z
@cailiancui2735,우리성주시정말어린나이에<br>잘하고처리하는<br>그모습<br>하나님의<br>천국에서니가정말잘한다<br>칭찬하고게십니다<br>나는울며은헤받랏슴니다<br>화팅<br>세게로........,0,2024-08-26T06:34:27Z
@cailiancui2735,성주<br>위력<br>두분<br>지난날의<br>고통과그환란이<br>미래에<br>기쁨과.평강이잇기를<br>간절히은총과축복을기원함니다<br>나도그렇게살앗서요<br>쓴맛과.단맛읆격어야<br>미래의위대한일군입니다<br>화팅,0,2024-08-26T05:27:13Z
@cailiancui2735,이성주<br>위력<br>두주인공들은<br>가난한자들을위하여<br>위하여겸손하고<br>아름다운마음<br>이땅의멧지모텔로사용하실줄믿슴니다<br>응원함니다,0,2024-08-26T05:07:38Z
@kyunakim4215,샤넬 짝퉁이겠지 보증서있으면 간단할걸 무슨 촉감타령,0,2024-08-22T21:55:04Z
@kyunakim4215,그렇게 잘 사는데 왜옴?ㅋ,0,2024-08-22T21:48:28Z
@dbekscna1004,아우 함경도 정말 목소리 억세고 듣기싫어ㅠ,0,2024-08-22T04:20:33Z
