Author,Comment,Likes,Published At
@user-pb5ot3tf1z,응원단출신 퍼스트레이디면 좋은거지 우리는 .................,0,2024-09-11T08:34:24Z
@rexshim4138,북청 우리 외할아버지 고향인데 ㅋㅋ 사자놀이랑 물장수로 유명한... 돌아가시기 전에 항상 한번 가보고 싶다 하셨는데 이름만 아는 나는 지역이름 들으니 반갑네요.,0,2024-09-08T20:49:53Z
@sang19620,저런 새끼가 우리들이 낸 세금으로 긴세월 월급을 축낸것을 생각하니 피가 거꾸로 솟는다. 차관?,0,2024-09-06T06:41:58Z
@syyi1525,한국인이 절대 지지하는 민주당. <br>민주당이 절대 지지하는 북한. <br>따라서 <br>북한이 하는 짓은 <br>한국인이 하고파(되고파) 하는 목표(행의),0,2024-08-29T17:47:46Z
@user-ly9eq2hx6u,고맙것도모로고<br>선의을왠수로갑은김저은이제한국도냉정하게무서음을보여주고싶네요,0,2024-08-28T13:07:35Z
@hyunsikyang4463,북한 사람은 북한으로 돌려보내야됩니다,0,2024-08-28T10:01:15Z
@digimonrpg2941,"북한측 선수들이 경기에서 지고 북한으로 돌아갈경우 <br><br>치루게되는 처사는 알아보니<br><br>다만 적대국 선수를 대상으로 한 경기에서 패했을 경우에는 사상비판이나 단기간의 혁명화 조치는 있다고 설명했다.<br><br> 사상비판이나 한 달 동안 농장에 내려가서 혁명화하면서 농사일 체험하고 다시 복귀한다든가 이런 것은 있을 수 있다<br><br>아울러 국제경기대회에 파견된 북한 선수들이 부적절한 발언과 행동을 할 경우 무거운 처벌을 받을 가능성이 높다고 밝혔다. <br><br>특히 정치적인 발언 혹은 적대국 선수 수상식에서 밝은 표정으로 축하하는 등의 행동을 보이면 큰 처벌을 받을 수 있다는 설명이다.<br><br>정치적으로 해석할 수 있는 말 한마디, 승인받지 않은 사람과의 소통과 교류는 큰문제가 될 수 있다”고 말했다.",1,2024-08-27T00:32:59Z
@존윅-h3w,식단 차별한다는애들 누가 보면 지들이 국가대표인줄😂😂,0,2024-08-21T23:50:51Z
@user-us7hb2no2x,탈북하기  힘들엇겟다,0,2024-08-21T03:58:08Z
@user-us7hb2no2x,와  국가대표는 북한이 나을걸,0,2024-08-21T03:55:47Z
