Author,Comment,Likes,Published At
@user-so4ml9qq2j,ㅎㅈㅁㅇ,0,2024-09-10T03:49:45Z
@user-ge9gm9br1g,한국 양반영화에서두 중절 한테 올리는 음식만드는걸 봐도 정성으로 다만들어서 올리지,0,2024-08-20T14:28:47Z
@user-ge9gm9br1g,가싸는 한국에서 많이 올리는거지<br>북한 은 음식하나 하나가 정성이 들어 가내고,0,2024-08-20T14:27:22Z
@user-jb6sb9ci6j,사람도아닌쉑기들이 적반하장으로 국민을 인간의존엄성을 전혀 생각하지않는 아주 이기심으로가득찬 사상의결과네요,0,2024-08-11T22:26:44Z
@user-jb6sb9ci6j,뭐야 진짜 결혼한줄알아네~~~~~와 소연씨 역시 ~ 뭔가다르다했지만 ㅎㅎ,0,2024-08-11T21:47:29Z
@sunyu97,축하합니다 행복하세요 ❤❤❤❤❤❤🎉🎉🎉🎉🎉,0,2024-07-30T03:25:00Z
@user-lj2zl5cr7x,축하해요 해복하게 잘살아요,0,2024-07-27T04:42:10Z
@이우형-h2s,율부리너대갈통좀치워줄수없을까요?,0,2024-07-27T04:27:41Z
@SPY-Moon_Jae_i,호모 치료사. 막심 센세가 그립노. .ㄷ ㄷ,1,2024-07-25T05:55:12Z
@user-vi2le5xj8s,박정희 전두환 시절과 비슷했구나,0,2024-07-18T12:36:21Z
@이재융-d4j,서지아,0,2024-07-16T10:36:55Z
@rakjinseng,탈북자 믿지 마세요.결혼 맞선 알바도 나오고 ...살다가 재산가지고 튀고 패물가지고 튀고...,0,2024-07-12T08:32:46Z
@해장국-m7w,재미있어요 😊😂,1,2024-07-11T06:20:34Z
@user-cb9pm2du4r,아라씨하고 토니안하고 결혼하면 남편한테 시어머니한테 사랑받을꺼예요 시어머니 음식잘하시고 키도크시고 인물도 좋은시고 성격좋아요,0,2024-07-01T08:50:31Z
@jiyoon8905,진짜로 둘이  살아도 좋겠네ᆢ,0,2024-06-26T22:34:32Z
@hwengkwon1lee324,아이구토니이뻐이뻐,0,2024-06-26T15:29:42Z
@hwengkwon1lee324,토니님아이구결혼하네잘했어요<br>효자한분나왔네<br>축하해요<br>이뻐라❤❤❤,2,2024-06-26T15:28:02Z
@user-pd6dz5vd8q,무슨 계란을 저렇게까지…ㅜㅜ 아라님 ㅜㅜ,0,2024-06-26T13:02:57Z
@user-wd5ys3ul9o,토니안씨 드디어 장가가시네.<br>신부분 너무 미인이십니다<br>결혼 축하드려요.,0,2024-06-26T11:21:17Z
@foxpaper8543,우파만 볼수 있는 채널~~~!!,1,2024-06-26T09:29:08Z
@uro2686,두분의 결혼<br>대단히 축하 드립니다<br>부디부디 행복하세요,6,2024-06-23T22:52:26Z
@user-xm3qc5kt4r,두리 잘 얼린다ㅎ,0,2024-06-23T08:51:44Z
@user-sz3uo3zt7l,토니씨 잘어울려요 두분 결혼하세요 예뿐 아기도 낳고 알콩달콩 사세요 북한 아까씨 들 미인<br>이 많으시네요 한국 남자들 외국 사람 하고결혼 하지말고 북한 아까씨 들 하고 짝을 맺으면 좋 을 것같아요,0,2024-06-22T00:24:07Z
@user-rr4tb4nm3c,너무 잘어울린다,4,2024-06-21T16:43:57Z
@user-ue4qv5xl6p,"이간나이거, 이거,  완전 사기꾼이구마, 동무 똑 바로 하시라우요",0,2024-06-20T12:00:30Z
@user-jc3tf3sh6h,축하드립니다 앞으로 좋은 일만 가득하길 바랍니다,2,2024-06-18T07:30:21Z
@user-op4wm4mo7r,토니안님  너무 보기가 조아요  꼭결혼하세요,1,2024-06-16T06:10:30Z
@user-fr2hv8ss7j,부칸방송 하지마세요..!<br>재수없고 기분드럽고 밥맛떨어져<br>그곳이 사람사는 곳입니까?<br>인간지옥이지...<br>당장 지구상에서 날려버려야돼..!!,0,2024-06-16T04:36:22Z
@user-rq2mf7ir6p,축하드려요^^,2,2024-06-16T04:27:38Z
@user-ox5cl8jt7z,우리 어릴적만 해도 남북한이 결혼식 비슷했음.<br>북한은 계속 유지 되는것이고..<br>그때는 예식장이 없었고 집에서 결혼식 올림.<br>고위층은 예식장이 있었나?<br><br>&quot;남남북녀&quot; 양준혁 김은아 2화,0,2024-06-13T05:58:07Z
@shinkikwon3011,토니안이 정말 결혼했나요?,0,2024-06-12T20:15:39Z
