Author,Comment,Likes,Published At
@user-bs1kb9qo7p,은희씨가 정말 반듯하시다. 🎉🎉🎉🎉🎉🎉🎉🎉,2,2024-09-12T12:24:17Z
@user-ci2mf7lz2u,샘 오취리 쓰는 방송은 역시 종편이네...,0,2024-09-12T11:06:37Z
@user-vi9sf8er5g,민우씨 항상응원해요,1,2024-09-12T07:34:04Z
@user-xw6cr6xu3k,승혁이 참 잘했어요,1,2024-09-11T11:32:11Z
@alexdlee,신은희 항상보면서 사랑스러웠는데...뻥튀기사건....역시 신은희답네요.^^,0,2024-09-11T03:30:20Z
@user-cg7ro3ur4d,민우님 이제야  말을 조금씩 알아듣겠네요. 조금만 천천히 이야기해주세용 😅  😂 앞으로  좋은일들만 있으셨음 합니다. 건강하세요. 이땅에서 더 빛나길 바랍니다.,5,2024-09-10T21:48:09Z
@user-tl7ms7gh8g,송옌길,0,2024-09-10T11:30:30Z
@user-nn3zu5mz3r,"위력 씨....<br>그렇게 고생을 많이 했는데, 이젠 잘 살아야지 그게 뭡니까?<br>요즘은 좀 어떤지... 많이 안타깝습니다......",0,2024-09-10T00:00:49Z
@user-bc7bi1bl3y,"우리가 서울대 고대 연대를 들어가는 것 하고, 외국인 유학생이 들어가는 것 하고, 탈북민이 대학을 들어가는데는 하늘과 땅차이로 다르다. 특히 탈북민들에게는 특별전형으로 기회를 광폭적으로 주는 거다.",3,2024-09-09T19:12:51Z
@user-yn4bz5wy5l,은희자매  탈출 천재네  배관타고 ㅎ 언니는 부모다음  언니한테  대들면 안될듯,0,2024-09-09T03:52:03Z
@user-dp3gu3fc7x,"송이씨,추임새(에드립) 성격 드러나네~!! 안 겪어봐도 VIDEO<br>유나씨도 살짝 보이네요<br>설상,그래도 은희씨 자매 보세요~ <br>왜 은히씨 자매가 팬이 많을까요~~~??<br>(인정 되시면)되새겨 보시고 서서히 바꾸......<br>좋게 긍정 마인드로 삽시다~~♡♡",1,2024-09-09T02:01:27Z
@user-oq3qo2li7b,다들 행복했으면 좋겠네요  부모님도 만나고,10,2024-09-09T01:58:48Z
@user-dq6bx7ew2g,당차고 예쁜 신자매님 축복해요 언니가 동생을 아끼고 귀하게 여기니까 보호하려고 하는 거죠😊,7,2024-09-09T00:26:46Z
@이순신제자,"지극히 단순한 일차원적인 정민우씨는 과연 지금은 어떻게 살고있는지 궁금하네요,<br>사람들이 자신에게 대하여 하는 말애는 정민우씨가 좀 모자란다는 의미도 포함되어있는대도 전혀 눈치채지 못하는 것으로 보어 정말로 바보안 것 같아요.<br>아, 말이 바보이지, 그냥 평범한 사람이지요. 보통 사람보다 조금 부족한 정도.<br>말을 못알아 듣겠다고 해도 여전히 경박하게 말하는 말투,<br>할수 있는 직업은 최대한 단순한 일을 하시길.<br>보통, 단순하고ㅠ어리석은 사람이 어려운 일을. 할려고 합나다. 꿈꾸는 거청한 알을 할려고 그러는 것아지요. 냉철하지 못한데, 자신은 대단히 똑똑하다고 착각하는 것이지요,<br>&quot;진짜 바보는 자신이 바보인줄 모른다&quot;라는 말이 있지요.<br>자신이 왜 바보같이 생각했는가를 깨닫는 순간에 바보에서 탈출하는 것이지요.<br>사람들이 자기에게 평가하는 말, &quot;무슨 말인지 못알아 듣겠다&quot;라고 말하는 것은, &quot;말하는데 심각한 문제가 있다&quot;라는 것인데, 전혀 고칠 생각을 안하니, 답답하지요.<br>다만, 단순한 것은 잘 합니다. 그래서 자기는 똑똑하다고 착각하는 것이지요.",0,2024-09-08T19:26:29Z
@user-jg9kw6kj3s,"민우는 일획천금을  노리려는, 인성이 부족한 사람 같애 보인다.<br>꾸준한 노력없이 는 성공 할 수 없다는 것을 알아야 한다.",1,2024-09-08T17:02:04Z
@user-jz5yc8yc4j,입양하지 말고 결혼을 하지 그래,0,2024-09-08T14:47:46Z
@날아랏며루치,토대를 모르는 사람을 가족으로 들이는게 쉽지 않을텐데 대단하시네요,3,2024-09-08T12:51:34Z
@all8311,붃한 조선족 눈이 높다,1,2024-09-08T12:22:52Z
@llx2258,욕심을버리고 성실히 살아야한다,5,2024-09-08T11:49:56Z
@johnathan8095,그렇게 보험을 들기 시작하는데..,3,2024-09-08T11:43:06Z
@soon.jee.,아~~~휴대폰사업도 안되오,3,2024-09-08T11:42:36Z
@user-hk1jo1jp3t,탈북이 어렵지만은 이제 각 나라에 숨어사는 탈북민이라도 찾아야합니다.  대탈북을 환영합니다.   다만 한국의 역사를 모르는 새터민  뉴라이트는 일본의 앞 자비 들입니다.  중립만 해주셨으면 합니다.  여러분이 속은 것을 알게 됩니다.,5,2024-09-08T11:22:07Z
@user-zo6zg7bl4w,송이 나왔넹  &quot;&quot;&quot;&quot;&quot;!!@!@@  Good 🤣🤣,8,2024-09-08T11:10:37Z
@user-ly9eq2hx6u,사업이만만햐지않아요헛꿈꾸지마시고힘들어도월급생활하시어차곡차곡모으며사세요,4,2024-09-08T11:06:09Z
@user-zo6zg7bl4w,은채씨가  좋은사람  이구만 ;;,8,2024-09-08T11:03:46Z
@user-tw9oq5le4i,여자든누구든  어떻게 마구마구 앉는다는건지 이해안됨,2,2024-09-08T10:48:03Z
@younghan329,정민우 저놈 돈이 눈을 가려서 세상을 못본다 세상에 쉽게 돈버는 사업은 없다.<br>탈북민이든 한국인이든 노동외는 돈버는 방법이 없다.,3,2024-09-08T10:29:51Z
@turnwork41,열심히 사는 민우씨 응원한다.  50대 남한남자가,17,2024-09-08T10:04:02Z
@user-ld7ho9rz4n,어머 이위력씨 아픈것 다낳았어요 ? 아기도 잘크고있는지요?궁금하네요,16,2024-09-08T08:43:28Z
@weesang-x5n,좋은 사람들이 입양을해서 잘 대해주었으면 좋겠네요.<br>입양핑계로 악용하는 일은 없기를 바랍니다.,17,2024-09-08T08:23:05Z
@southkingdombest6230,"은희씨, 너무 예뻐요 ^^ 근데 의외로 강력하다",13,2024-09-08T08:16:41Z
