Author,Comment,Likes,Published At
@user-ul4mr1gi3h,류현우 대사대리 방송 딱임,0,2024-09-12T10:10:45Z
@user-zr2nh1tn3m,이제끝장을보자돼지잡을때까지세뇌풀면끝난다,1,2024-09-06T02:43:50Z
@sin8947,깨고소 하네요 <br> 그러니 덩은아   깝치질 말지  ㅉㅉ 깨여나라 북 주민들이여~~,0,2024-08-27T03:36:55Z
@user-fq3yv8wz4q,이만갑방송널리퍼져나가길 온세계인 들어보게 탈북자소리 퍼져나가길<br>❤❤함니다 이만갑,0,2024-08-26T22:55:19Z
@user-fq3yv8wz4q,확성기 지속전달<br>북은 남한에 적수가 못따라온다 지속보낸다면 깨우치게될것이고<br>절대 전쟁은없을것<br>배고픈북이 남한에 상대가 안되니 만이확성기방송 위력을보여줘서 동포들깨우치게 <br>남한장병들 수고만습니다 사랑함니다 손자아들딸들아<br>❤❤❤❤❤,1,2024-08-26T22:51:57Z
@user-zr2nh1tn3m,지금이때도보귀순자출연하면대박인데,1,2024-08-22T03:19:43Z
@user-mi2yl8qg2c,아주 잘했어요 ❤❤❤❤❤,0,2024-08-21T07:24:51Z
@20세기소녀-t7r,고럼고럼 코요태 노래가 빠지믄 안되쥬😊 히히 나 코요태 팬❤,0,2024-08-18T23:09:41Z
@rij384,류현우 대사 인상이 넘 좋다 ❤,0,2024-08-15T15:29:24Z
@burning.butterfly,꼬우면 북한도 대남 스피커 설치해서<br>장군님 축지법쓰신다 틀어라 ㅋㅋ,0,2024-08-10T19:48:01Z
@jw9332k,류현우님 귀염상,1,2024-08-04T07:45:02Z
@user-et5uv6vm9h,류현우 대사님<br>아나운서. 하세요<br>너무 잘함,2,2024-07-27T13:10:28Z
@kyubokhan3937,이런 민메이 어택 소재가 제일 재미있더라,0,2024-07-27T02:56:32Z
@user-pc8wn8kz4n,영탁 가수님 👍💕<br>막 걸 리 한 잔 👍<br>역시 찐 찐 찐이야 💕😄🍒,0,2024-07-25T01:23:59Z
@user-zh7dv4ht9o,ㅈ,0,2024-07-24T23:11:54Z
@user-yz2zi3fk2f,막걸리한잔,0,2024-07-24T14:01:13Z
@user-wr7mz9ci4s,오 !! 저 북한주민들을 돌보아 주소서 ~~♡,0,2024-07-24T10:22:53Z
@riversofjoy228,올래올래,0,2024-07-24T04:39:42Z
@eomjc355,세상에 군복무 10~12년이 말이되냐!!! 대한민국도 3년으로 시작해서 이제는 18개월인데. 지구상 같은 민족으로 극과극을 달리는 한반도.,4,2024-07-23T14:45:29Z
@user-wj3bp1cf4r,류현우대사님 너무 좋아요,3,2024-07-23T11:17:03Z
@user-dr3nb1ix8n,이만갑출연자문제件<br>고정출연 남희석<br>김진기자 출연금지<br>김종민 김태원<br>필요시출연 교수팀<br>탈북민 최대인원<br>출연요망 하네유<br>상기내용 의거<br>시청률 상승가능,0,2024-07-23T10:41:35Z
@user-wf8jc5xx8l,이만갑에  종민.진중권외 쓸데없는놈들 출연시키지말고<br>탈북민만 출연시켜라!!!~,0,2024-07-23T07:41:15Z
@user-kv4hw5im9x,지저분하고 유치한 인간들이 누군데 어디보고 유치대 오염을 풍선에 날리는 인간들아,0,2024-07-23T07:26:27Z
@dud-sp7wc,류현우 대사님 방송이  체질 인가 봐요,0,2024-07-23T06:40:42Z
@user-uu1zn9cv1f,중단없이 계속 쭈~~~욱 방송해라~,8,2024-07-23T00:52:15Z
@rich818,썬 킴은 저런 방송 나오고 북한 실상 접하면서 종북 좌파 민주당에 부역하는 짓 부끄럽지 않을까?,0,2024-07-22T23:55:50Z
@user-dh5vk4je5e,붉은 산호초 틀자,0,2024-07-22T23:54:18Z
@jml4773,이럴거면 윤석렬김정은  김건희김여정 빅매치함 가자 MMA룰로 해서 라스베가스에서 하면 일단 흥행은 보장될 듯,0,2024-07-22T18:56:58Z
@user-somamg,통일은 정치인들이 하는게 아니라 K-PoP이 할거같다ㅎㅎ,1,2024-07-22T12:49:54Z
@user-wr5cx5kj8v,디엠지에서 양념 갈비를 계속 구워서 냄새에 빠져들게 하면 어찌될까 환장하것쥬 후각은 남과 북이 같지 않나,2,2024-07-22T12:24:11Z
@민주김-n7u,진중권 좀 보지 않았으면 좋겠어요,1,2024-07-22T09:27:56Z
@user-uu8bq8fj3w,쓰레기를 태워서 다시보내줘라!<br>거름 보자라니 보태서 농사 잘 지으라고. . <br>나이타를 보내줄 테니. . .  힘들게 보내지 말고<br>그곳에서 태워 재를 거름으로 쓰면 더 좋다고~,0,2024-07-22T08:38:25Z
@user-sj2bm7wg1i,너희 탈북자들 남한으로 내려와서<br>잘먹고 잘사는것은<br>좋은데 전쟁을 부추키는 말과 행동은<br>절대 하지말거라<br>왜냐 한반도에서 전쟁이 난다면 북쪽은<br>잃을것이 벌로 없지만<br>남한은 모든것을<br>다 잃는다 그러니까<br>탈북자 단체들은 절대<br>경거망동 하지 말거라,0,2024-07-22T08:33:04Z
@yongjawoo5777,웃끼내증말<br>지네들이먼저<br>북한쓰레기보내구선<br>적반하장<br>울 어디보는듯해요<br>비스므리하게<br>좌파행동과비슷,0,2024-07-22T08:08:37Z
@user-yo7nb9hs4b,독재자 입맛되로 놀아나는 정치인들이 문제입니다,1,2024-07-22T05:39:32Z
@kyongoh252,류현우대사님 💕😁💕,2,2024-07-21T17:53:50Z
