Author,Comment,Likes,Published At
@user-ey1ep9jh5g,입시정보 좋네요~!!!,0,2024-09-11T23:53:58Z
@pink9182,반발을 왜 하는지... 이해불가네요,4,2024-09-11T16:03:09Z
@user-kv7uk8lx2l,가이드받는것도<br>굉장히좋네요...,0,2024-09-11T13:07:06Z
@wook0815,반말이 자연스럽게 나오는게 갑질좀 해본 바이브네요,0,2024-09-11T11:31:17Z
@superdonna,"장영란님 왜 반말을 하시는지 이해불가네요;;; <br>좀더 예의있게, 매너있게 진행하실 분이 이런 프로그램 하시면 더 좋을 것 같네요. <br>티처스 볼때도 장영란님 추임새 때문에 <br>너무 거슬려서 짜증날때가 많은데 <br>이런 프로에서까지 반말 진행에다 비매너…",5,2024-09-11T09:46:40Z
@myhanmailnet,친근하신건 좋은데.. 반말 섞어서 얘기하시는 건 좀..,5,2024-09-11T02:37:57Z
@fveyueugwt6433,요새 초등도 엄청 열심히 해요 놀면 안됩니다,1,2024-09-10T15:52:19Z
@fveyueugwt6433,귀에 쏙 들어오네요,1,2024-09-10T15:46:10Z
@LEE-nx2wv,저만 그렇게 생각하는게 아니였군요.. 젊은쌤들께 반말 섞어쓰는거 너무 거슬려요...정식이? 귀를 의심했네요~ 갠적으로 아무리 친하다 해도 보통 방송에선 조심하는 법인데...초면으로 보이는 쌤들한테까지 저런다니...나쁜습관을 가지고 계시는군요 ㅉㅉㅉ,14,2024-09-10T11:48:07Z
@sun-jc5eu,정식이,1,2024-09-10T11:14:17Z
@rollypop1737,생담선생님한테 본인보다 어리다고 반말 섞어서 찍찍하는거 귀에 거슬리네오ㅡ..,17,2024-09-10T09:32:19Z
@kakakaka12300,놀고싶다래 ㅠㅠㅠ 마음아프다 파이팅,3,2024-09-09T10:30:16Z
