Author,Comment,Likes,Published At
@user-tt4px3zs4p,이정도하는데 명문대 못가면 이상한거 아닌가요? 공부는 엉덩이 힘이네!!!  결국 강의가 아니라 얼마나 내것으로 만드냐다~~,0,2024-09-12T04:29:29Z
@user-kl8hq8mb1r,초딩맘인데 이런거 볼때마다 왠지모르게 위축되고 무서움ㅠㅠ.. 좋은 정보 감사합니다 영란님❤,0,2024-09-12T01:32:40Z
@user-gz7vb9dc6e,"<a href=""https://www.youtube.com/watch?v=9bNQFrmmLWM&amp;t=106"">1:46</a> 시즈니셨구나ㅋㅋ",0,2024-09-11T15:07:14Z
@user-bl5se3gj1h,"실제 인원이 많음 체계화 된 느낌을 줄 뿐 담임선생님이 별 의미도 없으며 역할도도 효과 없습니다. 광고, 이미지에 속는 건데 마치  사실인 것 처럼 보고 믿으려하는 거죠. 실력 좋은 선생님, 제대로 가르치는 선생님 두세분과 공부 잘 하는 재원이 학원을 알리고 이끕니다.",1,2024-09-11T10:52:05Z
@user-eb9fd2gr5j,좋기만한데 혹시나 반말쓰지말라는 댓글 보고 영란님 그런 생각 안하셨으면 좋겠다😢 이게 익명이고 누가 다는건지도 전혀 모르니까 일부로 시비걸듯이 그러는거 같다 진짜 많은 사람과 대화를 직접적으로 안해보고 방송 진행을 잘 모르면 가만히 있으면 좋겠다😊,1,2024-09-11T10:41:32Z
@user-vq9bk1sj8n,와..댓글이 어찌 저와 같은 생각인 분들이 ...많으시네요.. 반말 때문에 정말 거슬립니다. 방송하시는 매너가 수준이  많이 떨어지시네요..,0,2024-09-11T09:23:08Z
@user-nj3vu4ip6l,사적으로 친하다해도 공적으로 찍는 영상에서 정식이는 아니지요..<br>글구 초면인 선생님이 30대라고 반말하는건가요?,0,2024-09-11T08:31:12Z
@hayoo423,반말을 계속하니 B급인거죠.. 제발좀 pd들은 안거슬리나,0,2024-09-11T07:39:04Z
@hayoo423,반말좀,0,2024-09-11T07:37:56Z
@hwamxn,뒤통수 출연 캬,0,2024-09-10T22:03:34Z
@yujinlee9863,근데 듣는잆상애서도 불안ㅇ새요,0,2024-09-10T10:34:06Z
@매튜-z3q,반말 좀 하지 마라 천박해 보인다.,0,2024-09-10T09:00:52Z
@Page.nayooon,반말..개불편하다,9,2024-09-09T16:59:23Z
@user-re1vh3pw1b,"상대는 꼬박꼬박 존댓말인데, (본인보다 어려보인다는 이유만으로)진행자는 반존대라,,,,,,말놓는게 친근하고 편한 분위기를 만든다는 착각은 버리세요 아이랑 얘기하는것도 아니고 성인 대 성인으로 대화하는데, 반말을 수시로 하니 참,,,,,진행자로서의 기본이 한참 부족해보이네요",6,2024-09-09T12:09:34Z
@TV-fh2wc,학생들한테는 그럴수 있지만 만19세 이상 성인분들껜 반말은 좀 삼가해주세요 좀 불편하네요.. 그거 말곤 다 좋아요 잼났어요~😊,15,2024-09-09T11:58:26Z
