Author,Comment,Likes,Published At
@second2none296,우리딸이 효녀네. 에효.,0,2024-09-06T04:44:47Z
@sowhat827,"<a href=""https://www.youtube.com/watch?v=eFn4pwTt3lQ&amp;t=38"">0:38</a> 이분.. 인스타에서 대치동 부동산과 교육 컨텐츠로 컨설킹사업(?)버시는 분...맞죠?",1,2024-09-06T03:45:26Z
@user-qe2ts6pj7o,이런방송이 이나라를 망치는 거다 개판이다 공부만 잘하면 머하노 인간들이 안되어 있는데.,2,2024-09-06T01:58:01Z
@user-lp8yx6gb1c,대치동 신격화시키지 말아라 저런 돼지엄마들도 내보내지 말고! 입시판이 ㄱ판 아사리판 돈지랄판이거 모르나? 명문대만 가면 뭐하나? 그 이후 소식? 아무도 모름! 대학은 목적이 아닌 과정중의 하나가 되어야 사회가 건강하게 잘 돌아간다! 노벨상하나 못받으면서 명문대? ㅈ까라 그래!,1,2024-09-05T08:39:31Z
@humanchuchu4169,대치동에서 고등학교 나왔는데 과목별 일등급이 40프로까진 아니고 한반에서 10프로정도임 오바오바,1,2024-09-05T02:40:12Z
@kimmi150,난 재밋는데...불편러들 많네요..ㅎ,2,2024-09-04T06:47:02Z
@user-lw2gm5ko2z,비정상적이고 특이한 상황을 이렇게 방영하니 어휴. 국민들이 현혹되는거에요. 사실이 아니고 과장된 현실을 ㅠ,3,2024-09-04T04:36:50Z
@user-yz9kd9qf3d,"대치권 여고 보내고 있는 입장에서 입시 제도만 생각하면, 대치동은 절대 와서는 안된다.<br>모의고사 1등급 받아봐야 어차피.. 내신은 4등급이 널렸다. 여기와서 수시로 대학은 어차피 못간다.<br>수능낭인들은 대부분 대치동에서 학창시절을 보낸.. 비운의 사람들임을 잊지 마라.<br>농어촌, 지역인재 전형으로 하면 사교육비 적게 들어, 스트레스 안받아.. 그러면서도 명문대 갈 수 있다.",6,2024-09-04T02:18:42Z
@uhnkyounglee5355,"구태의연한  선비 ,공무원 월급쟁이. 양육방식 !!!      영란아!!!!  정신차려라.",3,2024-09-04T02:06:40Z
@mamasmentor9253,어쩌라는 거죠 ? 대치동 집값만 더올려 주는 방송 ?,5,2024-09-04T01:21:29Z
@user-vu9oi9mf7f,6세 때 부터 가정에서 독서와 자기주도학습 습관을 잘 지도해서 자기주도학습으로 서울대 보낼수도 있습니다 꼭 저렇게 학원 중심ㆍ대치동 중심으로 안해도 가능합니다...,2,2024-09-04T01:03:11Z
@user-xb8zj4dl2n,"도,,,,,,,,,,,처?",0,2024-09-03T15:23:43Z
@narae_TV,대치동사는 애들엄마들끼리만<br>모여서 자기들끼리의 모임만하는 <br>한다는 대치동만의 벽ㅜㅜ<br>근데 그것도 점점 더 높아진다.<br>이게 과연 바른 교육인가<br>엄마들은 속물이라고 치부해도<br>아이들끼리도 타지역애들에대한 비하는 풍조들이 결국 애들의 인성은 누가 책임질건가 ㅜㅜ,3,2024-09-03T14:49:47Z
@user-ct8md7cp7u,뭔가 사교육을 조장하는 듯한 컨텐츠인 듯.서울대 의대 간 게 대단한 건 맞는데 아이가 행복한지 먼저 물어봐주세요.,16,2024-09-03T13:29:05Z
@sungjunchoi8627,진짜 이런거보면 스스로 공부해서 잘 되는 케이스도 다 옛말인듯,11,2024-09-03T13:15:37Z
@mskd07,부모욕심 어휴,3,2024-09-03T12:41:50Z
@song8223,그냥 이런곳도있다~하고 들으면서 배울점만 받아들이면 되지요~진짜 저런데가있나 싶지만 실존하는 ㅎㅎ저세상이야기들ㅎㅎ,5,2024-09-03T12:33:49Z
@user-uc8qr9wp9x,시대인재: ㅋㅋㅋㅋ,2,2024-09-03T12:33:21Z
@Kimdaramii,아이고...ㅎㅎ 왜 내가부끄롭..ㅋ,5,2024-09-03T11:54:43Z
@user-ey6ce4kz8l,댓글 열려있네,5,2024-09-03T11:23:59Z
@ehs3863,서울대 나온다고 자식 잘됐다는 보장 있냐..뭐 이런걸 방송해.,14,2024-09-03T11:11:07Z
@rfeettttt,도대체 입시판에서 무슨 정보가 그렇게 비밀스럽고 중요한거임? 이번에 연대반도체 펑크나니까 지원해라 이 정도급도 안되면서 뭘 그렇게 유난쳐떠는지 모르겄네,29,2024-09-03T10:52:35Z
@user-ni8nq8hz8e,Ppl느닷없어 웃겼어요,4,2024-09-03T10:40:49Z
