Author,Comment,Likes,Published At
@yangyeongly,스카이캐슬 그 전신이 아닌가요.?,0,2024-09-11T02:46:10Z
@bok9322,공부가 인생 전부인것마냥...<br>공부외 나머지 재능은 실패자 취급!! 초저학년때부터 이미 우울증에 부모들이 짜놓은 학원 스케줄때문에 이미 지쳐 부모를 저주 하는애들 엄청 많다는 초2 아이 이야기를 듣고 앞으로 우리나라 미래가 암울하다 싶더라고요~ 결국 행복을 위한 투자일텐데... 과연 아이들은 행복할까요?,0,2024-09-10T15:20:07Z
@user-og6ss1hx5k,사교육조장,0,2024-09-10T03:41:31Z
@user-oh6yz6cj7t,아..! 장영란 옛날 저런 이미지 였지 참..... ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2024-09-09T15:07:53Z
@codnjswl5243,이런프로그램은 제발 사라지길 너무 잔인한건 이걸 애엄마한테 진행시키고 있다는거...대한민국 자살율 원인이 대치동 과열증상인지 몰라요?,0,2024-09-09T14:05:55Z
@hyesunkim1596,일부는 부모가 공부잘해서 아이들이 열심히 해도 인정 못 받고 주눅들고 스트레스 많아 우울증 걸린 아이들 많다고 들었어요. 😂,0,2024-09-09T09:13:07Z
@별빛달빛-p9z,장영란이 1등~~!!<br>두딸이 영란언니 처럼크면 좋겠어요~♡,0,2024-09-09T00:52:10Z
@user-zt1ez6ev7u,장영란씨 티쳐스 나올때 학습프로세스 관련 배경지식이 너무 없어서...큰리액션만 하는것 같아서 안타까워요 입시제도나 선택과목 등등 공부좀 하시고 엠씨보셨으면 하는바램입니다!,1,2024-09-08T14:36:00Z
@user-mq4gz8im2z,대치동 학생인데요.. 과장되는 게 너무 많네요 ㅎㅎㅎ 저렇게 아이들 공부에 관심 많은 부모님 엌청 많지 않고요 정작 공부 잘하는 애들 부모님들은 알아서 하게 내버려두더라고요. 입시정보는 1등 엄마들이 아니라 학생을 찾아가야하는 게 아닌거 싶어요^^ 그리고 저도 엄마가 공부에 관심 많으시고 이곳저곳 입시정보 구하려고 다니시는데 오히려 부담되고 방해될 때가 많아요ㅠㅠ<br>아무리 부모가 노력해도 아이들이 하기 나름입니다^^,4,2024-09-08T12:16:06Z
@user-wh3zf5zq1k,네분 어머님들중 두분은 대치동에서 입시 컨설팅같은것 하시는 분이네요 그래서 섭외가 된듯합니다. 저도 대치동에서  아이들 키우고 있지만 보면서 동의하지 않는 부분들이 몇개있네요 학원물어보면 차단이라니..적어도 제가 아는 찐 대치동 어머님들은 그렇지 않습니다. 😢,5,2024-09-06T07:46:16Z
@jinha4132,다른건 몰라도 영어 공부할때 책 많이 읽혀서 성공했다는게 진짜 공감되긴하네요. 확실히 말잘하고 똑같이 공부해도 빨리 이해하는 애들은 보면 어렸을때 책을 많이 읽혔더라구요. ORT도 좋고 비슷한 수준의 책들 쭉 읽혀서 촘촘히 넣어줘야지 영어에 거부감 없이 즐길 수 있는 것 같아요.,2,2024-09-06T06:58:18Z
@Paranri,한국교육 변하지 않으면 아이들 행복지수는 계속 세계 꼴등이다,2,2024-09-06T04:33:07Z
@user-minju6100,대치동으로 모여~ ㅜ,1,2024-09-06T04:13:40Z
@user-dlanwvrurkqow,"입시를 겪어본 엄마를 불러야지 고1, 고2 엄마들 왜 부른거야",1,2024-09-05T10:09:44Z
@user-ug2bu5rx7f,공부만 1등 하면 뭘 하나?,2,2024-09-05T08:45:13Z
@Usernamecreator,아이는 아직 5살이지만 장영란 언니 보는 재미로 봅니다 ㅎㅎㅎㅎ,0,2024-09-05T02:26:54Z
@lamerr3327,"아이고 <br>대한민국 이런 모습 문제라고 생각안하는 건가요?<br>보는 사람이 부끄럽네요.<br>우리 대한민국의 이이들 병들어갑니다.  <br>아이들이 성적때문에 자살하는 이 나라.. 저런 <br>비뚤어진 욕심을 가진 부모들이 반성하고 바뀌어야하는데.<br>부끄럽지 않은가요,?<br>장연란씨 구독 취소할라고 보니 티처스라니 ?<br>티처스가 이런 프로였나요 진짜 싫어지네요",3,2024-09-04T23:56:22Z
@JP-zq2sb,대치동 처음 입성하는 어린 맘들 자극하기 좋은 수준의 내용이예요.<br>저 분 블로그 하고 상업적으로 강의 하는 분인데 신뢰가 확 떨어지네요.<br>이러니 밖에서 대치동 좋게 안보는거지요.<br>걸러 들으세요. 자극적인 방송,14,2024-09-04T22:20:14Z
@kth343k3,장영란씨 얼마전 유튜브상도 수상하셧다던데 연애인 공인이시면 이런 방송은 자제해주세요<br><br>저출산 입시 경쟁 집값을 부추기는 방송입니다..,12,2024-09-04T21:13:50Z
@user-lp5ny2yh7k,대치동에서 저렇게 했는데도 결국 수시로 의대 갔네ㅋㅋㅋㅋㅋ 수시 없었으면 어쩔뻔ㅋㅋㅋㅋㅋ,3,2024-09-04T17:31:24Z
@White_rabbit3.14,어머니들 입담이 다들 좋으시네요ㅎㅎㅎ 재밌게 봤어요,2,2024-09-04T15:22:42Z
@dawn9362,전교 1등<br>수능만점<br>학군지 1등 맘<br><br>이딴게 다 무슨 소용이냐<br><br>인간으로 태어나서<br>다른 사람에게 도움이 되고<br>이 사회에 꼭 필요한 인재가 되는게 중요하다<br><br>애가 공부 잘한다고 <br>인생 1등 아니고<br>서울대 들어갔다고<br>다 훌륭한 사람 아니다<br><br>재주가 덕을 넘어서면 안된다<br>사람이 되야지<br>재주만 뛰어나서<br>의사가 되고나서도<br>환자들 상대로 성범죄 저지르고<br>생명을 살리기 보다는<br>돈이 목적인 쓰레기 의사들이 <br>얼마나 많으냐<br><br>이 사회를 망치는게<br>판사.검사.의사.정치인.<br>전부 배운 것들이 아니냐<br>좋은 머리를 좋은데 쓰지않고<br>자신들의 권력.명예.돈.이익에만 쓰니<br>나라가 이 모양.이 꼬라지가<br>되는거다<br><br>공부 잘하는 사람을 만들지 말고<br>이 세상에 유익한 인간을 만들어라,8,2024-09-04T14:58:25Z
@user-eh9bc9qr6y,여러시선 보여주시니 재미있네요,1,2024-09-04T13:41:54Z
@user-tj5yv5md2f,대치동 극성인 엄마들 학벌 봐봐라<br>말만하면 그 시대에는 여자들이<br>대학가기 힘들었다고 변명만하지<br>대부분 고졸 많음<br><br>거짓된 허상을 자녀하게 투영하는거임,1,2024-09-04T09:28:23Z
@user-um3so1kb7q,재미있는 컨텐츠네요 ㅎㅎㅎ 또 다른 시점을 알아갈 수 있어서 좋았습니다!,5,2024-09-04T07:44:17Z
@kimmi150,재밋네요😊 각자 장점만 취하면 되는거 아닙니까? 전 너무 재밋게봤어용,3,2024-09-04T06:45:33Z
@eunkyunglee3601,할아이는 시골에서도 섬에서도 하더라구요... 문제는 갈팡질팡하는 부모들...,0,2024-09-04T00:14:22Z
@liliilllliililillilililllllli,장영란씨 넘 좋아,2,2024-09-03T17:09:44Z
@blueskyS2jy,이런방송 안하셨음 좋겠어요...,19,2024-09-03T14:05:12Z
@user-kx1tp9hc7p,장영란 이사오면 프로그램 대박날듯...,2,2024-09-03T13:59:39Z
@wowwow-eq2eu,보고있으니 괜히 답답하고 우울하기만 하네요. 아이들이 불쌍합니다.,7,2024-09-03T12:18:42Z
