Author,Comment,Likes,Published At
@noname-gm3hh,근데 의대를 왜 꼭 가야하는거에요…..? 공부잘하면 의대가는게 당연한 거처럼 말씀하시던데 ㅠ,0,2024-09-12T00:31:34Z
@happier244,저런 치열한 게임을 애들만 밀어 넣어놓고 10만원 인강도 아까워서 안시키는 엄마들도 많다는...,1,2024-09-11T13:48:48Z
@TV-ur1dy,듣기만해도 숨막히고 애들이 좀 불쌍한 느낌...서울대의대가 인생의 전부가 아닌데...,0,2024-09-11T12:17:49Z
@user-us2wl1lh6g,"망하는 사람도 많지요 ㅋ 그냥 편히 중딩보내고 고등때 열심히 해서 스카이 가는 애들도 잇고,, 열심히 하다 번아웃 오는 애들도 많고.. 다 애들마다 다릅니다 ㅋ",1,2024-09-11T10:29:25Z
@yoyo-sx3du,200짜리 학원쌤 강의가 궁금하다,0,2024-09-11T08:14:34Z
@coffee-s4k,대구 수성구 이과 전국 1-2등이 우리 이과 1등이었는데 옆에서 문제집 한권 풀고 다 동그라미 치더니 엎드려 잠…. 성격 못나와서 울산대의대 갔음 09학번.,0,2024-09-11T03:04:03Z
@stella79741,무엇보다 예의 바른 아이들이 너무 이뻐보이네요~ 우리나라 아이들 공부 많이해서 안쓰럽지만 ㅠㅠ 지원 부족 국가라서ㅠㅠ꼭 명문대 아니라도 대학가서 교환학생이든 해외경험하면 인생의 길이 넓어진다고 말해주고 싶어요.,1,2024-09-10T18:13:04Z
@Fjekdksac,대치동 부동산 중개사 많이벌겠네,0,2024-09-10T15:34:53Z
@user-go8dz5dh9v,정말 씁슬 ..돈으로 대학보내는 시대<br>불공정한건 사실 같아요 개천에서 용날있는 부모님 시대가 어쩌면 더 공평하고 나았던긋,0,2024-09-10T13:07:25Z
@user-ef8gl3tb9p,"23수능만점은 울산 포항애들이었고,  24수능만점은 선택과목때문에 서울대의대는 못갔는데",1,2024-09-10T10:53:08Z
@janeyoon8369,영란님 넘 웃기고 재밌어요~  ㅎㅎㅎ,0,2024-09-10T06:54:44Z
@user-wd9xd5gn1f,영상 잘 봤는데요.<br>1. 목동에서 학원 교육에 의존하기 보다는 최소한의 학원 치고 빠지기 전략과 자기주도학습으로 목동에서 명문의대 보낸 자녀 이야기 들려드릴 수 있어요.<br>2. 현직 중등교사가 자녀의 자기주도학습을 위해 어떻게 했는지 소소한 팁 나누어드릴 수 있어요.,2,2024-09-10T05:55:36Z
@user-gp5ez6ut2g,"김포에서 국영수 학원만 다니며 서울대 공대 들어간 조카 고맙고, 자랑하고 싶다~😊",3,2024-09-10T05:36:56Z
@jscho1269,목동도 애들 좀 한다하면 대치로 갈아타더라구요.,0,2024-09-10T05:11:11Z
@username03555,다 부모 욕심으로 대치동으로 가는거지<br>공부도 싹이 보여야 푸쉬가 가능한거지<br>그렇지 않은 아이들은 스트레스 받아 자살까지 합니다.,0,2024-09-10T00:13:46Z
@user-ks4qw2yk7f,학군지는 학원비가 훨~~씬 비쌉니다<br>티처스 방송의 부작용이네요,0,2024-09-10T00:12:14Z
@user-jb4rd2zn6g,영란씨 너무 좋아요~~^^,0,2024-09-09T23:47:14Z
@강이-l9m,공부머리는 타고났다고보는데...다만환경에따라 그머리를 어디로쓰느냐에 달린거같아요.😂😂😂😂😂대치동 삼수까지하고도 원하는 대학교못가서 유학보냈더라는...😂😂😂😂억지로하는건 아이에게못할짖.,0,2024-09-09T22:25:30Z
@user-nb7wy5zy4h,이런방송은 안했으면...,0,2024-09-09T21:47:39Z
@meloh2032,서울대나온 남편하는말..다 소용없다..건강이 최고고 아이가 행복한게 최고다..아이들 공부하느라 머리털 빠져 탈모로 고생하는애들 많고 그런아이들 의대가서 힘든 의사생활하며 죽어라 아픈사람들봐가며 돈버는건 고문이다...,5,2024-09-09T11:40:33Z
@jinjunbubu,ㅋㅋㅋ 할많하않..<br>인생길게봐야지 학원다니면서 정작 자아정체성에대한 고민할시간이 없는게문제인듯.. <br>환경조성하는것도 중요하지만 부모가 뒤에서가야해요.  부모가 앞에서 가면 정작 아이가 삶의 방향 잡는 방법을 잃고 성인되어 혼란스러워요<br>재밌게잘봤습니다 😂,0,2024-09-09T10:27:45Z
@codnjswl5243,이런거 왜 찍는거에요? 대한민국 망칠셈인가요?????진짜 이런거 왜 자꾸 부추겨서 대치동에 못들어가면 루져인거마냥 선동하고 진짜.......한심하네요,1,2024-09-09T08:40:18Z
@woolrang2717,"티쳐스 매주 챙겨보는 시청자인데요, 진짜 이런컨텐츠는 장영란씨가 최고인거 같아요~ㅎㅎ 귀에 쏙쏙 박히고 콕콕 집어서 시원시원하게 물어봐주니 너무 좋네요~!! 영상 감사합니다~🫰🏻",3,2024-09-09T07:12:55Z
@툐튼스입니다,대치동 과목당200씩 쓴다는걸 옆동네 살면서도 이제 알았네여~~~ 국영수사과 5과목 기본해도 아이당 월 천만원이네요.,1,2024-09-09T03:28:20Z
@sunhyepark6105,솔직히 너무 물어보고 싶었던 정보예요~<br>정말 좋은 정보 감사드립니다🙇‍♀️🙇‍♀️,0,2024-09-09T02:56:14Z
@user-tw3io5hv6w,재미있게 잘봤습니다<br>2부 궁금합니다<br>대치동 외에 다른동네도 부탁드립니다,0,2024-09-09T00:20:47Z
@user-ns3rj9rh7g,유트버들이 대치동의 가치를 더욱더 올려줘서 영업이 잘 되네요. 전두환대통령처럼 과외금지 하면 대치동사람들이 정권탄핵 외치며 대치동에서 사교육으로 돈버는자들이 광화문에서 촛불집회 할것 같은 느낌. 여기서 잠깐 반1등 검은옷 입은엄마는 진짜 예쁘네요. 탈렌트인줄 알았어요.,0,2024-09-08T14:53:58Z
@user-wn2jm3uu8e,지랄도 ᆢ,0,2024-09-08T14:07:34Z
@user-bk1wv3no5c,"대치동 최상위권(특히 대청중 출신들)은 넘사벽인거 맞는데, 은근 대치동 학교( 단대부고.숙명.경기여고.중대부고,진선여고, 영동고(삼성동),경기고(삼성동) 에서도 어중간한 애들은 가천대(옛 경원대),강남대 많이간다는거는 몰랐지? 물론 집에 돈좀 있다하면 미국으로 보내는데 부모가 그냥 저냥 대기업 다니는 월급쟁이면 저런대학도 많이감. 대학가서도 대치동 출신이라 말도 못하고 ...;;특히 의사 자녀들은 의외로 가까운 일본으로 대학 많이 보냄.",3,2024-09-08T12:31:16Z
@user-hg1bm9gm9d,지겹다 대치동 이런걸 자꾸하니까 다들...더,0,2024-09-08T08:34:32Z
@lakelee2112,재밌게 잘 봤습니다^^,0,2024-09-08T05:42:43Z
@lakelee2112,😂,0,2024-09-08T05:33:04Z
@user-kf4wb3nb1p,공부는 학생이 하는 거 아닌가요….? <br>부모님 공부하란 소리1도 없고 지방 깡촌 시골에서 학원 자기가 알아보고 고심해서 1-2군데 다녀서 대학가고 전문직 된 언니가 더 존경스럽네요 <br>가성비는 이런 거죠,0,2024-09-08T04:41:32Z
@helencho2637,인스타설치는 아줌마 한분계시네ᆢ,3,2024-09-08T03:43:33Z
@user-jq3xi4oq9y,대치동 살지만 애들이 정신이 멀쩡할까싶어요.틱없는 아이가 이상하다할정도니..성적으로좋은대학은 가겠지만 성장하면서 배워야 할 것들을 놓치게 됩니다.인생이 학원이 다라고할정도로 뺑뺑이돕니다.<br>..정신병원이 많을 수 밖에 없는 환경이예요,0,2024-09-08T02:38:22Z
@kinwaite,8시부터 무거운 가방 맨 애들이 왤케 안스럽냐ㅜ,0,2024-09-07T23:40:34Z
@user-rk2xd8dm8z,이런 영상 넘 감사드려요^^,0,2024-09-07T18:04:17Z
@user-bg8sg1ho6o,애는 공부 곧잘 하는 편이지만 난 저렇게 나서주고 애들한테 가이드라인 만들어주고 그런엄마 아닌데 ㅜㅜ 나같은 사람이 대치동 가면 동네 엄마들한테 방치하는 맘으로 저격 당하고 애 왕따 될까봐 무서운 동네네요;;;,1,2024-09-07T16:54:24Z
