Author,Comment,Likes,Published At
@j.han91,이 분 다른 무당 여러분 봐야함... 아니면 안됨.,0,2024-09-12T11:19:56Z
@따라오지마,"친구 엄마... 노래방 운영하면서 몸 파는 여자들 불법으로 알선해주는 일했는데 월 2-3천 순이익으로 벌었다고...ㅋㅋ 한 몇 년 하면서 집 한 채 샀고 신고 누적되기도 했고 딸, 아들 결혼 적령기 됐다고 그만둠....... <br>무조건 집안 내력은 미리 찾아봐야한다고 생각해요",0,2024-09-11T08:03:56Z
@user-ft5mj7qr7o,무릎팍도사 드립ㅋㅋㅋㅋㅋㅋ,0,2024-09-07T07:09:17Z
@user-mz9lq1yn4h,개명한게 죽을죄냐? 프로그램이 넘 희안하게 가네,1,2024-09-05T12:31:50Z
@Melissa-S,ㅁㅊ 알바 뛰는건가요?????😮😮😮,0,2024-08-31T08:59:15Z
@user-cs7fb2vv2s,재밋네요 👍😊,1,2024-08-29T02:34:10Z
@콩스버그,앗 진용진 체널  비혼 편 주인공 은정이네😂😂😂😂😂,2,2024-08-23T17:03:49Z
@user-jc2jt3pq7q,데프콘 요즘진행너무잘함,0,2024-08-23T05:33:10Z
@지누-s5y,패널들 처음장면에 어우 단아하시다 하다가 요리아줌마닮은 와꾸보고 입꾹닫하는거 웃기네ㅋㅋ,0,2024-08-21T04:42:57Z
@havenkim7254,걍 멍청한 여자같네,0,2024-08-21T03:02:01Z
@user-xo8ez1yl1x,탐정대표님 그전부터 좋아했는데 역할 잘 맡으셨댱 !  너뮤 져앙 말도 잘하고 재치도 있꾸 연기도 잘하시귱 ~  최고옹,2,2024-08-20T11:41:28Z
@Aaa_D_2,더글로리 무당 생각나네여,0,2024-08-20T07:48:03Z
@pdentalcenter,김건희 윤석렬 이야기네요..ㅎㅎ...이놈들은 완전히 무속에 빠진거 같아요,0,2024-08-20T03:12:12Z
@user-go2fg1mm2e,거마비(?) 까지받고 선을보여 주는 사람들있음.<br>이 경우는 거마비로 명품을 받은거고..매니저 입장에서 이쁜여자 귀한거.<br>알바가 아니라 사기,0,2024-08-18T04:31:26Z
@user-jo1fp1tl2v,나도 사주 재미로 가끔 보는데 저건 그냥 사이비 아니냐고 ㅋㅋㅋㅋㅋㅋ,0,2024-08-18T03:06:06Z
@カオリ-f8y,이여편내야정신병원에가보세요<br>지금남편한테는평생잘하시면서오래오래죄값을치루면서행복하게조용하게사세요,0,2024-08-17T16:21:52Z
@user-rb8fm7nu9c,이 모든 사연들이 전부 실화라는게 소름이네요ㅠ 😮,6,2024-08-16T14:46:14Z
@RealDunn,"<a href=""https://www.youtube.com/watch?v=02vtkidtUBU&amp;t=638"">10:38</a> 준형이형ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아직 도입부인데 동공확장ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",0,2024-08-16T02:02:55Z
@아트-v7r,저여자분 요가 하는 분 아닌가요?,1,2024-08-15T06:31:27Z
@user-kc8ve4bb3w,엠씨들말너무시끄럽다,1,2024-08-12T12:51:56Z
@user-vu3oj5kf9v,남편과 의논도 없이 저런 지랄을 한다고? ㅋㅋ....<br>신뢰가 없으면 일찍 찢어져야지....당장!,0,2024-08-11T07:31:31Z
@user-ct7jn9qv8l,"끼리끼리 만나면 나라를 말아먹는다. 성형하고 개명하고, 학력 경력 위조하고 주가조작도하고...",0,2024-08-10T06:59:09Z
@저언덕,남자들참~~<br>여자볼줄모르니<br>화류계 업소녀들<br>이놈저놈 살컷놀아먹고는<br>신분세탁해서<br>요조숙녀로 시갑가는거지<br>주변에 넘많타<br>반반하면 거의다,0,2024-08-09T12:38:10Z
@봉재B,"게스트없이 변호사님,유인나씨,뎁콘씨,탐정님 4분이서 하시면 깔끔할듯ㅋㅋ",4,2024-08-09T07:26:23Z
@user-oi9nb6xq2h,저런걸 맹신하는 수준이면 놔주는게 맞다 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,2024-08-09T05:20:20Z
@김밍밍-o3w,"보통 이런프로그램 중간중간 끊기고 패널들 코멘트 다는거 별로였는데 여기는 김풍, 유인나, 데프콘 조합이 너무 좋음 ㅠ 리액션도 짱이곸ㅋㅋㅋㅋㅋ 그재미로 더 보게됨..❤",67,2024-08-08T08:26:32Z
@user-ve2xs5ue8d,저여자가 이쁘다고? 내눈엔 도룡뇽같이 보이는데?,1,2024-08-07T11:45:44Z
@고희진-u3w,일단 저 여자 얼굴이 꽝!!,0,2024-08-03T14:28:57Z
@user-pe6yq7dl7t,배우 성형때문에  집중이  어렵내,0,2024-07-30T23:09:19Z
@2010133omi,무슨일만 생기면 무조건 무신을 믿는것도 병이다. 이혼이 답,2,2024-07-30T19:06:28Z
@2010133omi,이래서 결혼정보회사 실적이 다 이렇게 하는구나.,4,2024-07-30T18:42:56Z
@morani77,부인이 진짜이쁜가보다,1,2024-07-30T06:02:37Z
@eun122,얼굴만 보고 바보랑 결혼한  니 잘못이이다,5,2024-07-28T01:23:15Z
@Ueen-dg8vi,이다인은 개명을 6번이나 했는데,5,2024-07-28T00:50:30Z
@user-yv3kb3tv4b,ㅡㅡ^자야되는데...이 프로  보다가 잠을 한숨도 못자고 있네...아~~!!!혈압이야~~~;;;;;,3,2024-07-26T03:14:19Z
@sang-ah9861,결혼 정보업체 매니저라는 인간은 진짜 결혼 공장 공장장인가 보다. 결혼을 뭘로 보는 거지? 오랜만에 만나서 돈을 못 번다고 하니 이혼하라고 하고 참 심하다. 그냥 결혼이 비즈니스구만,4,2024-07-24T21:53:49Z
@sang-ah9861,남자가 저렇게 흥신소까지 쓸 정도면 결혼생활에 충실하지 않고 굉장히 의심스러웠다는 것을 말하는 것이지,6,2024-07-24T21:52:49Z
@sang-ah9861,알바다 사심 가득하구만. 진짜 별 생각 없이 그냥 돈만 벌려면 그렇게 생업을 마다하고 매일 밤마다 업소 나가는 것처럼 꾸미고 나가냐. 그 중에서 괜찮은 남자 만나면 갈아탈 생각도 없지 않아 있는 거지,0,2024-07-24T21:51:51Z
@sang-ah9861,정말 재수가 없는 여자인가보다,0,2024-07-24T18:18:05Z
@sang-ah9861,저런 의심스러운 알바하면서 왜 남편한테 먼저 말을 안해. 의심스럽다 어찌되었든,1,2024-07-24T18:17:13Z
@user-dp8th6vo7r,선녀남 존경합니다  3년후에  큰일  도모하시길   ....국회의원들을  사기쳐서  북한에 팔아버리세요,3,2024-07-23T09:02:20Z
@yusukcho3383,여자가 갈때까지 안가서 그나마 살수있는거 ...,2,2024-07-22T00:57:30Z
@user-vu5uv2il4x,종교에 빠짐 바람난것보다  더무서움,1,2024-07-21T20:11:01Z
