Author,Comment,Likes,Published At
@play-channelA,"채널A [탐정들의 영업비밀] 사연 모집<br>가족 찾기, 양육비 미지급, 스토킹, 전세·결혼 사기, 의료 사고 등 탐정들의 해결이 필요한 사연을 제보 받습니다!<br>* 사연 제보 링크: <a href=""https://naver.me/5xL2c49U"">https://naver.me/5xL2c49U</a>",14,2024-09-03T23:58:51Z
@user-gc8rp7vv3h,아버지재산이있으니..고모들이편취했을듯ㆍ만나면토해내야하니않만나려는거아닐까,0,2024-09-12T10:22:18Z
@jimmyjoung,이런 프로그램 참 좋은것 같습니다...,0,2024-09-12T03:52:24Z
@iggeoiim,고모들이나 고모부들 수상한데,0,2024-09-11T08:19:25Z
@user-bg6bz2vy7o,고모들좀.....<br>거시기 하네요.,0,2024-09-11T06:44:51Z
@youngjilee5779,그럼 아버지 재산은 어디 갔어요?<br>아버지 재산은 없나요?<br>하기는 경우에 따라서<br>빚이나 없으면 다행인 경우도 있죠,1,2024-09-10T07:55:14Z
@user-nl1cw1zk9v,혹시 고인께서 많은 유산을 남기신건 아닐까하는 합리적 의심이 드네요.,0,2024-09-10T03:44:07Z
@김애성,분명 죽음이 고모들관련된거 아닌지요 분명 생명보험이 아닐까요,0,2024-09-10T01:42:48Z
@user-lovedol,요즘이야 워낙 이혼도 하고 그렇지만 ~ 옛날 생각으로는 여자하나 잘 못들어와서 집안에 아들이 죽었다고 생각할 수도 있겠네요. 울 삼촌도 30대에 갑자기 자다가 가셨는데요. 애초에 결혼 전에 과부팔자라고 해서 결혼도 반대하고 했는데 운명인지 결혼 몇년만에 그것도 같이 나란히 자고 있는데 돌아가셨어서 할아버지랑 울 아버지가 엄청 슬퍼하셨어요. 그뒤로 소식만 전해듣지 연락 안하고 삽니다. 할아버지 돌아가시고 나서 울 집에 와서 돈만 받아가더군요.,0,2024-09-09T20:31:20Z
@amr2885,유인나 💗🫶,0,2024-09-08T15:34:28Z
@j.han91,저 때는 ㅈㅅ이 수치였었지....,0,2024-09-08T12:58:26Z
@user-nz1vh3re2n,고모부 둘다 할아버지가 손주한테 남겨둔 재산을 가로챗네 그러니<br>저렇게 까지 거부하지,4,2024-09-08T02:26:42Z
