Author,Comment,Likes,Published At
@user-ep1qq2xj1m,왜 게스트들이 잼  있구만요,0,2024-09-10T07:39:48Z
@heherahe9674,옛날에 뉴스에서 본거같은데~ 유흥업소애를 회사에 꼽은거..,1,2024-09-09T07:56:30Z
@고순희-o1t,아이시끄러정말못보겟다조용해라,0,2024-09-08T13:25:23Z
@고순희-o1t,엽에잇는사람들시끄러서못보겟내조용희좀하세요,0,2024-09-08T13:21:35Z
@user-xs4cj5yl9l,게스트들 너무 시끄러우십니다 집중이안되요,1,2024-09-08T08:27:55Z
@user-fs1cp1zm6n,세일러문변신송 ~~~,0,2024-09-07T07:07:11Z
@user-zi6wo6xd8f,요즘 웬만한 프로그램보다 더 재미있어요❤,3,2024-09-04T04:25:25Z
@돌삐-x2b,우리나라 남자들의 일상이지.,1,2024-09-03T06:55:12Z
@user-qj6cd3ew9z,게스트가 말이 더 많아 집중이 안됨,9,2024-08-28T21:30:39Z
@user-hn8gm4ob8d,바람이지.이혼해라,0,2024-08-27T06:20:04Z
@user-sl3xq5wk9f,징하게 시끄럽네<br>노가리 프로인가?,8,2024-08-22T03:09:58Z
@지누-s5y,유대리 트젠아님?,1,2024-08-21T06:12:38Z
@jieunpark617,티비로 볼때는 게스트들 소리가 거슬리지 않았는데 유튜브로 보니깐 방해되네,0,2024-08-19T09:31:31Z
@원이-j2z,아 데프콘 너무 좋아ㅋㅋㅋ,0,2024-08-18T15:25:02Z
@user-vv9er7yt4y,뭐 우리나라 대통후보이자 지금의 ㅁㅈㄷ 대표이다시피한 인간과그부인은 더큰것도 하는데 아직 건재하고 나랏돈 받아먹고 나랏돈도 배임하는데요 뭐~법은 뭐,0,2024-08-17T12:21:27Z
@오윤블리님,아 사모님 카리스마~! 쓸어ㅋㅋㅋ,3,2024-08-16T11:19:44Z
@EstherHsiao-v8p,좋아요❤😂🎉😢😮😅😊,1,2024-08-16T01:06:16Z
@꼬라,이국주넌 좀빠져라 역겹다,0,2024-08-15T16:14:48Z
@minjung2027,바람. 한번도 안친인간은 있어도. 한번만 피는 인간없다. 저여자는. 지남편 저걸. 보고도. 그냥살어? 쯧쯧,0,2024-08-15T08:44:21Z
@user-pf1wv7bt1l,어우  시끄러워서  집중이 안되네   인원을 줄이면  아되나,7,2024-08-13T22:27:53Z
@yi_seul,진짜이런거보면 의심할수밖에없어,3,2024-08-12T23:56:00Z
@user-ql4gq9ji1o,다들 게스트때문에 집중안된다 하시는데 저만 재밌게 잘보고 있는걸까요..ㅎ,31,2024-08-12T23:25:29Z
@user-3sdafzfdsy5f,왜 봐줘 ㅋㅋㅋㅋㅋㅋㅋ 애낳으면 또 바람핀다,0,2024-08-11T06:34:16Z
@user-3sdafzfdsy5f,아니 중간중간 흐름끊는 편집하지마라,2,2024-08-11T05:51:28Z
@제시간,게시트 너무 말많아요,4,2024-08-11T00:03:12Z
@user-dadadawa,유인나 원본판이 생각하니 이쁘기보단 찌질해보이네,1,2024-08-10T09:13:27Z
@user-qh4kl1xc5b,이국주는왜나오냐,4,2024-08-10T08:36:17Z
@주희이-g9x,여자에게 결혼은 너무 많은걸 잃어.일은 그만 두지마세요.<br>시간지남 후회함,6,2024-08-10T05:07:03Z
@주희이-g9x,월15마넌 용돈가지고 칼퇴근에도 바람피더이다.<br>사내에서 가능하더라구요.<br>제칭구 다시살지만 자식때메 못헤어진다고하는데 에효.<br>그냥 마음비우고 밖에서는 내남편아니라생각하는게 나은게 현실,8,2024-08-10T05:02:19Z
@user-ol1ev7jc3i,우와 탐정 역할에 주민하 배우분이랑 남편 역할 맡으신 아이돌 그룹 출신 유일(박상일) 배우분님 실제로 부부시네요^^,36,2024-08-09T18:36:05Z
@user-dp2be9io1s,여자는 사회생활 경력을 놓치면 안된다는 교훈을 주네 <br>확실히 결혼은 여자한테 쥐약이지,12,2024-08-09T16:49:07Z
@user-fw3dv2bf4w,별로 안 예쁜데???,1,2024-08-08T14:47:47Z
@mil03224,와씨 ㅈㄴ 재밌다,3,2024-08-07T12:23:41Z
@user-qz3qf3gc9v,여기도김정은이가또있네여.ㅋㅋㅋㅋz-,1,2024-08-07T04:56:28Z
@user-ec6nt6xr3k,웬삼류 영화? 어떤회사가 저런 쓰레기를  취업을 할수있나. 할수있는게 뭔데. ㅡ 완전삼류영화네,0,2024-08-07T00:13:09Z
@user-wm7fb3yw9h,어디회사인지 궁금하네 ㅋㅋㅋㅋㅋ,1,2024-08-06T09:35:20Z
@krnerd1234,"<a href=""https://www.youtube.com/watch?v=CiIB2o5G8AA&amp;t=1326"">22:06</a> ㅋㅋㅋㅋㅋ 프콘이형 땜에봐요 ㅋㅋㅋ",13,2024-08-04T01:21:54Z
@user-li8ho4xj2u,머리도 나쁜것들이 욕심만 많아가지고,3,2024-08-03T02:03:40Z
@user-jx2bq4lb9n,게스트 줄여라  정신없다,15,2024-08-02T12:02:43Z
@user-ds8si2nm3h,이건 완 전. 레전드급 바 람,17,2024-08-01T09:57:18Z
@user-yy3st8co4y,다른회사도 종종있음..미친x들많음,0,2024-08-01T05:27:50Z
@user-wv3zx8og2w,9멍 동서네 회사 동료가....미친다 정말...,1,2024-08-01T05:24:10Z
@user-ni8cj8lt7y,한미약품 동물실험에대한 자부심 있네요,1,2024-07-31T03:45:02Z
@user-qv8ut9hb4p,막상 자기꺼 되고 나이들어 봐라ㅋㅋ<br>인생 그렇게 사는거 후회하겠지ㅋㅋ,8,2024-07-28T14:00:19Z
@user-tx9lt7ln6t,일만해도 벅찬하루인데..,20,2024-07-28T06:03:30Z
