Author,Comment,Likes,Published At
@farhodkim6811,개 사이다네~ㅋㅋㅋ,0,2024-09-11T02:05:57Z
@user-zd1fb2nd7n,내용이 남자를 악마로 표현 했네요.,0,2024-09-09T05:28:43Z
@j.han91,근데 어떻게 자기 산 복권이라고 착각할 수가 있지?,0,2024-09-08T13:16:03Z
@baek6468,여자하나 벌어먹이지도<br>못하면서 여자랑은<br>왜 사냐?<br>여자이용해서 너나 <br>편하게 살려구?<br>저런 양심없는 남자들<br>수두룩 할거다,0,2024-09-08T09:00:47Z
@user-cg4be6wo9g,봅권사실면좋겠다,0,2024-09-06T21:53:36Z
@zeus-qz8tj,"복권 계좌이체 안되고 현금밖에 안받을텐데 ㅡㅡ,",0,2024-09-05T19:23:29Z
@zeus-qz8tj,근데 이게 실화여? 가상이여?ㅋ😂😂😂😂😂,0,2024-09-05T19:21:55Z
@바람70,역시 S대클라스네요,0,2024-08-31T11:51:18Z
@모모랜드-u4p,저래서 여자가 어이없어서 마지막에 웃은거구나 근데 저남자 어떻게 10년간 저 13억을 알뜰하게 쓴거지 ㅋㅋㅋㅋ 주작인데 재밌네,0,2024-08-29T21:44:50Z
@user-vl4rw1sh4x,여자 얼굴 왜저래????,1,2024-08-29T20:14:11Z
@신사이버포뮬러,여배우님 최수민 모델님 맞져??  얼굴이좀 변하신듯,0,2024-08-28T10:31:57Z
@user-ts6sv4nq8l,ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,0,2024-08-28T00:18:44Z
@도로시찡,저 탐정님   의뢰인에서 직업 바꾸셨네!,0,2024-08-27T04:34:01Z
@Anti-hero2021,연기지만 개 ㅆㄹㄱ네 연기길 바란다?실제성격이 아니고,0,2024-08-24T03:46:27Z
@akeiakeh4555,로또 1등자는 거의 존재하지않음 로또회사가 1등 당첨자가 있다고 속이는거뿐이지 도둑놈들이다,1,2024-08-23T07:15:13Z
@user-cr2tr6un5v,"번호 하나로 몰빵. 화면 펑펑 쓸정도 금액이 되지,",2,2024-08-23T02:38:59Z
@user-fn7pt8hn9y,마지막 쌤통이다ㅋㅋ,1,2024-08-23T01:02:26Z
@shining-zzini,이거 방송으로 봤는데 그놈의 200만원~~소리 계속나와~~ㅋㅋㅋ,0,2024-08-21T08:34:55Z
@김수국-t9n,아주 쓰레기 보다 못한 인성 이군..쓰레기는 재활용 으로 라도 쓰지만..저런건~진짜..ㅠ,0,2024-08-21T03:57:16Z
@user-bm8cy7yv1v,가스라이팅.ㅈ되노 욕나오는데참는다,0,2024-08-21T02:26:38Z
@user-pm1lp1gm6p,남편꽐라되있는 저 와중에 수동으로 살 생각을 어찌했을까 하늘이 도왔다.. 그것도 하필 현금이 없어 계좌이체.. 확실한증거에 좋은 탐정들까지 만나고 전생에 나라를 구했지싶다,5,2024-08-20T21:20:50Z
@user-ke6nw1lf5j,썸네일 여주 안티인가요?! ㅎ 남상으로 변신한 여주 입술필러 등 이물질 과주입 부작용 어쩔 ㅜㅜ 에로부부때 괜찮았는데,4,2024-08-20T16:06:19Z
@ssc2953,꼴좋다ㅋㅋ아우 기분좋아ㅋㅋ오늘 하루도 기분좋게 지낼수 있겠다,1,2024-08-20T12:18:06Z
@user-ec1cr1bb2x,남편놈 사람 안된다. 사람 고쳐쓰는거 아닙니다,0,2024-08-20T10:40:36Z
@user-dv3zu8ok9e,잘했다 당연희 숨겨야지 👍,1,2024-08-20T08:20:43Z
@user-ve1kv6eq6j,근데 여주 얼굴은 왜 저렇게 급변한거에요? 불과 재작년 애로부부때만해도 괜춘했는데 😮성괴가 되었네요. 수술좀 적당히 하세요  너무 보기 부자연스러워요ㅜㅜ,8,2024-08-20T07:02:42Z
@user-xc5kl6jo8y,고작13억에 가정을 버리다니... 저런남자는 버리는게 맞죠,1,2024-08-20T04:03:47Z
@최영희-p1z,저런 넘 버려라 인성이 글러먹었다.<br>배웠으면 인성부터 갖춰라 술은 고주망태이처럼 처먹고 복권되니 이혼서류 작성하고 🐕 부인은 당장 버려야 하는게 맞지,0,2024-08-19T14:28:14Z
@user-zl2kj2jn7i,꼴랑 13억 가지고 아내와 가족을 버리냐~??쫌팽이네,1,2024-08-19T12:41:46Z
@user-cr2tr6un5v,"복권 1등 당첨될려면 나쁜짓 많이 해야 되나 보네, 교도소 갔다 와서 샀는데 1등 되고 술만 술만처먹고 빈둥대고.있는데1등  되구,",1,2024-08-19T12:41:08Z
@허인숙-x5e,😊😊😊,2,2024-08-19T10:29:55Z
@user-iz3vf2tt8h,13억 가지고 행복하게.사는게 좋아보이네 13억 생각보다 별거 없음 30대에.자산 10억 넘는데도 개처럼 일하고 살고있습니다,3,2024-08-19T07:01:05Z
@user-dv3zu8ok9e,잘한다  그래야지 👍 👍 👍,1,2024-08-19T02:45:48Z
@user-ob4pp5dg1b,"와 저게 남(의)편 맞네요 ㅜ 같은 남자지만 너무한게 아닌가요? 키다리 아저씨도 이렇게까지는 안해요ㅜ도움 줬으면 줬지ㅜ 아내의 어머니고, (계모 아니고) 친모인데ㅜ",1,2024-08-19T01:46:10Z
@user-hp3em2yb7n,부활하신 구세주 예수님 보혈의 은혜러 죄사함  평강,0,2024-08-18T12:34:25Z
@Sally-xl7hp,진짜 인간ㅆㄹㄱ네 ㄷㄷ 실제로 저런 인간이 있을까봐 겁난다 ㅜㅜ,2,2024-08-18T08:48:46Z
@user-rk3ng7kp2y,용서해달란  말이 나오네 ᆢ,0,2024-08-17T09:26:10Z
@policemanelle,배우인데 팔자주름 어카누 썸네일여자를 먼 원숭이 처럼 만들었나<br>너무짜맞췄다 천원치에 계좌이체에ㅋ,5,2024-08-17T08:11:19Z
@user-if8ds3dh8z,싸대기 시원하게 날리네 ㅋㅋ,1,2024-08-17T05:51:41Z
@massanaguzimme3695,일단 복권을 아내가 되찾아서 천만 다행이고 남편이 저런 쓰레기라는 걸 뒤늦게 라도 알아서 찢어진 게 정말 진짜 훨 더 행운이고.,9,2024-08-17T02:57:51Z
@TV-lb8xf,상복입고 돌아댕기면 무섭다,0,2024-08-16T23:57:35Z
@user-ue1sk2qm1p,탐정이 다했네ㅎ,1,2024-08-16T06:12:04Z
@user-lt5qx5ph9j,저런  나쁜놈  버린것만으로도  정말잘했네오   정신상태  썩은놈  쓰래기장에   잘버렸네요,0,2024-08-15T11:59:58Z
@kingka-ie9oz,인과응보여,2,2024-08-15T11:46:16Z
@AmyJ-y2y,소름끼친다,1,2024-08-15T11:14:39Z
@user-yh2nc5pd3k,나쁜놈 지혼자 잘먹고 잘살려고 저런짓을 하다니 꼴좋다,1,2024-08-15T10:51:13Z
@user-uv2kl4eb9t,여자 얼굴이...... 어떻게 성형을 한거지..에로부부에 나오는 여자인데 합죽이가됏네,6,2024-08-15T09:58:43Z
@user-tp3yf1zg4m,남자 잘만나야지 ㅡ ㆍㅡ 안타깝내여,2,2024-08-15T06:52:08Z
@lovestjm9982,남편역 배우 연기 넘 잘해서 더 짜증난다 ㅋㅋㅋㅋ,2,2024-08-15T04:42:30Z
@docotinemath,"인과응보, 전화위복 모두 있는 흥미있는 스토리네요",16,2024-08-15T01:37:12Z
@user-nl1dl1jl5p,와ᆢ탐정님으로 데뷔하셨네용!!^^,14,2024-08-14T23:50:48Z
@user-mq6oz9yh4f,남편 쓰레긴거 아는데 볼수록 점점 젊은 연정훈 보는듯 ㅎㅎ,8,2024-08-14T21:18:30Z
@user-ii7hj2fk7r,탐정분 원기준님인가요?,1,2024-08-14T20:49:54Z
@user-truebless,여배우가 얼굴이 넘 어색하고 보기가 넘 거북! <br>성형인가요? 보톡스인가요? 하리수랑 비슷한 성형했나?,1,2024-08-14T17:55:16Z
@cam_miin,실제상황? 미쳤다 저남자머냐..와..무섭다..결혼은진짜 미친짓인건가..ㅜ하,5,2024-08-14T13:17:59Z
@user-md6zn8nh8z,난 저 놈 제일 최악이었던건.. 장모님 돌아가셨다고 병원 데려다 달라고 한거 무시한거 그래도 부부로 살았던 세월이 있는데 그래 돈 욕심나서 주기 싫었더라도 병원 데려다는 줬어야지 개놈아! <br>내용이 사이다라서 다행입니다😊,127,2024-08-14T08:57:59Z
@mreverything1844,13억으로  뭐  그렇게   거창하게  생활 하기엔   부족한데~!  5년이면  바닥 날<br>듯!,7,2024-08-14T06:35:06Z
@윌리암,부부는 서로 존중과 배려가 중요하다,16,2024-08-14T05:36:43Z
@jiwoorhee9778,복권이 분할대상인데 미국에선,0,2024-08-14T04:23:40Z
@user-mc6de3li7n,여주  얼굴처짐 ㄷㄷㄷ  윤곽은 손대지말자,6,2024-08-14T04:03:06Z
@강춘성-f4v,ㅅㅂ 복권은 재산분할에 안 들어가는데 세금은 왜케 처 뜯어가노....,3,2024-08-14T03:29:14Z
@hallo20246,"하늘이 도왓다 ,,,,  그゚゚゚̥̥̊리゚゚゚̥̥̊고゚゚゚̥̥̊  탐정들이   은인이다",27,2024-08-14T01:05:48Z
@user-de3dr7gm3t,어머니병원비라도줬어야지,6,2024-08-13T20:55:39Z
@user-ii5wf8bb5u,선충기 아줌마... ㅋㅋㅋㅋㅋ,6,2024-08-13T19:02:17Z
@yj6388,개가 여기 있네~,0,2024-08-13T17:42:29Z
@푸링-f3n,주작 같음 천원을 이체하고 복권 수동으로? 술취한 남편     챙기기도 버거운데 자동으로 달라하지 수동으로? 그냥 속시원한 결말을 위한 주작같음,1,2024-08-13T14:56:09Z
@bhjo9324,그동안 아내에게 당한게 많은가 보네요?  돈못벌어 온다고 구박 당해서 저런거 같아여.,5,2024-08-13T14:48:03Z
@user-qd1wo4nw3g,어휴  본인이 산것도 아니면서 ...지것인양,0,2024-08-13T14:21:39Z
@user-ue2ix5bq2r,헐,0,2024-08-13T13:26:06Z
@user-wi8up4yj7t,저런 작자가 또  있네. 열받게.,0,2024-08-13T10:21:45Z
@iijliljllij,사이다넼ㅋㅋ,0,2024-08-13T10:05:33Z
@weyoung510,방송보면서 반전에 반전에 반전으로 엄청 재밌었는데... 제일 중요한 내용이 썸네일에 다 나와있네요...;;,8,2024-08-13T10:04:00Z
@user-ne1hy9cp1x,GSGG 네,1,2024-08-13T09:51:40Z
@user-sl1tw5vr9m,자식이있는데 어케저러냐,3,2024-08-13T09:45:50Z
@user-ud2rb9vs4h,마누라 해장국끓여줄께 복권도 사놧어 돈벌어올께~~~,1,2024-08-13T09:43:46Z
@user-cc1qh4yy7m,월200씩만 주란말에 자존심이 뒤틀렸단말은 좀 아닌것같은데요? 월200씩만 줘도 된단말을 덮썩 문거죠,17,2024-08-13T09:09:11Z
@인간승리-f3o,💋필러,8,2024-08-13T09:08:18Z
@TYK-dy7bw,저건 용서가 안 된다<br>계좌이체가 대박이다,23,2024-08-13T09:07:18Z
@user-cu7wp2sk6q,제일 짜증나는 말이<br>내가 할려고 했어..니가 참을성이 없어서 못 기다려서 이렇게 된거야 😂,18,2024-08-13T08:19:50Z
@user-ui9tg3es8v,모든게 자업자득 입니다 서로돕고 화합하며 배려하며 인정하며 용서하며 아름답게 진실되게 살아요 그러면 만사형통 합니다 복은 있을때  짓고 선업지으며 밝고맑은 마음으로 진실되게 행하며 아름답게 지혜롭게 살라고 그러면 만사형통 합니다 누구를 만나도 잘되게 하라 그러면 만사형통 합니다 모든게 자업자득 입니다 나무아미타불 관세음보살 우리 모두 깨달아서 지혜롭게 행하며 아름답게 살아요 그러면 만사형통 합니다 감사합니다,20,2024-08-13T07:47:52Z
@user-np1hj3kp3u,어? 저 여자분...? 내가 아는 그 분인가??<br>예전보다 젊어보이는데??,1,2024-08-13T07:42:26Z
@user-dv4kk3bb4r,여자 대역배우분 얼굴이 너무 성형하셔서 몰입이 안되네여 저렇게 생기신분은 알아도 가방하나 더사달라 할거같이 성형얼굴이신데 다음부터 좀더 자연스러운 대역쓰셨으면좋을듯요 ㅎ,25,2024-08-13T07:18:50Z
@user-hb6kf3rm5x,돈있음 저리되나?,0,2024-08-13T06:50:24Z
@user-cf2ku5pm2n,왠만한 드라마보다 완벽한 스토리....👍실화인가요???... 안 믿김...,43,2024-08-13T06:43:27Z
@나얌-k4j,남편 지옥불에 떨어져야겠네 ㅠㅜ,6,2024-08-13T05:11:53Z
@나얌-k4j,나쁜x 쓰레기네,0,2024-08-13T05:09:53Z
@user-lv2yh2vz6h,나쁜남편걸러낸것만으로도 더큰 복권 맞으신거네요..<br>남편이 나쁜놈이네...,140,2024-08-13T05:05:03Z
@제임스-e5k,안선영이 패널로 나옴?<br>불편해 ㅋㅋㅋ,5,2024-08-13T04:47:20Z
@user-mb3wi5eh8q,해피엔딩 너무 좋네요,11,2024-08-13T04:40:18Z
@승우한-h8n,남자야 행운의 신이 바보같니? 노력은 절때 배신안해 니가 뿌린 씨 다거든대로 살아 그리고 너혼자 잘났다고 떠들고 자기중심적으로 살아 빈털터리로 살아 ^-^,5,2024-08-13T04:30:04Z
@J-honey-78,진짜 남자는 능략생기면 10이면 8은 바람피는거죠? 저번에 와인모임을 갔는데 유부남들 다 바람피고 불륜에광장이더라구요ㅡ 충격먹고옴,18,2024-08-13T04:27:53Z
@Babeeee17,레전드 ㅋㅋㅋ,0,2024-08-13T04:22:02Z
@jhonway8819,실화?,3,2024-08-13T04:19:52Z
@kjs3133,아흐~~~~속시원해 ㅋ,2,2024-08-13T04:01:33Z
@user-km3qx3vr1j,저런놈은 인간안된다 <br>그냥 버리는게 답,14,2024-08-13T03:55:14Z
@user-gj5rf6co2x,저런걸 인간이라고?,4,2024-08-13T03:39:45Z
@user-fc9jq7cb7p,어제 본방보다 열받아 잠이 확 깼는데 반전이 속이 뻥 뚤어주었어요,56,2024-08-13T03:17:57Z
@user-qq1gn2rq7j,로또사는데현금만가능한데<br>계좌이체가되나?,3,2024-08-13T03:07:25Z
@with3427,여자분 얼굴이 많이 변함... 에로부부때부터 봤는데...,15,2024-08-13T03:02:06Z
@moonbig2225,거짓말 입에달고 사네,1,2024-08-13T02:56:30Z
@user-db2dd4uo6h,지존감없고  자존심으로  뭉친,0,2024-08-13T02:41:06Z
