Author,Comment,Likes,Published At
@user-nm2mg1zr1p,그냥 입양을 하지…굳이 왜ㅠ 여자 입장에선 입양이나 대리모가 낳은 애나 다를거 없는데,3,2024-09-10T14:34:08Z
@alici5634,본방송 안봐서 재방 봤는데...<br>마지막 결과가 너무 짠하네요ㅠㅠ에휴ㅠ<br>대리모 역할을 다시 보게되는 영상....<br><br>대리모X이 제일 못됐어 <br>중간 다리 브로커도 못됐지만<br>대리X 욕심이 지나쳤다<br><br>아니면 저 남자랑 짝이 아니라고<br>하늘에서 알려준거 아닐까 싶네요:<br><br>마지막에 유학 가셨다고 하셨으니 <br>거기에서 좋은거 많이 보고 <br>더 좋은 사람 만났으면 하네요~~,1,2024-09-09T03:58:41Z
@j.han91,결국 두 사람은 어떻게 되었을까...?,0,2024-09-08T12:29:43Z
@u_premi_um913,상간녀는 아마 이 남자와 함께하면 부자 삶 확정이라 이 절호의 기회를 놓고 싶지 않았던게 아닐까 싶네요. 낳자마자 엄청난 유대가 생기는줄 아는데 그런거 없습니다. 처음에는 뭐지 이게 내 아인가 어색 이런 느낌이거든요. 키우면서 정이 들고 모성이 생기는 거지..그냥 아이만 데려가라고 하면 안데려갔겠죠? 아무튼 남편도 상간녀도 멍청하고 파탄났네요.,2,2024-09-07T17:26:38Z
@user-db6jl3us8l,이아이는 시랑을 아는 사람이네요. 고모님 잘 키우셨습다 존경합니다😊,0,2024-09-06T12:37:00Z
@jbj8376,돈많으면 젊은여자선택하는게 당연할수있지<br>한국이나 이혼이 엄청큰일이지 잘못된문화임<br>이혼해도 서로만나고 애들같이보고해야지<br>연을끊어버리고 서로키우겟다 안키우겟다 소송들쳐하니 에휴,0,2024-09-05T03:09:18Z
@godqhrgowlwk-b6f,남편도 ㅄ이고 대리모도 그런다고 그런게 ㅄ이고 아무리 돈이 없다지만,0,2024-09-03T21:56:59Z
@user-lovedol,내 아는 사람도 사장한테 겁탈로 인해 애 낳아줬음. 둘째까지 갖게 되었는데 . 첫째 아이는 둘째가 왔을때 어디서 데려온 아이로 알고 막 차별?했는데 결국은 친형제라는걸 모름. 자기 엄마가 애 못 낳아서 자기 아빠가 직원 건드려서 낳은건데 .... 애 못 낳은 사모는 아이 둘 키우고 살고 그 애 낳아준 여자는 다른데 시집가서 살고 있음.,1,2024-09-02T21:02:27Z
@ohhappy_01,대리모는 진짜 안하는 게 좋은 듯... 이 사연과는 별개로 부부의 유전자고 대리모는 배만 빌려주는 상황이어도 자기 뱃속에 열 달 품고 진통으로 낳은 아기 잊고 자기 삶을 살 수 있을까? <br>이 사연 아내가 정말 안타까웠음. 남편이 젤 나빴고,2,2024-09-02T13:29:52Z
@user-cj5xf5ou6x,결국 돈과 모든 보상을 다 받고 이젠 아기와  남편까지 가로채는 대리모...그건 사기꾼이고 도둑이고 강도입니다. 자신의 행복을 위해서 다른 사람은 함부로  짓밟아도 된다는  마인드로는 결코 행복하게 살기 어렵습니다.<br> 저런 남편 믿고 평생 사는 거는 불행했을 수도 있겠네요. 떠나는 아내 지혜로운 결정인 것 같습니다!,0,2024-09-02T11:19:55Z
@user-zy2fh3km1n,야 수정 왜저런여자를 거기에투입  아우 짜증   니가 거기나가서 나불거릴 자격있니?  우리가 잊은줄 알았어 니죄?   아우 진짜  그만좀보자  그남자보다 수정~~ 니가더싫어  화면에서 커져줘 부탁이야  👹,1,2024-09-02T07:28:43Z
@user-lx8yd8yx5q,납득안가네..사이다가없네요. 피해자 1명 가해자2명 에 고구마 수천게 먹었네<br>남편이 ㄱㅅㄱ가 간지러웠나보네 젋은여자가 좋은가보네 피해자 너무 불쌍하다 왜 후퇴해.. 체한다 진짜 잘해줬더니 원수로값네,0,2024-09-02T04:25:31Z
@user-dj8yp2il1o,차라리 입양을 하시지 ㅜㅡ 맘이 아프네요,0,2024-09-01T21:52:03Z
@owpancil84830,사건이 너무 역겹다...,0,2024-09-01T13:25:15Z
@onepunch-man1857,저런 인간들이 지금도 뻔뻔하게 애 데리고 잘 살거라고 생각하니 역겹네,0,2024-09-01T12:10:38Z
@chobbcho,"<a href=""https://www.youtube.com/watch?v=ShA-PI8VLvA&amp;t=1147"">19:07</a> 뭐야 대리모를 하지말고    그냥 애기를 낳던가 뭐야?.........<br><a href=""https://www.youtube.com/watch?v=ShA-PI8VLvA&amp;t=1557"">25:57</a> 미안해서 고마워서 우는것도 아니고 저렇게 ,,,있네",1,2024-09-01T07:12:23Z
