Author,Comment,Likes,Published At
@DH-bu5uo,나이 많은 꼰대 노인들은 빨리 죽는게 도와주는거다,0,2024-09-13T02:53:12Z
@lovesol7997,경찰진짜 ㅉㅉ,1,2024-09-12T13:30:51Z
@DogeSenSei1980,가격이 얼마 되지도 않고<br>별 대수롭게 생각했겠지<br>역시 경찰 하는 꼬라지,1,2024-09-12T10:04:21Z
@k_snovalee,번호판 식별해서 범인잡고 그렇게 편하게일하는거면 너도나도 경찰하지~우리나라경찰 진짜 일들안해 가만보면~,1,2024-09-12T09:05:42Z
@user-uy4gp2hs2y,별거 다 훔치네 와 진짜,1,2024-09-11T16:17:37Z
@ALSDKFKDFJAJSDF,로드뷰속 아파트 선단마을세창아파트네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2,2024-09-11T07:31:43Z
@user-ns4gt,이런도둑은 여자더라구요<br>우리아들사는 아파트주민여자인데 가끔 깨꽃같은거 여러가지를 서너뿌리씩 뽑아다가 아파트큰꽃나무 아래 수시로 뽑아다심는 나이든 아줌마를봤네요<br>분명히 도로변 인도변에<br>심은거란생각이듭니다<br>도둑년이죠<br>그리고<br>전북용진 천변 팔각정부근에 수국도 뽑아가니까 용진 이장님이 화가나있더라구요<br>전주시민이지만 화가나더라구요<br>왜. 여러사람들보라고 공원같은데 심어놓은걸 뽑아가는지~~~~<br>뽑아간자리가 보기싫더라구요,2,2024-09-11T06:09:32Z
@user-yx8bz2zs5d,대박~~,1,2024-09-11T05:22:31Z
@user-dd4ir1iw4x,팀장님한테 박수를 보냅니다,2,2024-09-11T04:07:19Z
@user-fp3nd4kz7t,눈앞에서 보잔아요 진짜 벙찝니다 집앞에서 담배 한대피는데 어떤 할머니가 건너펀 문앞에 놔둔 화분에서 꽃 가져가는거보고 자기네 집인가보다 했는데 다음날 꽃이 없어졌다고...누가 훔쳤갔다고 ...,1,2024-09-11T03:00:56Z
@smlaltlq,사건반장 보면 꽃 훔쳐가는사람 많이 나오든데ㅋㅋ거의 나이먹은 아줌씨 할매임,2,2024-09-10T18:38:41Z
@user-ov3wy9ch5m,경찰들은 이것도 못잡고 저것도 못잡고 그럼 뭐 하려고 있는거에요?? 일을 왜 골라서해?? 민중의 지팡이라며,2,2024-09-10T13:56:19Z
@user-jw9cn7xj8r,청주 도로변 상가 <br>정원석 도둑질한인간 <br>내가 누군지 알아 <br>가만있는건 용서한것이 아니라 <br>기회를 기다리는거다.,1,2024-09-10T12:10:19Z
@user-bl4xi7ql9k,주작도 참,1,2024-09-10T11:40:09Z
@user-eo8bb7jl6y,탐정님들 매에눈 기막히네요 최고입니다,2,2024-09-10T11:39:32Z
@강진희-r4q,경찰   믿음이   안간다,5,2024-09-10T11:33:20Z
@user-tx9lt7ln6t,"우리아파트 화단엔 버리는것들 다 심어놓음 스스로 크고,또 그걸 캐서 집에 놓고 키워서 또 이사갈때나 올때 심던데..<br>화분도 갖다놓음 가져갈분 가져가고 이러고 사는데.",1,2024-09-10T11:10:35Z
@user-bi5vw1lj9f,말세다말세여나이드처먹을만큼먹은거갔은데꽃을다흠쳐가네,3,2024-09-10T08:26:46Z
@kjs3133,2편  언제  나와요?,2,2024-09-10T08:12:35Z
@mirimirimiriya,대박 ㅎㅎ❤,3,2024-09-10T08:11:04Z
@user-vp9ud2nk9g,"사건반장 보면 어르신들  화분,꽃,작물 이런거 그냥 아무렇지도 않게 절도하는게 그냥 넘 흔함 ㅋㅋㅋ  그건 정말 그냥 나이만 처먹은거임. 추잡스럽게 늙지맙시다",5,2024-09-10T07:54:44Z
@user-im4ly7be9n,경찰들보다탐정이 훨씬낫네,6,2024-09-10T06:58:26Z
@7meriel,직접 가꾸고 키운 꽃은 돈으로 환산할 수 없는데.. <br>본인들의 관심사가 아니라고 저런거 가지고? 라고 생각하시면 안됩니다..<br>데프콘 자꾸 약간 무시하는 뉘앙스로 이런것도 찾아준다고 하니 좀 불편함..<br>요즘 동네 할머니들이 카페 밖에 놓은 화분도 자주 훔쳐가고 그러는데 본인이 모른다고 이런일이 흔하지 않다는건 좀. 이런건 연애프로그램이랑 결이 다른데.. 좀 자중해..,6,2024-09-10T06:18:19Z
@user-ur6uc7dz3p,스포티지 🎉🎉🎉🎉<br>무슨 개망신 😅<br>요즘 꽃나무 비싸요.<br>6년 키웠으면 값으로 <br>매기면 안된다고 봐요 .<br>저도 꽃 마니아 라서 많이<br>심고 많이 나눠주는데 오래키운거 몰래  가져가면 정말 허탈해요.,6,2024-09-10T05:01:10Z
@bori4606,할망 좋으시것소 <br>자슥들 보기 안 쪽팔리요 <br>일상이라면 ...음..ㅋ,2,2024-09-10T05:00:28Z
@user-ll7md6bd3h,저런일많아요 특히 수국꽃,5,2024-09-10T04:38:10Z
@user-ur6uc7dz3p,삽질한 남자분 <br>걸음걸이가 약간 기우뚱 했어요.<br>아는 주위사람들은 금방 알아 볼수도 . 😅<br>꽃 좋아하시는 분들한테는 <br>정말 큰충격 입니다.<br>집에서 키우는 반려견만큼<br>이나요 .<br>😂😂😂😂😂😂,5,2024-09-10T04:37:18Z
@user-mb8cp2iz6k,와~ 대단하십니다<br>탐정분들 제가 취미로 ~추적 😅,5,2024-09-10T04:35:56Z
@user-ur6uc7dz3p,매우 😮 놀랄 만한일 <br>아닙니다.<br>어린이집 <br>앞에 분갈이 해놓으면 대낮에도 순식간에 가져간답니다.<br>⛪️ 앞에 화단에 장미 🌹 <br>심어 놓으면 정말 신나게 <br>뽑아가요 .<br>😂😂😂😂😂😂,3,2024-09-10T04:27:31Z
@user-nu1qe4dr8l,꽃도둑 화분도둑 많아요. 가게 앞 화분도 들고 가는데 밭의 꽃은 뭐....,11,2024-09-10T03:57:56Z
@벚꽃-g9w,창피하게  뭔  짓인지<br>만약  맞다면   자식들이  불쌍하네요,6,2024-09-10T03:40:50Z
@chubbyotter5120,체형 걸음걸이 반바지까지 똑같은듯.. 할부지 할머니 말 듣다가 삽으로 파신듯... 왜그러셨어여 😢,11,2024-09-10T03:40:11Z
@벚꽃-g9w,댓글 막아 놓을 줄  알았는데<br>~~~,2,2024-09-10T03:38:58Z
@user-kg4jn5oj2d,이게 뭐라고 다음시간에..,4,2024-09-10T02:59:55Z
@띠네79,와 저동네사는사람들은 저사람 딱 누군지 알겠네,3,2024-09-10T02:25:10Z
@user-df7pp8mw3i,동네 좀 도둑이네<br>어디 있는지 위치까지 알 정도면<br>근데 저런걸로 의뢰 한다는게 좀 어이없네 더 간절한 사람도 있을텐데,5,2024-09-10T02:08:13Z
@user-zb4cx4iu4x,나도 화분에 꽃심어 놓으면 몇시간안에 뿌리째 뽑아가고<br>화분째 훔쳐가고<br>다 할매들 짓이더라.....,5,2024-09-10T02:00:54Z
@user-qn7hq5nx8h,제발 남의것 탐내지 말고 양심껏 삽시다ㅡ저건 나이 드신분 아닌가 의심~~,5,2024-09-10T02:00:46Z
@user-il9ir9dq4q,이할멈 할일도어지간히 없는 할멈이네. 이딴걸 가지고  어이가 없네 참.....,2,2024-09-10T01:54:53Z
@user-lk5xe7ix2k,와 완전 대박입니다  수고하셨어요  늘 홧팅하세요 ❤,21,2024-09-10T01:30:37Z
