Author,Comment,Likes,Published At
@iijliljllij,퐁퐁녀네,0,2024-09-13T05:35:26Z
@iijliljllij,눈치없는게 참 멍청한 현처내,0,2024-09-13T05:20:31Z
@poatalplace2285,That baby may be not his one. Need DNA test for him.,0,2024-09-12T21:25:39Z
@user-qm8hw9pn4x,남편 끝까지 순진하고 어리숙하고 착한 척 하는 모습이 제일 역겹고 꼴보기 싫다.. 저 장화신은 고양이 표정으로 계속 징징 대면서 하는 말이랑 행동은 쓰레기... &quot;나는 1억이 없잖아😢 내 애는 아무 잘못 없잖아😢&quot; 뭔 헛소리인지... 주인공 모지리 쓰레기 만난 거 다 잊고 진짜 행복했으면 좋겠네. 아이가 없는 게 천만 다행입니다. 그리고 이거 시험관 관련 법 빨리 생겨야 할 것 같아요.,2,2024-09-12T16:27:30Z
@leey8958,진짜 이거 예전에 사랑과전쟁<br>에 나왔던 얘긴데 탐정 프로 좋<br>아했는데 너무 옛날꺼를 갖다 쓰네;;<br>저번에도 그러더만…<br>돈 너무 쉽게 버네요?,1,2024-09-12T14:39:43Z
@alici5634,전 와이프 소름 돋았음;;; <br>아니 이혼한지가 오래 됐는데<br>갑자기 빛나 보여서 배아프니까 <br>몰래 시험관 하는게 진짜 개 싸이코 아녀;;<br><br>암튼 저런 와이프 두고 전처랑 꽁냥 하고 싶을까...두번 다신 저런 와이프 못만남...<br>본인 발등에 본인이 찍은거지 뭐 <br><br>마지막에 다시 헤어졌다는 말에 속 시원했다 ㅋㅋ,5,2024-09-12T11:01:45Z
@user-ff2yy6sv8y,제보자  여자분  머리스탈 넘 촌스러워요  요즘 스타일로 바꿈 이쁠텐데~~,2,2024-09-12T07:33:23Z
@qaeshshof-w5m,남자가  우유부단 ㅡㅡ 바보멍청이  ㅠ<br>저런  여자두고<br>인생 망쳤네,2,2024-09-12T07:23:09Z
@qaeshshof-w5m,친자확인  검사해야되요 ㅡㅡㅡ 저런여자 꽃뱀   많아요,2,2024-09-12T07:18:20Z
@qaeshshof-w5m,사촌누나 ㅡㅡㅡ 미쳤나바  소름,1,2024-09-12T07:13:33Z
@qaeshshof-w5m,보는것만으로도 스트레스 ㅠ 저런여자가 있다니,2,2024-09-12T07:10:28Z
@user-wd5zp1yz6h,똘아이,1,2024-09-12T06:38:45Z
@squash6168,이혼,2,2024-09-12T03:23:38Z
@bohemianwandering,전처는 미친거고 남편은 배알도 없는 놈임 전처란 인간 성정을 보면 절대 자기가 좋아서 찾아온게 아니고 남의 떡이 되니 더 커보이는 그런 심리인데 애가 있어도 끊어내야지 배알도 없이 어리버리하는거 정말 한심 그자체 좋아서 만든 애도 아니고 일방적으로 전처가 미친짓 했다면서 그걸 못 끊어낸게 너무 멍청하고 한심함 그냥 지금 아내가 애 못가진다니까 괜히 자식 욕심나서 이것도 저것도 다 가지려다 지 욕심에 나가떨어진거지 그래도 지금 아내가 현명한 사람이라 다행임 어떻게든 남편을 사랑해서 믿어보고 싶었던 것 같지만 그래도 정에 이끌리지 않고 아닌 놈은 끊어내서 다행임 강단없는 인간은 저런 막장 짓거리를 해도 남편이 불쌍해서 혼인무효소송은 못하겠어요 이럼,2,2024-09-12T00:50:15Z
@user-mq6oz9yh4f,여배우 얼굴에서 정유미가 약간 보이고 남편 얼굴에서는   웬만해선 그들을 막을 수 없다 노랑 츄리닝 영삼이가 보이냥 ㅋㅋ,3,2024-09-11T18:53:14Z
@user-rr9kf8hi3r,정유미 같아,1,2024-09-11T15:22:58Z
@자유인-l8r,이게 진짜면 개또라이  찌질이네<br>세상참,1,2024-09-11T15:00:39Z
@user-zr8pf5yd1e,저걸 참고 참고 사는 아내분이 바보다 보는 내까 짜쯩나네 ㅅㅂ 저런 미친 사촌이든 모든 다 얼굴 끍여버러야지 ㅅㅂ,1,2024-09-11T11:47:04Z
@user-kp7tg1xe2t,개수작,2,2024-09-11T09:34:24Z
@ejziobit,무슨 손윗사람이라고 동거를 승낙해줘여 ㅜㅜ해줄필요없고 선넘는거는 확실히 얘기해야되요😢 진짜 끼리끼리네여 두짐승 윽ㅜㅜ 애기만 왕 안타까움ㅜㅜ 저런 정신나간 여자밑에서 클거생각하니ㅜㅜ,4,2024-09-11T07:25:16Z
@user-vq9ru5os8z,당장이혼하세요,5,2024-09-11T07:21:54Z
@alohau494,전처 캐스팅 너무 찰떡 같음;;;;<br>표정연기도 대사도 진짜 개소름. 진짜 저런 성격같아<br>연기 후덜덜,10,2024-09-11T05:42:06Z
@susuyoung82,멍청한 남편,3,2024-09-11T05:21:16Z
@user-vc1jt7vy9b,이거 진짜 실화에요?,2,2024-09-11T05:13:31Z
@user-wy9kh6xy9d,정유미인줄😮😮😮🎉🎉,4,2024-09-11T05:07:18Z
@TV-nn1uq,남자들은 대부분 아이 없으면 같이 안 살려고들하더만유<br>그게 현실 ㅠㅠ,3,2024-09-11T04:00:27Z
@user-iw6ld9bl6x,그 애는 남편애가 맞대요?,1,2024-09-11T03:15:07Z
@user-li9dv4en1y,"증거자료,이혼판결문 잃어 버리지 말고 가지고 있어야되요",8,2024-09-11T02:35:55Z
@minjungkim8705,저도여!!!,2,2024-09-11T00:51:55Z
@돌삐-x2b,피해자 욕은 하지 맙시다.,2,2024-09-10T18:54:39Z
@smlaltlq,이혼하고 소송 ㄱ,3,2024-09-10T18:34:21Z
@smlaltlq,내남편이 저런 머저리면 어휴 <br>전 와이프는 양년이라쳐도 남편은뭐고<br>난 뒤도안돌아봤을듯,4,2024-09-10T18:32:02Z
@user-xh8dl6zu2n,정유미인줄~~~,2,2024-09-10T15:36:52Z
@farm824,ㅋㅋㅋ 아주 아빠여,1,2024-09-10T14:34:16Z
@user-ez1xr5ve5g,우와 정말 미쳤다는 말밖에  ~~  전부인의 뻔뻔함이 하늘을 찔러,5,2024-09-10T14:16:28Z
@user-gw2hc8ob7e,와. 미친 한쌍의 커플이네. 전처나 호구같은 남편이나. 잘 내보냈네,5,2024-09-10T13:15:40Z
@JJ-lb1mc,테무에서 산 정유미,5,2024-09-10T12:41:37Z
