Author,Comment,Likes,Published At
@connietalbot6540,한국은 왜 부모의 재산을  당연시하게 물려받길 원하고  왜 내 재산을 당연시하게 자식들에게 물려줘야 한다고 생각 하는지...돈은 각자의 본인의 삶을위한 행복의 하나의 도구로 잘 쓰시다 가면 되는겁니다.,0,2024-09-12T04:07:06Z
@user-rh6qz3xe5n,처너,0,2024-09-11T20:47:01Z
@geulki6213,보다가 너무 짜증나서 소리지르고 결말로 갔어요 하.. 이게 실화라니...... 진짜 저것들이 자식이라고.. 짧게 생을 마감하길..,0,2024-09-10T16:02:23Z
@정봉호-q3s,아들놈 들이 재산때문에 강제 입원 시카고 있다,0,2024-09-10T12:56:55Z
@heherahe9674,동물도 그러지 않아요!,0,2024-09-10T07:22:53Z
@ginama4930,대체 어느 쓰레기 정치인입니까??? 이름을 밝혀서 사회적으로 매장시켜야됩니다.,0,2024-09-10T01:56:07Z
@user-jd4yv8ks8s,"연예인은 나오지 말자.<br>출연료만 더 들고, 정신 사납다.",1,2024-09-06T22:30:20Z
@user-qy5gi5mk4u,딸 연기ㅎ,0,2024-09-06T00:15:20Z
@user-qn7gx8fk4t,저런건자식이라할수없다절대인갼아니다,0,2024-09-04T09:58:24Z
@jinhwasun2432,이게 실화라고?,0,2024-09-03T13:21:43Z
@user-qd1wo4nw3g,돈 들고 있으면서  안주면 졸려죽고 반만주면 말라죽고 다 주면 굶어죽음<br>미리 좀 나눠줬어야 함 ..  ㅜㅜ,1,2024-09-03T12:44:08Z
@ukmixihema91,그나마.. 딸이라도 정상이라서 다행이다 다똑같았으면 어휴,0,2024-08-31T16:18:11Z
@joy4cho861,이런자식 있어요.  재산노려 어미을 ….,0,2024-08-31T15:18:10Z
@2010133omi,결론은 속시원하네.,0,2024-08-31T09:30:59Z
@2010133omi,진짜 저런것들을 키우려고 애썼던 어머니가 불쌍. <br>저런 것들은 재산도 물려주지<br>말아야지. 법으로 정해야 한다,0,2024-08-31T09:07:46Z
@user-tx9lt7ln6t,돈에 미친자들 많네.노력하진 않고.,0,2024-08-31T02:15:08Z
@user-tx9lt7ln6t,자식은 부모 도와주려고 해야지.미친<br>맞아!우리 가족도 친척들도 다 멀쩡해.,0,2024-08-31T01:59:33Z
@jeonsul,우리 부모님 같아 눈물이 나네요,2,2024-08-27T07:02:48Z
@suehong4527,저런 인성의 소유자들이 제발 이나라 국회에는 없기를 기원합니다.,5,2024-08-25T09:53:38Z
@user-qi9dh5ik2z,정신병원 들어가면<br>일반인도 정신병자 만들어버림,0,2024-08-25T09:02:56Z
@eliz9090,저 정도는 아니지만 집안마다 본인 노력보다는 부모재산을 넘보는 것들이 하나씩은 꼭 있어요,3,2024-08-25T05:50:51Z
@kokokii00,와… 돈에 미치면 지엄마도 몰라보는 호로자식 되는구나 나중에 동생에게 해꼬지 할까봐 걱정된다…,2,2024-08-22T18:41:17Z
@zziya282,부모한테 저런몹쓸짓을 또라이네,1,2024-08-22T10:28:37Z
@user-qe1em4ip3n,패륜의 댓가가 혹독히 따를. 것.저런 인간이 구의원 시원한다고!,1,2024-08-22T05:47:41Z
@user-zh6ps3ib7h,유류분 제도 없어야 합니다 <br>요즘 저런 자식들 있어요,4,2024-08-22T03:04:23Z
@user-zh6ps3ib7h,저런 자식들 한데 재산 한푼도 주지 마세요,1,2024-08-22T03:03:30Z
@user-hy2cl2yh2y,와…….,1,2024-08-20T12:06:23Z
@user-dk3yb5ny3u,이거 진짜 실화 맞아요?,0,2024-08-20T11:47:38Z
@user-dk3yb5ny3u,난 1000억줘도 우리엄마 배신안할건데 우째 사람이저러냐?,1,2024-08-20T11:38:14Z
@user-dk3yb5ny3u,우째 자기 부모한테 저러노,1,2024-08-20T11:17:37Z
@shj9873,딸이 최고야!~,2,2024-08-20T06:02:02Z
@유자엄마,와 ㅅㅂ 이건 시어머니에게도 이렇게는 못한다! 인간이냐?!! 와 쌍욕으 절로나온다 !!! 너무화나가서 눈물이 나온다 정말,1,2024-08-20T03:36:17Z
@user-kx4ok9xn4q,우리나라 요양병원은 가족이 부탁허면 그날로<br>주사와 약을 한계치이상<br>투여합니다 더구나 이름도 없는 엠브란스 해결책은 하나 대학병원에 입원시켜보면<br>엄마의 정상 상태를 알수있을곱니다,1,2024-08-19T06:53:20Z
@user-se6vi4el4k,실형 살고 나오면 해꼬지 안할까요? 😢,0,2024-08-17T14:28:42Z
@user-pc5kl1ss4f,하.. 진짜 악마네...,0,2024-08-17T08:59:23Z
@user-vv9er7yt4y,저런놈들이 국회의원이다  뭐다 권력 가질려고 하니 지금의 국회에 대단한 범죄자  머리가 있나보네요  그리고 그 들도 저렇게 꼭 법의심판을 받고 처벌  받아야 할텐데요   법의 공평성이 증명되어야 할텐데요 언제가 될지~,33,2024-08-16T14:42:23Z
@user-sz2rd9hi7l,야 진짜 인간이 아니고<br>동물도 저러지않는다,2,2024-08-16T09:05:32Z
@sj3364,아들놈들은 다  저러냐,1,2024-08-15T04:21:06Z
@jooyunyoo460,저희집이 저 꼬라지였습니다 치매걸린 할머니 요양병원에 집어넣고....,4,2024-08-15T01:18:35Z
@sara-w9i,채널A가 만든 영상이라...,1,2024-08-13T23:09:20Z
@김영숙-b7q,자식은 다 똑 같아요 저배고프면 언제든지 엄마 아빠 뜯어 먹으려 해요. 돈은 많아도 걱정. 없어도 걱정. 동물 들은  자신이 잡혀 먹던가 잡아 먹는가 하고 아프면 ㅇ디가서. 죽지요  인생 허무하고 속절없는 것은 알지만 어디 저런 년놈들이 다있데요,0,2024-08-13T13:05:23Z
@전영남-t4u,마음너무아픔니다,1,2024-08-13T06:26:31Z
@iminYOO-rm1lq,너무 화가나고 기가막혀서 눈물이 다나네... 저것들 자기 자식한테도 똑같이 돌려받길,9,2024-08-13T06:10:51Z
@user-jg5xg1pg5o,아들들이문제다<br>아들은 하나보다 둘이 진짜안좋음.거기에 욕심많은 며는리까지보태면 서로 경쟁이라도하듯 뺏어갈궁리만하는경우많음.<br>그래서 딸이 훨 나음,4,2024-08-13T05:12:04Z
@user-du9vz6vj6q,보는데 눈물이 많이 나네요.. 저게 말이나 되나요..  자기들 키워준 엄마한테 어떻게 저러나요..  실화라는게 너무 슬프네요...,16,2024-08-12T17:46:38Z
@gayounglee4505,올케들도 끼리끼리네…..,2,2024-08-12T13:37:01Z
@user-zm2vg3nw9i,참 저런 나쁜놈들 화가치미네요. 용서할수가 없는 자식놈들 엄벌해야하네요,7,2024-08-12T07:29:12Z
@user-dn6yb2vu7k,딸과 본인쓸  돈은 남겨뒀겠지<br>쓰레기보다 못한 인간들<br>다행이다 재산 돌려받고 시의원 안된게 저런것들이 정치하니  엉망이 되어가는거다<br>시의원 구의원 제발 없애라<br>동내 건달들이 하는직업이지 하는거 없는 나름 동네 유지  능력없는  사람들만 하더라,1,2024-08-12T05:33:58Z
@user-sn4yt8mq3s,인간 쓰레기  저희집도 시골  돈 며쁜갔것다고  3형재  오빠  왕레  안합니다  진짜  실화네요  이런사건 많아요  돈 왠수요,2,2024-08-11T22:07:27Z
@jinanderson4396,이런 쓰레기가 ㅁ 슨 정치를.,0,2024-08-11T18:58:40Z
@ooshares,부모의 재산은 자식의 것이 절때 아닙니다 자식들의 악행은 구속되어 마땅 합니다,17,2024-08-11T03:39:52Z
@danniepack9557,스토리 / 재연배우들의 연기 모두 훌륭한데... 저 지상렬닮은 이상한 놈 자꾸 술취한 듯한 개입은 좀 자제했으면,1,2024-08-08T19:59:29Z
@user-ne1hy9cp1x,저런 자식은 없으니 못하다... 그냥 혼자 살다 가야...ㅎㅎ<br>입벌구도 형 저렇게 보냈나? ㅋ<br>정지하는 넘들은 진짜 거의 다 사람이 아니다..,1,2024-08-08T07:51:23Z
@user-vy6ip7bs4i,정치하는 놈들  <br>꼭 이재명같은 느낌이   드네,3,2024-08-07T23:40:37Z
@Mtmama-sx5yt,엄마의 통장부터 알아봐야 한다!!!<br>이런 일들이 종종 있었지요.....,3,2024-08-07T18:28:44Z
@user-uw9uw9xr3i,12,1,2024-08-05T21:22:18Z
@김정숙-t2v6e,참. 잘 했어요 어머님 난 가진게없지만,2,2024-08-05T07:28:40Z
@우물정진주바위솔,😢,1,2024-08-04T13:20:31Z
@huizijin2972,"무자식 싱팔자 라는말 머리검은짐승 거두지 않는다는 말 옛말이 헛된게 없음을.,",2,2024-08-03T12:14:20Z
@joechung3408,The two sons are crazy!!! No one should ever treat their parents this way!,0,2024-08-03T09:43:35Z
