Author,Comment,Likes,Published At
@user-qm8hw9pn4x,"여자나 남자나 커뮤니티 하는 사람은 걸러야 함.<br>연애든 친구든... 낌새가 보이면 엮이지 말 것.<br>저런 커뮤니티 하는 사람 특징이 나랑 다르면 빨갱이 취급함. 그리고 혐오를 즐기고 모순되고 내로남불 심함. 이 얘기만 봐도 가족 건드려가며 여혐 하다가 갑자기 소개팅을 하고 앉았음.<br>무슨 남 무슨 녀 이딴 용어 쓰는 사람, 뭐뭐 ~하노, ~하누, 또는 아이나 노인 혐오용어 등등 이상한 용어랑 말투 쓰는 사람은 주변에 두면 안됨. 그들은 상식보다 혐오가 우선임. 논리적인 척 하지만 혐오 회로만 돌리느라 생각의 스펙트럼이 매우 좁고 논점을 자꾸 흐림. 이분법적이고 흑백논리적임. 머릿속에 혐오가 가득해서 무례하거나 비상식적이거나 못된 짓을 해도 그래도 된다고 착각 함. 혐오로 시작해서 혐오로 끝나기 때문에 좋게 주고받는 대화가 불가함. 현실에서는 아닌 척 하겠지. 그래서 낌새 보이면 바로 손절 해야함. 그 낌새가 빙산의 일각일테니. 현실은 저 영상보다 훨씬 더 더러울것임. 지금 이 댓글창만 봐도 너무 많이 보인다.. 저런 커뮤니티에 빠진 찌질하고 몰상식한 인간들을 욕하는 게 아니라 남여 갈라치기 하는 혐오 댓글들은 뭐지? 본인들 모습이라서 그런가? &quot;역시 너희 남초들은~&quot;, &quot;그러는 너네 여초들은~&quot; ....쯧쯧.......... 난 진짜 퐁퐁이니 뭐니 이상한 용어 알고싶지도 않다고ㅠ 너네끼리나 쓰지 왜 수면위로 올라오냐고...",0,2024-09-12T17:26:28Z
@user-ts6bt2dn3w,"19~29살 기준<br>&#39;동년배 이성과 같이 있고 싶다&#39;<br>남성 62%, 여성 24%",2,2024-09-12T06:37:39Z
@hii8939,한녀한녀 거리면서 한국여자 만나고싶은 남자들<br>한남한남 거리면서 한국남자 만나고싶은 여자들이<br>혐오커뮤 많이함 ㅋㅋㅋㅋ<br><br>그렇게 싫으면 상대방에 관심도 안갖는게 정상인데<br>두쪽다 올라오는 글들보면 죄다 한국여자 한국남자 관련 글들뿐임<br><br>걍 5살 꼬맹이들이 서로 관심달라고 너미워! 빽빽거리는거 같음,0,2024-09-11T09:22:54Z
@ANGELAJO-es4ec,유모차타는 애들이 어캐 혼자 문센을듣냨ㅋㅋㅋㅋㅋㅋ,1,2024-09-10T20:37:03Z
@user-lt5iz3je2p,진짜 찌질하다!,2,2024-09-10T19:56:40Z
@toy8166,한남 인셀 이런 단어쓰면서 남자 욕한다고? 에라이 너네들이 얼마나 남성혐오에 찌들어 있는지 스스로 돌아봐라,0,2024-09-10T19:29:22Z
@user-ts6bt2dn3w,페미제조기들이 최신순 댓글 다는거 보니까 오히려 좋아<br>덕분에 오늘도 페미들이 늘어납니다~,3,2024-09-10T16:19:07Z
@을눈을눈,현실아닌가ㅋㅋㅋㅋㅋ중고딩 동창 아닌이상 국제결혼 하세요~,0,2024-09-10T12:06:30Z
@farhodkim6811,아 이거 팩트라서 암말 못하겠다~ㅋㅋㅋㅋ,2,2024-09-10T08:02:42Z
@a77056560,캬 역시 팸코여시언냐들 출동할 줄 알았어ㅋㅋㅋ<br>많이 긁혀서 부들대시구요<br><br>참고로 난 이전부터 혼자살기로 결심했으니깐 시비ㄴㄴ,0,2024-09-10T07:16:16Z
@wswqq2330,댓글에서 닭장냄새 지리노~~~,1,2024-09-10T05:19:25Z
@wswqq2330,"전세계 압도적 낙대 1위 대한민국<br>전세계 압도적 자연유x 1위 대한민국<br>뭐 데이터가 더 필요해??",1,2024-09-10T05:13:18Z
@wswqq2330,통계보면 한국여성의 75프로가 낙타했습니다 그리고 의사가 낸 통계보면 낙타가 가장 큰 불임원인이죠,1,2024-09-10T05:12:25Z
